,Hats,Mouth,Eyes,Clothes,Body,Background,1 of 1,Rarity score,Token Id
0,Red Beanie,Meh,Night Owl,White Yellow Overalls,Xenos,Red Camo,None,16.339015874047103,0
1,Bonzai,Baby Tooth,Peek a Boo,Cowboy,Xenos,Mint,None,0.5337572942479591,1
2,Nacho Cheese,Cowboy,Oldies,Alien Coat,Femi,Pink,None,12.52896591217586,2
3,Tee Pee,Goo,Night Owl,Green Jacket,Lochias,Tree Green,None,26.341686113788683,3
4,Ninja Dark,Cowboy,xxx Flat,Red Running Jacket,Xenos,Pink,None,5.437573996348812,4
5,Claw Machine,Baby Tooth,xxx Future,Red GM Tee,Lochias,Yellow,None,22.00866869439052,5
6,Bonzai,Gangzter,Dazed,Dark Dice Hoodie,Femi,Blue,None,14.637328605889094,6
7,Bandage,Goo,xxx Future,Armor,Lochias,Dark Mint,None,22.220045142725624,7
8,Beanie Spinner,Brown Beard,Fren,Yellow Running Jacket,Lochias,Yellow,None,25.691701791255177,8
9,Bandage,Sad,Peek a Boo,Tan Dice Hoodie,Xenos,Pink,None,4.142959046788298,9
10,Beanie Spinner,Friendly,Adorable,Fuzzy Coat,Femi,Mint,None,11.176181165152185,10
11,Bonzai,Black Beard,xxx Future,Dark Dice Hoodie,Lochias,Pink,None,19.93203603956192,11
12,Sunflower,Sucker,Adorable,Prison,Xenos,Orange,None,13.337589852639736,12
13,Multi Beanie,Cowboy,xxx Flat,Dark Green Hoodie,Xenos,Orange,None,10.4523676088067,13
14,Ninja Dark,Sad,Fren,Dark Green Hoodie,Xenos,Blue,None,12.618926524615809,14
15,Nacho Cheese,Gangzter,Peek a Boo,Scarf Orange Blue,Xenos,Baby Blue,None,9.80769100367424,15
16,Undies,Sad,Gummy Worms,White Jacket,Lochias,Baby Blue,None,23.567517414985282,16
17,Undies,Goo,Peek a Boo,Tattoos,Xenos,Mint,None,4.248655198955673,17
18,Black Beanie,Friendly,Ghostie,Waldo,Lochias,Dark Mint,None,25.406374555281452,18
19,Come In Peace,Goo,Peek a Boo,Armband,Lochias,Green Camo,None,23.43012399277241,19
20,Horns,Oh No,Hive,Blue Running Jacket,Femi,Dark Mint,None,20.714172127198633,20
21,Dark Halo,Baby Tooth,Pacman,Blue Running Jacket,Lochias,Yellow,None,24.254442779057488,21
22,Red Beanie,Meh,Adorable,Ninja Blue,Femi,Pink,None,9.527481756717297,22
23,Mustard Beanie,Cowboy,Adorable,Fuzzy Coat,Lochias,Pink,None,14.092978071296972,23
24,Paper Bag,Sewn Shut,Angry,Waldo,Xenos,Yellow,None,17.036524963268278,24
25,Horns,Goo,Pacman,Dark Fren Tee,Femi,Yellow,None,17.24243620453632,25
26,Lil Fren,Gangzter,Adorable,BioHazard,Xenos,Baby Blue,None,10.964939482373527,26
27,Army Helmet,Gangzter,Dazed,Black GM Hoodie,Xenos,Blue,None,9.696705632498357,27
28,Cyclone Ears,Oh No,Adorable,Black Tux,Femi,Mint,None,11.783853310495521,28
29,Biker Helmet,Monster,Fren,Imperial,Femi,Pink,None,17.31118338845557,29
30,Undies,Sewn Shut,Oldies,Red Tank,Xenos,Blue,None,16.587366129475384,30
31,Park Hat,Baby Tooth,Dazed,Blue Tank,Femi,Orange,None,14.869831283779671,31
32,Black Beanie,Wow,Adorable,Office,Xenos,Tan,None,10.949077106731808,32
33,Sunflower,Sucker,xxx Flat,Leather Jacket,Xenos,Baby Blue,None,14.008667110930276,33
34,Bamboo Cap,Gangzter,Peek a Boo,Art School,OLU,Tan,None,25.485557485773015,34
35,Black Beanie,Cowboy,Peek a Boo,Imperial,Lochias,Tan,None,20.608358650440948,35
36,Paper Bag,Cowboy,Adorable,Cowboy,Femi,Mint,None,6.087399240495892,36
37,Beanie Spinner,Friendly,Night Owl,Red Tank,Femi,Red,None,19.38784405241414,37
38,Ice Cream,Goo,Peek a Boo,Yellow Running Jacket,Femi,Blue,None,14.341381176225296,38
39,Beanie Spinner,Cig,Adorable,Ninja Knight,Lochias,Red Camo,None,24.169909851353697,39
40,Undies,Drugz,xxx Flat,Imperial,Lochias,Pink,None,19.583291007389754,40
41,Horns,Goo,Oldies,Armband,Lochias,Dark Mint,None,22.542401676981598,41
42,Bucket Hat,Oh No,Adorable,Pilot,Femi,Baby Blue,None,16.502649289819043,42
43,Pilot,Drugz,xxx Flat,Hi Tee,Femi,Tan,None,18.83302817680131,43
44,Beanie Spinner,Meh,Fren,Scarf Orange Blue,Xenos,Red Camo,None,16.413006826292207,44
45,Gumball,Goo,Peek a Boo,Red Tank,Xenos,Pink,None,4.433590829760837,45
46,Blue Beanie,Gangzter,Adorable,Red GM Tee,Xenos,Orange,None,9.326803716315133,46
47,Ninja Master,Goo,Happy,Waldo,Femi,Blue Camo,None,19.371972163688795,47
48,Party Ears,Oh No,Dazed,Yellow Hi,Femi,Mint,None,11.1708924739184,48
49,Space Police,Monster,Adorable,Hi Tee,Xenos,Yellow,None,14.193634451388542,49
50,Bandage,Sad,Adorable,Ninja Knight,OLU,Pink,None,19.7153460589191,50
51,Pilot,Sad,Oldies,Dark Jacket,Femi,Orange,None,17.776125323874737,51
52,Bonzai,Baby Tooth,Luv,Mint Sweater,Lochias,Red,None,22.817159984854587,52
53,Bandage,Aw man,xxx Flat,Fuzzy Coat,Xenos,Dark Mint,None,10.378370842828012,53
54,Blue Beanie,Baby Tooth,Dazed,Polka Dot,Xenos,Yellow,None,9.812945873569491,54
55,Sweatband,Gangzter,Luv,White Tank,Xenos,Pink,None,7.202534783120969,55
56,Come In Peace,Cig,xxx Flat,Old School,Xenos,Pink,None,6.029384818080592,56
57,Space Helmet,Meh,Night Owl,Cowboy,Lochias,Mint,None,16.491993160406892,57
58,Red Beanie,Baby Tooth,Dazed,Bones Tee,Lochias,Red Camo,None,23.049680630899477,58
59,Clown Nose Ears,Friendly,xxx Flat,Chain White Tee,Femi,Mint,None,11.820869926699633,59
60,Gumball,Baby Tooth,Night Owl,Pilot,Xenos,Baby Blue,None,12.80384259995398,60
61,Bandage,Cig,Oldies,Fuzzy Coat,Xenos,Mint,None,8.005750595371463,61
62,Cyclone Ears,Cowboy,xxx Flat,Chain White Tee,Lochias,Dark Mint,None,20.80915824478706,62
63,Baseball Helmet,Aw man,Oldies,Fuzzy Rainbow Tee,Lochias,Mint,None,19.012592143476443,63
64,Bonzai,Baby Tooth,Happy,Cowboy,Xenos,Dark Mint,None,8.259405397563938,64
65,Come In Peace,Oh No,Gummy Worms,White Sweater,Xenos,Blue,None,14.653342659222895,65
66,Halo,Gangzter,Dazed,Armband,Lochias,Red Camo,None,24.381302683228547,66
67,Mustard Beanie,Gangzter,Hive,Rainbow,OLU,Dark Mint,None,29.43281801415788,67
68,Black Cowboy Hat,Friendly,Oldies,Dark Ninja,Xenos,Red,None,15.419557707866952,68
69,Ninja Yellow,Cowboy,Happy,Chain White Tee,Lochias,Red Camo,None,25.781545078870206,69
70,Black Cap,Baby Tooth,Dazed,Red GM Tee,Lochias,Blue,None,20.745778497990393,70
71,Party Ears,Friendly,xxx Flat,Cowboy,Femi,Yellow,None,12.951643762190002,71
72,Come In Peace,Sad,Pacman,Red GM Tee,Xenos,Green Camo,None,16.296729063124786,72
73,Tee Pee,Meh,Fren,Robe,Femi,Yellow,None,18.93867729120797,73
74,Sweatband,Cig,Peaceful,Robe,Lochias,Orange,None,24.11176172104296,74
75,Undies,Sad,xxx Flat,White GM Sweater,Femi,Yellow,None,14.87512050278818,75
76,Party Ears,Friendly,Happy,Dark Green Hoodie,Xenos,Dark Mint,None,13.633466991837354,76
