,Location,Underground,Region,Size,Rarity score,Token Id
0,"Jungle(144, -256)",Weird Rocks,Jungle,Mega,55.04483400819723,1
1,"Frozen(-48, 80)",Strange Artifact,Frozen,Mega,93.26013193072122,2
2,"Dystopia(96, 96)",Secret Passage,Dystopia,Mega,70.76013593857013,3
3,"Frozen(-176, 80)",Weird Rocks,Frozen,Mega,75.26475838628447,4
4,"Volcanic(-128, 128)",Secret Passage,Volcanic,Mega,77.50005568443244,5
5,"Dystopia(256, -48)",Weird Rocks,Dystopia,Mega,61.78480992447588,6
6,"Dystopia(-64, -128)",Strange Artifact,Dystopia,Mega,79.78039803883064,7
7,"Jungle(-528, -64)",Secret Passage,Jungle,Mega,64.02021506937433,8
8,"Volcanic(96, -96)",Mystic Symbol,Volcanic,Mega,81.9933115486471,9
9,"Jungle(-336, -144)",Mystic Symbol,Jungle,Mega,68.5135237340048,10
10,"Jungle(-160, 16)",Secret Passage,Jungle,Mega,64.02021506937433,11
11,"Jungle(336, -160)",Weird Rocks,Jungle,Mega,55.04483400819723,12
12,"Dystopia(0, 176)",Mystic Symbol,Dystopia,Mega,75.25341651811715,13
13,"Jungle(160, 0)",Mystic Symbol,Jungle,Mega,68.5135237340048,14
14,"Volcanic(0, -192)",Mystic Symbol,Volcanic,Mega,81.9933115486471,15
15,"Moon(-32, -32)",Mystic Symbol,Moon,Mega,95.47309936428701,16
16,"Volcanic(176, -112)",Weird Rocks,Volcanic,Mega,68.52478359383812,17
17,"Jungle(-80, -272)",Secret Passage,Jungle,Mega,64.02021506937433,18
18,"Dystopia(160, 32)",Weird Rocks,Dystopia,Mega,61.78480992447588,19
19,"Dystopia(32, 32)",Weird Rocks,Dystopia,Mega,61.78480992447588,20
20,"Frozen(96, 72)",Secret Passage,Frozen,Mega,84.23997767696176,21
21,"Moon(-32, 48)",Secret Passage,Moon,Mega,90.97989854640699,22
22,"Dystopia(-112, 80)",Secret Passage,Dystopia,Mega,70.76013593857013,23
23,"Jungle(272, -160)",Strange Artifact,Jungle,Mega,73.04053109288535,24
24,"Dystopia(-256, 112)",Secret Passage,Dystopia,Mega,70.76013593857013,25
25,"Jungle(-416, -80)",Mystic Symbol,Jungle,Mega,68.5135237340048,26
26,"Jungle(-208, 96)",Mystic Symbol,Jungle,Mega,68.5135237340048,27
27,"Frozen(48, 0)",Weird Rocks,Frozen,Mega,75.26475838628447,28
28,"Volcanic(-112, -208)",Secret Passage,Volcanic,Mega,77.50005568443244,29
29,"Moon(-64, -112)",Mystic Symbol,Moon,Mega,95.47309936428701,30
30,"Jungle(16, -288)",Secret Passage,Jungle,Mega,64.02021506937433,31
31,"Jungle(-224, -160)",Strange Artifact,Jungle,Mega,73.04053109288535,32
32,"Dystopia(-352, 48)",Strange Artifact,Dystopia,Mega,79.78039803883064,33
33,"Jungle(-288, -48)",Weird Rocks,Jungle,Mega,55.04483400819723,34
34,"Volcanic(-32, 96)",Mystic Symbol,Volcanic,Mega,81.9933115486471,35
35,"Dystopia(16, -144)",Secret Passage,Dystopia,Mega,70.76013593857013,36
36,"Jungle(-64, -160)",Secret Passage,Jungle,Mega,64.02021506937433,37
37,"Dystopia(-144, -96)",Weird Rocks,Dystopia,Mega,61.78480992447588,38
38,"Jungle(-128, -160)",Strange Artifact,Jungle,Mega,73.04053109288535,39
39,"Dystopia(-96, 160)",Strange Artifact,Dystopia,Mega,79.78039803883064,40
40,"Jungle(-80, 128)",Mystic Symbol,Jungle,Mega,68.5135237340048,41
41,"Frozen(-112, 16)",Secret Passage,Frozen,Mega,84.23997767696176,42
42,"Dystopia(160, -32)",Mystic Symbol,Dystopia,Mega,75.25341651811715,43
43,"Frozen(192, 0)",Mystic Symbol,Frozen,Mega,88.73320545659176,44
44,"Volcanic(0, -128)",Secret Passage,Volcanic,Mega,77.50005568443244,45
45,"Volcanic(-64, 208)",Weird Rocks,Volcanic,Mega,68.52478359383812,46
46,"Dystopia(192, -128)",Mystic Symbol,Dystopia,Mega,75.25341651811715,47
47,"Volcanic(256, -32)",Weird Rocks,Volcanic,Mega,68.52478359383812,48
48,"Jungle(-32, -32)",Strange Artifact,Jungle,Mega,73.04053109288535,49
49,"Dystopia(-352, -32)",Weird Rocks,Dystopia,Mega,61.78480992447588,50
50,"Jungle(96, 0)",Weird Rocks,Jungle,Mega,55.04483400819723,51
51,"Frozen(-32, -32)",Mystic Symbol,Frozen,Mega,88.73320545659176,52
52,"Jungle(128, -176)",Secret Passage,Jungle,Mega,64.02021506937433,53
53,"Moon(-128, 48)",Secret Passage,Moon,Mega,90.97989854640699,54
54,"Dystopia(-176, -192)",Weird Rocks,Dystopia,Mega,61.78480992447588,55
55,"Dystopia(-272, -32)",Mystic Symbol,Dystopia,Mega,75.25341651811715,56
56,"Moon(-208, 0)",Weird Rocks,Moon,Mega,82.0047320556467,57
57,"Jungle(-64, 48)",Secret Passage,Jungle,Mega,64.02021506937433,58
58,"Moon(-96, 128)",Strange Artifact,Moon,Mega,100.0,59
59,"Dystopia(-32, -32)",Secret Passage,Dystopia,Mega,70.76013593857013,60
60,"Jungle(176, -80)",Mystic Symbol,Jungle,Mega,68.5135237340048,61
61,"Volcanic(144, 128)",Weird Rocks,Volcanic,Mega,68.52478359383812,62
62,"Volcanic(96, -192)",Secret Passage,Volcanic,Mega,77.50005568443244,63
63,"Volcanic(16, 208)",Secret Passage,Volcanic,Mega,77.50005568443244,64
64,"Volcanic(224, 48)",Strange Artifact,Volcanic,Mega,86.52026610810942,65
65,"Jungle(48, -208)",Weird Rocks,Jungle,Mega,55.04483400819723,66
66,"Jungle(96, -80)",Weird Rocks,Jungle,Mega,55.04483400819723,67
67,"Dystopia(-192, 192)",Strange Artifact,Dystopia,Mega,79.78039803883064,68
68,"Volcanic(-128, -48)",Strange Artifact,Volcanic,Mega,86.52026610810942,69
