,Eyes,Mouth,Neck,Feet,Fur,Background,Back,Head,Rarity score,Token Id
0,Happy,Smiling,BAYC Collar,Old Laces,Tan,Outhouse,None,None,37.48713106655337,0
1,Mystic Eye,Foaming,None,None,Death Bot,Swamp,Blue Pack,None,40.9523951535485,1
2,Wide,Tennis Ball,Black BAYC Bandana,Cast,Zombie,Outhouse,Beer Kegs,None,77.9105662953568,2
3,Closed,Goofball,None,None,Radioactive,Club Exterior,Beer Kegs,None,37.649605314405285,3
4,Closed,Cigarette,Pink Collar,None,Tan,SS Monke Biz,Blue Pack,Shrunken Head,61.99837929089145,4
5,Whatever,Drooling,BAYC Collar,None,Zombie,SS Monke Biz,None,Bird,49.95462650943385,5
6,Sad,Bloody,Lei,Pink Combat Boots,Black,Swamp,None,Bow,67.33163161498268,6
7,Anime,Fish,None,Cast,Death Bot,Club Exterior,None,BAYC Logo Hat Black,55.12187877969655,7
8,3D Glasses,Growl,None,Pink Combat Boots,Tan,Outhouse,Beer Saddle,None,52.558741915307685,8
9,Goofy,Bloody,Pink Collar,None,Pink,Outhouse,None,Trippy Captain's Hat,49.8565301407779,9
10,Closed,Stache,Whiskey Barrel,Flask,Brown,SS Monke Biz,None,None,48.23333128323306,10
11,Shutter Shades,Bubblegum,None,None,Cyberpunk,Outhouse,None,None,19.380498496919383,11
12,Happy,Slippers,None,Combat Boots,Galaxy,SS Monke Biz,Blue Pack,Swamp Turtle,71.80396488832226,12
13,Goofy,Hot Dog,Beer Can Necklace,None,Cheetah,Outhouse,None,Pirate Captain's Hat,50.72842059798105,13
14,Closed,Beer Can,None,Boots,Black,Club Exterior,Space Pack,None,53.18146245727197,14
15,Cyborg,Beer Can,None,None,Brown,Outhouse,None,None,14.446730423825393,15
16,Closed,Frog Legs,Red Collar With Bone,Leg Knife,Cheetah,Outhouse,Blue Pack,Santa Hat,87.66651621133623,16
17,Mystic Eye,Golden Hot Dog,BAYC Collar,Rain Boots,Brown,Bar,None,Rat,72.317437603546,17
18,Anime,Cyberjaw,Lei,None,Brown,Outhouse,Beer Kegs,Spinner Hat,70.19996689169027,18
19,Holographic Visor,Happy,Gold Links,Kicks,DMT,Swamp,None,None,58.205431930471065,19
20,Suspicious,Frog Legs,Christmas Wreath,None,Black,Bar,Mega Rocket Launcher,None,61.55314322365564,20
21,Blue Beams,Smiling,BAYC Collar,None,Brown,SS Monke Biz,Doggie Pack,None,48.39543596987301,21
22,Hypnotized,Fish,Glow Necklace,None,Tan,Bar,None,None,36.509857912168364,22
23,Closed,Cute Smile,Pinstripe Bandana,Combat Boots,Black,Club Exterior,None,None,49.74309760659105,23
24,3D Glasses,Frog Legs,None,Combat Boots,Brown,Swamp,None,King's Crown,48.61847485488387,24
25,Heart Eyes,Stache,None,Boots,Noise,Outhouse,Service Vest,None,59.82072171528717,25
26,Wide,Tennis Ball,None,None,Tan,Bar,None,None,16.673905023000145,26
27,Closed,Cigarette,BAYC Collar,Rain Boots,Death Bot,SS Monke Biz,None,BAYC Flipped Brim Hat,64.64809979996518,27
28,Whatever,Red Raybeam,None,Combat Boots,Galaxy,Club Exterior,None,Sea Captain's Hat,56.00131741217411,28
29,Happy,Cigar,None,Rollerblades,Death Bot,Outhouse,None,None,34.89055678405816,29
30,Whatever,Ape Hand,None,High Tops,Tan,Swamp,Rocket Launcher,White Headband,67.47489909889475,30
31,Shutter Shades,Cyberjaw,Plaid Bowtie,Leg Knife,Tan,Outhouse,None,None,50.11683183554203,31
32,Closed,Rainbow Teeth,None,High Tops,Brown,Club Exterior,None,Fez,46.21404892625061,32
33,Bloodshot,Hot Dog,Black BAYC Bandana,None,Zombie,Outhouse,Beer Kegs,Fisherman's Hat,73.36656841820563,33
34,Happy,Bloody Fangs,None,None,Black,SS Monke Biz,None,Purple Headband,25.499161444264352,34
35,Zombie,Heavy Drooling,None,Space Boots,Cheetah,Swamp,None,White Headband,52.70625267093006,35
36,Happy,Cyberjaw,None,High Tops,Pink,Outhouse,None,Swamp Turtle,47.09734203828642,36
37,Shutter Shades,Frog Legs,None,Rain Boots,Tan,Swamp,None,None,30.29673055388022,37
38,Radioactive,Cute Smile,BAYC Collar,Cast,Death Bot,Outhouse,None,Halo,69.64903515984201,38
39,Pilot Goggles,Bored,None,Combat Boots,Mega Death Bot,Swamp,None,None,38.197116976145914,39
40,Happy,Fish,None,Rain Boots,Robot,Club Exterior,None,Missile Launcher,51.22661613831184,40
41,Hypnotized,Beer Can,None,None,Black,SS Monke Biz,None,Bowler,29.228637926527473,41
42,Whatever,Kazoo,None,None,Cyberpunk,Bar,Basketball Hoop,Rain Hat,62.32706703425174,42
43,Happy,Cute Smile,BAYC Collar,Flippers,Pink,Bar,Fishing Lures,Earbuds,91.7235781054378,43
44,Snorkel Gear,Bloody,BAYC Collar,Space Boots,Galaxy,Swamp,None,None,55.81996941750841,44
45,Goofy,Happy,None,None,Tan,SS Monke Biz,Fishing Lures,None,33.380479877533475,45
46,Shutter Shades,Slippers,None,Old Laces,Tan,SS Monke Biz,None,None,31.04411684784829,46
47,Happy,Fish,BAYC Collar,None,Tan,Outhouse,None,Banana Peel,38.16671236565701,47
48,Happy,Gold Teeth,None,Gold Kicks,Brown,Bar,None,None,36.75894919846014,48
49,Mystic Eye,Confused,Gold Links,None,Solid Gold,Bar,None,None,45.36124218814431,50
50,Happy,Ape Hand,None,None,Tan,Club Exterior,Jetpack,Bird,47.19906960090579,51
51,Closed,Smiling,None,Old Laces,Black,Club Exterior,None,None,25.14797735651762,52
52,Blue Beams,Kazoo,None,None,Death Bot,Outhouse,None,Party Hat,35.475773934756546,53
53,Closed,Stache,Black BAYC Bandana,Flask,Cheetah,Club Exterior,None,None,54.13280274109128,54
54,Bloodshot,Beer Can,None,Flask,Tan,Outhouse,None,Missile Launcher,44.79870337389565,55
55,Confused,Fish,None,Leg Knife,Pink,Outhouse,Beer Kegs,Spinner Hat,72.21163267456723,56
56,Cyberpunk Visor,Cigar,Spiked Collar,None,Radioactive,SS Monke Biz,None,Cowboy Hat,54.41232142334454,57
57,Robot,Fish,None,None,Cheetah,Swamp,None,Pirate Captain's Hat,32.49375648706014,58
58,Happy,Panting,None,Old Laces,Black,Club Exterior,Camo Pack,None,54.68748476738144,59
59,Closed,Bloody Fangs,Pink Collar,None,Death Bot,SS Monke Biz,Ninja Kunai,Pimp Hat,70.84160288538624,60
60,Whatever,Blep,None,None,Radioactive,Swamp,None,Fisherman's Hat,33.92814487381731,61
61,Suspicious,Heavy Drooling,Spiked Collar,None,Tan,SS Monke Biz,None,None,30.579858793261327,62
62,Happy,Hot Dog,None,Boots,Trippy,Club Exterior,Fishing Lures,None,59.09979550592185,63
63,Sunglasses,Cyberjaw,Ribbon,None,Tan,SS Monke Biz,None,None,30.425060107680668,64
64,Sad,Happy,Hawaiian Bandana,Rain Boots,Black,Swamp,None,Bird,66.80320524410511,66
65,Whatever,Red Raybeam,None,None,Pink,Outhouse,None,None,16.02840588791965,67
66,Bloodshot,Bloody Fangs,Glow Necklace,None,Tan,Outhouse,None,Fisherman's Hat,45.36110694424779,68
67,Heart Eyes,Cute Smile,BAYC Collar,None,Tan,SS Monke Biz,None,Sea Captain's Hat,42.152652561611006,69
68,Happy,Panting,None,None,Brown,Outhouse,None,None,10.184853146784482,71
69,Closed,Bloody,BAYC Collar,Old Laces,DMT,Bar,None,BAYC Flipped Brim Hat,70.47181354689084,72
70,Glowing Red,Smiling,None,None,Black,Bar,Blue Pack,Swamp Turtle,51.85303470462641,73
71,Holographic Visor,Bored,None,Leg Knife,Tan,Outhouse,Cyberpunk Pack,White Headband,68.2901886746064,74
72,Angry,Bloody,Hawaiian Bandana,Combat Boots,Brown,Swamp,None,Banana Peel,66.72395827236345,75
73,Hypnotized,Smiling,Japanese Bandana,Cast,Black,Outhouse,None,Fisherman's Hat,61.96833559114481,76
74,Robot,Smiling,Beer Can Necklace,None,Tan,Outhouse,Basketball Hoop,Halo,62.11539111290143,77
75,Shutter Shades,Hot Dog,None,None,Pink,Outhouse,Camo Pack,Fez,52.21539261983138,78
76,3D Glasses,Bloody Fangs,None,High Tops,Black,SS Monke Biz,None,None,33.629774024493905,79
77,Snorkel Gear,Diamond Teeth,None,None,Black,Swamp,Beer Kegs,None,36.460596446195645,80
78,X Eyes,Goofball,None,Boots,Brown,Outhouse,None,None,32.897512773359786,81
79,Anime,Red Raybeam,Flamingo Bandana,None,Solid Gold,Outhouse,None,None,38.918080929068395,82
80,Anime,Bloody,Beer Can Necklace,None,Pink,Swamp,Beer Saddle,None,56.23124401652875,83
81,Closed,Goofball,None,Flask,Pink,SS Monke Biz,Service Vest,Bowler,66.33124806419619,84
82,Hero Mask,Cigarette,Red BAYC Bandana,Flippers,Black,SS Monke Biz,Basketball Hoop,Bowler,91.29342421936919,85
83,3D Glasses,Hot Dog,None,None,Noise,Outhouse,Rocket Launcher,Bird,55.57845186126967,86
84,Suspicious,Panting,Ribbon,None,Pink,Outhouse,None,Shrunken Head,50.645420966770224,87
85,Goofy,Bloody Fangs,Golden Bone Necklace,None,DMT,Swamp,Camo Pack,None,59.75280427590482,88
86,Pilot Goggles,Bloody,Flamingo Bandana,Cyberpunk Boots,Tan,Bar,None,Trippy Captain's Hat,72.40430115032024,89
87,3D Glasses,Goofball,None,Combat Boots,Pink,Outhouse,None,None,34.56968570848364,90
88,X Eyes,Smiling,BAYC Collar,Flask,Tan,Bar,None,None,47.568958773942796,91
89,Robot,Red Raybeam,None,Space Boots,Tan,Club Exterior,None,Swamp Turtle,50.10184989157289,92
90,Cyclops,Fire Breath,BAYC Collar,None,Tan,Swamp,None,None,28.473539898342693,93
91,Happy,Heavy Drooling,None,Boots,Black,SS Monke Biz,None,Purple Headband,44.651437533441616,94
92,Closed,Stache,None,None,DMT,Outhouse,None,None,13.427548173059447,96
93,Sunglasses,Cigarette,None,High Tops,Tan,Outhouse,None,None,30.30432826316016,97
94,Cyberpunk Visor,Frog Legs,None,Leg Knife,Tan,SS Monke Biz,None,None,31.37252548037158,98
95,Happy,Happy,None,None,Black,Outhouse,None,None,9.93573591789071,99
96,Whatever,Red Raybeam,Gold Links,Rain Boots,Tan,Swamp,Blue Pack,BAYC Logo Hat Red,86.8513583239843,100
97,Closed,Gold Teeth,Pinstripe Bandana,None,Pink,SS Monke Biz,None,Tie,45.61018210944843,101
