,Eyes,Mouth,Clothes,Fur,Background,Earring,Hat,Rarity score,Token Id
0,X Eyes,Discomfort,Striped Tee,Robot,Orange,Silver Hoop,None,78.78503165643596,0
1,Blue Beams,Grin,Vietnam Jacket,Robot,Orange,None,None,38.355072636024076,1
2,3d,Bored Cigarette,None,Robot,Aquamarine,None,Sea Captain's Hat,37.46426771599804,2
3,Bored,Tongue Out,Bone Necklace,Cheetah,Purple,None,None,30.015533286862894,3
4,Closed,Phoneme L,Navy Striped Tee,Golden Brown,Blue,None,Party Hat 2,47.18502410786914,4
5,X Eyes,Dumbfounded,Bayc T Red,Brown,Army Green,None,Bayc Flipped Brim,45.11956315203795,5
6,Crazy,Bored,Tweed Suit,Cream,Yellow,None,S&m Hat,37.10284179653196,6
7,Angry,Bored,Wool Turtleneck,Golden Brown,Gray,None,Stuntman Helmet,36.61870809330709,7
8,Robot,Bored,None,Zombie,Aquamarine,Gold Stud,Beanie,68.75491271356569,8
9,Sleepy,Small Grin,Stunt Jacket,Brown,Purple,Silver Stud,Seaman's Hat,81.58610534089819,9
10,Eyepatch,Bored,Navy Striped Tee,Dmt,Aquamarine,None,Bayc Hat Red,39.91066707955317,10
11,Bloodshot,Bored Unshaven Cigarette,Smoking Jacket,Dark Brown,Gray,None,Laurel Wreath,42.75064886314562,11
12,Wide Eyed,Discomfort,Black Holes T,Brown,Army Green,None,Seaman's Hat,43.421965355839944,12
13,Coins,Bored,Bone Tee,Black,Yellow,None,Police Motorcycle Helmet,32.91372844999978,13
14,3d,Small Grin,Tanktop,Cheetah,Orange,Diamond Stud,None,81.28931065797316,14
15,Zombie,Phoneme L,Black T,Gray,Gray,None,Girl's Hair Pink,52.07762077536498,15
16,Bored,Dumbfounded,Bone Necklace,Dark Brown,Purple,Silver Hoop,Horns,74.52507252857397,16
17,Closed,Bored Unshaven,Bayc T Black,Tan,New Punk Blue,Gold Stud,Commie Hat,81.76685671008124,17
18,Cyborg,Bored Cigarette,Vietnam Jacket,Robot,Purple,None,None,37.87744266459816,18
19,Eyepatch,Rage,None,Tan,Army Green,None,Bayc Hat Black,39.633071152432585,19
20,3d,Phoneme Vuh,Bandolier,Gray,Blue,None,Beanie,47.91439066061037,20
21,Bored,Phoneme  ooo,Black Holes T,Black,Orange,None,None,24.464348709606693,21
22,Sleepy,Bored Unshaven,Tuxedo Tee,Zombie,New Punk Blue,Gold Stud,S&m Hat,83.90968138446246,22
23,Bored,Bored Pipe,None,Trippy,Aquamarine,None,Beanie,32.720019969010146,23
24,Hypnotized,Dumbfounded,Bayc T Black,Black,Aquamarine,None,Fez,44.603185808092285,24
25,Closed,Bored Cigarette,Guayabera,Brown,Blue,None,None,27.123721782958626,25
26,3d,Bored Cigarette,Stunt Jacket,Dark Brown,Aquamarine,None,Stuntman Helmet,42.4214885350936,26
27,Bored,Bored,Sleeveless T,Gray,Orange,None,Army Hat,28.537324499823313,27
28,X Eyes,Bored Cigarette,None,Tan,Purple,Silver Stud,Bayc Flipped Brim,77.03579780927107,28
29,Robot,Bored Unshaven,None,Tan,Blue,None,None,18.145030828934537,29
30,Holographic,Bored Unshaven Cigarette,Tuxedo Tee,Gray,Aquamarine,None,None,37.95489417058805,30
31,Eyepatch,Bored Unshaven,Black Holes T,Dmt,Yellow,Silver Hoop,Party Hat 2,85.00048096439593,31
32,Sunglasses,Bored,Hip Hop,Dark Brown,Purple,None,Halo,32.29405575898978,32
33,Closed,Small Grin,Vietnam Jacket,Red,Purple,None,Girl's Hair Pink,49.353815919302285,33
34,Sleepy,Bored,Sleeveless T,Black,Orange,None,Bayc Hat Red,31.151562669431737,34
35,3d,Jovial,Navy Striped Tee,Death Bot,Blue,None,None,38.29056016557478,35
36,Bored,Bored Unshaven,Sailor Shirt,Dark Brown,Purple,None,None,14.6786544110409,36
37,Bored,Bored,Striped Tee,Blue,Blue,Silver Hoop,Bowler,67.58664420353887,37
38,Closed,Bored Cigarette,Navy Striped Tee,Black,Blue,Cross,None,71.743317018887,38
39,Bloodshot,Dumbfounded,Leather Jacket,Gray,Aquamarine,None,Fez,45.351933795088115,39
40,Sad,Bored,Biker Vest,Dark Brown,New Punk Blue,None,Spinner Hat,31.50653328005965,40
41,Sad,Phoneme  ooo,Navy Striped Tee,Dark Brown,Purple,None,Sea Captain's Hat,42.828138451214535,41
42,Coins,Bored Pizza,Biker Vest,Dark Brown,Yellow,None,Baby's Bonnet,46.13295577064596,42
43,Coins,Grin,Wool Turtleneck,Brown,Orange,Silver Stud,None,68.36119601582736,43
44,Coins,Bored Unshaven,Tweed Suit,Gray,New Punk Blue,Gold Stud,Baby's Bonnet,85.51680795855648,44
45,Eyepatch,Phoneme Wah,Lumberjack Shirt,Black,Orange,Silver Stud,None,73.93778872137298,45
46,Heart,Bored,Bone Necklace,Gray,Gray,None,Fez,37.503023484519325,46
47,3d,Bored Cigarette,None,Pink,Army Green,None,Sea Captain's Hat,36.02486634170216,47
48,Scumbag,Bored Unshaven,Prison Jumpsuit,Red,Blue,None,None,30.538326568002617,48
49,Bored,Bored Unshaven Cigarette,Bone Tee,Cheetah,Purple,Silver Stud,Fisherman's Hat,80.66962376455122,49
50,Bored,Tongue Out,Sailor Shirt,Robot,Army Green,None,Seaman's Hat,42.56352867927337,50
51,Cyborg,Bored Unshaven,Lumberjack Shirt,Dark Brown,Orange,None,Girl's Hair Short,39.21348736533661,51
52,Sleepy,Bored,Work Vest,Black,Army Green,None,King's Crown,32.0294356539051,52
53,Wide Eyed,Grin,None,Brown,Yellow,None,Fez,29.33127323905993,53
54,Sleepy,Bored,Leather Jacket,Pink,Purple,None,None,22.17298468612316,54
55,Sunglasses,Grin Multicolored,Lumberjack Shirt,Cheetah,New Punk Blue,Gold Stud,Bunny Ears,95.4756286200378,55
56,Crazy,Dumbfounded,Guayabera,Brown,Yellow,None,Commie Hat,42.7377672832534,56
57,Sad,Phoneme L,Bayc T Red,Dark Brown,Army Green,Silver Stud,Seaman's Hat,83.74830241197421,57
58,Angry,Discomfort,Navy Striped Tee,Zombie,Yellow,None,Commie Hat,50.7286428539511,58
59,Wide Eyed,Phoneme Wah,Navy Striped Tee,Red,Gray,None,None,37.2835867130174,59
60,Scumbag,Bored Unshaven Cigar,Bayc T Black,Pink,Aquamarine,None,None,39.678309991481335,60
61,Eyepatch,Bored Cigarette,Bone Tee,Cream,Aquamarine,None,None,34.15299702200443,61
62,Heart,Rage,Tanktop,Cream,Aquamarine,None,None,36.59292299300375,62
63,Sunglasses,Grin,Sailor Shirt,Zombie,Blue,None,Bunny Ears,49.27631987595634,63
64,3d,Bored,Navy Striped Tee,Brown,Purple,Gold Hoop,Army Hat,72.51786560547154,64
65,Bored,Bored Cigarette,Stunt Jacket,Blue,New Punk Blue,None,None,26.736468151081144,65
66,Bored,Bored Cigarette,Blue Dress,Pink,Army Green,Cross,Bayc Flipped Brim,84.50351216638114,66
67,Sleepy,Grin,Bayc T Red,Black,Orange,None,None,28.14361748550208,67
68,Bloodshot,Bored Unshaven Cigarette,Black T,Blue,Orange,None,Ww2 Pilot Helm,46.67508142309752,68
69,Sad,Phoneme  ooo,None,Dark Brown,Orange,None,Seaman's Hat,32.17780007111898,69
70,Sunglasses,Phoneme  ooo,Bone Necklace,Brown,Purple,None,None,32.24244164753868,70
71,Bloodshot,Bored,Stunt Jacket,Cheetah,Orange,None,Bowler,35.40523754520024,71
72,Bloodshot,Bored,Prison Jumpsuit,Blue,Yellow,Gold Stud,Horns,76.99069646302301,72
73,Sad,Rage,Work Vest,Solid Gold,Army Green,Gold Stud,Bandana Blue,96.321138536938,73
74,Angry,Phoneme Vuh,Guayabera,Death Bot,Purple,None,Bowler,51.61937353076805,74
75,Closed,Discomfort,Bayc T Red,Golden Brown,Orange,None,S&m Hat,47.623942203705546,75
76,Bored,Grin,Toga,Brown,New Punk Blue,None,Fez,33.010534917833425,76
77,Coins,Dumbfounded,Wool Turtleneck,Red,Yellow,None,Beanie,46.23619753849541,77
78,3d,Grin,Lab Coat,Black,Yellow,None,Fez,41.88577106682584,78
79,Bored,Bored,Lab Coat,Dark Brown,Army Green,None,None,11.238214172469235,79
80,Sad,Bored Unshaven,Tanktop,Brown,Orange,Diamond Stud,Horns,79.33361908160077,80
81,Blindfold,Discomfort,Cowboy Shirt,Red,Blue,None,None,39.755752454895884,81
82,Sad,Jovial,Service,Cream,Army Green,Silver Hoop,None,75.77074735492879,82
83,Coins,Bored Unshaven,Tweed Suit,Cream,Blue,None,Ww2 Pilot Helm,42.36339006312007,83
84,Coins,Bored Unshaven,Hawaiian,Brown,New Punk Blue,None,Ww2 Pilot Helm,36.77361755626485,84
85,Bloodshot,Grin,Admirals Coat,Tan,Blue,None,Bowler,44.983979610560446,85
86,Bored,Bored,Tuxedo Tee,Zombie,New Punk Blue,Gold Hoop,None,59.847786004018744,86
87,Sunglasses,Bored Unshaven,Guayabera,Cheetah,Aquamarine,None,Bunny Ears,43.376791716421856,87
88,Wide Eyed,Bored Unshaven,Pimp Coat,Black,Blue,Gold Hoop,Horns,79.90804583801643,88
89,3d,Bored Dagger,None,Black,Gray,None,Commie Hat,36.12818880502841,89
90,Hypnotized,Grin,Tweed Suit,Golden Brown,Army Green,Silver Hoop,Prussian Helmet,88.02748288789218,90
91,Sleepy,Bored Cigarette,Black Holes T,Brown,Army Green,None,Beanie,37.85801281512102,91
92,Heart,Jovial,None,Pink,Blue,None,Beanie,37.53526971511784,92
93,Bored,Bored Unshaven Cigarette,Hip Hop,White,Purple,None,Fez,41.16288888234529,93
94,Closed,Bored Unshaven Kazoo,Black Holes T,Zombie,Aquamarine,None,Beanie,49.05687470673328,94
95,Scumbag,Bored,Lumberjack Shirt,Tan,Yellow,None,S&m Hat,37.82580015964397,95
96,Sleepy,Bored Unshaven Cigarette,Stunt Jacket,Robot,Yellow,None,Girl's Hair Short,49.424795969591734,96
97,Heart,Bored,None,Dark Brown,Blue,None,Commie Hat,21.120726553839006,97
98,Bored,Rage,Stunt Jacket,Death Bot,Gray,None,Spinner Hat,45.42938271721892,98
99,Closed,Grin,Black Holes T,Dark Brown,Army Green,Silver Hoop,Sushi Chef Headband,80.37915529681781,99
100,Wide Eyed,Bored Cigarette,None,Dark Brown,Yellow,None,Party Hat 2,31.20960562633811,100
101,Eyepatch,Bored,Navy Striped Tee,Gray,Army Green,None,Fisherman's Hat,36.786595319741764,101
102,Bored,Bored,Biker Vest,Gray,Aquamarine,None,Irish Boho,29.02144011918723,102
103,Sleepy,Phoneme L,Leather Jacket,Black,Purple,None,Short Mohawk,43.15736720474446,103
104,Holographic,Bored Pipe,Bayc T Black,Brown,Aquamarine,None,Laurel Wreath,48.51472000617996,104
105,Coins,Rage,Striped Tee,Black,Aquamarine,Silver Hoop,Seaman's Hat,82.56069442333927,105
106,Crazy,Bored,Tuxedo Tee,Cheetah,New Punk Blue,None,Bunny Ears,38.56807733665337,106
107,Zombie,Bored,Space Suit,Red,Blue,None,Short Mohawk,38.74883451840876,107
108,X Eyes,Grin,None,Dark Brown,Purple,Gold Stud,Sea Captain's Hat,74.33789489062967,108
109,Eyepatch,Bored Cigarette,Bayc T Black,Dark Brown,Orange,Silver Stud,None,69.6004232754634,109
110,Bloodshot,Bored Unshaven,Striped Tee,Tan,Yellow,Cross,Beanie,79.39166139479937,110
111,Angry,Bored Unshaven,Leather Jacket,Brown,Orange,None,Bayc Flipped Brim,36.52831691924632,111
112,X Eyes,Bored,None,Cream,New Punk Blue,None,Cowboy Hat,26.458915473327853,112
113,Zombie,Bored,Navy Striped Tee,Black,Gray,None,Horns,33.28808436844975,113
114,Holographic,Bored Cigarette,Bone Tee,Dark Brown,Yellow,Silver Hoop,Seaman's Hat,82.08313546039054,114
115,Bloodshot,Bored Cigar,Sleeveless T,Cream,Purple,None,Bayc Hat Black,47.43031764189044,115
116,Coins,Bored Unshaven Cigarette,Sleeveless T,Black,Aquamarine,None,None,30.996648047210567,116
117,Cyborg,Bored Cigarette,Navy Striped Tee,Tan,Blue,None,Beanie,45.98442867706913,117
118,Blue Beams,Bored Kazoo,Navy Striped Tee,Tan,New Punk Blue,None,None,39.704104135936326,118
119,Angry,Phoneme L,Hawaiian,Gray,Blue,Silver Stud,Beanie,88.10491373476009,119
120,Heart,Bored Pizza,Work Vest,Brown,Aquamarine,Silver Hoop,Sea Captain's Hat,85.78790790287594,120
121,Cyborg,Bored Unshaven,None,Brown,Blue,Gold Stud,Seaman's Hat,69.25192088895662,121
122,Heart,Bored Cigarette,Service,Pink,Orange,Silver Stud,None,75.10595330770195,122
123,Coins,Bored Cigar,Black Holes T,White,New Punk Blue,None,Spinner Hat,52.329390278492816,123
124,Eyepatch,Bored Cigarette,Hawaiian,White,Gray,None,Short Mohawk,48.482396311110726,124
125,Coins,Bored Cigarette,None,Golden Brown,Orange,None,Army Hat,34.22394866259776,125
126,Coins,Grin,Navy Striped Tee,Zombie,Army Green,Silver Hoop,Safari,87.84674248968508,126
127,Crazy,Grin,None,Cream,Orange,None,S&m Hat,35.9667272020709,127
128,Hypnotized,Bored,Leather Punk Jacket,Gray,Yellow,None,Trippy Captain's Hat,40.23341986497965,128
129,Bored,Rage,Tanktop,Pink,New Punk Blue,None,Baby's Bonnet,42.64100858320869,129
130,Bored,Bored,Vietnam Jacket,Pink,Aquamarine,None,None,16.00199894097763,130
131,Bored,Bored,Bone Necklace,Dark Brown,Gray,None,None,11.328538862923015,131
