,Headgear,Offhand,Clothing,Mouth,Eyes,Type,Background,Hand,Special,Shoe,Face,Eyebrows,Rarity score,Token Id
0,Lotus Leaf,Paintbrush,Shirt,:c,Focused,Black Eyed Bean,Off White D,None,None,None,None,None,26.362656940025463,0
1,None,None,Red Hoodie Up,Closed,Friendly Wink,Black Bean,Off White D,Dumbbell,None,None,None,None,15.613068354660303,1
2,None,None,Jacket and Brown Scarf,Wide Toothy Smile,Dots,Red Bean,Off White A,Toothpick,Devil Wings,None,None,None,32.483653982036884,2
3,Straw Hat,None,Tech Shorts,Buckteeth,Smile,Purple Bean,Off White B,Floorsweeper,None,None,None,None,27.458002808077183,3
4,Jiang Shi Hat,Dumbbell,Green Hoodie Stripes,:P,Closed,Coffee Bean,Off White B,None,None,None,None,None,25.56274946146923,4
5,Black Bucket Hat,None,Open Black and Red Jacket,Buckteeth,Half-open,Black Bean,Off White D,Q-tip,None,None,None,None,25.048176096634222,5
6,Cat Mask,None,Kung Fu Suit,Cat,Side Eye,Black Bean,Off White C,None,None,None,None,None,14.399884278195977,6
7,Kanzashi,None,Blue Camo Hoodie with Backpack,Wheat,Dots,Jelly Bean,Off White D,None,None,None,None,None,13.263077399165061,7
8,None,None,Blue Flower Kimono,Open Smile,Focused,Edamame,Off White D,Cocktail Umbrella,Water,None,None,None,33.16388178650288,8
9,Faux Fur Trim Bucket Hat,None,None,Triangle,Closed,Red Bean,Off White D,None,None,None,None,None,7.79882849922491,9
10,Sloth Beanie,None,White Sweater,Open Smile,Focused,Black Eyed Bean,Dark Blue,None,None,Red Slides,None,None,31.57254102049656,10
11,Full Bandana,None,None,Mustache - Small,Dots,Black Bean,Dark Blue,Golden Nunchuck,None,None,None,None,26.72626255418059,11
12,Black Bucket Hat,None,Black Tactical Vest,Yum,Sad,Purple Bean,Dark Purple,None,None,None,None,None,16.86964960383152,12
13,None,Ledger,Green Hoodie Stripes,Buckteeth,Closed,Purple Bean,Off White B,None,None,None,None,None,16.242683745688673,13
14,Bean Baseball Cap,None,Bathrobe,Straw Leaf,Closed,Coffee Bean,Dark Purple,None,None,None,Red Stripes Face Paint,None,28.077515538512372,14
15,None,None,Red Sweat Shorts,Closed,Half-open,Purple Bean,Off White B,Bat,None,None,None,None,16.670705588555183,15
16,None,Toothpick,Black Bomber over Hoodie,:P,Closed,Edamame,Off White A,None,None,None,None,None,16.132230087452808,16
17,Sloth Beanie,None,Green Varsity Jacket,:P,Lashes,Red Bean,Dark Purple,Red Katana,None,Pink Slip Ons,Round Glasses,None,54.595435765657804,17
18,None,Ledger,White Perfecto Leather Jacket,:O,Side Eye,Purple Bean,Red,None,None,None,Round Glasses,Angry,46.42116096298439,18
19,None,None,Azuki Track Jacket,Closed,Lashes,Edamame,Red,Green Katana,None,None,Red Fang Face Paint,None,31.28071528530682,19
20,None,Zanbato,White Qipao,Spirit - Closed,Spirit - Dots,Lightning Bean,Dark Blue,Lightning,None,None,None,None,35.941104276597166,20
21,Beanie,None,None,D:,Lashes,Red Bean,Off White B,Spoon,None,None,None,Concerned,37.365802108732794,21
22,None,None,White Green Sweatsuit,Wide Happy Smile,Stare,Coffee Bean,Off White D,None,None,None,None,None,3.221006201684244,22
23,Sushi Chef,None,White Qipao,Wide Toothy Smile,Dots,Red Bean,Red,None,None,None,None,None,13.774885726961461,23
24,None,None,Cargo Shorts,Wheat,Dots,Red Bean,Off White A,None,None,None,Shades,Bushy,30.223007772735873,24
25,White Bucket Hat,Magic Wand,White Noragi,Open Smile,Stare,Red Bean,Off White A,None,Angel Wings,Geta,None,Concerned,70.70208066936262,25
26,None,Earth,Red Bean Necklace,Closed,Focused,Red Bean,Off White D,None,None,None,None,None,14.225855403515034,26
27,None,None,Oversized Gray T-shirt with Red Cross-body Bag,Cat,Lashes,Jelly Bean,Off White B,Red Katana,None,None,None,Concerned,33.06635640828335,27
28,Trucker Hat,None,None,Triangle,Half-open,Red Bean,Off White A,Ledger,None,None,None,None,22.401743856673694,28
29,Frog Mask,Paintbrush,Red Varsity Jacket,Straw Leaf,><,Purple Bean,Off White A,Poker Chip,None,None,None,Bushy,55.31796250956083,29
30,Frog Headphones,Zanbato,Open Black and Red Jacket,Sleepy,Closed,Golden Bean,Red,None,None,None,Round Glasses,None,41.35237513098382,30
31,Kanzashi,None,Reversible Bomber Blue Side,Closed,Sad,Black Bean,Off White B,None,None,None,Bandaid,None,26.31477098584765,31
32,Sloth Mask,Cigar,None,Wide Happy Smile,Sussy,Edamame,Off White C,Shield,None,None,None,None,37.67607839740713,32
33,None,None,Oversized Black BEANZ Graffiti T-shirt,:P,Stare,Jelly Bean,Off White C,None,None,Black Chucks,None,None,19.392647616776724,33
34,Monkey King Crown,None,Red Hoodie Up,:c,Confused,Edamame,Off White B,None,None,None,None,None,14.278366689386646,34
35,Cat Headband,None,Black Perfecto Leather Jacket,Wide Toothy Smile,Sleep-deprived,Coffee Bean,Off White A,None,Smoke,None,None,None,31.7730953125954,35
36,None,None,Blue Bean Necklace,Whistling,Sleep-deprived,Coffee Bean,Off White A,None,None,None,None,None,5.955910109999088,36
37,None,None,Black Perfecto Leather Jacket,:O,Cheeky Wink,Red Bean,Dark Purple,None,None,None,None,None,5.376922085032635,37
38,None,None,Jacket and Brown Scarf,Wide Happy Smile,Lashes,Purple Bean,Off White D,None,None,None,Big Glasses,None,15.899357419880761,38
39,Red Samurai Helmet,None,White Sweater,Spirit - :c,Spirit - Determined,Spirit Bean,Off White D,Floorsweeper,None,None,Blush,None,41.738075426595174,39
40,Faux Fur Trim Bucket Hat,None,White Noragi,Meh,Pretty,Jelly Bean,Red,Cocktail Umbrella,None,Yellow Kicks,Blush,None,58.11142697892282,40
41,Sushi Chef,Dumbbell,None,Frown,Closed,Red Bean,Off White D,None,None,Black Chucks,None,None,35.3113903709086,41
42,Newsboy Cap,Coffee Cup,Oversized Red BEANZ Logo T-shirt,Frown,Half-open,Lentil,Off White B,None,None,None,None,Angry,40.95744328496105,42
43,Fedora,None,Oversized Red Panda T-shirt,uwu,Closed,Black Bean,Off White C,None,None,None,None,None,12.635261434863493,43
44,Kanzashi,Cocktail Umbrella,Pink Hoodie with Backpack,Triangle,Lashes,Purple Bean,Dark Purple,None,None,None,Blush,None,41.22077620205297,44
45,Full Bandana,None,Green Hoodie Stripes,D:,Lashes,Lentil,Off White C,Water,None,None,Clear Glasses,Surprised,53.31601397335829,45
46,Sloth Mask,None,Red BEANZ Puffer Jacket,Straw Leaf,Closed,Lentil,Off White B,None,None,None,None,None,13.220706473969843,46
47,Bean Baseball Cap,Golden Spray Paint,Kung Fu Suit,Drool,><,Red Bean,Off White D,None,None,Red Chucks,None,None,38.77783342786657,47
48,Kappa - Hair,None,Oversized White T-shirt,Kappa - Beak,Sad,Edamame,Off White A,None,None,Blue Sneakers,None,None,29.57231106860502,48
49,None,None,White Puffer Vest,Straw Leaf,Focused,Jelly Bean,Dark Blue,None,None,None,None,None,8.377879933305465,49
50,Bean Baseball Cap,None,None,Yum,Closed,Black Bean,Off White C,None,None,None,Seer Eyeband,None,22.713782015373503,50
51,None,None,IKZ Hoodie Up,Bubble Gum,Smile,Black Bean,Off White C,None,None,Black Boots,None,None,19.63197808192469,51
52,None,None,White Green Sweatsuit,Meh,Lashes,Jelly Bean,Red,None,None,None,Clear Glasses,None,19.896213487954018,52
53,Black Toque,Spray Paint,Olive Bomber over Hoodie,Gus,Stare,Blue Bean,Red,None,None,Brown Boots,Nostrils - Stubble,Angry,70.79150803670504,53
54,None,None,Tighty Whities,Drool,Confused,Red Bean,Dark Purple,None,None,Socks,None,Surprised,35.310472430397446,54
55,None,Pencil,None,Open Smile,Side Eye,Jelly Bean,Off White C,None,None,None,None,None,14.9990874493831,55
56,Red Headband,None,Open Black and Red Jacket,Wheat,Focused,Jelly Bean,Off White A,None,None,None,None,None,15.515548889012019,56
57,McBean Visor,Red Bean,Oversized White T-shirt,Wide Toothy Smile,Sad,Jelly Bean,Off White D,Dart,None,None,None,None,39.4820437505346,57
58,McBean Visor,None,Brown Yukata,Nom,Smile,Red Bean,Off White C,None,None,None,None,Curious,26.5310174885292,58
59,Red Panda Baseball Cap,None,Red Panda Puffer Vest,Smile,Confused,Coffee Bean,Off White B,None,None,None,None,None,14.223133838026186,59
60,White Balaclava,None,None,Wheat,Focused,Purple Bean,Off White C,None,None,None,Stubble,None,25.01873460981507,60
61,Red Panda Baseball Cap,None,Green Varsity Jacket,Nom,Side Eye,Black Eyed Bean,Red,None,None,Purple Sandals,None,None,31.60292518205611,61
62,None,None,Bandaids,uwu,Cheeky Wink,Golden Bean,Off White D,Golden Axe,None,None,None,None,17.914358230200783,62
63,None,Banner,None,:P,Lashes,Golden Bean,Off White D,None,None,None,None,None,14.62628022747616,63
64,None,None,Black Camo Jacket,:P,Focused,Red Bean,Off White C,None,None,None,Round Glasses,Curious,30.13097426297331,64
65,None,None,Black Track Jacket with Green Frog Cross-body Bag,Wide Happy Smile,Lashes,Lentil,Off White C,None,None,Blue Sneakers,None,Determined,33.224655597659236,65
66,None,Guitar,Cross-body Bag,Drool,Stare,Blue Bean,Red,Sake,None,Orange High Tops,None,None,46.5693680129721,66
67,None,None,Reversible Bomber Red Side,Buckteeth,Blank,Coffee Bean,Off White B,None,None,None,None,None,5.766294468977938,67
68,None,None,Orange Hoodie,Wide Happy Smile,Focused,Black Eyed Bean,Off White D,None,None,None,None,None,4.798825835050399,68
69,None,None,Hanbok,Straw Leaf,Closed,Lentil,Off White B,Guitar Pick,None,None,None,None,16.98553615136562,69
70,None,None,Green Camo Tank Top,Wide Toothy Smile,Friendly Wink,Edamame,Off White A,None,None,Cat Slippers,None,None,19.53071347824674,70
71,None,None,Purple Jacket,Nom,Closed,Black Bean,Off White C,None,None,None,None,None,2.985327749454343,71
72,None,None,Yellow Scrunched Hoodie,Nom,Sad,Edamame,Off White D,None,None,White Sneakers,None,None,18.098422849726223,72
73,None,None,White Qipao,D:,Side Eye,Red Bean,Cool Gray,Shuriken,None,None,None,None,18.751108960200018,73
74,Faux Fur Trim Bucket Hat,None,Black Tank Top,Smile,Confused,Black Bean,Off White C,Tech Deck,None,None,Tears,None,39.32093042920272,74
75,None,None,Open Cat Denim Jacket,Open Smile,Closed,Purple Bean,Off White D,None,None,None,None,None,1.9377577770925165,75
76,Chun Bun,None,Cargo Shorts,Smile,Dizzy,Red Bean,Off White C,None,None,None,None,None,12.65457483613851,76
77,None,None,White Green Sweatsuit,Wide Missing Tooth Smile,Closed,Blue Bean,Off White A,None,None,None,Seer Eyeband,None,16.288647890071868,77
78,None,None,White Qipao,Closed,Stare,Red Bean,Off White D,None,None,Green Sandals,None,None,15.597388921900404,78
79,None,None,Bathrobe,:c,Dots,Edamame,Off White C,Boombox,None,None,Blush,None,28.743855033971077,79
80,None,None,Oversized Gray T-shirt with Red Cross-body Bag,Sleepy,Closed,Black Eyed Bean,Off White A,None,None,None,None,None,4.814427828904728,80
81,None,None,Faux Mink Coat,Meh,Cheeky Wink,Edamame,Dark Blue,Cigar,None,None,None,None,20.436555375530517,81
82,Red Toque,None,Hanbok,Drool,Dots,Red Bean,Off White D,None,None,None,None,None,10.77213113286965,82
83,None,Floorsweeper,Pink Hoodie with Backpack,Wide Happy Smile,Lashes,Red Bean,Dark Purple,None,None,None,None,None,17.696196153413403,83
84,None,None,Sumo Belt,Wide Happy Smile,><,Red Bean,Red,None,None,None,None,None,5.605221014885886,84
85,Red Panda Baseball Cap,Basketball,Red Hoodie Zip-up,Cat,Smile,Coffee Bean,Off White C,None,None,None,Round Glasses,Curious,53.88025896647347,85
86,Beanie,None,None,Buckteeth,Dots,Black Bean,Off White A,None,None,Red Slides,Big Glasses,None,38.132587427928286,86
87,Fire,Shuriken,White Qipao,Wheat,Closed,Red Bean,Off White C,None,None,None,Big Glasses,None,36.350610640416505,87
88,Frog Headphones,Pencil,White Green Sweatsuit,Wide Happy Smile,Half-open,Coffee Bean,Off White D,None,None,Socks,None,Surprised,54.163705661476605,88
89,Cat Headphones,None,Oversized Blue T-shirt with White Cross-body Bag,Smile,Closed,Black Eyed Bean,Dark Purple,None,None,None,None,None,15.867230823006862,89
90,White Bucket Hat,Fan,White Noragi,Closed,Side Eye,Purple Bean,Off White B,None,None,None,None,Concerned,41.09643174827676,90
91,Beanie,Twig,Blue Jacket,Nom,><,Purple Bean,Off White C,Ledger,None,Green Slip Ons,Tears,None,66.5743717661417,91
92,None,Coffee Cup,White Noragi,:O,Side Eye,Jelly Bean,Off White D,None,None,None,None,None,17.001216504681143,92
93,None,None,Kung Fu Suit,Kiss,Half-open,Blue Bean,Off White D,Q-tip,None,None,Clear Glasses,Angry,42.504648630386136,93
94,None,None,Yellow Camo Hoodie Up,Triangle,Closed,Jelly Bean,Off White B,Cocktail Umbrella,None,None,Seer Eyeband,None,30.03522284236833,94
95,McBean Visor,None,Bandaids,Wide Missing Tooth Smile,Sussy,Blue Bean,Red,None,None,None,None,None,16.8898937283202,95
96,Newsboy Cap,None,Olive Bomber over Hoodie,Triangle,Stare,Edamame,Dark Purple,Lightning,None,None,Eye Patch,None,41.87429050158904,96
97,None,Stylus,None,Cat,Side Eye,Edamame,Off White B,Ledger,None,None,None,None,28.372003638493787,97
