,GLASSES,EYEBROWS,EYE SHADOW,EYE COLOR,EYES,LIP COLOR,MOUTH,FRECKLES,NOSE,NECKLACE,CLOTHES,FACE SHAPE,SKIN TONE,HAIR COLOR,FLAIR,BACKGROUND,Rarity score,Token Id
0,NONE,Natural,Caramel,Green,Cat Eyes,Blue,Duck Lips,Freckles,Celestial,NONE,Cowgirl,Diamond,Caramel,Orange,Fedora,Pop2,39.74479761035219,1
1,NONE,Model,Dark Brown,Green,On A Mission,Flash Pink,Confident,NONE,Nubian,NONE,Artist,Round,Caramel,Gold,Police,Night,16.076119609432066,2
2,NONE,Natural,Black,Green,Cat Eyes,Soft Pink,Grrr,NONE,Roman,Leopard Scarf,Personal Trainer,Round,Soft Pink,Gold,Hard Hat,Aqua,40.62446312083693,3
3,Purple Lennons,Model,Caramel,Green,Whateverrr!,Soft Pink,Pout,Freckles,Celestial,NONE,Tennis Player,Round,Dark Brown,Orange,Bandana,Dark Blue,59.237917008754216,4
4,Blue Heart eyes,Shy,Blue,Green,On A Mission,Soft Pink,Smirk,NONE,Bull Ring,Leopard Scarf,Navy,Pear,Gold,Gold,Princess,Soft Blue,75.2078748525325,5
5,White Lennons,Shy,Flash Pink,Purple,Whateverrr!,Soft Pink,Confident,NONE,Button,NONE,Martial Arts,Oval,Soft Pink,Black,Bob,Soft Green,44.354689728242136,6
6,Black Lennons,All Business,Dark Brown,Light Blue,On A Mission,Soft Pink,Smirk,NONE,Button,NONE,Publicist,Diamond,Peach,Dark Brown,Bob,Light Purple,35.87751021394237,7
7,NONE,Natural,Brown,Brown,Zen,Brown,Lick,NONE,Celestial,NONE,Artist,Round,Dark Brown,Red,E-Sports,Aqua,14.271788957617753,8
8,NONE,Naomi,Dark Brown,Light Blue,Determined,Brown,Boss,NONE,Roman,Red Carpet,Stylist,Pear,Flash Pink,Gold,Hard Hat,Aqua,43.82237178577691,9
9,Black Lennons,Natural,Natural,Light Blue,Visionary,Blue,Confident,NONE,Celestial,NONE,Influencer,Diamond,Brown,Gold,E-Sports,Purple,35.55962170045768,10
10,NONE,Naomi,Orange,Green,Cat Eyes,Dark Red,Boss,NONE,Bull Ring,NONE,Olympian,Oval,Blue,Black,DJ,Purple,23.407748460030795,11
11,NONE,Natural,Caramel,Brown,Cat Eyes,Soft Pink,Pout,Freckles,Roman,NONE,Punk,Oval,Flash Pink,Red,Navy,Dark Green,34.70572007426112,12
12,NONE,Shy,Orange,Light Blue,Beauty Queen,Soft Pink,Pout,NONE,Nubian,NONE,Construction,Diamond,Soft Pink,Gold,Martial Arts,Red,18.327856876618345,13
13,Green Stunnas,Chic,Brown,Brown,Night Out,Brown,Pout,NONE,Button,NONE,Chef,Round,Coral,Black,Wavy,Cream,42.56177957296757,14
14,NONE,Chic,Natural,Light Blue,Innocent,Soft Pink,Lick,NONE,Nubian,NONE,Chef,Oval,Flash Pink,Red,Bob,Aqua,12.364084298900718,15
15,NONE,Smart,Caramel,Light Blue,Visionary,Flash Red,Besitos,NONE,Celestial,NONE,Judge,Diamond,Brown,Flash Pink,Glam,Pop3,17.614228943414922,16
16,NONE,Smart,Peach,Purple,Zen,Brown,Besitos,Freckles,Button,Fashion Scarf,Chef,Pear,Soft Pink,Flash Pink,Flower Crown,Soft Blue,64.31365266699098,17
17,NONE,Chic,Soft Pink,Light Blue,Night Out,Flash Red,Smirk,Freckles,Nubian,NONE,Pilot,Round,Dark Brown,Black,Flower Crown,Clouds,28.716219459219595,18
18,NONE,All Business,Soft Pink,Green,Visionary,Dark Red,Model,Freckles,Nubian,NONE,Actor,Diamond,Brown,Black,Firefighter,Pink,24.66053764925846,19
19,NONE,Beverly,Black,Light Blue,Zen,Flash Red,Confident,NONE,Celestial,NONE,Chef,Pear,Peach,Dark Brown,Race Car Helmet,Night,11.561695694192151,20
20,Black Heart eyes,Smart,Peach,Brown,Zen,Brown,Model,NONE,Button,Headphones,Softball,Round,Coral,Black,Baseball Cap,Dark Blue,63.60380087260101,21
