,Ethnicity,Tatoos,Neck Accessories,Head Accessories,Hair,Color Eyes,Clothes,Body Accessories,Earings,Nose Accessories,Rarity score,Token Id
0,1,None,None,Kida,Pr F4la,None,Gr PSLV,None,None,None,7.793183193701263,0
1,1,THO,P3X-774,Yoona-939,Mahogany,Sapphire,Dk 1ungle,3mr0s,None,None,43.00599320471463,1
2,2,Angel3,Diamond Perly,Teal'c,M1ley,None,Pandora Wh,None,None,None,23.490731773338094,2
3,1,THO,70 Purple,Yoona-939,lanu,None,M3b Gr,V0l-T4n,None,None,26.53498057303182,3
4,1,Yddre,70 Purple,Kida,Mahogany,None,Coco-Bl,None,None,None,20.2065716848886,4
5,4,Fl3wy,Brown River Cubo,None,Shorty,None,Black Aredeko,Silver Nek-T2,Ona Jenta,None,41.12600255553259,5
6,2,None,Double 50X-TS Silver,Nebula,Blond shorty,None,Pandora Bl,None,None,None,15.17817833823363,6
7,4,H3art,Goldy Flewer,Silver Liner Kb2,Double line,None,Purple Aredeko,None,Ona Jenta,None,39.87294029821671,7
8,4,Mothered,Perly,None,Guerti,None,Blue Kroko,Purple Padm3,Doubla Jenta,None,42.54312386685165,8
9,1,THO,None,Yoona-939,Mahogany,None,Cameron Light,3mr0s,None,None,18.75617608660388,9
10,2,Angel3,None,P-43cock Dark,Fr33zy,None,Pandora Bl Cl,None,None,None,15.87814176201098,10
11,3,Mothered,Sh4ggy Gl,None,Dk Leia,Pk M3rm4id,P13N-FU Wh,B3cky,None,None,39.34456970322719,11
12,1,Yddre,D4isy,Yoona-939,Dk Mkia-Wa,None,Wh 1ungle,3mr0s,None,None,26.5934213864491,12
13,3,THO,Sh4ggy Gl,Atlas,Pk Motok-0,1R-1cent,Kiya-T4 Rd,None,None,None,37.66185058381322,13
14,1,None,Gl J0sh1,Tiger,Pr F4la,None,Cameron Light,3mr0s,None,None,21.770425332220565,14
15,4,None,Damondy,Purple Hk-Tk,Bald,None,Vintegio,Purple Padm3,Ring Hysteria ,None,37.92855102724199,15
16,3,THO,Sh4ggy Gl,None,Br Leia,Pk M3rm4id,Kiya-T4 Pk,Pk J4w,None,None,37.286075816759336,16
17,2,None,Double 50X-TS Silver,None,M1ley,None,Pandora Br,None,None,None,8.621421698724015,17
18,3,Ciblo,Bl Pr1s,Atlas,Dk Motok-0,Fire,X-0c Bitum,B3cky,Itz4,None,65.40105508409559,18
19,1,Yddre,Dk J0sh1,Tiger,Dk F4la,None,Coco-Br,V0l-T4n,None,None,26.632319083356705,19
20,1,Yddre,Gl J0sh1,None,lanu,Sapphire,Coco-Bl,None,None,None,29.154932790415256,20
21,4,THO,Damondy,Silver Liner Kb2,Macca,None,Purple Aredeko,Silver Nek-T2,Ring Hysteria ,None,42.267476190220975,21
22,4,None,Brown River Cubo,None,Shorty,Sunny,Purple Aredeko,Goldy Nek-T2,None,Silver Innoza,55.06521366288485,22
23,4,THO,Brown River Cubo,blue jewels,Tiger king,None,Pryzo Red,Silver Nek-T2,None,None,27.78632037496724,23
24,3,Mothered,Bl Pr1s,None,Leia,Pk M3rm4id,P13N-FU Wh,Pk Priam,None,None,40.144794031116604,24
25,4,THO,Damondy,None,Shorty,Ruby,Amy Snake,None,None,Silver Innoza,53.65123326842731,25
26,3,THO,C3d-Gl,None,Leia,Fire,Zh0ra Dk,B3cky,None,None,37.96138423887402,26
27,4,None,Goldy Flewer,Silver Liner Kb2,Tiger king,None,Vintegio,Goldy Nek-T2,None,None,21.87989607168386,27
28,4,THO,Goldy Flewer,Silver Liner Kb2,Macca gold,None,Ruby snake,Purple Padm3,Ring Hysteria ,None,43.01765854917159,28
29,3,None,Sh4ggy Sl,Sonmi-451,Leia,None,Kiya-T4 Rd,Pk Priam,None,None,19.99302375229514,29
30,4,THO,Goldy Flewer,Dark Tb2,Macca,Sunny,Blue Kroko,None,None,None,37.28992885211769,30
31,1,None,70 Purple,Tiger Chain,Pr F4la,None,M3b Pr,V0l-T4n,None,None,21.945497955990103,31
32,1,None,Big J0sh1,Tiger Chain,Mahogany,None,Leeloo Bl,None,None,None,14.666512780140033,32
33,4,None,None,Light Tb2,Macca,None,Purple Aredeko,None,None,Silver Innoza,29.066366435385092,33
34,2,THO,None,Ltt Loop  HT-X,Fr33zy,None,Gr Flowpow 0,M3tr0 Tw1,None,None,20.117578243949303,34
35,1,THO,None,None,Pr F4la,None,Br  Kn1-ght,3mr0s,None,None,14.047482292368056,35
36,3,Mothered,None,None,Leia,None,Mam3-Shib0r1,Pk J4w,Itz4,None,32.50274466424743,36
37,4,Ciblo,Gyraphe,Silver Liner Kb2,Macca,None,Pryzo,None,Ring Hysteria ,None,38.033887247970796,37
38,1,None,Sl J0sh1,M0-Nonok3,Pr F4la,None,Dk  Kn1-ght,3mr0s,None,None,21.812111285282214,38
39,3,None,None,None,Dk Leia,Mahubiri,Kiya-T4 Rd,B3cky Br,Itz4,None,41.741974869218765,39
40,3,Ohm,Sh4ggy Sl,None,Pk Motok-0,None,Mam3-Shib0r1,None,None,None,14.567006968389542,40
41,2,Ohm,None,Nebula,Brown Tifa ,None,Gr Flowpow 0,None,None,None,14.261190262793011,41
42,1,None,Gl J0sh1,Yoona-939,Dk F4la,None,Leeloo Dk,V0l-T4n,None,None,21.122966320259525,42
43,3,Mothered,None,None,Br Leia,Mahubiri,Zh0ra Dk,None,None,None,25.096153211131046,43
44,1,Angel3,Sl J0sh1,M0-Nonok3,Gi Mkia-Wa,None,Gr PSLV,None,None,None,23.33484334501342,44
45,4,THO,Gyraphe,None,Shorty,None,Black Aredeko,None,Ring Hysteria ,None,29.852694434718746,45
46,2,None,None,None,Xtail,None,Rorschach,Neckilver,None,None,7.990256033092477,46
47,4,Mothered,Goldy Flewer,blue jewels,Double line,None,Blue Kroko,None,None,None,22.755073125846785,47
48,4,H3art,Gyraphe,blue jewels,Shorty,Emerald,Amy Snake,Goldy Nek-T2,None,None,48.58528039210177,48
49,2,Yddre,None,None,Blond shorty,None,SG1,Smakras,None,None,14.038947723806263,49
50,4,None,Gyraphe,Copper Hk-Tk,Macca gold,None,Yel Kroko,Goldy Nek-T2,Ona Jenta,None,39.78434548558201,50
51,2,None,Diamond Perly,Metropolis Noisa,Fr33zy,None,Dk Flowpow 0,Neckilver,Pyram1d,None,39.5616299608981,51
