,Animated,Additional Backgrounds,Display Mode,Portrait Background,Purity,Chroma,Generation,Variant,Species,Decorative,Mouth,Face,Device,Element,Dimension,Oni,Horn,Weapon,Eyewear,Zodiac,Emote,Gem,Mythic,Rarity score,Token Id
0,No,No,Capsule,N/A,Natural,Marmalade Apricot,Alpha,oksami,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28.949536874223984,1
1,No,No,Capsule,N/A,Natural,Polychromatic,Alpha,Kaejunni,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26.496164791639,2
2,No,No,Capsule,N/A,Natural,Magenta Blush,Alpha,SeerLight,Posthumans,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27.245668282654428,3
3,No,No,Capsule,N/A,Natural,Incredible Indigo,Iota,Nurarihyon,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28.84226451933281,4
4,No,No,Capsule,N/A,Natural,Mint Pistachio,Lambda,Nurarihyon,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28.823010087249042,5
5,No,No,Capsule,N/A,Natural,Polychromatic,Beta,Nurarihyon,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28.18491384483705,6
6,No,No,Capsule,N/A,Natural,Flamingo Pink,Zeta,Nurarihyon,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28.964660125038932,7
7,No,No,Capsule,N/A,Natural,Magenta Blush,Alpha,Nurarihyon,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28.924774291433142,8
8,No,No,Capsule,N/A,Natural,Smoked Amber,Theta,Nurarihyon,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28.93440508685641,9
9,No,No,Capsule,N/A,Natural,Pesto Guacamole,Epsilon,Nurarihyon,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28.917902527254036,10
10,No,No,Capsule,N/A,Natural,Royal Purple,Gamma,Nurarihyon,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28.94403395419104,11
11,No,No,Capsule,N/A,Natural,Natural Nectarine,Delta,Nurarihyon,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28.970160840461755,12
12,No,No,Capsule,N/A,Natural,Aegean Sea,Kappa,Nurarihyon,Yokai,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28.860141983716304,13
13,No,No,Portrait,Day,Augmented,Imperial Eggplant,Upsilon,Ancient Captain,Humans,Mask,Popsicle,Tear Drops,None,None,None,None,None,None,None,None,None,None,None,22.060611420031282,14
14,No,No,Portrait,Day,Augmented,Mossy Seaweed,Lambda,Cthylla,Posthumans,None,None,None,Android Tail,Energy,Tentacle Rift,None,None,None,None,None,None,None,None,26.95133934745675,15
15,No,Yes,Portrait,Night,Augmented,Regal Cobalt,Rho,Komainu,Yokai,None,None,None,None,None,None,Bat,Rhino,Modern Tanto,None,None,None,None,None,59.70449732711547,16
16,No,No,Portrait,Day,Augmented,Lapis Lazuli,Alpha,Assassin,Posthumans,None,None,None,Laptop,Holy,Pincer Drone,None,None,None,None,None,None,None,None,26.889456021506163,17
17,No,No,Portrait,Day,Augmented,Natural Nectarine,Omega,Summer Student,Humans,None,Bandaid,Dots,None,None,None,None,None,None,Round Glasses,None,None,None,None,26.342591772554336,18
18,No,No,Portrait,Day,Augmented,Princess Iris,Kappa,Spirit Detective,Posthumans,None,None,None,Android Tail,Energy,Recon Drone,None,None,None,None,None,None,None,None,26.859195615074817,19
19,No,No,Capsule,N/A,Augmented,Aegean Sea,Delta,Rabbit,Demihumans,Honey,None,None,None,None,None,None,None,None,None,Dog,Anger,None,None,48.252896479973295,20
20,No,No,Portrait,Day,Augmented,Polychromatic,Upsilon,Shikigami,Yokai,Bell,None,None,None,None,None,Lantern,None,Modern Tanto,None,None,None,None,None,27.773641252327568,21
21,No,No,Portrait,Day,Augmented,Coral Peach,Phi,Octopus,Demihumans,Fish,None,None,None,None,None,None,None,None,None,Pig,Love,None,None,22.860940364028387,22
22,No,No,Portrait,Day,Augmented,Lapis Lazuli,Alpha,Kijo,Yokai,Bell,None,None,None,None,None,Shellfish,None,Tekagi,None,None,None,None,None,28.443371009248438,23
23,No,No,Portrait,Day,Augmented,Clay Walnut,Epsilon,Cyber Samurai,Posthumans,None,None,None,Laptop,Crystal,Hand Rift,None,None,None,None,None,None,None,None,26.870212601862203,24
24,No,No,Portrait,Day,Augmented,Magenta Blush,Lambda,Autumn Student,Humans,Game Controller and Disc,Bandaid,None,None,None,None,None,None,None,Star Eyepatch,None,None,None,None,22.178878181469962,25
25,No,No,Portrait,Day,Augmented,Cedar Caramel,Sigma,Kitsune,Yokai,Shrimp,None,None,None,None,None,None,Rhino,Katana,None,None,None,None,None,28.158661624358576,26
26,No,No,Portrait,Day,Augmented,Great Pearl,Phi,Rokurokubi,Yokai,Moon Earring,None,None,None,None,None,None,Bull,Katana,None,None,None,None,None,28.19717365301856,27
27,No,No,Portrait,Day,Augmented,Azure Sky,Rho,Cow,Demihumans,Fish,None,None,None,None,None,None,None,None,None,Monkey,Anger,None,None,22.735797843073094,28
28,No,Yes,Portrait,Day,Augmented,Electric Fuschia,Gamma,Oni,Yokai,None,None,None,None,None,None,Woodblock,Goat,Nunchucks,None,None,None,None,None,47.06934524803653,29
29,No,No,Portrait,Day,Augmented,Flamingo Pink,Tau,Hammerhead Shark,Demihumans,Cat,None,None,None,None,None,None,None,None,None,Rooster,Dazzled,None,None,22.830671012040202,30
30,No,No,Portrait,Day,Augmented,Aegean Sea,Gamma,Hammer Paladin,Humans,Game Controller and Disc,Leaf,Whiskers,None,None,None,None,None,None,None,None,None,None,None,22.185765089720462,31
31,No,No,Portrait,Day,Augmented,Lilac Lavender,Sigma,Great White Shark,Demihumans,Campfire,None,None,None,None,None,None,None,None,None,Rat,None,Feather Tiara,None,22.591352029490107,32
32,No,No,Portrait,Day,Augmented,Polychromatic,Kappa,Tengu,Yokai,None,None,None,None,None,None,Woodblock,Rhino,Feudal Tanto,None,None,None,None,None,33.249017064442846,33
33,No,No,Portrait,Day,Augmented,Azure Sky,Mu,Ox,Demihumans,Cat,None,None,None,None,None,None,None,None,None,Monkey,None,Emerald,None,22.504717408002474,34
34,No,No,Portrait,Day,Augmented,Verdant Teal,Phi,Baseball Player,Humans,Game Controller and Disc,Popsicle,Scar,None,None,None,None,None,None,None,None,None,None,None,22.233900894597546,35
35,No,No,Portrait,Day,Augmented,Celestial Aqua,Rho,Squid,Demihumans,Fish,None,None,None,None,None,None,None,None,None,Tiger,None,Feather Tiara,None,22.42495221207656,36
36,No,No,Portrait,Day,Augmented,Mint Pistachio,Theta,Kappa,Yokai,Talisman,None,None,None,None,None,None,Bison,Sai,None,None,None,None,None,28.201299878457736,37
37,No,No,Portrait,Day,Augmented,Prussian Steel,Beta,Sentinel,Posthumans,None,None,None,Laser Sword,Fire,Ethereum,None,None,None,None,None,None,None,None,26.813804799767034,38
38,No,No,Portrait,Day,Augmented,Celestial Aqua,Omicron,Bumblebee,Demihumans,Butterflies,None,None,None,None,None,None,None,None,None,Monkey,None,Gold,None,22.49097731669438,39
39,No,No,Portrait,Day,Augmented,Ultra Violet,Epsilon,Mysterious Doll,Posthumans,None,None,None,Android Tail,Plasma,Recon Drone,None,None,None,None,None,None,None,None,26.87019814892681,40
40,No,No,Portrait,Day,Augmented,Azure Sky,Gamma,Host,Posthumans,None,None,None,Laser Sword,Water,Houndstooth Rift,None,None,None,None,None,None,None,None,26.896345816843397,41
41,No,No,Portrait,Day,Augmented,Verdant Teal,Tau,Shiro Ukari,Yokai,Bell,None,None,None,None,None,None,Bull,Uchiwa,None,None,None,None,Kitsune Mask,41.6522303600361,42
42,No,No,Portrait,Day,Augmented,Magenta Blush,Lambda,Swordfish,Demihumans,Veggies,None,None,None,None,None,None,None,None,None,Rabbit,None,Turquoise,Ancient Fossil,36.033220811276955,43
43,No,No,Portrait,Day,Augmented,Princess Iris,Iota,Boxer,Humans,Coffee,None,Star Scar,None,None,None,None,None,None,Neon Glasses,None,None,None,None,22.34255998471806,44
44,No,No,Portrait,Day,Augmented,Rich Navy,Epsilon,Technician,Posthumans,None,None,None,Battery,Plasma,Claw Rift,None,None,None,None,None,None,None,None,26.91557340990886,45
45,No,No,Portrait,Day,Augmented,Stormy Fossil,Delta,Yuki-Onna,Yokai,Flower Ribbon,None,None,None,None,None,Bat,None,Axe,None,None,None,None,None,28.520406490665124,46
46,No,No,Portrait,Day,Augmented,Aegean Sea,Epsilon,Simulacrum,Posthumans,None,None,None,Earbuds,Lightning,Claw Rift,None,None,None,None,None,None,None,None,26.943105894814686,47
