,Chin,Eyes,Hat,Back,Layerz,Lol-Drip,Base-Layer,Sides,Nose,Smoking,Lips,Tattoos,Mouth,Body,Tail,Background,Rarity score,Token Id
0,Big-Bumps,Bosseyed-Green,Ronald,Red-8,None,None,TShirt-White,Scales,Snouty,None,Purple,None,Grills,Green,Techno,Sky,47.38987182116537,0
1,Soft-Spikes,Crazed-Grey,Lu-Tang,Pink-8,Police-vest,None,Sweater-Pink,Colour-Tatts,Flared,None,None,None,Razor-Sharp,Grey,Curvy,Pink,49.03610428151172,1
2,Flaps,V,Bucket-Creepz,Red-6,None,Leopard,None,Black-Tatts,Deep,None,Purple,Chest-Hair,Goofy,Grey,Curvy,Blue,46.93879003184163,2
3,None,Weird-Pupil-Blue,Bunny-Balaclava,None,Masonic-Chain,None,Sweater-White,None,Wide,None,Purple,None,Spiky,Yellow,Black-Tatts,Grey,74.42520030662394,3
4,None,Veins-2,Bobble-Balaclava,None,None,Gorn-Hub,None,None,Original,None,Red,Chest-Hair,Razor-Sharp,Grey,Sharp,Blue,46.81906394021274,4
5,Armoured,Crazed-Green,Red-Camo,Red-9,Cbc-Hoody,None,Sweater-Olive,Mottling,Wide,None,Purple,None,Cheesy,Grey,Sharp,Pink,69.53425484271436,5
6,Spots,White-Shades,Purple-Camo,Purple-1,None,Gorn-Hub,None,Bumps,Snouty,None,None,Colour-Tatts,Befuddled,Blue,Mottled,Yellow,30.385177561433473,6
7,Little-Bumps,Dopey-Purple,Eggscellent,Pink-6,None,None,None,Markings,Original,None,Purple,Black-Tatts,Jaws,Grey,Sharp,Blue,35.75487301383467,7
8,Armoured,Bowie-Green,Five-Panel-Purple,Pink-2,Cbc-Hoody,None,Sweater-White,Mottling,Snouty,None,Red,None,Razor-Sharp,Yellow,Mottled,Grey,64.85370310566174,8
9,Soft-Spikes,V,Lu-Tang,Purple-6,None,Slugger,None,Black-Tatts,Snouty,Pipe,None,Black-Tatts,Closed,Green,Mottled,Blue,58.23273226710358,9
10,Creases,Vr1,Police,Red-2,None,None,None,Black-Tatts,Original,None,Red,Black-Tatts,Cheesy,Yellow,Curvy,Light-Blue,37.61684029550548,10
