,Baby,Hat,Accessories,Clothes,Eyes,Mouth,Body,Background,World,Line,Rarity score,Token Id
0,Golden Monkey,Green Coolman,Gold Watch,Black Jacket,Neutral,Neutral,White,Hazy Pink,None,None,69.1244387133421,0
1,None,None,Latte,Red Hoodie,All Gold Everything,Neutral,Light Khaki,Hazy Blue,None,None,43.92756108104622,1
2,Burrito,None,None,Og Ski Jacket,Clout Goggles,Neutral,Green,Myrtle Green,None,None,46.60874615244935,2
3,None,Devil Horns,Controller,Leather Jacket,Neutral,Neutral,Hot Pink,Mustard,None,None,54.45761939391753,3
4,Croissant,None,None,Hazmat Suit,Four Eyes,Neutral,Cyan,Chocolate,None,None,46.91303749449954,4
5,None,Green Mohawk,Iced Coffee,Nude,3d Glasses,Neutral,Dijon,Pink,None,None,54.14810400137894,5
6,Otter,None,None,White Hoodie,Relieved,Neutral,Light Blizzard Blue,Blizzard Blue,None,None,44.93648171210282,6
7,None,None,None,Dark Blue Hoodie,Eye Patch,Vampire Mouth,Tea Green,Red,None,None,30.317756958192852,7
8,None,Detective Hat,None,Nude,Pixel Glasses,Brown Beard,Cream,Milk Chocolate,None,None,42.59349503817639,8
9,None,None,Burger Meal,Puppy Suit,Cute,Tongue,Grey,Dark Charcoal,None,None,43.2694910022123,9
10,Potted Plant,Headphones,None,Black Hoodie,Relieved,Chubby Cheeks,Pale Blue,Aqua Blue,None,None,59.091758250954044,10
11,None,None,Coolman Computer,Hipster Jacket,Neutral,Stubble,White,Strawberry,None,None,39.2383640677339,11
12,None,Pixel Hat,Bling,Nude,Brown Eyebrows,Grey Stubble,Light Brown,Glowing Purple,None,None,58.608207138814386,12
13,None,Dad,Rubix,Hawaiian,Pixel Glasses,Neutral,Light Blue,Flowy Green,Donut World,None,35.79486353564913,13
14,None,None,Katana,Pink Party Shirt,Neutral,Oo,Light Green,Blue,Donut World,None,15.54148699718467,14
15,None,Rainbow Spacecrown,None,Purple Party Shirt,Happy,Robo,Light Blue,Blue,Donut World,None,16.428282907125123,15
16,None,Pink Bucket,Katana,Red Gameshow,Heart Eyes,Chubby Cheeks,Orange,Blue,Donut World,None,33.37074861510045,16
17,None,Green Space Sailor,None,White Tux,Happy,Whiskers,Orange,Blue,Donut World,None,16.865248007371175,17
18,None,None,Electric Guitar,Yellow Gameshow,Relieved,Tongue,Light Green,Turquoise,Donut World,None,19.468936381938647,18
19,None,None,None,Purple Party Shirt,Relieved,Sad,Orange,Beach,Donut World,None,3.0486611724964465,19
20,None,None,Electric Guitar,Yellow Ski Jacket,Smize,Tongue,Light Green,Ur Special Yellow,Donut World,None,20.15297119111212,20
21,Puppy,None,None,Melon Skate Hoodie,Neutral,Kissy,Orange,Beach,Donut World,None,18.691047043654443,21
22,None,Ear Loops,None,Purple Party Shirt,Grey Bans,Sad,Light Green,Ur Special Yellow,Donut World,None,20.639611008262275,22
23,Huckboy,None,Airpods,Green Tank,Neutral,Neutral,Pink,Ur Special Yellow,Donut World,None,35.69058586727535,23
24,None,None,None,Pink Hoodie,Happy,Whiskers,Purple,Pink,Donut World,None,3.032839144693218,24
25,None,None,Pink Fanny Pack,Pink Party Shirt,Sus,Tongue,Light Green,Light Blue,Donut World,None,19.92664422806776,25
26,None,None,Pink Fanny Pack,Purple Party Shirt,Neutral,Smiling,Yellow,Orange,Donut World,None,15.312561141846837,26
27,Pterodactyl,Comb Over,Backpack,Green Cavedweller,Neanderthal Eyes,Grr,Stone,Skin,Dino World,None,71.56055710443925,27
28,None,Orange Bucket,None,Green Tank,Smize,Joy,Sterling Silver,Pink,Donut World,None,19.591347266891727,28
29,None,None,None,Purple Party Shirt,Brown Tinted Glasses,Sad,Purple,Stay Special Pink,Donut World,None,6.2325302133213,29
30,Kitty,Pink Space Sailor,None,Pink Party Shirt,Goggles,Smiling,Pink,Light Blue,Donut World,None,35.54477824795995,30
31,None,Glow Spacecrown,Pink Fanny Pack,Yellow Party Shirt,Cute,Chubby Cheeks,Orange,Beach,Donut World,None,33.014338467122,31
32,None,Purple Coolman,None,Urspecial Pinkblue,Smize,Smirk,Orange,Blue,Donut World,None,15.8561093986897,32
33,None,None,Katana,Red Gameshow,Brown Bans,Pacifier,Yellow,Wavy Pink,Donut World,None,22.897208837776397,33
34,Pterodactyl,None,Spear,Leaf,Sus,Oo,Stone,Skin,Dino World,None,56.20220930379251,34
35,None,None,Yellow Fanny Pack,White Tux,Neutral,Kissy,Pink,Light Blue,Donut World,None,16.29836800281708,35
36,None,Sweatband,None,Urspecial Pinkblue,Neutral,Sad,Light Green,Plaid Pink,Donut World,None,16.943613003567066,36
37,None,None,Watch,Pizza,Smize,Tongue,Light Blue,Turquoise,Donut World,None,18.404988770985085,37
38,Banshee,Antlers,Piercings,Black Tie,Neutral,Chubby Cheeks,Sterling Silver,Diamond,Wall Street Wasteland,Red Glow,94.10534214381259,38
39,None,None,Watch,Urspecial Orange,Happy,Kissy,Light Blue,Trippy Dark,Donut World,None,18.090416333436117,39
40,None,Cookie Chef Hat,None,Nude,Smize,Chubby Cheeks,Light Green,Blue,Donut World,None,15.752168079457107,40
41,Alien,Pink Coolman,Watch,White Tux,Happy,Smirk,White,Flowy Green,Donut World,None,48.85536631594736,41
42,None,Dad,None,Urspecial Pinkblue,Sus,Oo,Orange,Turquoise,Donut World,None,18.795425927270017,42
43,Triceratops,Pyramid,None,Rough Sweater,Neanderthal Eyes,Grr,White,Leaf,Dino World,None,54.63929258874369,43
44,None,None,None,Pink Party Shirt,Heart Eyes,Meow,White,Purple,Donut World,None,4.866931238737994,44
45,None,Witch Doctor,Backpack,Fur,Relieved,Sabertooth,Stone,Trippy Dark,Dino World,None,52.751233819919605,45
46,None,Horns,Zzz,Fur,Cyclopse Lizard,Omg,Sun Burn,Skin,Dino World,None,52.40530845586711,46
47,None,Blue Bucket,None,Cozy Sweater 1,Happy,Robo,Orange,Stay Special Yellow,Donut World,None,18.48579633153524,47
48,None,None,Yellow Fanny Pack,Blue Party Shirt,Purple Tinted Glasses,Tongue,Light Blue,Pink,Donut World,None,20.311577664928272,48
49,Monkey,Pink Bucket,None,Orange Ski Jacket,Pink Party Glasses,Neutral,White,Orange,Donut World,None,35.55783408326488,49
50,None,None,None,None,None,None,Alien,Diamond,None,None,28.71507480215614,50
51,None,None,None,Hawaiian,Purple Party Glasses,Robo,Gradient 2,Pink,Donut World,None,6.690290084935217,51
52,Pterodactyl,None,None,Yeti Suit,Neutral,Sad,Purple Sand,Stay Special Green,None,Blue,65.99305121051287,52
53,Best Friend,None,Hieroglyphics,Nude,Neanderthal Eyes,Sabertooth,Stone,Skin,Dino World,None,56.233284146072194,53
54,None,Cookie Chef Hat,Yellow Fanny Pack,Nude,Happy,Omg,Gradient 2,Purple,Donut World,None,31.19382226994022,54
55,None,Blue Bucket,None,Nude,Neutral,Tongue,Light Blue,Turquoise,Donut World,None,14.72219567844671,55
56,None,None,None,Urspecial Orange,Blue Tinted Glasses,Chubby Cheeks,Light Green,Ur Special Green,Donut World,None,6.65652089386813,56
57,None,Pink Coolman,None,Urspecial Pinkblue,Happy,Omg,Gradient 2,Orange,Donut World,None,17.083915126899228,57
58,None,None,Electric Guitar,Red Ski Jacket,Smize,Tongue,Orange,Plaid Pink,Donut World,None,20.178983773420377,58
59,None,None,None,Pizza,Cute,Oo,Pink,Purple,Donut World,None,4.4272238977846285,59
60,None,None,Watch,Purple Hoodie,Neutral,Oo,Light Blue,Blue,Donut World,None,16.321834244841316,60
61,Snail,Pink Space Sailor,None,Urspecial Pinkpurple,Cute,Sad,Yellow,Turquoise,Donut World,None,35.591526807884755,61
62,None,None,Pink Fanny Pack,Purple Party Shirt,Purple Party Glasses,Smiling,Gradient 4,Turquoise,Donut World,None,20.11407835341932,62
63,None,None,None,Urspecial Green,Happy,Tongue,Orange,Wavy Blue Green,Donut World,None,3.7248095496568836,63
64,Kitty,None,Face Tats,Urspecial Pinkblue,Smize,Chubby Cheeks,Light Green,Beach,Donut World,None,35.48225684687132,64
65,None,None,Devil Tail,Orange Wizard,Relieved,Sad,Lime Green,Diamond,Wall Street Wasteland,None,40.00311196271269,65
66,None,None,Spear,Orange Cavedweller,Neanderthal Eyes,Neutral,Stone,Flowy Orange,Dino World,None,38.067767496264565,66
67,None,None,None,Hawaiian,Cute,Pacifier,Purple,Blue,Donut World,None,5.108708722857943,67
68,None,None,None,Lederhosen,Orange Bans,Omg,Lime Green,Goo,Wall Street Wasteland,Orange,50.488595093882985,68
69,None,None,None,None,None,None,Triangle,Flowy Pink,None,None,28.480958713472347,69
70,None,None,None,Orange Wizard,Neutral,Sad,Gradient 4,Goo,Wall Street Wasteland,Purple Glow,45.97637964865323,70
71,None,None,Pink Fanny Pack,Nude,Relieved,Smiling,Purple,Stay Special Green,Donut World,None,18.048970646760193,71
72,None,Blue Coolman,Cyborg Glove,Yellow Party Shirt,Pink Party Glasses,Neutral,Yellow,Plaid Pink,Donut World,None,34.829881629707266,72
73,Kitty,Pink Coolman,None,Urspecial Green,Smize,Sad,White,Flowy Green,Donut World,None,34.90764209241391,73
74,None,None,None,Pink Party Shirt,Green Party Glasses,Smirk,White,Purple,Donut World,None,3.256793295832999,74
75,Potted Plant,Rainbow Spacecrown,None,Orange Ski Jacket,Happy,Kissy,Purple,Pink,Donut World,None,33.89578208935988,75
76,None,Pink Space Sailor,Watch,Yellow Ski Jacket,Happy,Neutral,Gold,Wavy Blue Green,Donut World,None,34.18489678634471,76
77,Monkey,None,None,Urspecial Green,Purple Tinted Glasses,Neutral,Orange,Pink,Donut World,None,22.246560576888328,77
78,Potted Plant,None,Scarf,Purple Tank,Neutral,Oo,Light Blue,Flowy Blue,Donut World,None,36.057380131304214,78
79,None,Caveboy,None,Bear Coat,Cyclopse Lizard,Smirk,Blue Sand,Rock,Dino World,None,36.89493908628575,79
80,None,Antenna,Pink Fanny Pack,Purple Party Shirt,Cute,Chubby Cheeks,Pink,Turquoise,Donut World,None,32.78804740716988,80
81,Puppy,Yellow Bucket,None,Nude,Happy,Omg,Yellow,Light Blue,Donut World,None,31.653789303435246,81
82,Brontosaurus,None,Backpack,Green Cavedweller,Heart Eyes,Chubby Cheeks,Sun Burn,Skin,Dino World,None,56.04616711886211,82
83,None,None,Devil Tail,Lace Top,Heart Eyes,Ghoul,Gradient 2,Goo,Wall Street Wasteland,None,42.41665391321161,83
84,None,None,None,Yellow Ski Jacket,Purple Party Glasses,Pacifier,White,Light Blue,Donut World,None,5.407951870996489,84
85,Robot,None,None,Red Hoodie,Cute,Neutral,Purple,Turquoise,Donut World,None,22.236140039476847,85
86,None,Third Eye,Cancer Horoscope,Lederhosen,Ghoul,Smirk,White,Goo,Wall Street Wasteland,Blue Glow,76.63138777337544,86
87,Potted Plant,None,None,Adventurer,Goggles,Grr,Light Grey,Rock,Dino World,None,43.16016954755014,87
88,None,None,None,Yellow Party Shirt,Perplexed,Chubby Cheeks,Pink,Pink,Donut World,None,5.02293492680719,88
89,Squid,Green Coolman,Katana,Blue Tank,Neutral,Chubby Cheeks,Light Green,Wavy Pink,Donut World,None,49.60184160462474,89
90,Puppy,Purple Coolman,None,Urspecial Pinkpurple,Green Party Glasses,Omg,White,Flowy Blue,Donut World,None,36.38236168431697,90
91,None,Witch Doctor,Backpack,Leaf,Heart Eyes,Reptilian,Leafy Green,Canvas Purple,Dino World,None,54.093257032292016,91
92,None,None,None,Blue Hoodie,Happy,Whiskers,Orange,Purple,Donut World,None,3.196706880492217,92
93,Mummy,Comb Over,None,Nude,Blue Tinted Glasses,Smirk,Blue Sand,Rock,Dino World,None,53.78892382645179,93
94,None,Pink Coolman,None,Yellow Ski Jacket,Neutral,Meow,Pink,Beach,Donut World,None,16.74061154348996,94
95,None,None,None,None,None,None,Duck,Plaid Pink,None,None,28.569388637412878,95
96,None,None,None,Urspecial Pinkblue,Pink Party Glasses,Smirk,Light Blue,Beach,Donut World,None,4.0812782415761095,96
97,None,None,None,None,None,None,Sleepbot,Canvas Orange,None,None,28.69162937251967,97
98,None,None,None,Red Gameshow,3d Glasses,Omg,Pink,Wavy Pink,Donut World,None,6.791820080737863,98
99,None,Sweatband,Scarf,White Tux,Cute,Neutral,Pink,Ur Special Blue,Donut World,None,34.58798786065586,99
100,None,None,None,Og Ski Jacket,Relieved,Kissy,Pink,Orange,Donut World,None,3.7197811259375104,100
