,tier,face,shirt,hats,body,Rarity score,Token Id
0,wild_1,happy,tshirt yellow,knight blue,blue cat skin,34.17118949848264,0
1,wild_1,sunglasses blue,winter red,hat black,blue cat skin,35.45875952231792,1
2,classy_1,ninja blue,tanktop sailor red,costume frog,blue cat skin,60.867027711875174,2
3,cool_2,beard pirate,hoodie purple,mohawk purple,blue cat skin,2.1042592864174767,3
4,cool_1,unamused,buttondown tan,hat white,blue cat skin,20.634289222889436,4
5,cool_1,sunglasses cool,shirt white,arrowhead,blue cat skin,23.58656887872418,5
6,cool_2,sunglasses blue,work red,ninja red,blue cat skin,6.501524192365875,6
7,cool_2,mummy,tshirt red,flower red,blue cat skin,1.9159258950436975,7
8,classy_1,hearts,epaulette white,sunhat tan,blue cat skin,60.36448801444438,8
9,wild_1,mummy,overalls flannel,headband blue,blue cat skin,30.653480967232138,9
10,wild_2,three eyes,overalls flannel,beret pink,blue cat skin,50.1885240981883,10
11,cool_1,grin,work blue,flower pink,blue cat skin,22.204608353583584,11
12,cool_2,dizzy,tanktop sailor black,arrowhead,blue cat skin,5.873414191260367,12
13,cool_2,double face,tanktop pink,mohawk purple,blue cat skin,2.6697165284778794,13
14,cool_2,ninja blue,hoodie purple,beanie blue,blue cat skin,6.658539080532515,14
15,cool_1,unamused,tanktop white,antlers,blue cat skin,20.697058611363875,15
16,cool_1,shocked,tshirt pink,beanie orange,blue cat skin,22.989821511179567,16
17,cool_2,wink,buttondown red flannel,piercings,blue cat skin,6.313083626187786,17
18,cool_2,sunglasses pixel,tanktop orange,beanie red,blue cat skin,3.5805819455263537,18
19,wild_1,zombie,baseball red,headband red,blue cat skin,31.564264425040868,19
20,cool_1,angry,shirt white,hat visor yellow,blue cat skin,22.047602920734363,20
21,cool_2,ninja black,tanktop tattoo,headband blue,blue cat skin,5.3080262978878565,21
22,cool_1,hearts,overalls blue,flower blue,blue cat skin,21.48226230879569,22
23,cool_1,owo,work red,antlers,blue cat skin,20.94832215653433,23
24,wild_1,three eyes,shirt yellow,wreath flowers,blue cat skin,32.820623124627666,24
25,wild_2,sunglasses pixel,tshirt blue,hat skull,blue cat skin,50.691079555866246,25
26,classy_1,wink,combat black,wreath flowers,blue cat skin,62.060459411514955,26
27,wild_1,beard tan,tshirt yellow,nurse,blue cat skin,34.48525395539141,27
28,wild_1,hearts,sweater orange,helm bronze,blue cat skin,34.42237423757061,28
29,cool_1,beard tan,tshirt green,arrowhead,blue cat skin,23.303917489275015,29
30,wild_1,angry cute,bandana red,visor green,blue cat skin,31.34446438053632,30
31,wild_1,wink,work blue,tvhead grey,blue cat skin,34.10837597550009,31
32,cool_1,sunglasses yellow,buttondown green,beanie orange,blue cat skin,22.612912010101567,32
33,wild_2,grin,tshirt red,tvhead purple,blue cat skin,49.96887220845414,33
34,classy_1,beard brown,pirate black,top hat,blue cat skin,61.21240436567656,34
35,wild_2,beard pirate,bandana purple,bow,blue cat skin,48.304178333932235,35
36,wild_1,sunglasses yellow,pirate black,hat visor yellow,blue cat skin,33.354582190293435,36
37,cool_1,happy,bandana red,headband red,blue cat skin,21.51366591886069,37
38,cool_2,stunned,buttondown red flannel,headband blue,blue cat skin,4.931104186950393,38
39,cool_2,happy cute,tshirt green,sunhat tan,blue cat skin,6.7213463013549095,39
40,cool_2,glasses,tanktop white,pirate red,blue cat skin,6.030422778651634,40
41,cool_2,rich,hoodie purple,flower pink,blue cat skin,3.0465598347176406,41
42,classy_2,ditto,lederhosen,dutch,blue cat skin,68.31035755433138,42
43,wild_2,sunglasses cowboy,pirate red,sunhat black,blue cat skin,53.26654743426425,43
44,wild_2,face face,buttondown black flannel,halo fire,blue cat skin,49.90602401043524,44
45,classy_2,angry scar,overalls yellow,astro,blue cat skin,68.87564772960178,45
46,classy_1,smirk,viking navy,bow,blue cat skin,61.08680569120285,46
47,cool_2,angry scar,robe red,beret green,blue cat skin,2.920958007086669,47
48,cool_2,uwu,work blue,beanie black,blue cat skin,6.5014958208744815,48
49,wild_1,angry,tanktop sailor blue,hat visor blue,blue cat skin,35.270300042043026,49
50,wild_1,unamused,viking navy,apple,blue cat skin,32.004025274525446,50
51,cool_2,happy,work red,hat black,blue cat skin,6.752759366044934,51
52,classy_1,face face,astro black,helm army,blue cat skin,61.68363186690713,52
53,cool_2,derp,sweater pink,bucket hat tan,blue cat skin,4.77402309840637,53
54,cool_2,pixel,shirt bowtie,flower red,blue cat skin,5.496429036564742,54
55,wild_1,ditto,buttondown red flannel,beanie orange,blue cat skin,31.97259329504623,55
56,wild_2,grin,sweater black,helm silver,blue cat skin,53.26657580298606,56
57,cool_2,stunned,tanktop sailor black,wreath,blue cat skin,5.684872754515304,57
58,cool_2,sunglasses cool,ninja blue,hat visor yellow,blue cat skin,5.810499797710841,58
59,wild_2,glossy,tanktop sailor blue,astro,blue cat skin,53.203740215519026,59
60,classy_2,beard pirate,gown white,astro,blue cat skin,68.59302470748966,60
61,wild_1,happy,buttondown black flannel,visor green,blue cat skin,32.506577579738526,61
62,cool_1,angry,sweater orange,mohawk purple,blue cat skin,21.890597486500358,62
63,cool_1,ninja blue,bandana green,piercings,blue cat skin,21.85919072397049,63
64,cool_2,happy,sweater orange,ninja red,blue cat skin,7.663618477471286,64
65,cool_2,three eyes,buttondown green,arrowhead,blue cat skin,1.884522287748268,65
66,cool_2,ninja red,overalls blue,hat visor blue,blue cat skin,5.622046622365683,66
67,cool_2,shocked,buttondown red flannel,wreath,blue cat skin,6.501511583198807,67
68,cool_2,ninja red,sweater black,hat white,blue cat skin,4.993911404310824,68
69,wild_1,ninja blue,sweater pink,bucket hat white,blue cat skin,35.458740607528725,69
70,wild_2,derp,viking brown,ninja blue,blue cat skin,52.04166799628288,70
71,wild_1,angry cute,overalls flannel,beanie black,blue cat skin,34.830545497488174,71
72,cool_1,sunglasses cowboy,tshirt green,beret green,blue cat skin,22.36171465976935,72
73,wild_1,stunned,overalls red,wreath,blue cat skin,33.38599840744833,73
74,cool_2,owo,ninja red,beret red,blue cat skin,5.527908298170187,74
75,wild_2,glossy,gown white,hat skull,blue cat skin,53.14094560732566,75
76,wild_2,double face,tanktop sailor black,helm army,blue cat skin,51.3192620595093,76
77,wild_1,sunglasses cool,astro,arrowhead,blue cat skin,34.26539717136603,77
78,cool_2,uwu,tanktop orange,unicorn horn,blue cat skin,6.878342278194322,78
79,wild_1,happy,ninja red,beret black,blue cat skin,35.42735591156052,79
80,classy_1,shocked,knight leather,cowboy black,blue cat skin,61.27521158095981,80
81,wild_1,unamused,buttondown black flannel,helm biker,blue cat skin,33.009051082331084,81
82,cool_2,glasses funny,tshirt pink,beret red,blue cat skin,3.046654398277704,82
83,classy_2,angry,combat green,knight blue,blue cat skin,69.53529688499081,83
84,classy_2,sunglasses pixel,costume dragon,unicorn horn,blue cat skin,69.03275403578755,84
85,cool_2,uwu,work red,sunhat white,blue cat skin,6.281645343163625,85
86,exotic_1,mononoke,overalls red,knight black,blue cat skin,77.70104842308297,86
87,wild_1,sunglasses cool,tanktop sailor black,mullet brown,blue cat skin,36.52658308939699,87
88,cool_1,smirk,buttondown green,bucket hat green,blue cat skin,20.822695111261613,88
