,Foreground,Mouth,Eyes,Outfit,Decoration,Creature,Background,Overlay,Rarity score,Token Id
0,Crush,Happy,Dilated,Oxoto,Olive Arneum,Olive,Uuary,None,18.962283129789306,0
1,None,Thermal,Third Eye,Swulu,None,Thermal,Earth,None,52.10749856995548,1
2,Telescope,Sacred,Aqua Third Eye,Raincoat,Olive Tranteum,Terracotta,Gold,Meadow Flower,97.64047951297414,2
3,Crush,Smirking,Closed,Frux,Gold Balseum,Olive,Inciu,None,50.92816509304679,3
4,Blush,Happy,Clementine,Swulu,Clementine Stripes,Aqua,Meadow,Clementine Flower,53.137970858823756,4
5,Crush,Singing,Ocean,Frux,Scarlet Tranteum,Ocean,Violet,Emanating,90.40577746325103,5
6,Pile Skyline,Singing,Mint,Vines,Tulip Arneum,Cream,Pile Skyline,None,44.6407673761258,6
7,Crush,Happy,Closed,Arcith,Aqua Arneum,Aqua,SS Creature,None,16.403847323453373,7
8,Blush,Happy,Tulip,None,Clementine Stripes,Clementine,Ercon,None,15.363279220323363,8
9,Blush,Happy,Gold,Arcith,Violet Balseum,Blood Orange,Marius,None,18.415186708692477,9
10,Blush,Happy,Earth,Vines,Aqua Arneum,Blood Orange,Aura,Bullseye,53.37930527881253,10
11,Pile Skyline,Sacred,Mint,None,Gold Balseum,Tulip,Pile Skyline,None,42.39352877314211,11
12,Blush,Happy,Meadow,Vines,Gold Balseum,Clementine,Aura,Cosmic Pinch,52.95021666293248,12
13,Crush,Smirking,Terracotta,Frux,Tulip Polkadots,Aura,Olive,Tulip Flower,91.82168981603535,13
14,Rain,Smirking,Sand,Wet,Scarlet Tranteum,Ocean,Blood Orange,Distance,94.58890136848366,14
15,Pile Skyline,Happy,Earth,Swulu,Gold Arneum,Moss,Pile Skyline,None,7.99722598115071,15
16,Pile Skyline,Screaming,Tulip,Frux,Tulip Polkadots,Mint,Pile Skyline,None,45.4936091782542,16
17,Pile Skyline,Happy,Dilated,Arcith,Gold Stripes,Aqua,Pile Skyline,None,5.706883307553191,17
18,Pile Skyline,Happy,Aqua Third Eye,None,Terracotta Arneum,Aqua,Pile Skyline,None,6.01807088035817,18
19,Blush,Happy,Terracotta,Vines,Clementine Arneum,Gold,Meadow,Clementine Flower Stripe,54.23746642251005,19
20,Pile Skyline,Happy,Black,Arcith,Clementine Tranteum,Blood Orange,Pile Skyline,None,8.056248393568529,20
21,Pile Skyline,Happy,Aqua,Oxoto,Moss Stripes,Sand,Pile Skyline,None,8.533583402575701,21
22,Telescope,Happy,Closed,Arcith,Gold Stripes,Aqua,Aura,Striped Rocks,50.94963666464317,22
23,Rain,Screaming,Earth,Cloud Suit,Gold Stripes,Gold,Ascension,None,56.4256541778373,23
24,Blush,Happy,Gold,Swulu,Tulip Stripes,Olive,Earth,None,19.466455192499716,24
25,Crush,Singing,Black,None,Tulip Arneum,Olive,Stripe Room,None,50.94961681723789,25
26,None,Thermal,Third Eye,Arcith,None,Thermal,Clementine,Void,86.54919840096872,26
27,Crush,Sacred,Aqua Third Eye,None,Terracotta Polkadots,Cream,SS Creature,None,53.19685594878241,27
28,Rain,Happy,Terracotta,Vines,Terracotta Polkadots,Gold,Greenery,None,17.89491445603626,28
29,None,Happy,Scarlet,Frux,Olive Arneum,Gold,Blood Orange,Liquify,52.75713989754793,29
30,Rain,Happy,Aqua,Frux,Sand Polkadots,Gold,Uuary,None,16.140912052725913,30
31,None,Happy,Black,Oxoto,Ocean Arneum,Violet,Feather,Cosmic Punch,54.55919772790151,31
32,None,Smirking,Closed,Frux,Violet Stripes,Moss,Hill Huts,None,50.4561655265311,32
33,Rain,Happy,Closed,Arcith,Tulip Polkadots,Clementine,Greenery,None,15.95320452295641,33
34,Rain,Happy,Gold,None,Clementine Arneum,Ocean,Creature Friends,None,16.54328539607816,34
35,Telescope,Sacred,Aqua,Frux,Mint Arneum,Aqua,Mint,Clementine Flower,88.24987053396279,35
36,Blush,Happy,Ocean,Vines,Violet Polkadots,Gold,Violet,Width,53.384664860184984,36
37,Rain,Happy,Aqua,Swulu,Ocean Polkadots,Scarlet,Field,None,18.79058889070854,37
38,Rain,Happy,Terracotta,None,Gold Balseum,Clementine,Cream,Mountains,51.716720379664,38
39,Rain,Happy,Clementine,None,Violet Arneum,Feather,Marius,None,16.36630184742306,39
40,Pile Skyline,Happy,Mint,Oxoto,Gold Stripes,Terracotta,Pile Skyline,None,10.094476326885125,40
41,Telescope,Smirking,Dilated,Swirl,Violet Arneum,Blood Orange,Scarlet,Curved Stripe,92.60460070832326,41
