,Background,Pattern,Skin,Clothes,Nose,Eyes,Hat,Type,Tattoo,Mouth,Skeleton,Goldchain,Rarity score,Token Id
0,Purple,Flower Pattern,Yellow,Bandana Red,Normal,Cute Eyes,Headphones,Skeleton,None,None,None,None,15.752430493951858,0
1,Blue,None,Yellow,Hoodie Black POM,Normal,Retro Cartoon Eyes,Clown Hair Red,Skeleton,None,None,None,None,10.968487348695943,1
2,Light Orange,Flower Pattern,Yellow,Suit Blue,Normal,Exasperated Eyes,Knitted Beanie Orange,Skeleton,Small Tattoos,Cigarette,None,None,45.481638355946465,2
3,Blue,Flower Pattern,Blue,Dress Pink,Normal,Exasperated Eyes,Roman Helmet,Skeleton,None,None,Painted Skeleton,None,29.05210604099394,3
4,Beige,None,Blue,Synthetic Cool Cat Fur Coat,Normal,Dead Eyes,Knitted Beanie Orange,Skeleton,None,None,None,None,11.92356720831193,4
5,Green,None,Blue,Hoodie Pink CM,Normal,Rick Eyes,Flower Blue,Skeleton,None,Cigarette,None,None,34.395089042838435,5
6,Light Red,None,Red,T Pink B&B,Normal,Retro Cartoon Eyes,Sea Captain's Hat,Skeleton,None,None,Painted Skeleton,None,25.208944049766636,6
7,Light Red,None,Yellow,Sheriff Outfit,Normal,Retro Cartoon Eyes,Bandana Dark,Skeleton,Small Tattoos,None,None,None,21.563992801221353,7
8,Light Red,Flower Pattern,Yellow,Bear Fur,Normal,Retro Cartoon Eyes,Sangoku,Skeleton,None,None,Painted Skeleton,Gold Chain GM,53.52512071264509,8
9,Aquamarine,Flower Pattern,Black,T Pink B&B,Normal,Exasperated Eyes,Astro Orange,Skeleton,Big Tattoos,None,None,None,29.317654899514395,9
10,Light Orange,None,Yellow,Galactical Emperor Suit,Normal,Gas Mask Bloodshot,None,Skeleton,Big Tattoos,None,None,None,21.339800107515437,10
11,Light Red,None,Blue,Tank Top Blue B&B,Normal,Spider Eyes,Clown Hair Red,Skeleton,None,None,None,None,13.493028781825286,11
12,Blue,None,None,Hoodie Green B&B,Normal,Regular Glasses,Dread Long Brown,Skeleton,None,None,None,Gold Chain Skull,31.480809446300746,12
13,Light Red,Flower Pattern,None,King Robe,Normal,Retro Cartoon Eyes,Dread Short Dark,Skeleton,None,None,Painted Skeleton,None,21.610664638314166,13
14,Beige,Aztec Patterns,None,Clown Outfit,Normal,Happy Eyes,Flower Crown Pink,Skeleton,Small Tattoos,None,Painted Skeleton,None,31.568109659092077,14
15,Purple,None,Black,Work Outfit Red,Normal,Cyclop Eye,Shell Red,Skeleton,Big Tattoos,None,None,None,28.34530150632767,15
16,Grey,None,None,Italian Plumber Oufit,Normal,Cute Eyes,Flower Crown Blue,Skeleton,Big Tattoos,Pipe,Painted Skeleton,None,56.530336062753086,16
17,Aquamarine,Aztec Patterns,Red,Synthetic Cool Cat Fur Coat,Normal,Square Shades,Pirate Hat CM,Skeleton,Small Tattoos,None,Painted Skeleton,None,41.10850746037486,17
18,Grey,Aztec Patterns,Blue,Bear Fur,Normal,Angry Eyes,Arrow,Skeleton,None,None,None,None,15.065250821325659,18
19,Aquamarine,Aztec Patterns,Blue,Dress Pink,Normal,Laser Eyes,Unicorn Horn,Skeleton,Small Tattoos,None,None,None,27.063998116868493,19
20,Blue,Aztec Patterns,None,Samurai Blue,Normal,Square Shades,Bandana Dark,Zombie,Small Tattoos,None,None,Gold Chain Skull,63.64157279447602,20
21,Grey,Flower Pattern,Blue,Bear Fur,Normal,Retro Cartoon Eyes,Biker Helmet Green Goggles,Skeleton,Small Tattoos,None,None,None,23.899019073900988,21
22,Blue,None,Aquamarine,Bandana Blue,Normal,Fantasia Eyes,Headband Red,Skeleton,Big Tattoos,None,None,None,26.7846354413365,22
23,Purple,Aztec Patterns,None,Work Outfit Blue,Normal,Happy Eyes,Party Hat,Zombie,Big Tattoos,None,None,None,37.50398539028194,23
24,Beige,Aztec Patterns,Yellow,Admirals Coat Black,Normal,Crazy Eyes,Knitted Beanie Orange,Skeleton,Big Tattoos,None,None,None,25.8789582148982,24
25,Purple,Aztec Patterns,Red,Work Outfit Red,Normal,Exasperated Eyes,Dread Long Blond,Skeleton,Small Tattoos,None,Painted Skeleton,None,40.537831208627836,25
26,Beige,Flower Pattern,Black,Rick Outfit,Normal,Bored Eyes,Manga Hair  Dark,Skeleton,Small Tattoos,None,Painted Skeleton,None,42.718654778350206,26
27,Beige,Flower Pattern,None,T Pink B&B,Normal,Happy Eyes,Arrow,Skeleton,Big Tattoos,None,None,None,16.722214729840587,27
28,Beige,None,None,Dress Pink,Normal,Happy Eyes,Dread Short Brown,Devil,None,None,None,None,24.60615706080568,28
29,Aquamarine,Flower Pattern,Blue,Admirals Coat White ,Normal,Cyclop Eye,Knight Helmet,Skeleton,Small Tattoos,None,None,None,26.405948530489486,29
30,Purple,Flower Pattern,None,Bear Fur,Normal,Cute Spider Eyes,Dread Long Brown,Zombie,Big Tattoos,None,None,None,40.287399967389746,30
31,Aquamarine,Aztec Patterns,None,Clown Outfit,Normal,Happy Eyes,Cap B&B Purple,Skeleton,None,None,Painted Skeleton,Gold Chain Skull,46.14836898470715,31
32,Aquamarine,Flower Pattern,None,Hoodie Blue B&B,Normal,Exasperated Eyes,None,Skeleton,None,None,None,None,4.041617669589223,32
33,Blue,Aztec Patterns,None,Samurai Blue,Normal,Logo Eyes,Unicorn Horn,Skeleton,None,None,Painted Skeleton,None,24.52816138086383,33
34,Blue,Aztec Patterns,None,T Grey POM,Normal,Monocle,Metal Spikes,Skeleton,None,None,Painted Skeleton,None,23.977832521967123,34
