,Type,Jewelry,Clothing,Eye Color,DNA,Back,Hair,Mouth,Eyewear,Accessories,Facial Feature,Helmet,Rarity score,Token Id
0,ARTIST EDITION,GLD Iced Cuban,JELLYFISH BLW UP JCKT,BLU-PURP,Human,None,None,None,None,None,None,None,31.473823117145006,1
1,ARTIST EDITION,VVS PANDA,WHT Jellyfish Tee,YLLW Breezy,Murakami,SPLASH,LoneSome Cowboy,None,None,None,None,None,57.75946436339683,2
2,ARTIST EDITION,None,RTFKT x TM RNBW FLOWER PFA,RNBW,Murakami,GRN UNDRWRLD WINGZ,PURP KO2 Tiara,Tan Tan Bo,None,None,None,None,58.117145963696316,3
3,ARTIST EDITION,VVS PANDA,JELLYFISH BLW UP JCKT,WIDE-OPEN,Murakami,PNK UNDRWRLD WINGZ,BLU OCTOPUS,Cigar,None,None,None,None,68.57300757170503,4
4,ARTIST EDITION,VVS PANDA,RTFKT x TM RNBW FLOWER PFA,AWAKEN,Murakami,SPLASH,DOB Hat,Organism M78.8,None,None,None,None,68.44053519458325,5
5,ARTIST EDITION,VVS PANDA,JELLYFISH BLW UP JCKT,SPINNING,Murakami,None,WHT OCTOPUS,Tan Tan Bo,OTT Future Vision,VVS STUD,None,None,81.11680960770782,6
6,ARTIST EDITION,VVS PANDA,WHT Jellyfish Tee,RNBW,Murakami,SPLASH,None,None,3RD Eye,None,None,None,70.46825434551661,7
7,None,None,IRI BLW UP JCKT,PNK,Human,None,BRWN 1 Horn,INFCTD,Drip Scouter,None,None,None,31.65355392570165,8
8,MK1,None,GRDNT PFA JCKT,None,Robot,None,RD DRDZ,GLD GRILLS,None,Cross Earring,None,None,42.08129595303913,9
9,MURAKAMI DRIP,None,HVY MTL HOODIE,YLLW Breezy,Human,None,None,Jagged RNBW,None,None,None,None,28.85534411365323,10
10,None,None,V1 WHT SKL GRL,None,Robot,None,BLCK Ponytailz,None,None,None,None,None,3.9289926810984337,11
11,MK1,None,SD Tee,None,Robot,None,PURP Wrap,ICED GRILLS,None,None,None,None,26.235456409346536,12
12,None,SG-PDLCK,RCS Tee,None,Robot,None,Sound Wave,Angry,Cyber Eyes,None,None,None,37.309351233112196,13
13,MURAKAMI DRIP,None,PNK HAWAIIAN Shirt,PNK-BLU,Human,None,GRN BNGS,Organism M78.8,BILLIONAIRE,None,STARZ TAT,None,56.426139100257544,14
14,MK1,KAWAII CHRM,RCS Tee,None,Robot,None,YU-BLCK,None,None,None,None,None,26.21369949297313,15
15,None,None,V4 WHT SKL GRL,PURP,Human,None,BLCK Stylish,None,None,SLVR Round,None,None,23.815014502598288,16
16,None,DRIP CHRM,LIME GANG,CLSD PNK-BLU,Human,None,RD Hairclip,None,None,SLVR Round,None,None,34.967452399438756,17
17,MURAKAMI DRIP,SLVR G-Link,V2 BLCK SKL GRL,WIDE-OPEN,Demon,None,NVY DRDZ,None,None,None,None,None,36.90273020160363,18
18,None,None,YLLW BLW UP JCKT,None,Robot,None,BLCK Quiff,None,None,None,None,None,3.8002850767868863,19
19,None,DRIP CHRM,RD VARSITY JCKT,None,Angel,None,RD Stylish,None,None,None,None,None,18.063164683987228,20
20,None,PURP G-Link,WAGMI Tee,PURP,Human,None,GOAT HRNS,Romantico,None,None,None,None,28.94807620939735,21
21,None,SLVR CBLE,V5 WHT SKL GRL,None,Angel,None,BLND Pigtails,ROBO,None,None,None,None,28.50885538681839,22
22,None,None,Blade Melt Tee,PURP,Human,None,BLND Fro,ROBO,Snow Storm,None,None,None,31.13401674498288,23
23,MURAKAMI DRIP,None,STRIPE Tee,YLLW Breezy,Human,None,BRWN Shaggy,1Tooth,Eye Patch,None,Scratch Scarz,None,56.829265991661295,24
24,None,WGLD Iced Cuban,Job Tee,PURP,Human,None,RD Spike,Bubblegum,None,None,Slash Scar,None,43.9496288443997,25
25,None,S-PDLCK,BLCK Utility Vest,RD CRYSTL,Human,None,BRWN Stylish,None,None,None,None,None,19.341815742627258,26
26,MK1,None,CLNX Tee,None,Robot,None,BLCK Curtains,1Tooth,RD LAZER,None,None,None,39.18002213268872,27
27,MURAKAMI DRIP,CYN Two Piece,GM HOODIE,HALF-OPEN,Robot,None,LLC Ponytail,None,None,None,None,None,32.95370982564796,28
28,None,CHRM,BONE PFA JCKT,PNK-BLU,Human,None,BLND Fro,None,None,None,WEBZ TAT,None,33.29334395369833,29
29,None,None,WAGMI Tee,YLLW,Human,Energy Wings,NEON Cap,None,VSN Glasses,None,Band-Aid,None,52.013579057147716,30
30,None,RBY Two Piece,V3 WHT SKL GRL,PNK,Human,None,PNK Beret Braids,Alien,Snow Storm,GLD Round,STARVSN TAT,None,72.76452981392588,31
31,None,RBY Two Piece,FLOOR Tee,None,Demon,None,BLCK Beanie,None,None,None,None,None,17.907991413511702,32
32,None,None,Job Tee,None,Robot,None,BLCK Horn Headband,None,None,None,None,None,3.9138498910871475,33
33,None,None,WHT KBA JCKT,BRWN,Human,None,WHT Curtains,None,None,None,None,None,7.929599462145166,34
34,None,None,BLU ORNG BNDN Shirt,BLU,Human,None,BLCK Stylish,None,None,None,TRi TAT,None,22.607417234439918,35
35,None,GLD CBLE,BLU BNDN Shirt,BRWN,Human,Energy Wings,BLU Curtains,None,Assault Glasses,None,TRi War TAT,None,62.394860008572806,36
36,MURAKAMI DRIP,None,BLCK BNDN Shirt,WIDE-OPEN,Demon,GRY UNDRWRLD WINGZ,YU-BLCK,None,None,None,None,None,42.96547950043565,37
37,None,GPURP Two Piece,RTFKT CHROME Tee,None,Demon,None,Cowboy,Knife,Eye Patch,None,None,None,41.72966826125349,38
38,None,None,RCS Tee,None,Demon,None,BRWN 2 Horns,None,Cyber Eyes,None,None,None,20.513231594721464,39
39,None,None,BLCK BNDN Shirt,BLCK Surprised,Human,None,BLCK Spiked,None,Cyborg V1,None,None,None,21.31487094423616,40
40,None,None,GRNDT Fur Coat,GRN,Human,None,PNK Shape Up,None,None,None,None,None,7.891740498598518,41
41,MK1,DRIP CHRM,V6 WHT SKL GRL,None,Robot,None,GRN DRDZ,None,None,None,None,None,26.254390109245023,42
42,DRK,None,BLCK BNDN Shirt,None,Demon,None,GRN Stylish,None,None,None,None,None,20.194280438823238,43
43,None,None,Job Tee,GRN,Human,None,BLND Curtains,WZRD,Cyborg V1,None,SMLY TAT,None,46.23389592594365,44
44,None,None,Job Tee,CLSD GRN,Human,None,YU-BLU,None,None,None,None,None,8.827738450529296,45
45,ICE,PURP G-Link,GM HOODIE,None,Demon,Sword Sheath,Fro,Pilot Mask,None,None,None,None,57.58607745001733,46
46,None,RNBW G-Link,BLU BNDN Shirt,PNK,Human,None,BLND Quiff,None,BTC,None,None,None,31.651632842543044,47
47,None,None,Blade Melt Tee,None,Robot,None,BLCK Shape Up,None,OTT Future Vision,None,None,None,16.70685104061178,48
48,None,None,PNK HiTECH Gown,None,Robot,None,BLND Flower Wreath,None,None,None,None,None,3.9782029414522886,49
49,None,RBY CBLE,RFX Tee,None,Robot,None,WHT Curtains,None,None,None,None,None,14.052355107053144,50
50,MK1,S-PDLCK,BLCK GM Tee,None,Robot,None,NVY DRDZ,TCTL SMILE,None,None,None,None,36.61276728458569,51
51,None,None,BLCK TCTL Vest,BLU-PURP,Human,None,YU-BLU,None,None,None,BCODE TAT,None,22.870516359603265,52
52,None,None,BLU BNDN Shirt,PURP,Human,None,BLCK Stylish,None,None,None,HRUS 333 TAT,None,22.535497444761972,53
53,None,PURP Two Piece,THRML PFA JCKT,YLLW,Human,None,BLND Ponytail,MAD,Drip Scouter,Cross Earring,STARZ TAT,None,72.40023801405107,54
54,None,None,RFX Tee,None,Robot,None,GOAT HRNZ,None,None,None,None,None,3.580716851950109,55
55,None,RBY Two Piece,BLCK BKR JCKT,PURP,Human,None,RD Stylish,None,None,None,TRi TAT,None,32.89018932241647,56
56,None,SLVR CBLE,SD Tee,None,Demon,None,GRN Cyber Cat,SPIDERZ,None,Gold Round Earrings,None,None,44.589276834529706,57
57,None,None,MONO Fur Coat,None,Robot,None,RD Stylish,None,None,None,None,None,3.733084465469036,58
58,None,None,RD BBL Vest,PNK,Human,None,PNK MoHWK,None,None,None,CLNX TAT,None,22.58849817923572,59
59,None,None,BLCK Tee,PNK,Human,None,PURP Curtains,None,None,None,None,None,7.757356930620199,60
60,STONED,None,BLCK Tech JCKT,PURP,Human,None,BLCK BWLCUT,None,Snow Storm,None,None,None,33.464787878730185,61
61,MK1,None,WAGMI Tee,None,Robot,None,TEAL Spiked,SMILE,None,None,None,None,25.83515520499272,62
62,None,None,BLCK Waistcoat,GRN,Human,None,WHT BWLCUT,None,DRIP VISION,None,SKULL WEBZ TAT,None,35.76125466291252,63
63,ICE,None,BRWN HiTECH Gown,None,Demon,None,BLND Hairclip,None,None,None,None,None,20.24536459664132,64
64,None,None,SPACE TRIP Tee,None,Demon,None,GRN Shape Up,Mustache,None,None,None,None,17.970457808096292,65
65,None,None,WHT PNK Fur Coat,None,Robot,None,BLND Curtains,None,None,Cross Earring,None,None,19.514599743123874,66
66,None,None,BLCK TCTL Vest,BLU CRYSTL,Human,None,YU-BLCK,None,None,None,369 VSN TAT,None,23.44119182226472,67
67,None,None,WAGMI Tee,PNK,Human,None,BLCK Spiked,Bamboo,None,None,None,None,18.552566376116555,68
68,None,None,PURP HiTECH Dress,PNK-BLU,Human,None,BLU Head Scarf,None,VSN Glasses,None,None,None,21.326241834489213,69
69,None,None,BRED KBA JCKT,CLSD BRWN,Human,None,BLND Quiff,Angry,SPiKED BILLIONAIRE,None,None,None,32.093617331425136,70
70,MURAKAMI DRIP,RD ZK-BEADZ,BLCK GM Tee,None,Robot,None,Flower Hat,None,None,None,None,None,24.348587404950138,71
71,Divine,None,BLCK BKR JCKT,None,Angel,None,None,Romantico,None,GLD Round,None,None,46.26311789637565,72
72,None,None,CLNX FRSH Shirt,BLU-PURP,Human,None,RD Stylish,None,None,Cross Earring,STARVSN TAT,None,38.566019249030916,73
73,MURAKAMI DRIP,None,BLCK Jellyfish Tee,SPINNING,Human,None,RD Long,None,None,None,None,None,18.75037957255821,74
74,None,None,PNK Fur Coat,PURP,Human,None,GOAT HRNS,Mustache,None,None,None,None,18.71155766887167,75
75,None,None,WHT KBA JCKT,BRWN,Human,None,PNK Curtains,RNBW GRILLZ,Aviator,None,None,None,31.465232964695616,76
76,None,CYN Two Piece,GM MONO HOODIE,None,Angel,None,DAD Cap,None,None,None,None,None,18.21837277712001,77
77,MURAKAMI DRIP,SLVR G-Link,CLNX Tee,AWAKEN,Robot,None,RD Wrap,None,None,PTRA Earring,None,None,48.421680344739585,78
78,None,DRIP CHRM,Blade Melt Tee,None,Robot,None,RD Hairclip,None,None,None,None,None,14.050464428466558,79
79,None,GLD G-Link,CLNX Tee,PURP,Human,None,BRED Buns,None,None,None,TRi TAT,None,33.06715791944148,80
80,None,G-PDLCK,PNK Utility Vest,None,Robot,None,BLU Braid,SMILE,BILLIONAIRE,None,None,None,37.35856910715156,81
81,ICE,CYN CBLE,BLCK Waistcoat,None,Demon,None,None,Bamboo,Cyber Bindi,None,None,None,53.84940453458705,82
82,MURAKAMI DRIP,SLVR G-Link,RTFKT CHROME Tee,GRN,Human,None,BLND Curtains,PSYCHIC LAZER,VSN Glasses,None,BIRTHMRK,None,66.47045512908872,83
83,None,None,GM HOODIE,PURP,Human,None,BLCK Curtains,None,Cyber Eye Patch,None,None,None,20.848322714110047,84
84,Divine,None,LAVA METAJACKET,None,Angel,None,None,Angry,None,None,None,None,30.2736235923585,85
85,None,None,SPACE TRIP Tee,PURP,Human,None,TECH Cap,Angry,Cyber Eye Patch,None,HRUS TAT,None,45.66233312541038,86
86,MURAKAMI DRIP,SG-PDLCK,BLCK Jellyfish Tee,AWAKEN,Human,None,YU-BLU,None,None,None,None,None,29.117483640066183,87
87,None,None,BLU Tech JCKT,None,Undead,None,PURP Wrap,None,None,None,None,None,9.290455812601966,88
88,None,None,Future Dress,None,Robot,None,BLCK Stylish,None,None,None,None,None,3.874096805623991,89
89,MK1,CHRM,WAGMI Tee,None,Robot,None,WHT Curtains,None,BILLIONAIRE,None,None,None,38.639693837429824,90
90,Divine,CYN CBLE,Blade Melt Tee,None,Angel,None,BRWN Ponytail,None,None,GLD Round,None,None,46.40317621489768,91
91,None,None,BLCK GM Tee,None,Robot,Sword Sheath,None,ROBO,None,None,None,None,30.09368392291336,92
92,None,None,Blade Melt Tee,YLLW,Human,None,WHT Otaku,Pilot Mask,None,None,None,None,18.50430577124081,93
93,None,S-PDLCK,CLNX FRSH Shirt,None,Robot,None,BLND Flower Wreath,None,None,None,None,None,14.298409415824914,94
94,None,CHRM,Blade Melt Tee,PNK-BLU,Human,None,BLCK Horn Headband,ROBO,None,None,369 TAT,None,43.32034501368871,95
95,MURAKAMI DRIP,None,PNK Fur Coat,GRN,Human,None,LoneSome Cowboy,Tan Tan Bo,Cyber Bindi,None,SWRD TAT,None,56.17820841912567,96
96,None,SG-PDLCK,CLNX Tee,None,Robot,None,BRWN 1 Horn,None,Eye Patch,None,None,None,26.93773863521069,97
97,None,RNBW CBLE,BLCK-BLK Waistcoat,None,Robot,None,GRN Stylish,None,None,None,None,None,14.280429395890899,98
98,None,None,BRED KBA JCKT,None,Robot,None,BLCK BRDZ,None,None,None,None,None,3.7274101995824407,99
99,None,KAWAII CHRM,V2 WHT SKL GRL,BLU-PURP,Human,None,TEAL Spiked,None,Cyber Bindi,None,None,None,31.97339319594727,100
100,None,None,GRN TCTL Vest,CLSD BLU,Human,None,WHT Ponytail,RNBW GRILLS,SPiKED BILLIONAIRE,Gold Round Earrings,Angry TAT,None,63.063917287787,101
101,None,SLVR CBLE,V4 WHT SKL GRL,None,Robot,None,BLCK Stylish,None,None,RTFKT Earrings,None,None,30.299004506695738,102
102,None,None,GRN HAWAIIAN Shirt,BLU-PURP,Human,None,RD Pigtails,RNBW GRILLS,Eye Patch,None,None,None,31.845668270690613,103
103,ICE,S-HIRE G-Link,BLU HAWAIIAN Shirt,None,Demon,None,BLCK Samurai,TCTL SMILE,None,None,None,None,41.10314441202731,104
104,None,GLD Two Piece,BLCK PIN BKR JCKT,CLSD PNK,Human,None,BRWN Stylish,None,None,None,None,None,19.207431544362652,105
105,None,None,RD VARSITY JCKT,None,Angel,None,BLCK BWLCUT,RNBW GRILLZ,Assault Glasses,None,None,None,31.125376597476205,106
106,None,None,BLCK BNDN Shirt,None,Robot,None,BLND Curtains,RNBW GRILLZ,Assault Glasses,None,None,None,27.110937803372547,107
