,Beard Gene,Bones Gene,Teeth Gene,Nose Gene,Eyes Gene,Hair Gene,Skull Gene,Background ID,NAME,UNIQUENESS INDEX,Noname Trait,Rarity score,Token Id
0,#8,#15,#2,#2,#22,#122,#0,#15,Culmatrak,26,None,7.185325535081921,0
1,#8,#15,#5,#2,#45,#93,#0,#124,Hontaalthohr,22,None,0.3740392505828988,1
2,#8,#15,#0,#5,#9,#98,#10,#60,Thosurdarm,22,None,0.7274769409479542,2
3,#8,#9,#1,#7,#73,#1,#5,#22,Healnoul,12,None,46.2778197973539,3
4,#8,#15,#5,#6,#88,#7,#8,#14,Rauhri,22,None,0.8713475191435966,4
5,#8,#15,#8,#6,#42,#13,#1,#79,Sechiuh,22,None,1.0151909681542477,5
6,#8,#15,#8,#6,#13,#52,#10,#6,Thiummouhal,22,None,0.9864234302896737,6
7,#8,#5,#4,#6,#5,#75,#6,#34,Khardec,12,None,46.28190360648095,7
8,#8,#11,#5,#2,#2,#122,#3,#69,Krizutrohr,16,None,37.52417238429403,8
9,None,None,None,None,None,None,None,None,Terminator,1,None,100.0,9
10,#4,#15,#9,#1,#2,#122,#1,#63,Bhaophristhel,15,None,42.13933649507187,10
11,#8,#12,#8,#4,#88,#122,#8,#58,Biblimahr,16,None,37.273499569719554,11
12,#8,#15,#0,#7,#66,#122,#12,#44,Broneac,25,None,1.4799478966269854,12
13,#8,#15,#4,#5,#1,#52,#5,#24,Heachol,22,None,0.7562769544087944,13
14,#8,#15,#6,#6,#31,#10,#9,#66,Erdurr,22,None,1.224788497565727,14
15,#8,#15,#1,#6,#11,#122,#13,#96,Roidhaodoih,25,None,1.9484882088464355,15
16,#8,#15,#3,#7,#54,#76,#8,#61,Friudu,22,None,1.2083907767516775,16
17,#8,#15,#7,#6,#79,#122,#2,#42,Vudax,25,None,1.9443604182497454,17
18,#8,#5,#2,#2,#80,#36,#2,#76,Pheabhaal,13,None,50.77812705178,18
19,None,None,None,None,None,None,None,None,Thor,1,None,100.0,19
20,None,None,None,None,None,None,None,None,Catrina,1,None,100.0,20
21,#8,#15,#2,#4,#25,#92,#14,#70,Gozzucun,22,None,0.7069436110390785,21
22,#8,#15,#3,#3,#17,#121,#2,#50,Sthraothruz,22,None,0.7398159251079004,22
23,#8,#15,#5,#6,#22,#122,#3,#108,Naddigrouk,25,None,1.8539904390986621,23
24,None,None,None,None,None,None,None,None,Don Salvador,1,None,100.0,24
25,#0,#15,#4,#3,#88,#21,#8,#38,Sthrekas,11,None,52.06001494068032,25
26,#8,#15,#1,#7,#44,#70,#9,#91,Dundos,22,None,1.1795903490107902,26
27,None,None,None,None,None,None,None,None,Morpheo,1,None,100.0,27
28,#7,#15,#8,#1,#5,#24,#7,#74,Joltoth,11,None,52.26544480707046,28
29,#8,#15,#5,#0,#34,#6,#4,#33,Luurlixaa,22,None,0.7110393455197176,29
30,#8,#15,#9,#5,#23,#122,#7,#119,Sthauheashius,25,None,1.7018741286452845,30
31,#8,#15,#0,#7,#50,#122,#1,#6,Sthrubiszen,25,None,1.5456908757640013,31
32,#8,#15,#0,#0,#20,#86,#9,#47,Thokarzhiorm,22,None,0.7480020424577355,32
33,#8,#15,#3,#1,#52,#70,#3,#32,Xeakne,22,None,1.2617832583744324,33
34,#8,#1,#0,#3,#84,#25,#3,#6,Sthrextrett,12,None,45.776430184272066,34
35,#8,#15,#4,#3,#39,#122,#3,#46,Tabro,25,None,1.5251686518629508,35
36,None,None,None,None,None,None,None,None,Old Jack,1,None,100.0,36
37,#8,#15,#3,#2,#33,#66,#5,#71,Stiulfauddiuz,22,None,0.5918339955974015,37
38,#8,#15,#2,#1,#9,#86,#12,#70,Blagramiuth,22,None,0.6945807810072033,38
39,#8,#15,#4,#7,#61,#11,#6,#114,Vregrorr,22,None,0.990582057334952,39
40,#8,#15,#5,#2,#64,#122,#11,#28,Ghuulmaol,26,None,7.000386658468235,40
41,None,None,None,None,None,None,None,None,Captain Flint,1,None,100.0,41
42,None,None,None,None,None,None,None,None,Lilith,1,None,100.0,42
43,None,None,None,None,None,None,None,None,Slayer,1,None,100.0,43
44,#8,#15,#6,#0,#8,#81,#12,#25,Fruusziol,22,None,1.048074379928872,44
45,#8,#15,#1,#6,#30,#93,#2,#130,Raophrouxxiuth,22,None,1.0028532136971766,45
46,#8,#4,#6,#2,#41,#89,#4,#37,Bossixak,12,None,45.84627835434953,46
47,#8,#15,#2,#4,#50,#37,#14,#113,Aogriokioth,22,None,0.7110455072625894,47
48,#8,#15,#6,#0,#3,#41,#5,#129,Priaxxek,22,None,0.8219673125901168,48
49,#8,#15,#7,#0,#11,#54,#12,#84,Keahraomlou,22,None,0.9658596836861181,49
50,#8,#2,#8,#4,#50,#103,#3,#118,Dhourriadhuuth,12,None,46.22850906294599,50
51,#8,#15,#8,#4,#84,#104,#10,#63,Glialion,22,None,0.5507476119075203,51
52,#8,#15,#10,#4,#70,#39,#1,#121,Vanunraak,22,None,0.5877345636148844,52
53,#4,#15,#5,#6,#2,#122,#7,#65,Lonreth,15,None,42.43115488319882,53
54,#8,#15,#6,#2,#34,#122,#13,#43,Sloddao,25,None,1.3895347587275737,54
55,#8,#6,#6,#6,#14,#122,#14,#89,Rougrou,16,None,38.02556240800668,55
56,#8,#12,#0,#2,#7,#122,#8,#12,Wriasthu,16,None,37.02278112914513,56
57,#8,#14,#5,#4,#5,#49,#8,#67,Brirzhuzeth,12,None,45.71068514477376,57
58,#8,#15,#0,#0,#64,#101,#6,#32,Soingou,22,None,0.7726923513235716,58
59,#8,#15,#7,#1,#8,#103,#5,#68,Slogeca,22,None,0.9493604228416487,59
60,#8,#15,#9,#6,#77,#70,#12,#53,Thuggebla,22,None,0.990529025474759,60
61,#8,#15,#8,#7,#72,#37,#12,#124,Zaursebrec,22,None,0.7768522077980317,61
62,#8,#15,#6,#2,#76,#50,#0,#59,Viadhiz,22,None,0.7768230230870019,62
63,#8,#6,#2,#6,#53,#79,#5,#30,Hidukraan,12,None,46.21616596864627,63
64,#8,#15,#9,#4,#59,#49,#1,#91,Umfaotrou,22,None,0.7192661570119634,64
65,#8,#15,#8,#2,#15,#122,#4,#85,Cobriukkir,26,None,7.0949214342533375,65
66,#8,#15,#5,#4,#11,#122,#5,#0,Sloiblistrass,26,None,7.127853766379921,66
67,#8,#15,#9,#1,#30,#122,#3,#59,Xukraol,25,None,1.8087828412911646,67
68,#8,#15,#4,#3,#22,#122,#4,#51,Russu,25,None,1.414201218163471,68
69,#8,#15,#9,#2,#15,#91,#9,#2,Treakaurdutt,22,None,0.5055182237541325,69
70,None,None,None,None,None,None,None,None,La Llorona,1,None,100.0,70
71,#8,#15,#2,#5,#33,#69,#7,#29,Ghensius,22,None,0.949409754371802,71
72,#8,#15,#2,#5,#50,#79,#10,#65,Maubriandruth,22,None,0.8261185428982495,72
73,#8,#12,#8,#7,#4,#29,#5,#105,Shousthearou,12,None,45.96138344783463,73
74,#8,#15,#2,#6,#64,#29,#9,#26,Shialrorsea,22,None,1.274109505133512,74
75,#8,#5,#2,#5,#84,#122,#4,#113,Drubess,16,None,37.58579003880874,75
76,#8,#15,#6,#4,#68,#101,#13,#80,Gosol,22,None,0.8754687362718363,76
77,#8,#12,#2,#2,#80,#122,#5,#16,Blodrio,16,None,37.26112153293688,77
78,#4,#15,#4,#5,#49,#83,#13,#71,Lluushio,11,None,52.32712288407003,78
79,#8,#15,#8,#0,#44,#122,#4,#97,Caaceth,25,None,1.6278726851410656,79
80,#8,#15,#1,#7,#20,#0,#2,#102,Slicheldauz,22,None,0.867241922498815,80
81,#8,#10,#9,#4,#42,#103,#4,#45,Dossaas,12,None,45.98599647372017,81
82,#8,#14,#3,#7,#79,#59,#13,#126,Dubaodditt,12,None,46.60244349748389,82
83,#3,#15,#9,#4,#47,#11,#3,#127,Ghinsiummouh,11,None,52.48740639548684,83
84,#8,#15,#5,#3,#12,#104,#3,#119,Thaozoi,22,None,0.6823042810618652,84
85,#8,#15,#5,#3,#51,#73,#10,#57,Khaontaan,22,None,0.300027114164899,85
86,#8,#15,#0,#7,#37,#122,#10,#23,Edrux,25,None,1.4306034580147047,86
87,#8,#15,#7,#2,#27,#122,#13,#28,Dhaakiobbauh,25,None,1.401865109422711,87
88,#8,#15,#2,#5,#63,#12,#9,#67,Dronti,22,None,0.7891032251869999,88
89,#8,#15,#3,#5,#61,#31,#6,#96,Drurzinek,22,None,1.117967356204367,89
90,#8,#15,#5,#0,#11,#73,#8,#17,Yaalfurdeal,22,None,0.48088012576056943,90
91,#8,#5,#5,#1,#77,#122,#8,#10,Tauthrauh,16,None,37.252952270608624,91
92,#8,#15,#4,#7,#16,#122,#9,#56,Kriphruss,25,None,1.7964010929570375,92
93,#8,#15,#10,#7,#63,#117,#5,#129,Theghabu,22,None,0.6452568990237734,93
94,#8,#5,#6,#2,#23,#122,#9,#23,Xolti,16,None,37.437842640967936,94
95,#8,#15,#3,#4,#44,#82,#10,#27,Rigrirr,22,None,0.990546289393753,95
96,#1,#15,#6,#1,#11,#109,#6,#67,Jahliuthrioz,11,None,52.265482621961986,96
97,#8,#15,#9,#2,#35,#72,#0,#6,Brurzhi,22,None,0.5425327204774619,97
98,#8,#15,#6,#5,#87,#5,#11,#48,Jidrugihr,22,None,0.8631256401475027,98
99,#5,#2,#8,#3,#79,#122,#2,#44,Phrianion,5,None,73.97170078250672,99
100,#8,#15,#0,#3,#50,#122,#3,#14,Oixxiz,25,None,1.4594223918761102,100
101,#8,#4,#4,#2,#2,#122,#5,#124,Xorphuuz,16,None,37.183057651080055,101
102,#8,#15,#7,#2,#28,#72,#11,#71,Drilphiuhleah,22,None,0.6123849954945269,102
103,#8,#15,#8,#6,#88,#56,#1,#47,Glaurle,22,None,1.0562917402527061,103
104,#8,#15,#4,#1,#47,#76,#2,#43,Jiozzorriu,22,None,0.4849676321158071,104
105,#8,#15,#2,#5,#27,#122,#14,#57,Proirzu,25,None,1.6073669042623202,105
