,MOUTH,HAIR,CLOTHING,EYES,FUR,BACKGROUND,NAME,PIERCINGS,NECKLACE,HANDBAGS,Rarity score,Token Id
0,Desperate Pink,Pink Bandana,Stay Strong T-shirt ,Staring,Bubble gum,Macaroon,Stay Strong,None,None,None,41.32566798960625,1
1,Pout,GoodDollar Hat,GoodDollar Shirt,Awake,Sky,H2O,GoodDollar,GoodDollar Earrings,None,None,57.17631551855915,2
2,Desperate Cigarette,Bucket Hat,Bikini Red,Happy,Tan,Eggplant,None,None,Gold Chain,None,19.118264568602825,3
3,Juvederm,Tiara,Maroon Bra,Staring,Tan,Pumpkin,None,None,Pearls,None,20.42454410784332,4
4,Juvederm,Short Wild Brown Hair,Sport Top,Crying,Bubble gum,Blueberry,None,Double Loop Earings,Pearls,None,34.38037494722541,5
5,Desperate,Princess,Tie Dye,Sunglasses Rave,Silver,Oyster,None,Single Loop Earings,Ape Beaded Necklace,None,32.332353583272116,6
6,Pout Gummy Snake,Kate Hair,Rock T shirt,Angry,Snow White,Pumpkin,None,None,Tennis Necklace,None,25.741343663991973,7
7,Thinking,Minerva,White Buttoned Shirt,Happy,Snow White,Mint,None,None,None,None,9.879642351411325,8
8,Desperate Make Up,Bunny Ears,DAW T Shirt,Sunglasses High Fashion ,Ocean Sand,Pumpkin,None,Double Loop Earings,None,None,19.876027987555187,9
9,Desperate,Blonde Ponytails Hair,White Lingirie,Stoned,Tiger,Watermelon,None,Double Loop Earings,Leopard Scarf,None,32.218244869134374,10
10,Thinking,Short Wild Brown Hair,Pink Nightie,Awake,Snow White,Blueberry,None,Gold Heart Earings,Ape Beaded Necklace,None,31.596811989276635,11
11,Desperate Cigarette,Pink Pixie,Towel,Sunglasses Retro Red,Floral,Macaroon,None,None,Bow Tie,None,26.594225999298043,12
12,Desperate,Flower Crown,White and Black Shirt,Happy,Tan,Mint,None,Multipul Earrings,Ape Beaded Necklace,None,29.60586939714253,13
13,Desperate Pink,Short Wild Brown Hair,White Buttoned Shirt,Sunglasses Clubmasters,Tan,H2O,None,Single Loop Earings,None,None,18.157649749539896,14
14,Juvederm,Anna Hair,Nurse,Stoned Gold Eye Shadow,Sky,Pumpkin,None,Diamond Earings,None,None,23.205049440560877,15
15,Desperate,Nurse Hat,White Lingirie,Angry,Sky,Mustard,None,None,Ape Beaded Necklace,None,17.72015078548091,16
16,Desperate,Red Beret,Pink Nightie,Staring,Red Wine,Mustard,None,Cherry Earings,None,None,18.087913970269373,17
17,Desperate Peach,Blonde Ponytails Hair,Red Dress,Happy,Zebra,Oyster,None,Multipul Earrings,Pearls,Leather Bag,66.02695516854872,18
18,Desperate Pink,Bucket Hat,Rock T shirt,Cupid,Ocean Sand,Watermelon,None,None,Pearls,None,19.657241879564776,19
19,Desperate Pink,Marilyn Hair,Sport Bra,DAW VR,Ocean Sand,H2O,None,None,Yellow Diamond,None,22.241259982401814,20
20,Desperate Pink,Red Bandana,Prep School Girl,Happy,Bubble gum,Pumpkin,None,Single Loop Earings,None,None,21.14102646525747,21
21,Desperate,DAW Cap,Risky T shirt,Sweet,Sky,Eggplant,None,None,Multiple Necklaces,None,18.899565985131947,22
22,Desperate,Safari Hat,Kimono,Stoned,Tan,Mint,None,Multipul Earrings,None,None,16.553408445232957,23
23,Desperate Piercings,Snow Hair,Bikini Red,Sunglasses High Fashion ,Ocean Sand,Pumpkin,None,Single Loop Earings,None,None,19.343418980012984,24
24,Desperate,Short Wild Brown Hair,DAW T Shirt,Stoned,Charcoal,Pumpkin,None,Gold Heart Earings,None,None,12.352451756757329,25
25,Desperate,Pink Bandana,Sport Top,Hypnosis,Sky,H2O,None,Single Loop Earings,None,None,15.890800101270536,26
26,Angry,Tiara,Nun Outfit,Mutant,Bubble gum,Macaroon,None,None,None,None,12.571448751654135,27
27,Tongue Out,Tiara,DAW Yoga Top,LA Eyes,Tan,Macaroon,None,None,Bow Tie,None,24.644416697687586,28
28,Desperate Make Up,Tiara,Italian Bodysuit,Staring,Charcoal,Watermelon,None,None,Ape Beaded Necklace,None,22.390181249984575,29
29,Desperate,Amazon,Basketball Shirt,Sunglasses Butterfly,Tan,H2O,None,None,None,None,5.412348494678553,30
30,Flirt,Short Wild Brown Hair,Leather Jacket,Awake,Sparkles,Ice,None,Cherry Earings,None,None,23.90252868764802,31
31,Juvederm,Marilyn Hair,DAW T Shirt,Awake,Tan,Ice,None,Double Loop Earings,PEACE Pendant,None,31.859944393325197,32
32,Desperate Pink,Short Wild Blonde Hair,Rock T shirt,Happy,Peach,Mustard,None,Double Loop Earings,None,None,19.910905547936643,33
33,Desperate,Red Bandana,Cleopatra,Sunglasses Pixel,Tan,H2O,None,Double Loop Earings,Tennis Necklace,None,30.078247193046735,34
34,Desperate Peach,Short Wild Brown Hair,Tie Dye,Awake,Charcoal,H2O,None,None,Pearls,None,18.34468378126031,35
35,Desperate,Strawberry Blonde Wave Hair,J Jacket,Sunglasses High Fashion ,Ocean Sand,Oyster,None,Multipul Earrings,None,None,15.928764140672646,36
36,Tongue Out Gummy Bear,Short Wild Brown Hair,Towel,Mutant,Tan,Ice,None,Single Loop Earings,Ape Beaded Necklace,None,32.820579192603326,37
37,Desperate Pink,Baseball Cap,White Lingirie,Mutant,Snow White,Mustard,None,None,None,None,9.993761840301882,38
38,Open Strawberry,Towel,Rock T shirt,Angry,Banana,Mint,None,None,None,None,12.384398547987182,39
39,Open Lollipop,Beanie,Lingerie,Stoned Gold Eye Shadow,Tattoos,Blueberry,None,Multipul Earrings,None,Orange Bag,56.79917711250485,40
40,Thinking,Alice Hair,DAW T Shirt,Stoned,Red Wine,Watermelon,None,None,None,None,8.995051062703654,41
41,Thinking,Anna Hair,Rock T shirt,Angry,Charcoal,Macaroon,None,None,None,None,8.880899541329066,42
42,Flirt,Minerva,J Jacket,Awake,Ocean Sand,H2O,None,Multipul Earrings,None,None,21.033209630045672,43
43,Smile Diamond Grill,Police Hat,DAW T Shirt,Sweet,Tattoos,Macaroon,None,Gold Heart Earings,Chupa Chups,None,37.208294667813355,44
44,Desperate Pink,Blonde Ponytails Hair,Sport Top,Angry,Ocean Sand,Mustard,None,None,None,None,6.639329973033006,45
45,Desperate Pink,Short Wild Brown Hair,Nun Outfit,Sunglasses Rave,Bubble gum,Ice,None,Single Loop Earings,Chupa Chups,None,35.35999287985259,46
46,Desperate,Towel,Towel,Pink Beam,Camouflage,Watermelon,None,Double Loop Earings,Yellow Diamond,None,35.54075152205489,47
47,Desperate,Strawberry Blonde Wave Hair,Sport Bra,Sweet,Sky,Mint,None,Gold Heart Earings,Tennis Necklace,None,29.739001831537298,48
48,Pout,Earphones,Amazon,Staring,Tattoos,Mustard,None,None,Multiple Necklaces,None,24.549273677499972,49
49,Desperate,Sweat Headband,Kimono,Sunglasses Butterfly,Red Wine,Oyster,None,Cherry Earings,None,None,20.89696344669886,50
50,Desperate Cigarette,Pink Pixie,Cabin Crew Jacket,Awake,Peach,Eggplant,None,None,Ape Beaded Necklace,None,21.413732562989686,51
51,Angry,Long Black Hair,Red Dress,Crying,Zebra,Mustard,None,Double Loop Earings,Bow Tie,None,38.85052633230718,52
52,Desperate Pink,DAW Cap,Sport Top,Mutant,Ocean Sand,Blueberry,None,None,None,Leather Bag,36.74792201761726,53
53,Desperate Cigarette,Red Beret,DAW T Shirt,Sunglasses Clubmasters,Red Wine,H2O,None,None,None,None,9.283594198758182,54
54,Pout,Bucket Hat,Wedding Dress,Happy,Zebra,Blueberry,None,None,Gold Chain,None,23.591794171110468,55
55,Open Lollipop,Long Black Hair,Bikini Red,Stoned,Banana,Blueberry,None,None,None,None,11.426879714823093,56
56,Thinking,Short Wild Brown Hair,Cleopatra,Crying,Ocean Sand,Pumpkin,None,Gold Heart Earings,None,None,17.81520596699532,57
57,Tongue Out,Strawberry Blonde Wave Hair,Sequin Dress,Sunglasses Rave,Peach,Mint,None,None,None,None,10.361578937701417,58
58,Desperate Peach,Red Bandana,White Lingirie,Mutant,Tiger,Macaroon,None,Double Loop Earings,None,Orange Bag,52.446578895302665,59
59,Smile,Baseball Cap,Tie Dye,Sweet,Tropical,Watermelon,None,None,None,None,13.189720947200284,60
60,Desperate Pink,Safari Hat,Fairy Dress,Hypnosis,Peach,Pumpkin,None,Double Loop Earings,None,None,21.670522036875294,61
61,Desperate,Pink Pixie,Tie Dye,Staring,Red Wine,Macaroon,None,None,PEACE Pendant,None,17.970611594200776,62
62,Pout,Long Black Hair,Naughty Schoolgirl,Staring,Tan,Eggplant,None,Gold Heart Earings,None,None,19.318062474208748,63
63,Desperate Pink,Bucket Hat,Sequin Dress,Happy,Tan,Pumpkin,None,Cherry Earings,None,None,20.494296695320074,64
64,Desperate Make Up,Short Wild Blonde Hair,Nurse,Sweet,Charcoal,Blueberry,None,Single Loop Earings,Chupa Chups,None,35.73092562928288,65
65,Desperate Cigarette,Puffy Hair,Wedding Dress,Hypnosis,Tiger,H2O,None,None,None,None,11.017878916919207,66
66,Tongue Out Gummy Bear,Minerva,Wedding Dress,Marilyn,Tan,Ice,None,None,Ape Beaded Necklace,None,24.076925055872614,67
67,Desperate,Strawberry Blonde Wave Hair,Wedding Dress,Sunglasses High Fashion ,Sky,Mustard,None,Multipul Earrings,Tennis Necklace,None,31.010308358423057,68
68,Desperate,Blonde Ponytails Hair,Pink Nightie,Crying,Camouflage,Blueberry,None,Gold Heart Earings,Gold Chain,None,30.23359257066066,69
69,Lip Bite,Headphones,DAW T Shirt,Mutant,Sky,Mustard,None,None,Ape Beaded Necklace,None,22.567772868994705,70
70,Juvederm,Snow Hair,Wedding Dress,LA Eyes,Tan,Mint,None,Double Loop Earings,None,None,21.38837320573426,71
71,Desperate Peach,Curly Blonde Hair,White Lingirie,Happy,Tan,Blueberry,None,Cherry Earings,None,Orange Bag,50.60155605692531,72
72,Desperate,Red Beret,J Jacket,Awake,Sky,H2O,None,None,None,None,3.1357370936149134,73
73,Desperate,Bucket Hat,White Blazer,Happy,Zebra,Watermelon,None,None,None,None,6.160558190239594,74
74,Desperate,Curly Blonde Hair,Pink Nightie,Sunglasses High Fashion ,Ocean Sand,Mint,None,Cherry Earings,None,None,16.791193221414762,75
75,Desperate Pink,Safari Hat,Sequin Dress,Hypnosis,Tattoos,Blueberry,None,Single Loop Earings,Gold Chain,None,35.017616958299506,76
76,Thinking,Cleopatra,Tie Dye,Cupid,Charcoal,Pumpkin,None,None,Leopard Scarf,None,23.804234177773452,77
77,Desperate Cigarette,Anna Hair,Lois Top,Sunglasses Rave,Red Wine,H2O,None,None,None,None,10.025488553308321,78
78,Pout Whistle,Flower Crown,White Blazer,Stoned,Peach,Ice,None,None,None,None,11.455438767110913,79
79,Desperate Make Up,Safari Hat,Red Dress,Staring,Red Wine,Ice,None,None,None,None,8.887262448188475,80
80,Thinking,Short Wild Brown Hair,Kimono,Sunglasses Cyclops,Ocean Sand,Macaroon,None,Gold Heart Earings,None,None,19.365558672365925,81
81,Angry,Puffy Hair,J Jacket,Staring,Sky,Eggplant,None,None,None,None,8.532121069454837,82
82,Juvederm,Bucket Hat,Red Dress,Hypnosis,Ocean Sand,Macaroon,None,None,None,None,7.5904713016782175,83
83,Juvederm,Pink Pixie,Rock T shirt,Staring,Tattoos,Oyster,None,Single Loop Earings,None,None,20.58625398046757,84
84,Tongue Out Gummy Bear,Police Hat,Pink Nightie,Angry,Charcoal,Ice,None,Single Loop Earings,Leopard Scarf,None,37.11002933059701,85
85,Thinking,Bride Veil,Nurse,Sunglasses Gold Aviators ,Ocean Sand,Mint,None,None,Ape Beaded Necklace,None,22.228563972182048,86
86,Tongue Out Gummy Bear,Curly Blonde Hair,White Lingirie,Cupid,Tiger,Eggplant,None,None,Bow Tie,None,26.800285970759862,87
87,Pout Whistle,Halo,Musk Jacket,Sunglasses High Fashion ,Sky,Ice,None,Diamond Earings,None,None,24.44462830958646,88
88,Thinking,Puffy Hair,Wedding Dress,Awake,Peach,Ice,None,Single Loop Earings,Multiple Necklaces,None,33.812887428325396,89
89,Thinking Teal,Anna Hair,Red Dress,Sunglasses Rave,Camouflage,Mustard,None,Gold Heart Earings,None,None,24.042015467299997,90
90,Pout Pink,Red Bandana,X Top,Sunglasses Clubmasters,Tan,Oyster,None,Single Loop Earings,None,None,22.377529634448837,91
91,Desperate Make Up,Nurse Hat,Tie Dye,Reading Glasses,Tiger,Pumpkin,None,Multipul Earrings,Gold Chain,None,37.750417756692634,92
92,Angry,Pink Pixie,White Lingirie,Hypnosis,Red Wine,Ice,None,Single Loop Earings,None,None,22.78336245642482,93
93,Desperate,Curly Blonde Hair,Naughty Schoolgirl,Sunglasses Pixel,Tattoos,Pumpkin,None,None,Ape Beaded Necklace,None,20.031431713511676,94
94,Pout,Halo,Lingerie,Crying,Charcoal,Macaroon,None,None,Multiple Necklaces,None,23.57280786927119,95
95,Desperate Pink,Police Hat,Nun Outfit,Crying,Zebra,Oyster,None,None,None,None,11.972239279766828,96
