,Rarity Rank,Grade Combo,Eyes Grade,Eyes,Nose Grade,Nose,Mouth Grade,Mouth,Head Grade,Head,Body Grade,Body,Background,Rarity score,Token Id
0,7362,R2D2F1,Damaged,Lazy,Rotten,Skull,Fresh,Grimace,Rotten,Mullet,Damaged,Red Baseball,Orange,30.487744279991936,1
1,9372,D2F3,Fresh,Moody,Fresh,Ring,Damaged,Smiley,Fresh,Bouffant,Damaged,Tee With Vest,Blue,5.268584753129789,2
2,7477,R1D1F3,Fresh,Worried,Damaged,Broken,Fresh,Bulldog,Fresh,Slick,Rotten,Tee With Vest,Blue,18.06446226015096,3
3,2291,R3D1F1,Damaged,White Glasses,Rotten,Skull,Rotten,Toothy,Rotten,Cornrows,Fresh,Red Tracksuit,Orange,47.66350678018856,4
4,8623,D3F2,Fresh,Reptile,Fresh,Normal,Damaged,Grimace,Damaged,Mohawk,Damaged,Red Bow Tie,Orange,9.89696590825183,5
5,7707,R2D1F2,Fresh,Bright,Rotten,Skull,Fresh,Mo,Damaged,Bantu Knot,Rotten,Silver Puffer,Blue,24.725083843260805,6
6,7032,R2D2F1,Rotten,Lazy,Rotten,Skull,Fresh,Snarl,Damaged,Beret,Damaged,Blue Tracksuit,Orange,31.217971739588513,7
7,4102,R1D1F3,Damaged,Dead,Rotten,Skull,Fresh,Lips,Fresh,Curtains,Fresh,Sand Camo Jacket,Charcoal,30.431570873504338,8
8,5161,D3F2,Fresh,Spooky,Fresh,Normal,Damaged,Fang,Damaged,Orange Bucket,Damaged,Spotty Fur,Pink,26.500315929938655,9
9,1263,D4F1,Damaged,Thick Rim,Damaged,Bleeding,Fresh,Toothy,Damaged,Space Buns,Damaged,Green Flannel,Blue,23.90563126305476,10
10,3536,R2D2F1,Rotten,Sad,Fresh,Normal,Rotten,Grimace,Damaged,Curtains,Damaged,Dark Grey Brand Tee,Pink,51.61904626374225,11
11,915,R3F2,Rotten,Demon,Rotten,Skull,Fresh,Toothy,Rotten,Bandana,Fresh,Tatts,Pink,61.22246123263066,12
