,Gender,Background,Eyewear,Hats,Clothing,Mouth,Fur,Eyes,Earring,Rarity score,Token Id
0,Doggo,Gray,Polarized,Stuntman Helmet,Iron Collar,Beauty,Blue,Covered,None,45.115803712255506,0
1,Doge,Lime,None,Popstar Hair,Adventurer Cape,Teeth Showing,Blue,Skeptical,None,31.257384287701935,1
2,Doggo,Green,Futuristic,None,None,Pizza,Tiger,Tired,None,42.62517920514893,2
3,Doge,Green,None,Plumber Hat,General Jacket,Mouth Open,Gray,Skeptical,None,30.80967681252694,3
4,Doge,Beige,3D Glasses,None,Hazard Suit,Tongue Out,Tiger,Covered,None,39.29615908973696,4
5,Doge,Lime,Sunglasses,None,Overlord Cape,Underbit,Green,Covered,None,36.776524517237114,5
6,Doge,Gray,Teashades,None,None,Mouth Open,Original,Covered,Silver Piercing,62.17393419805997,6
7,Doggo,Orange,None,None,Life Vest,Double Chin,Cyborg,Skeptical,None,26.166036568791,7
8,Doge,Green,3D Glasses,None,Adventurer Jacket,Whistle,Iceberg,Covered,None,36.66717126939126,8
9,Doge,Gray,None,Bucket Hat,None,Smile,Wave,Robot,None,23.737184477130587,9
10,Doge,Gray,None,Nerdy Hair,V-Neck,Mouth Open,Tiger,Rolling Eyes,Ruby Earring,67.5418036519624,10
11,Doge,Purple,Sunglasses,None,Iron Collar,Tongue Out,Iceberg,Covered,None,33.28073501903654,11
12,Doggo,Beige,None,Tophat,Rag Cape,Original,Snow,Cyborg,None,31.37175307281545,12
13,Doggo,Gray,Retro Glasses,Newsboy,Bandana,Iron Jaw,Black,Covered,None,45.56377888265992,13
14,Doge,Orange,Retro Glasses,Slouch Hat,Varsity Jacket,Double Chin,Teal,Covered,None,49.897580535234546,14
15,Doge,Gray,None,Newsboy,Gold Collar,Teeth Showing,Blue,Puppy Eyes,Silver Piercing,64.59860331936473,15
16,Doggo,Lime,Teashades,None,Sphere Necklace,Pizza,Original,Covered,None,37.21013898177931,16
17,Doge,Blue,None,Army Hat,Bandana,Cavities,Pink,Crosseyed,None,32.7719162697222,17
18,Doggo,Green,None,None,None,Double Chin,Original,Tired,None,12.66347274878079,18
19,Doggo,Lime,None,None,Royal Cape,Beauty,Acid,Paranoid,Silver Piercing,60.812606771190836,19
20,Doggo,Purple,Eyepatch,None,Kimono,Beard,Teal,Bloodshot,None,54.28858253401005,20
21,Doge,Green,None,Spike Hair,Striped Tie,Original,Zebra,Bloodshot,None,30.12394280864708,21
22,Doggo,Blue,None,Nerdy Hair,Gakuran,Party Horn,Teal,Puppy Eyes,None,30.852475024434806,22
23,Doge,Red,None,Sleeper Cap,Business Casual,Smile,Giraffe,Skeptical,Ruby Earring,62.02692730642466,23
24,Doggo,Purple,Futuristic,Tophat,Tropical Shirt,Cavities,Green,Tired,None,58.527103932304826,24
25,Doge,Beige,Sunglasses,None,None,Iron Jaw,Spot,Covered,Gold Earring,65.77893311317364,25
26,Doge,Beige,Sunglasses,Pickelhaube,Dog Collar,Cavities,Green,Covered,None,44.73952392410923,26
27,Doge,Lime,Polarized,Flatcap,Party Suit,Pierced,Black,Covered,None,44.58718240921435,27
28,Doge,Blue,Sunglasses,None,Scarf,Mustache,Wave,Covered,None,37.24326289240069,28
29,Doggo,Lime,None,Stuntman Helmet,Party Suit,Tongue Out,Gray,Puppy Eyes,None,30.209478263572116,29
30,Doge,Orange,3D Glasses,Tophat,ETH Collar,Muzzle,Gray,Covered,None,49.31172124599452,30
31,Doge,Beige,3D Glasses,Afro Hair,Tropical Shirt,Original,Tiger,Covered,None,44.59208076736889,31
32,Doggo,Beige,3D Glasses,Miner Helmet,Kimono,Grrrrr,Black,Covered,None,45.478002890640646,32
33,Doggo,Orange,Sunglasses,Emo Hair,Gold Collar,Smile,Black,Covered,None,40.52475505615351,33
34,Doge,Blue,Polarized,Pickelhaube,Dog Collar,Underbit,Coffee,Covered,None,42.577326871325305,34
35,Doge,Gray,None,Fox Mask,Scarf,Grrrrr,Coffee,Skeptical,None,28.42354957802496,35
36,Doggo,Orange,None,None,None,Original,Snow,Focused,None,9.853341027593748,36
37,Doge,Green,None,Unicorn Horn,Rider Jacket,Original,Iceberg,Robot,None,29.519090730525686,37
38,Doge,Gray,None,Bucket Hat,ETH Collar,Party Horn,Iceberg,Focused,None,29.3998955114463,38
39,Doge,Green,None,Doge Cap,Drifter Jacket,Tongue Out,Coffee,Tired,Silver Piercing,60.798195112054884,39
40,Doggo,Beige,None,Slouch Hat,Scientist Suit,Muzzle,Acid,Skeptical,None,34.4245210080569,40
41,Doge,Beige,None,Pickelhaube,Sweater,Pizza,Coffee,Tired,Spike Piercing,63.90327551826274,41
42,Doggo,Blue,None,Sailor Hat,Gakuran,Stick,Teal,Skeptical,None,32.36226012566569,42
43,Doggo,Gray,Eyepatch,None,Varsity Jacket,Smile,Chocolate,Eye Shadow,None,50.316658065553895,43
44,Doggo,Purple,Polarized,Popstar Hair,Striped Tie,Mustache,Teal,Covered,None,45.87784231802578,44
45,Doggo,Gray,None,None,Tropical Shirt,Original,Iceberg,Crying,None,19.84116306618772,45
46,Doggo,Gray,None,None,None,Mouth Open,Gray,Skeptical,None,13.64464988086256,46
47,Doge,Orange,None,Sleeper Cap,Tie,Double Chin,Black,Skeptical,Spike Piercing,64.93195678233697,47
48,Doge,Lime,None,Fox Mask,Bandana,Iron Jaw,Coffee,Focused,None,27.342380561071106,48
49,Doggo,Lime,Polarized,Stuntman Helmet,Scientist Suit,Tongue Out,Black,Covered,None,42.42024514327428,49
50,Doge,Beige,None,Helmet,Tropical Shirt,Smile,Teal,Focused,None,26.77556217263516,50
51,Doge,Beige,None,Tophat,Hoodie,Original,Giraffe,Crosseyed,None,31.195526121498013,51
52,Doggo,Beige,None,Doge Cap,Striped Tie,Smile,Pink,Crosseyed,None,30.000030713762193,52
53,Doggo,Red,None,Afro Hair,Kimono,Grrrrr,Iceberg,Eye Shadow,None,31.73370789258175,53
54,Doge,Purple,Cyclops Sunglasses,Tophat,None,Original,Green,Covered,None,37.75790932358517,54
55,Doggo,Orange,None,Spike Hair,None,Smile,Coffee,Skeptical,None,17.950216463951023,55
56,Doggo,Blue,None,Turban,Padded Vest,Original,Iceberg,Angry,None,28.68071275234079,56
57,Doge,Lime,None,Afro Hair,Tie,Whistle,Black,Beauty,Silver Piercing,64.55103487567835,57
58,Doggo,Red,None,Emo Hair,Dog Collar,Double Chin,Original,Bloodshot,None,33.424392051076005,58
59,Doggo,Gray,None,Helmet,Bandana,Original,Slime,Long Lashes,None,30.271517909587686,59
60,Doge,Purple,None,None,Winter Jacket,Tongue Out,Slime,Eye Shadow,Gold Earring,62.66051458721035,60
61,Doggo,Orange,None,Trapper Hat,Iron Collar,Tongue Out,Black,Crying,Ruby Earring,65.51301058558381,61
62,Doge,Gray,Polarized,Propeller Hat,Striped Tie,Original,Black,Covered,None,39.23400607037989,62
63,Doggo,Lime,None,Straw Hat,None,Smoking,Coffee,Focused,None,20.060056269142596,63
64,Doge,Red,None,Newsboy,None,Party Horn,Coffee,Robot,None,24.746862464645776,64
65,Doge,Green,Retro Glasses,Alpine Hat,Padded Vest,Smoking,Black,Covered,None,46.96388731037174,65
66,Doge,Purple,None,None,Adventurer Jacket,Original,Black,Tired,None,15.911737172232668,66
67,Doggo,Gray,None,None,None,Whistle,Gray,Tired,Ruby Earring,46.406044503977824,67
68,Doggo,Purple,None,Sailor Hat,Scarf,Smile,Gray,Scar,Silver Piercing,64.3938245480276,68
69,Doge,Green,Polarized,Propeller Hat,Scientist Suit,Original,Chocolate,Covered,Tube Piercing,77.13682610450189,69
70,Doggo,Lime,Polarized,None,None,Teeth Showing,Snow,Covered,None,27.179746918353626,70
71,Doggo,Red,Retro Glasses,Halo,Scarf & T-shirt,Teeth Showing,Iceberg,Covered,Triple Ruby Earring,81.3754961056133,71
72,Doggo,Gray,Futuristic,Plumber Hat,None,Underbit,Tiger,Tired,None,51.48347446509488,72
73,Doge,Red,None,Halo,General Jacket,Beard,Black,Tired,None,29.876110033926846,73
74,Doge,Gray,Teashades,Tophat,Scarf,Mouth Open,Teal,Covered,None,45.84938813729366,74
75,Doge,Green,None,Mohawk Hair,Rider Jacket,Teeth Showing,Coffee,Bloodshot,Triple Spike Earring,68.13233838466532,75
76,Doge,Purple,None,Bucket Hat,Tie,Pipe,Original,Long Lashes,Triple Ruby Earring,68.81332359149582,76
77,Doge,Blue,None,Flatcap,Gold Collar,Teeth Showing,Pink,Long Lashes,None,33.324407297439905,77
78,Doggo,Blue,None,Flatcap,Scarf,Original,Black,Focused,None,24.408490616182746,78
79,Doggo,Purple,None,None,Bandana,Smile,Tiger,Tired,Diamond Earring,52.373444765876,79
80,Doggo,Red,None,Sakkat,Sweater,Masculine,Original,Suspicious,None,33.88158234395003,80
81,Doggo,Lime,ScopeShot,Afro Hair,K9 Vest,Original,Spot,Crosseyed,None,59.998719582777284,81
82,Doge,Lime,None,Sleeper Cap,None,Beauty,Green,Demon Eyes,None,25.889933946131016,82
83,Doge,Gray,None,Flatcap,Rag Cape,Pizza,Iceberg,Sad,None,32.6529549281389,83
84,Doge,Gray,None,Sleeper Cap,ETH Collar,Pizza,Iceberg,Focused,None,28.761703751406202,84
85,Doge,Orange,None,None,Gold Collar,Original,Teal,Eye Shadow,None,21.932074378861742,85
86,Doge,Green,None,Turban,Tropical Shirt,Stick,Iceberg,Angry,None,33.41965849318329,86
87,Doggo,Orange,None,Spike Hair,Stonks,Mouth Open,Teal,Tired,Ruby Earring,61.9935185716941,87
