,head,background,body,hair,face,piercing,Rarity score,Token Id
0,tan,green,blue and yellow jacket,purple long,mustache,None,4.419645331597325,0
1,gradient 2,grey,purple sweater with satchel,white bucket cap,holographic beard,None,14.310575439525294,1
2,purple,yellow,blue fleece,poopie,designer glasses,None,5.549684889318034,2
3,pale,gradient 1,pink fleece,holographic mohawk,designer glasses,None,5.572145668855177,3
4,purple,gradient 2,spotted hoodie,purple long,happy,None,5.381826587228975,4
5,blue,green,combo 2 puffer,green brushcut,designer glasses,None,1.5664939657007624,5
6,gradient 2,gradient 1,blue fleece,purple cap,designer glasses,airpod,85.14227642004482,6
7,gradient 2,purple,combo 3 puffer,purple alfalfa,surprised,None,8.067212527366195,7
8,yellow,iridescent,combo 1 puffer,halo,in love,pearl,77.27697588782297,8
9,purple,light blue,white sweater,blue messy,blue check,None,8.872812868629982,9
10,green,pink,leopard hoodie,green mullet,chill cig,pearl,76.57221517633968,10
11,med,purple,blue and yellow jacket,purple brushcut,grumpy,None,3.155265197927119,11
12,yellow,grey,yellow puffer,cowboy,default,None,2.7300769881231286,12
13,tan,orange,navy sweater,blue brushcut,content,None,1.3874310117842052,13
14,pink,gradient 1,pink backpack,purple cap,default,None,2.316152729891888,14
15,blue,gradient 4,rainbow striped sweater,blue mohawk,surprised,None,4.397275189735647,15
16,green,green,pink fleece,halo,aviators with cig,None,8.179066590433024,16
17,yellow,purple,white turtleneck,blue puffballs,green beard,None,8.470018293640083,17
18,coffee,gradient 3,navy sweater,None,60s glasses,None,20.027955254382327,18
19,blue,grey,grey hoodie,blue puffballs,happy note,None,7.116134099322341,19
20,tan,fire,yellow backpack,brown mullet,happy,None,5.650368987526263,20
21,blue ape,blue,white collar,blue ape,ape,None,23.776335230488346,21
22,blue,blue,navy sweater,green mullet,designer glasses,None,1.1300753602906082,22
23,pink,space,pink and green jacket,blue toque,content,None,9.353977347443692,23
24,purple,gradient 4,combo 2 puffer,green bowlcut,blue beard,pearl,78.95523775696883,24
25,gradient 2,gradient 4,light blue puffer,blue brushcut,aviators with mustache,None,13.281218858698423,25
26,med,orange,green hoodie,blue messy,happy,hoop,72.5443857917483,26
27,pale,orange,pink fleece,pink,content,hoop,73.68557853236979,27
28,purple,fire,orange collar,yellow backwards cap,content,None,8.447620176549325,28
29,tan,gradient 4,yellow puffer,helmet,grumpy,None,3.737084684118975,29
30,blue,gradient 3,yellow puffer,green brushcut,happy,pearl,71.51510977639161,30
31,tan,gradient 2,blue turtleneck,green bowlcut,grumpy,None,2.1929966650854635,31
32,pale,light blue,purple chain,yellow backwards cap,default,None,5.717580117278649,32
33,purple,holographic,orange puffer,purple puffballs,chill cig,None,8.044822244571682,33
34,purple,gradient 2,green hoodie,crown,happy,None,5.214008571228521,34
35,green,gradient 1,combo 1 puffer,viking,in love,None,4.732948155308763,35
36,blue,grey,yellow puffer,white bucket cap,straw,None,4.576264291163869,36
37,tan,purple,white puffer,pink bucket cap,default,None,2.416824519227857,37
38,pink,light blue,blue turtleneck,blue toque,content,pearl,74.27854672117303,38
39,lit,blue,leopard hoodie,None,grumpy,None,14.713290565639639,39
40,purple,blue,combo 2 puffer,pink,mustache,None,5.504955794642996,40
41,pale,blue,leopard hoodie,green bowlcut,cobain glasses,None,8.246230722356989,41
42,green,holographic,yellow turtleneck,yellow headband,happy,airpod,81.55087122979857,42
43,pale,gradient 3,grey hoodie,pink headband,content,None,3.904940745814926,43
44,tan,fire,pink and green jacket,purple puffballs,sunglasses,None,6.388945063571977,44
45,yellow,gradient 1,pink backpack,purple alfalfa,chill cig,None,4.397243858264047,45
46,blue,green,combo 1 puffer,brown mullet,grumpy,None,0.760896986392883,46
47,balloon,gradient 2,None,None,sunglasses,None,13.773117997392974,47
48,med,fire,orange puffer,yellow backwards cap,pink beard,pearl,84.25847177749272,48
49,green,gradient 4,blue turtleneck,pink long,default,None,2.0363944904576416,49
50,purple,iridescent,pink fleece,blue puffballs,skeleton,airpod,88.25257755228859,50
51,pink,purple,pink and white jacket,brown mullet,aviators with mustache,None,8.08961959336057,51
52,orange,yellow,light blue puffer,blue afro,pink beard,None,8.693777891681362,52
53,purple,gradient 1,pink sweater with satchel,blue brushcut,grumpy,hoop,73.2604608091237,53
54,orange,light blue,blue and yellow jacket,pink,content,None,3.5357053018835063,54
55,gradient 1,gradient 3,combo 1 puffer,purple alfalfa,rainbow puke,None,14.836507054238195,55
56,med,yellow,green hoodie,yellow bowlcut,pink beard,pearl,78.77627551094574,56
57,pink,grey,purple sweater with satchel,purple brushcut,green beard,None,7.821027961797182,57
58,yellow,iridescent,orange puffer,pink tidy,surprised,None,5.807085296508087,58
59,orange,grey,green hoodie,pink,sunglasses,None,2.2937098556142246,59
60,med,orange,grey hoodie,blue mohawk,chill cig,None,3.3902003537365055,60
61,yellow,green,white sweater,purple puffballs,straw,None,4.643409405705065,61
62,gradient 1,gradient 3,yellow puffer,blue messy,cobain glasses,None,11.871431133251924,62
63,blue,gradient 1,navy sweater,yellow toque,surprised,None,2.9427136121787973,63
64,orange,gradient 2,green blazer,shaved,grumpy,None,4.721669649005665,64
65,orange,yellow,blue fleece,purple brushcut,aviators with cig,None,8.123159704552197,65
66,pink,pink,white turtleneck,blue brushcut,grumpy,pearl,72.0968643632217,66
67,green,space,combo 2 puffer,wizard,content,None,10.260267380570438,67
68,green,purple,pink puffer,purple cap,aviators with mustache,None,8.246227367853328,68
69,green,orange,pink sweater with satchel,blue nerd,mustache,None,4.274192976423925,69
70,pink,grey,white turtleneck,pink,surprised,hoop,72.7793746566291,70
