,Dance,Music,Background,Expression,Ears,Nose,Mouth,Head,Neck,Top,Eyewear,Eyes,Fur,Sex,Rarity score,Token Id
0,Big Nod,I Like to Party,Backalley,Anger,Santa Hat,Clown Nose,Lollipop,Flower Crown,FLUF Logo Chain,Pink Jacket,Cyberpunk Glasses,Mandala,Cheetah,Male,87.76841808623203,0
1,Subtle Nod,Space Fluffle,Swamp,Mouth Open (Left),Steel Rings,Diamond Stud,Lollipop,FLUF Cap,Tie,,,Blue,Smoothie,Male,43.41770405973704,1
2,Side Nod,Hop On By,Swamp,Mouth Open (Middle),Steel Rings & Studs,Gold Ring,Mooncrust Pizza,Bandana,Tie,,,Zombie,Zombie (Black),Male,54.32445845088333,2
3,Groove,NFT (Instrumental),Mystic Valley,Anger,Gold Rings & Studs,,Party Horn,Gold Cap,,,,Portal,Candy Floss,Male,30.571816237386134,3
4,Bob,I Love FLUF,Mansion,Mouth Open (Left) + Wink,Gold Rings,Steel Stud,Party Horn,,,,Star Glasses,Hypnotic,Moody Blue,Male,48.84284667998441,4
5,Subtle Nod,Run Rabbit,After Party,Grin + Wink,,Steel Stud,Tongue Out,,Glowstick Necklace,,,Xs,Black & White,Male,31.68364388024153,5
6,Bob,Wouldn't It Be,After Party,Anger,,Steel Ring,Party Horn,,Bowtie (Gold),Boob Tube,Heart Glasses,Green,Winter,Female,73.12945075354546,6
7,Side To Side,Floating or Flying,Beach,Smile,Steel Rings & Studs,Bone,,Cowboy Hat,,Dress,Sunglasses,Green,Sandy,Female,69.38857698640855,7
8,Round,Desert Digging,Mystic Valley,Mouth Open (Right),Gold Studs,Bull Ring,Joint,Flower Crown,Tie,Gold Jacket,Aviators,Blue,Tie Dye,Male,72.05460386590984,8
9,Side To Side,What the FLUF,The Front,Blank,Steel Rings,,,Army Helmet,FLUF Logo Chain,,Round Glasses,Demon,Darkness,Male,43.311818702077005,9
10,Side Nod,Ear Wobbler,Lambo,Mouth Open (Right),,,Carrot,Holographic Cap,,Tie Dye Singlet,,Scribble,Sandy,Male,21.855410701945317,10
11,Side To Side,I Like to Party,Dancing in the Shroomlight,Smile + Wink,Steel Rings,,Lip Piercings,Propeller Hat,VIP lanyard,,,Purple Rings,Smoothie,Male,41.21068253025122,11
12,Subtle Nod,Electric Carrots,Swamp,Mouth Open (Left),Steel Studs,Bull Ring,Lollipop,Birthday Hat,Peace Necklace,,,Reptile (White),Zebra,Male,45.60880004003822,12
13,Subtle Nod,Disco Rabbit,Beach,Mouth Open (Left),,Gold Ring,Party Horn,,Bowtie (Red),,Fake Eyelashes,Green,Cow,Male,44.44428802957004,13
14,Bob,FLUF Ocean,FLUF Haus Miami 2021,Mouth Open (Right),FLUF Tag,,Cigarette,Beanie,VIP lanyard,,,Zombie,Zombie (Red),Male,34.40993485199118,14
15,Side To Side,Hop With Me,Garden,Mouth Open (Right),Steel Rings & Studs,,Pipe,Cowboy Hat,Bowtie (Red),FLUF Jacket,Sunglasses,Green,Barney,Male,59.12777491010274,15
16,Side Nod,Beyond the Gates,Gallery,Smile,Santa Hat,,Lip Piercings,,,High Vis Vest,,Cat (Blue),Darkness,Male,32.37722724225181,16
17,Groove,Eating Carrots in the Dark,Pass,Blank,FLUF Tag,,,,,Yellow Rabbit Singlet,Shutter Glasses,Red,Black & White,Female,48.342661441833286,17
18,Subtle Nod,Disco Rabbit,Garden,Mouth Open (Left) + Wink,Steel Rings,Bone,Party Horn,Bandana,Bowtie (Gold),Camo Jacket,,Yellow,Peppermint,Male,60.106073635246894,18
19,Subtle Nod,Back in the Burrow,Thank You For Having Us,Wonder,Gold Rings,Steel Stud,,Army Helmet,,Boob Tube,,Thirties,Sky,Male,41.28778161757691,19
20,Bob,Electric Carrots,Mansion,Blank,Gold Studs,Bull Ring,,Flower Crown,Headphones,,,Thirties,Darkness,Female,47.4946493650902,20
21,Side Nod,Ear Wobbler,Backalley,Mouth Open (Right),,Bull Ring,Cigarette,Flower Crown,Bone Necklace,Flannel Jacket,,Blue,Candy Floss,Male,38.53237521715362,21
22,Subtle Nod,Follow You,Mystic Valley,Mouth Open (Right),Steel Rings & Studs,Steel Stud,Carrot,Pirate Hat,VIP lanyard,Flannel Jacket,,Cat (Blue),Sky,Male,52.61198323597013,22
23,Subtle Nod,Hop With Me,Markets,Grin + Wink,,,,Conical Hat,Bowtie (Red),High Vis Vest,,Cat (Brown),Marshmellow,Male,31.9025767468336,23
24,Big Nod,Ear Wobbler,Swamp,Smile + Wink,Gold Studs,Steel Stud,,Afro (Base),Bone Necklace,Leather Vest,Sunglasses,Green,Cow,Male,69.89633337770081,24
25,Side Nod,Dubhop,Garden,Blank,Steel Studs,Steel Ring,,,,High Vis Vest,,Purple,Peppermint,Female,38.14632541903358,25
26,Groove,Hop With Me,Tiki,Anger,Steel Rings,Gold Ring,Lollipop,Mullet (Base),Glowstick Necklace,Voxel Rabbit Singlet,,Cat (Brown),Candy Floss,Female,75.76278648192421,26
27,Groove,Space Fluffle,Spaceship,Mouth Open (Right),,Gold Stud,Carrot,Cowboy Hat,Bone Necklace,,Round Glasses,Demon,Darkness,Male,50.74933241012055,27
28,Bob,Follow You,Heaven,Smile + Wink,FLUF Tag,,,Mohawk (Base),Collar (Black),,,Dollars,Pheonix,Female,45.46240356977827,28
29,Side Nod,Follow You,Gallery,Mouth Open (Right),Steel Rings & Studs,Diamond Stud,Joint,,Bowtie (Gold),,,Purple,Tie Dye,Male,30.465814363678344,29
30,Side To Side,Desert Digging,Tiki,Mouth Open (Right),FLUF Tag,,Pipe,Afro (Base),,Voxel Rabbit Singlet,,Thirties,Honeycomb,Male,32.109208078639014,30
31,Groove,Desert Digging,Backalley,Mouth Open (Left),Gold Rings & Studs,Diamond Stud,Lollipop,,Peace Necklace,Gold Jacket,,Blue,Peppermint,Male,49.37020875917436,31
32,Big Nod,Desert Digging,The Front,Smile,Gold Rings,Steel Ring,Lip Piercings,,Bowtie (Gold),Camo Jacket,Star Glasses,Glowing Red,Black & White,Male,73.12586842154415,32
