,Head,Eye Gear,Mouth,Type,Background,Genus,Eyes,Companion,Rarity score,Token Id
0,Mohawk,Futuristic Sunglasses,Angry,Purple,Teal,Orangutan,None,None,40.369437917848714,0
1,None,Engineer,Fangs,Cyberpunk,Aquamarine,Orangutan,None,None,27.784198512144492,1
2,Horns,None,Shocked,Scales,Green,Gorilla,Standard,None,18.506270779636544,2
3,Robo Bunny,None,Bored,Shroom,Pink,Gorilla,Reptile,None,18.397660090693268,3
4,Goggles,None,Reptile,Dystopian,Yellow,Gorilla,Three,None,20.559995050513162,4
5,Beanie,None,Snaggle Teeth,Specialist,Green,Chimpanzee,Angry,None,18.517774871282466,5
6,Wing Band,None,Smile,Punk,Pink,Chimpanzee,Closed,None,20.32544829462394,6
7,Rainbow Horn,None,Glow,Guardian,Teal,Gorilla,Bored,None,20.23395009341911,7
8,Alien Hat,Glasses,Goofy,Stealth,Pink,Chimpanzee,None,None,41.410497897155416,8
9,Mohawk,None,Oni Mask,Bald,Red,Orangutan,One,None,22.384920600349734,9
10,Cosmic Cat,None,Reptile,Light Blue,Pink,Chimpanzee,Three,None,19.50165834267581,10
11,Crown,LED Glasses,Sad,Engineer,Teal,Chimpanzee,None,None,42.76063797757973,11
12,Laurel Wreath,Sunglasses,Acid,Cyborg,Pink,Chimpanzee,None,None,44.5911450407496,12
13,None,None,Fangs,Magma,Teal,Gorilla,Damaged,None,3.21515997605065,13
14,Antennae,Rainbow VR,Terminator,Scrapper,Teal,Gorilla,None,None,41.931133754556136,14
15,Rainbow Horn,Metal,Monster,Scales,Red,Orangutan,None,None,44.40813261678617,15
16,Mohawk,None,Reptile,Brown,Pink,Chimpanzee,Bored,None,17.636682514002185,16
17,Robot,None,Goofy,Slime,Teal,Gorilla,Thorny,None,18.237468141653064,17
18,None,None,Bored,Black,Green,Orangutan,Three,None,1.5674221241386181,18
19,None,None,Metal,Purple,Yellow,Chimpanzee,Scarred,None,2.408445320444353,19
20,Antennae,Nerd,Beard,Rainbow,Teal,Orangutan,None,None,41.879601134156886,20
21,Crash Cap,None,Fangs,Light Blue,Pink,Gorilla,Reptile,None,19.696249242601663,21
22,Snapback,None,Shocked,Racer,Aquamarine,Gorilla,Dead,None,18.72943705968639,22
23,Robot,Cyberpunk VR,Thorns,Neon,Aquamarine,Chimpanzee,None,None,42.42884612999692,23
24,Robo Beast,None,Snaggle Tooth,Orange,Pink,Orangutan,Standard,None,19.175605376201208,24
25,Spikes,None,Happy,Bald,Teal,Gorilla,Happy,None,17.01888740653815,25
26,Black Cap,Retro Sunglasses,Pipe,Engineer,Pink,Gorilla,None,None,43.44129525629123,26
27,None,Heads Up,Goofy,Intellibot,Yellow,Chimpanzee,Three,None,42.94945909434984,27
28,None,Bright Tech,Beard,White,Green,Orangutan,None,None,26.77157713580437,28
29,Afro,None,Banana,Robot,Green,Orangutan,Damaged,None,19.71329650065317,29
30,None,Scout,Fangs,Rainbow,Green,Orangutan,None,None,27.566776836020505,30
31,Snapback,None,Monster,Black,Teal,Gorilla,Standard,None,18.111595599214507,31
32,Rainbow Horn,None,Sad,Purple,Aquamarine,Chimpanzee,Thorny,None,18.111553252547154,32
33,Galea,None,Tusks,Tron,Green,Orangutan,Sad,None,20.931809706570423,33
34,Blob,None,Terminator,White,Teal,Chimpanzee,Dead,None,19.76481996274162,34
35,Octo,None,Snaggle Teeth,Navy,Green,Chimpanzee,One,None,19.19279054485375,35
36,None,None,Beard,Neon,Green,Gorilla,Three,None,3.632802700307762,36
37,Black Cap,Nerd,Fangs,Blue,Green,Orangutan,None,None,41.45055103543373,37
38,None,None,Smile,Gedi,Pink,Chimpanzee,Happy,None,3.432476920663557,38
39,Pilot,None,Mustache,Slime,Red,Gorilla,Angry,None,19.736197084106895,39
40,Goggles,None,Shocked,Magma,Pink,Orangutan,Scarred,None,18.952447686280546,40
41,Optics,Villain,Angry,Scrapper,Green,Chimpanzee,None,None,42.65196948808918,41
42,Wing Band,None,Bored,Purple,Green,Orangutan,Standard,None,18.031374872270746,42
43,Beam,None,Thorns,Explorer,Green,Orangutan,Sad,None,20.353976172048196,43
44,None,Pilot Goggles,Monster,Racer,Aquamarine,Chimpanzee,None,None,26.697207446938304,44
45,Snapback,None,Tusks,Shroom,Red,Chimpanzee,Tattoo,None,19.925026788975163,45
46,None,LED Glasses,Beard,Navy,Pink,Gorilla,None,None,25.78769023107586,46
47,Afro,None,Mustache,Ent,Yellow,Chimpanzee,War Paint,None,20.554294514555536,47
48,Alien Hat,None,Friendly Robot,Slime,Aquamarine,Chimpanzee,Happy,None,18.878076286014892,48
49,Beanie,None,Bored,Reptile,Yellow,Gorilla,Scarred,None,17.476520894385022,49
50,None,Emergency VR,Sad,Orange,Teal,Chimpanzee,None,None,24.374728612513874,50
51,None,None,Monster,War Machine,Pink,Gorilla,Curious,None,3.4725947253978413,51
52,None,None,Fangs,Racer,Teal,Orangutan,Closed,None,3.363830102395661,52
53,None,Retro Sunglasses,Pipe,Ranger,Yellow,Gorilla,None,None,27.641204895011796,53
54,Shogun,None,Robot,Light Blue,Teal,Gorilla,Dead,None,20.405537402600647,54
55,Rainbow Horn,None,Bored,Intellibot,Pink,Gorilla,War Paint,None,20.09097821951539,55
56,Bald,None,Thorns,Slime,Red,Orangutan,Four,None,21.12633479580682,56
57,None,None,Snaggle Tooth,Spark,Green,Orangutan,Toon,None,2.9974836234333866,57
58,None,Heads Up,Laser,Pink,Red,Chimpanzee,Robot,None,44.55117773826233,58
59,Cyber,Futuristic Sunglasses,Fangs,Blue,Yellow,Orangutan,None,None,41.81674354936384,59
60,Mohawk,None,Goofy,Orange,Pink,Gorilla,Curious,None,17.29354223838432,60
61,Optics,None,Happy,Green,Yellow,Gorilla,Happy,None,17.465088912044212,61
62,Goggles,None,Gas Mask,Light Blue,Red,Orangutan,Bionic,None,21.080554798742206,62
63,None,None,Metal,Spark,Yellow,Orangutan,Damaged,None,3.3350017627633233,63
64,Snapback,Metal,Angry,Specialist,Yellow,Gorilla,None,None,42.28581645998882,64
65,Royal Guard,None,Robot,Purple,Pink,Gorilla,Standard,None,20.27970777881925,65
66,Robot,None,Cyber Oni Mask,Cyborg,Red,Chimpanzee,Reptile,None,22.854053596434653,66
67,None,None,Terminator,Rune,Green,Orangutan,Alien,None,3.6269373464905392,67
68,Blob,None,Pipe,Racer,Aquamarine,Gorilla,Toon,None,20.863223539151413,68
69,None,Tribal,Goofy,Navy,Pink,Orangutan,None,None,25.896365017277965,69
70,None,None,Shocked,Orange,Green,Gorilla,Four,None,2.2140409710710873,70
71,None,Pilot Goggles,Fangs,Purple,Aquamarine,Orangutan,None,None,25.513002773469417,71
72,Beanie,Sunglasses,Reptile,Shroom,Pink,Gorilla,None,None,42.37725743606356,72
73,Alien Hat,None,Happy,Stealth,Yellow,Chimpanzee,None,None,2.0774145649592097,73
74,None,Scout,Snaggle Teeth,Battleworn,Green,Chimpanzee,None,None,25.896425673331375,74
75,None,None,Friendly Robot,Spark,Green,Chimpanzee,Happy,None,3.51814867300534,75
76,Fedora,Rainbow VR,Thorns,Guardian,Red,Orangutan,None,None,43.90471512147212,76
77,Pilot,None,Angry,Slime,Aquamarine,Gorilla,Thorny,None,18.43766115555793,77
78,Robo Dreads,None,Bored,Gold,Red,Chimpanzee,Angry,None,18.46623653263537,78
79,Alien Hat,None,Monster,Green,Green,Gorilla,Bored,None,17.974285922337888,79
80,Galea,None,Snaggle Teeth,Orange,Yellow,Gorilla,Toon,None,18.020043605199234,80
