,Back,Outfit,Eyes,Head,Mouth,Regiment,Background,Type,Branch,Glasses,Special,Earring,Mask,Marking,Rarity score,Token Id
0,WcSpatula,Drive-Through,Gazing Russet,Arctic Curtain,Plump,70,Golden Hex,Human,Support,None,None,None,None,None,7.410217736700685,0
1,Rifle Navy Grey,Sailor Uniform Tokyo,Tranquil Sea,Black Rose Aka,Choco Stick,63,Flaming Hibisucus,Aka Oni,Navy,None,None,None,None,None,43.02217172782446,1
2,Rifle Scorpion Polar,Sailor Uniform Okinawa,Bold Iron,Regal Maiden Ao,Smoke,39,Bluefire,Ao Oni,Navy,None,None,None,None,None,43.118378116270726,2
3,Twin BoneSwords Black,Tactical Overalls Polar,,Bunny Girl Aka,Popsicle,51,Flaming Hibisucus,Aka Oni,Shinobi,None,None,None,None,None,45.832616503245724,3
4,Dual Katanas Black Gold,Do Kimono,Curious Russet,Sagittarius,Plump,62,Crimson Records,Human,Historical,Heartbeat Blue,None,None,None,None,33.69406398435085,4
5,V6 Mana Blaster,Survival Suit Polar,Glaring Wisteria,Kojiroh ,Plump,56,Mana Portal,Human,Support,None,None,None,None,None,5.814031699989291,5
6,None,None,None,None,None,29,TAINTED,Human,Airforce,None,Epic,None,None,None,57.963707465533844,6
7,Twin Cyber Gladii,Armoured Overalls Black,Dark Fern,Kojiroh,Plump,08,Lilac,Human,Shinobi,None,None,None,None,None,14.20445053835866,7
8,Unicorn Blast,Maid to Kill,,Sunshine Interface,Plump,58,Party Pink,Human,Special Ops,None,None,None,None,None,11.643567107186712,8
9,Grenade Gun Tiger,Magician's Assistant,Bold Iron,Tanuki WcHeadset,Plump,61,Party Pink,Human,Special Ops,Aviators Sunset,None,None,None,None,36.85394770231326,9
10,Spellblade,Survival Suit Polar,Base Iron,Celestial Dreamer ,Pog,81,Mana Portal,Human,Support,Basic Specs,None,None,None,None,43.91632414391302,10
11,Ornamental Sword,Oni Seifuku Kuro,Basic Wisteria,Oriental Hat,Plump,52,Crimson Records,Human,Historical,None,None,None,None,None,8.512354329041706,11
12,Twin Cyber Swords,Meka Vest Camo Jungle,Curious Iron,Black Fox,Fang Smirk,00,Army,Human,Army,None,None,None,None,None,13.582037862973884,12
13,Katana Black,Tactical Overalls Polar,Smug Poppy,Side Pony ,Plump,91,Shadow Reflection,Human,Shinobi,None,None,None,None,None,12.36790736577861,13
14,Rifle Red Ammo,Urban Street Camo,Smug Poppy,Frostbite,Plump,40,Army,Human,Army,Aviators Sunrise,None,None,None,None,25.727202485770846,14
15,Rifle Navy Grey,Sailor Uniform Tokyo,Smug Poppy,Stardust ,Plump,42,Ocean Blue,Human,Navy,None,None,None,None,None,8.390550615366099,15
