,stankfinder,MUNCHYHOLE,Eye on dat side,Eyz on dis side,Hedz,Eers,Boddee,collrzes,1 of 1,djeimebdie,Rarity score,Token Id
0,is dat a nose,gooooooo,narf,eeep,avvokado,iers,yaris pleeze,fludded tunlz,None,None,8.654616001320893,0
1,is dat a nose,flthththlffh,narf,o noooooo,soft pare,eer,blarggh,fLEsh stik,None,None,2.290911613574826,1
2,ouchie,bleebleebloobloo,grrrAAAAAuuugh,ooooh,bierdy,eors,dat spase soot gots holes,dirt,None,None,2.208356946609302,2
3,dizeezsd,mouf,nspektin stuff,lookin hear,STABBYSTABHEAD,eors,grey body,nothin,None,None,5.0015110969499785,3
4,flassid,nuddernuddermouf,pinkypinkpink,upside downside,oweee,earrz,inna bun,purdy cave,None,None,4.574965808020729,4
5,uppy,ibblebiddle,i seend a mouse! yum!,das not an eyez!,taterhead,leefs,eeeeeeeeboooom,purdy cave,None,None,9.84480675491017,5
6,dribble,blarrr,narf,wass overder?,avvokado,EERS,wanna poak dat,mold,None,None,4.272265591559681,6
7,danglydoo,blippyblipblipblip,narf,teeny peephoal,bierdy,woodywood eers,sashay,nothin,None,None,6.776479787340259,7
8,goz down,oobie doo,whoaz me,lookin dere,jawboymangirl,eermoffs,flappy,kobold puke,None,None,3.632451440568374,8
9,shnozz,oobie doo,termigooblin,lookin hear,flatface,eers,eeeeeeeeboooom,kobold puke,None,None,5.806431140340237,9
10,dribble,nuddernuddermouf,peep,eh?,wart top,eirs,Diamondhands?,bloody milk yumm,None,None,5.971568688268997,10
11,bloo,mubblebumm,peep,sparples,growf,eers,Diamondhands?,stupid color,None,None,4.354838840050185,11
12,buttnose,nuddernuddermouf,peep,eh?,floppee,eeeeers,dat spase soot gots holes,bloody milk yumm,None,None,4.327310752817324,12
13,dizeezsd,mouf,termigooblin,glowcoma,taterhead,earrz,eeeeeeeeboooom,rottn elfboddie,None,None,7.794665249122882,13
14,das notta nose,nuddernuddermouf,gooness,krazed,bierdy,woodywood eers,wanna poak dat,rottn elfboddie,None,None,7.326835055798315,14
15,flassid,LAZERBARRF,browney,lookit dat,cracky,eirs,furr,fLEsh stik,None,None,5.070326839208179,15
16,kwaigun,nudder mouf,gathp,krazed,bumpynoggn,EERS,inna bun,stupid sun,None,None,8.186803699840716,16
17,goz down,yabbagabba,hlo,hangded over,flatface,floaty eerz,stukinda troat,bloody milk yumm,None,None,3.5292522590052453,17
18,is dat a nose,nomnomhole,look dis way,o noooooo,deflateded,eerz?,BLINGG,bloody milk yumm,None,None,5.393646108426,18
19,crooky,gaaahhh,nspektin stuff,sparples,cracky,eeeeers,furr,purdy cave,None,None,3.0958578058908524,19
20,danglydoo,glibbaglab,grrrAAAAAuuugh,blindeded,SPIKR,eerz?,furr,stupid sun,None,None,6.927818538896579,20
21,sniffer,nomnomhole,peep,o noooooo,cracky,eermoffs,Diamondhands?,stupid color,None,None,8.2556077439435,21
22,goz down,flthththlffh,not enthuzd,hangded over,soft pare,iers,sashay,nothin,None,None,1.7199118291449944,22
23,das notta nose,blahhhhhhh,whoaz me,ooooh,growf,eerz?,fansee,fLEsh stik,None,None,2.2290296784110137,23
24,crooky,bleebleebloobloo,zoweee,glowcoma,wart top,floaty eerz,ouchies,mold,None,None,4.334209462544438,24
25,sniffer,glibbaglab,waaah,das not an eyez!,bumpynoggn,floaty eerz,blarggh,bloody milk yumm,None,None,4.82951819359007,25
26,pointy,mouffs,whaja say?,seepy,wart top,iers,wekkum tarbys,stupid color,None,None,4.912072172859918,26
27,funny,burblurblurb,peep,o noooooo,kiwimonstr,eeerbonez,grey body,rottn elfboddie,None,None,5.345513419359403,27
28,ouchie,LAZERBARRF,das not eyz eeder,lookin hear,furrrrrrrrrr,earrz,wekkum tarbys,bloody milk yumm,None,None,6.859054410000633,28
29,bloo,mubblebumm,das not eyz eeder,seepy,growf,woodywood eers,furr,stupid sun,None,None,5.730755226643551,29
30,uppy,nudder mouf,tremblr,squintee,STABBYSTABHEAD,eeeeers,stukinda troat,nothin,None,None,9.36323144273125,30
31,sniffer,gaaahhh,wass dat way,blindeded,taterhead,buttfly eerz,inna bun,purdy cave,None,None,8.971081291873087,31
32,goz down,yabbagabba,oook,seepy,oweee,eeerbonez,wanna poak dat,bloody milk yumm,None,None,2.373444945637008,32
33,dizeezsd,mubblebumm,tremblr,LAZERRR,wart top,earrz,New Tattoo,fLEsh stik,None,None,6.907180904462142,33
34,danglydoo,nuddernuddermouf,pinkypinkpink,transeded,growf,onny a fleshwoond,wekkum tarbys,purdy cave,None,None,5.503740559558317,34
35,sniffer,oobie doo,gathp,eeeeeediot,bierdy,eirs,RRRRRRAAAAAHHH,stupid sun,None,None,4.492425592894355,35
36,dizeezsd,glibbaglab,das not eyz eeder,eeep,soft pare,eermoffs,fansee,mold,None,None,3.9145071405995906,36
37,berries,glaaaaaah,das not eyz eeder,das not an eyez!,STABBYSTABHEAD,onny a fleshwoond,BLINGG,stupid sun,None,None,9.892942194148734,37
38,is dat a nose,blahhhhhhh,gathp,wass overder?,cracky,eirs,RRRRRRAAAAAHHH,darkderest,None,None,5.07719389157326,38
39,funny,blarrr,zoinks,look up dere,avvokado,warin der farree,BLINGG,mold,None,None,6.2880140225156005,39
40,kwaigun,yabbagabba,nar,glowcoma,flatface,LAAAAAZZER EERS,wekkum tarbys,darkderest,None,None,7.663935914491521,40
41,droopy,yabbagabba,suthpithus,punchded,wart top,iers,shy gobblin,bloody milk yumm,None,None,4.6781594832851905,41
42,buttnose,flthththlffh,narf,punchded,oweee,eer,fansee,mold,None,None,3.2746964302242665,42
43,buttnose,mubblebumm,narf,krazed,growf,eeerbonez,Diamondhands?,kobold puke,None,None,3.783821848265243,43
44,goz down,blarrr,not enthuzd,teeny peephoal,avvokado,earrz,yur mom,stupid sun,None,None,4.347962839854339,44
45,droopy,gooooooo,suthpithus,glowcoma,growf,eirs,wekkum tarbys,nothin,None,None,4.231000645607554,45
46,berries,bleebleebloobloo,look dis way,lookit dat,avvokado,eers,wekkum tarbys,rottn elfboddie,None,None,4.884587440533764,46
47,uppy,blippyblipblipblip,whaja say?,eeeeeediot,soft pare,eeerbonez,ETH,purdy cave,None,None,4.2860327327076835,47
48,droopy,glaaaaaah,pinkypinkpink,teeny peephoal,growf,eerchompr,grey body,fLEsh stik,None,None,3.8732476995719614,48
49,is dat a nose,aaaabaaaaabbbaaa,zoinks,lookin dere,SPIKR,eeeeers,furr,dirt,None,None,6.067863658081538,49
50,blobby,blarrr,browney,lookin dere,cracky,iers,ouchies,fLEsh stik,None,None,2.751849977182759,50
51,sniffer,gooooooo,nspektin stuff,wass overder?,bumpynoggn,EERS,dat spase soot gots holes,mold,None,None,4.010847525962902,51
52,droopy,mrnnhrhmn,grrrAAAAAuuugh,upside downside,jawboymangirl,eermoffs,grey body,fludded tunlz,None,None,7.374994581333672,52
53,sniffer,ibblebiddle,whaja say?,ooooh,taterhead,EERS,fansee,dirt,None,None,2.5867241289362726,53
54,blobby,mrnnhrhmn,suthpithus,ooooh,growf,earz,BLINGG,fLEsh stik,None,None,2.49731341823318,54
55,is dat a nose,nuddernuddermouf,whaja say?,hipnoatisn,bierdy,warin der farree,wekkum tarbys,mold,None,None,7.079167613064276,55
56,kwaigun,gooooooo,browney,hipnoatisn,taterhead,earz,grey body,stupid color,None,None,6.0747609902797,56
57,dizeezsd,glibbaglab,don lookitme,lookin dere,bierdy,eerz?,wekkum tarbys,darkderest,None,None,4.148435656183339,57
58,funny,glaaaaaah,don lookitme,das not an eyez!,soft pare,warin der farree,flappy,fludded tunlz,None,None,7.760242581848736,58
59,shnozz,yabbagabba,nar,grekd,bierdy,eer,ouchies,purdy cave,None,None,3.164637074626997,59
60,bloo,ibblebiddle,look dis way,lookin down,bierdy,eeerbonez,ouchies,purdy cave,None,None,2.972011353450731,60
61,blobby,LAZERBARRF,browney,hipnoatisn,oweee,eirs,sashay,dirt,None,None,6.941580172371744,61
62,arouzd,mouf,hlo,o noooooo,bumpynoggn,woodywood eers,blarggh,nothin,None,None,6.109145119417903,62
63,danglydoo,nomnomhole,tremblr,lookin dere,avvokado,eerchompr,furr,fludded tunlz,None,None,6.198579225515715,63
64,flassid,mrnnhrhmn,nar,lookin hear,avvokado,earz,ouchies,stupid sun,None,None,5.765165506692433,64
65,udder pointy kind,oobie doo,oook,lookin dere,SPIKR,eeerbonez,grey body,purdy cave,None,None,4.286029979634693,65
66,ouchie,blippyblipblipblip,gooness,LAZERRR,flatface,EERS,wanna poak dat,stupid color,None,None,5.58629453760668,66
67,arouzd,mouf,angreye,ooop,flatface,eerz?,RRRRRRAAAAAHHH,wat dis?,None,None,2.5110592273788654,67
68,sniffer,mouffs,whoaz me,punchded,flatface,floaty eerz,blarggh,darkerer,None,None,5.290429721339987,68
