,HEADWEAR,EYEWEAR,TOPS,TYPES,BACKGROUND,NATURE,FACE,FAITH,STRENGTH,LOVE,POWER,LIFE,WAR,CHAOS,Rarity score,Token Id
0,HORNS,OPTICAL,UNIFORM,SHINY,CRIMSON,None,None,None,None,None,None,None,None,None,59.96493028777804,1
1,PW CAP,None,BIKER JACKET,SHINY,SKY,None,None,None,None,None,None,None,None,None,7.076224114566386,2
2,None,None,None,None,None,NATURE,None,None,None,None,None,None,None,None,79.74078175470977,3
3,FORTUNE TELLER,PINK SHADES,SUIT,SHINY,BLOODYMARY,None,None,None,None,None,None,None,None,None,54.995253205884055,4
4,BIKER HAT,None,UNIFORM,GOLEM,MIST,None,None,None,None,None,None,None,None,None,6.3841022798771245,5
5,BIKER HAT,None,RAINCOAT,FLESH,PURPLE,None,None,None,None,None,None,None,None,None,4.391351709385391,6
6,FORTUNE TELLER,None,SUIT,ZOMBIE,MIDNIGHT,None,CIGARETTE,None,None,None,None,None,None,None,48.82693994523718,7
7,WARRIOR,None,SMILEY JACKET,GOLEM,MIST,None,None,None,None,None,None,None,None,None,6.49164012471795,8
8,BOWLER,None,BLACK SUIT,FACELESS,MIST,None,LIT CIGARETTE,None,None,None,None,None,None,None,48.26009247010754,9
9,SAKURA,None,EXILE SUIT,BRASS,MIDNIGHT,None,TECHNICIAN MASK,None,None,None,None,None,None,None,48.40335227354949,10
10,SURVIVOR POT,None,SAILOR SHIRT,BONE,MUSTARD,None,PANEL PIPE,None,None,None,None,None,None,None,42.431283369923094,11
11,ROSE CROWN,CLEAR SHADES,DECK JACKET,ILLUSION,SWAMP,None,None,None,None,None,None,None,None,None,52.036164098155126,12
12,ICONIC POT,None,SUIT VEST,BRASS,MYTH,None,None,None,None,None,None,None,None,None,10.76943415174621,13
13,SAILOR HAT,None,TRENCH COAT,GOLEM,MUSTARD,None,ROSE,None,None,None,None,None,None,None,44.238991737540914,14
14,ARMY CAP,None,GYM JACKET,GOLEM,MYTH,None,None,None,None,None,None,None,None,None,8.150187645312288,15
15,SIDE SHAVED,None,EXILE SUIT,ILLUSION,MYTH,None,None,None,None,None,None,None,None,None,8.43670309067833,16
16,ROSE CROWN,None,DECK JACKET,FLESH,DAWN,None,None,None,None,None,None,None,None,None,6.5393348894418235,17
17,SAKURA,None,MINER UNIFORM,GOLEM,BLOODYMARY,None,None,None,None,None,None,None,None,None,6.372318735749601,18
18,SURVIVOR POT,None,YOKOSUKA JACKET,GOLEM,CRIMSON,None,None,None,None,None,None,None,None,None,11.109512553376746,19
19,WATCH CAP,None,DENIM SHIRT,FLESH,MIST,None,None,None,None,None,None,None,None,None,3.0011753706097353,20
