,Heart Number,Birthday,Headwear,Clothing,Eyes,Head,Fur,Nose Piercing,Haircut,Accessory,Earrings,Eyewear,Jewellery,Enhanced Background,Tattoos,Face Addition,Teeth,Implants,Handmade,Duotone,Gadget,Rarity score,Token Id
0,020914375592,22/04,5 Panel (Red),Essential T-Shirt (Geometric Urban),Peri Tone,Pained,Champagne,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11.518673507822792,1
1,006914387914,19/09,Trapper Hat (Woodland Camo),Banana Hoodie (Peri Tone),Velvet Violet,HAPE,Ultimate Grey,Small Cross (Titanium),Braids,Backpack (Peri Tone),None,None,None,None,None,None,None,None,None,None,None,32.86297571358552,2
2,941014393070,12/08,Trapper Hat (Baby Blue),T-Shirt with Pullover (Violent Violet),Pistachio,HAPE,Graphite,None,Braids,None,Large Stud with Diamonds (Gold),Round Glasses (White),None,None,None,None,None,None,None,None,None,28.63393810380407,3
3,127914407539,17/10,Trapper Hat (Black),Military Jacket (Red Camo),Brown,HAPE,Ultimate Elephant,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.082190500200081,4
4,611014415358,02/02,Vintage Cricket Cap (Pacific Pink),T-Shirt with Pullover (Cheetah),Pacific Pink,Happy,Ultimate Elephant,None,None,None,HB Round Clip,None,None,None,None,None,None,None,None,None,None,23.48393741554855,5
5,857314428509,11/03,Vintage Cricket Cap (Pistachio),Essential Crewneck (White),Velvet Violet,Pained,Navy Seals,None,None,None,None,Signature H (Black / Gold),Cuban Link (Titanium),Bananas,None,None,None,None,None,None,None,47.09836616870701,6
6,779014434341,04/06,Short Brim Baseball Cap (Black),Polo (Navy),Lime,Pained,Illuminating,Ball Clicker (Gold),None,None,None,None,None,None,None,None,None,None,None,None,None,23.315970706946672,7
7,905414441940,09/01,Trapper Hat (Black),Shirt with Vest (Champagne / Cheetah),Hud,Bossy,Baby Blue,Ball Clicker (Titanium),None,None,None,None,None,Bananas,HAPE Gang,None,None,None,None,None,None,46.40355348247478,8
8,084314459377,08/06,Poker Visor (Black on Black),T-Shirt with Vest (White / Red),Lime,HAPE,Champagne,None,None,None,None,Round Glasses (Gold),None,None,Anarchy,None,None,None,None,None,None,22.37200576180182,9
9,947614464343,10/10,None,Essential T-Shirt (Illuminating),Peri Tone,HAPE,Blue,None,None,None,H Round Clip,Beachwalker (Navy),Cuban Link (Titanium),None,None,None,None,None,None,None,None,34.7891124865051,10
