,Identity,Type,Hat,Face,Suit,Base,Back,Origin,Accessory,Mask,Rarity score,Token Id
0,female,Villain,red waves,ğŸ§ª,sheath,gold,shotgun,neptune,None,None,34.44862502867976,1
1,female,Villain,western,ğŸ§ª,spectre,whiteout,None,jupiter,None,None,22.313016732576546,2
2,female,Villain,None,ğŸ’ª,shimmer,bubblegum,cape,jupiter,void earring,None,45.42095159986666,3
3,male,Villain,None,ğŸŒ�,kendo,snake,DAO broadsword,jupiter,None,None,14.344205347192018,4
4,male,Villain,None,None,synapse,leopard,None,earth,None,surge,49.65424836195969,5
5,female,Villain,headband blonde,âš”ï¸�,kendo,chrome,cat tail,neptune,None,None,35.569047966395786,6
6,female,Villain,None,â˜€ï¸�,prodigy,leopard,demon wings,jupiter,silver earring,None,45.5006607534573,7
7,male,Villain,tribal,â˜�ï¸�,beam,chrome,shield,jupiter,None,None,23.32027329223019,8
8,male,Villain,pompadour,ğŸ—¡ï¸�,noxious,emerald,None,uranus,ice earring,None,48.014141454268085,9
9,male,Hero,sleek,â›½,prodigy,gold,None,saturn,None,None,32.673275799992815,10
10,male,Villain,tribal,âš¡,DAO,snake,None,venus,None,None,25.20875409888188,11
11,female,Villain,classy,ğŸ’ª,lone,snake,None,saturn,None,None,20.4580622527025,12
12,female,Hero,None,ğŸ‘»,spectre,chrome,None,jupiter,None,None,27.61663649485459,13
13,male,Hero,None,ğŸ”«,spectre,bones,None,uranus,None,None,31.657844337631325,14
14,male,Hero,sleek,â�±ï¸�,shimmer,snake,blades,jupiter,None,None,38.22483319993432,15
15,male,Villain,fortune,ğŸ’�,shimmer,jelly,None,saturn,None,None,18.024431628683267,16
16,male,Hero,fringe,ğŸ—¡ï¸�,surge,human,shotgun,saturn,ice earring,None,60.86128787834303,17
17,female,Villain,pompadour,ğŸ�±,prodigy,leopard,None,saturn,gold earring,None,47.9341162748895,18
18,female,Villain,tribal,ğŸ‘�ï¸�,shard,human,None,uranus,None,None,24.079582197615114,19
19,male,Villain,None,ğŸŒ�,candy,bones,bionic vertebrae,jupiter,None,None,15.880165973488833,20
20,male,Villain,western,ğŸ—¡ï¸�,molten,leopard,None,earth,None,None,26.736250148632863,21
21,female,Hero,leprechaun,â�„ï¸�,spectre,snake,None,jupiter,None,None,37.46091924205219,22
22,male,Villain,fringe,ğŸ�±,warp,snake,demon wings,uranus,None,None,27.73487382368153,23
23,female,Villain,western,ğŸ‘»,lone,gold,None,jupiter,feather earring,None,47.300630196976485,24
24,female,Hero,leprechaun,ğŸ‘½,noxious,symbols,None,uranus,void earring,None,72.52515114667015,25
25,male,Villain,slick blonde,ğŸ�±,None,bones,demon wings,jupiter,None,None,23.832310994359954,26
26,male,Villain,hazel,ğŸ’¡,synapse,leopard,None,saturn,None,None,16.33742492323331,27
27,male,Villain,hazel,ğŸ�±,beam,bones,cat tail,venus,None,None,33.13128977203086,28
28,male,Villain,classy,ğŸ’¡,prodigy,human,demon wings,saturn,None,None,17.822882049857864,29
29,male,Villain,leprechaun,ğŸ§ª,aero,human,None,jupiter,silver earring,None,36.323856878006815,30
30,male,Villain,dreadlocks,ğŸ‘½,strobe,anatomy,None,jupiter,None,None,16.962764606907125,31
31,female,Villain,fringe,ğŸ—¡ï¸�,warp,human,None,neptune,void earring,None,47.68226480917138,32
32,male,Villain,None,â›½,sheath,chrome,shotgun,uranus,None,None,17.982478165838774,33
33,male,Villain,headband red,ğŸ‘�ï¸�,candy,graffiti,None,saturn,None,None,18.41473022606474,34
34,male,Villain,slick blonde,ğŸ’�,lone,bubblegum,shield,neptune,None,None,30.945023196436207,35
35,male,Villain,None,ğŸ—¡ï¸�,array,emerald,None,jupiter,None,None,7.3569165307638436,36
36,male,Villain,hazel,â›½,lone,sherbet,staff,jupiter,ice earring,None,47.1665285064004,37
37,female,Villain,None,ğŸ’�,zone,leopard,None,saturn,None,None,12.799520031337119,38
38,male,Villain,headband blonde,â�±ï¸�,smog,human,cape,jupiter,gold earring,None,42.92432933176013,39
39,female,Villain,classy,ğŸ‘½,kendo,emerald,blades,saturn,None,None,29.34603192843118,40
40,female,Hero,headband red,ğŸ‘�ï¸�,DAO,gold,bionic vertebrae,saturn,ice earring,None,75.1054835322478,41
41,male,Villain,red waves,ğŸ—¡ï¸�,spectre,ruby,shotgun,neptune,None,None,27.533427684908563,42
42,male,Villain,None,âš¡,noxious,gold,blades,saturn,None,None,15.863369811668807,43
43,female,Villain,None,ğŸ¤ ,kendo,whiteout,demon wings,earth,feather earring,None,57.58925368005762,44
44,male,Hero,sleek,ğŸ�±,rime,leopard,None,jupiter,pearl earring,None,56.81668900773261,45
45,male,Villain,slick blonde,â˜€ï¸�,spectre,whiteout,shotgun,jupiter,None,None,20.663968892096513,46
46,male,Villain,None,ğŸ’¡,shimmer,human,cat tail,uranus,None,None,17.067737087145748,47
47,male,Villain,None,None,zone,galaxy,blades,saturn,None,karat,47.02744880894657,48
48,female,Hero,sleek,ğŸ’¡,None,chrome,angel wings,earth,void earring,None,84.03776100488062,49
49,male,Villain,hazel,ğŸ‘�ï¸�,lone,diamond,DAO broadsword,jupiter,None,None,22.581760378326923,50
50,female,Villain,None,ğŸ—¡ï¸�,sheath,bones,None,uranus,None,None,19.97140819217481,51
51,male,Hero,fox,ğŸ’ª,rime,snake,None,neptune,glass earring,None,66.13544611105428,52
52,male,Hero,red waves,ğŸ�š,beam,sherbet,None,saturn,silver earring,None,59.25014135930452,53
53,male,Villain,leprechaun,ğŸ�š,sly,anatomy,demon wings,saturn,None,None,25.624133476265303,54
54,male,Hero,classy,ğŸ¥‹,rime,human,None,saturn,None,None,28.183226079902447,55
55,male,Villain,sleek,â�±ï¸�,cove,snow leopard,demon wings,saturn,None,None,24.54984691979262,56
56,male,Villain,dreadlocks,ğŸ‘�ï¸�,lone,symbols,bionic vertebrae,uranus,None,None,30.261047377936407,57
57,female,Hero,fortune,â˜�ï¸�,warp,gold,cape,jupiter,None,None,44.497780248722016,58
58,female,Villain,headband blonde,ğŸ‘»,cove,human,blades,uranus,None,None,31.897395490645426,59
59,male,Villain,slick blonde,ğŸŒ�,prodigy,galaxy,shotgun,earth,None,None,31.876650661362945,60
60,male,Villain,pompadour,ğŸ‘�ï¸�,kendo,symbols,cape,jupiter,ice earring,None,46.201423763104934,61
61,male,Villain,tribal,ğŸ‘�ï¸�,shift,anatomy,None,saturn,None,None,17.61316606686237,62
62,male,Villain,fox,âš¡,shimmer,gold,bionic vertebrae,jupiter,None,None,23.92890177706591,63
63,female,Villain,None,None,spectre,magma,bionic vertebrae,earth,None,argot,62.28359409215349,64
64,male,Hero,fringe,âš”ï¸�,shift,human,None,saturn,void earring,None,54.303193024995046,65
65,female,Villain,fox,ğŸŒ�,sheath,sherbet,None,saturn,None,None,22.02753074497271,66
66,female,Hero,fringe,âš”ï¸�,array,anatomy,None,jupiter,None,None,37.89310321001344,67
67,male,Hero,None,ğŸ�±,warp,magma,None,neptune,None,None,30.180793183003573,68
68,male,Villain,red waves,ğŸ¤ ,shimmer,bones,shotgun,saturn,silver earring,None,49.176369044784266,69
69,female,Hero,classy,ğŸ‘�ï¸�,matta,alien,cape,uranus,None,None,51.68132290358709,70
70,male,Villain,fringe,ğŸŒ�,array,magma,demon wings,uranus,None,None,29.10709493916228,71
71,male,Villain,sleek,ğŸ’ª,aero,gold,blades,saturn,None,None,23.248975402655773,72
72,male,Hero,None,ğŸ’�,zone,sherbet,cape,jupiter,glass earring,None,54.60964961113564,73
73,female,Villain,None,ğŸ�š,shimmer,symbols,cape,saturn,glass earring,None,47.74552812021572,74
74,female,Villain,classy,â�±ï¸�,warp,galaxy,cape,pluto,None,None,36.366346341977106,75
75,male,Villain,None,ğŸ’�,rime,jelly,bionic vertebrae,saturn,None,None,17.11808332467731,76
76,female,Hero,red waves,â�„ï¸�,spectre,snake,bionic vertebrae,earth,None,None,55.27716269150101,77
77,male,Villain,fringe,ğŸ¤ ,matta,symbols,shield,jupiter,feather earring,None,50.75413798656242,78
78,male,Hero,None,ğŸŒ�,shimmer,whiteout,shotgun,neptune,None,None,38.56060524216188,79
79,female,Hero,red waves,ğŸ�š,noxious,leopard,DAO broadsword,saturn,None,None,46.52441377051994,80
80,male,Villain,classy,ğŸ‘½,prodigy,symbols,bionic vertebrae,uranus,None,None,30.504449597186,81
81,male,Villain,red waves,ğŸ�€,haste,human,cat tail,jupiter,None,None,16.96691746830002,82
82,male,Villain,dreadlocks,ğŸ�€,lone,human,None,uranus,None,None,16.899735508137326,83
83,male,Villain,None,None,karat,alien,None,uranus,None,alien,46.926550521046394,84
84,female,Villain,fringe,ğŸ‘»,candy,snake,shotgun,uranus,None,None,34.146524938915675,85
85,male,Villain,bleached,ğŸ�±,sheath,chrome,blades,jupiter,glass earring,None,47.921816464671835,86
86,male,Villain,None,ğŸ‘»,zone,bubblegum,acid launcher,saturn,None,None,17.28171781395854,87
87,male,Hero,hazel,â˜�ï¸�,noxious,graffiti,angel wings,neptune,pearl earring,None,73.80083316075036,88
88,male,Villain,western,â›½,array,snake,cat tail,jupiter,None,None,22.292225486190382,89
89,female,Villain,sleek,ğŸ’�,synapse,anatomy,None,uranus,None,None,28.934793814294046,90
90,male,Hero,fringe,ğŸ¥‹,DAO,emerald,cape,jupiter,None,None,38.12414073453665,91
91,male,Villain,None,None,kendo,anatomy,None,uranus,None,molten,45.726697580949946,92
92,female,Villain,None,â˜�ï¸�,zone,gold,None,neptune,None,None,20.269324287137174,93
93,female,Villain,red waves,ğŸ’¡,rime,human,cape,earth,None,None,32.32117030525712,94
94,male,Villain,red waves,ğŸ§ª,aero,sherbet,shotgun,jupiter,feather earring,None,46.39869329143324,95
