,Head,Eyes,Body,Type,Background,Neck,Ear,Forehead,Face,Mouth,Rarity score,Token Id
0,Military Mesh Forest,Square Glasses,White,Human,Orange,None,None,None,None,None,2.7377026412026266,1
1,Mohawk White,Two Colored Eyes,White,Human,Dark Blue,Chained,Gold Stud,Bandana Peace Sign,Paint Stripe,None,64.44515094208161,2
2,Halo,Blue Eyes,White,Human,Purple,Spiked Collar,None,None,Sticker BTC,Electric Pipe,36.152535023251595,3
3,Big Mohawk Blue,Red Eyes,Blue,Ape,Juniper Green,Gold Chain,Silver Loop,None,Sticker BTC,None,58.81988512122107,4
4,Cap Backwards Grey,Eye Patch,Purple,Human,Orange,None,Gold Stud,None,Sticker Fragile,None,33.674758469513314,5
5,Dreads Sideways Purple,3D Glasses,Blue,Human,Blue,Silver Chain,Gold Stud,Bandana Sushi Chef,None,Lollipop,65.27892071078102,6
6,Stringy Hair Purple,Blue Eyes,White,Human,Purple,None,None,None,None,Vape,10.523377154291403,7
7,Spikes White,Two Colored Eyes,Green,Human,Blue,Chained,None,None,None,None,17.953702001945828,8
8,Crown,Eye Patch,Blue,Human,Orange,Bow Tie,Gold Loop,None,None,Lollipop,45.3285091955154,9
9,None,Shattered Glasses,White,Human,Blue,Spiked Collar,None,Bandana Sushi Chef,Sticker BTC,Electric Pipe,55.83688218179208,10
10,Party Hat,3D Glasses,Two Tone Blue,Human,Blue,Gold Chain,None,None,None,Vape,28.74668838523912,11
11,Halo,Shattered Glasses,White,Human,Orange,Spiked Collar,None,None,Moustache,None,27.116480868872245,12
12,Dreads Sideways Blue,Square Glasses,Purple,Human,Orange,None,None,Bandana Peace Sign,Sticker Do Not Touch,None,37.560415113160126,13
13,None,Blue Eyes,Light Green,Ape,Orange,None,Gold Stud,Bandana Black,Paint Stripe,Toothpick,76.07340030011132,14
14,Knot White,Green Eyes,Yellow,Human,Green,Silver Chain,Silver Stud,Sweatband,None,Lollipop,63.245599056815585,15
