,Face,Mouth,Head,Nose,Skin,Background,Clothes,Chain,Special Edition,Rarity score,Token Id
0,Normal Eyes,Smile,Cowboy Hat,Green,Candy Corn,Yellow,None,None,None,20.364912264612126,1
1,None,None,Hockey Mask,Red,Wooden,Yellow,Polka Dot,None,None,54.0338444164553,2
2,Normal Eyes,Squiggle Mouth,Propeller Hat,Red,Clouds,Yellow,Motorcycle Vest,Pearl Necklace,None,62.11164455316873,3
3,Yellow Button Eyes,Sewn,Captain Hat,Black,Cotton Candy,Green,None,None,None,27.458835865721255,4
4,Normal Eyes,Smile,Heart Snap,Black,Candy Corn,inBetweeners Galaxy,Polka Dot,None,None,10.771198510239905,5
5,Normal Eyes,Smile,None,Black,Cheetah,Yellow,Rainbow Hoodie,None,None,7.666805938013553,6
6,Normal Eyes,Squiggle Mouth,Golden Earring,Red,Camo,Green,Polka Dot,None,None,29.08378985308378,7
7,Masquerade,Sewn,Spiky Hair,Black,Caramel,Orange,Tank Top,None,None,35.491367797484344,8
8,3D Glasses,Squiggle Mouth,Golden Earring,Black,Candy Corn,Orange,Kobe,None,None,31.565771918775475,9
9,Yellow Button Eyes,Smile,Heart Snap,Brown,Candy Corn,Orange,Chest Hair,None,None,33.65996868169161,10
10,Space Goggles,Smile,Cowboy Hat,Black,Licorice,Yellow,Blue Puffer,None,None,20.133730761562386,11
11,Normal Eyes,Toothpick,Cowboy Hat,Black,Camo,Orange,Courduroy Vest,None,None,22.996425320512888,12
12,Evil Eyes,Smile,None,Black,Licorice,Yellow,Lowkey Hoodie,None,None,20.116003839565966,13
13,Flame Glasses,Tongue,Magician Hat,Black,Candy Corn,Blue,Yellow Button Down,None,None,34.17216809777809,14
14,Normal Eyes,Golden Snarl,Santa Hat,Yellow,Slime Green,Orange,Baseball Uniform,Candy Necklace,None,65.91600833021808,15
15,Normal Eyes,Smile,Santa Hat,Black,Slime Green,Green,Polka Dot,Candy Necklace,None,36.43659655893976,16
16,Cobain Glasses,Smile,Cowboy Hat,Black,Cotton Candy,Green,Polka Dot,Lei Necklace,None,48.62178144500805,17
17,Googly Eyes,Snarl,Blonde Moptop,Yellow,Licorice,Blue,DHL,None,None,47.616103411024056,18
18,Normal Eyes,Squiggle Mouth,Silver Earrings,Brown,Candy Corn,Orange,Pink Sherpa,None,None,25.85148109686564,19
19,Flame Glasses,Squiggle Mouth,Santa Hat,Brown,Purple,Orange,Hawaiian Shirt,None,None,44.24529002153864,20
20,Normal Eyes,Squiggle Mouth,Captain Hat,Black,Clouds,Pink,Brown Sherpa,Lei Necklace,None,45.0876201098335,21
21,Yellow Button Eyes,Smile,Heart Snap,Black,Purple,Yellow,DHL,None,None,18.281136955863534,22
22,Normal Eyes,Smile,Space Helmet,Red,Candy Corn,Yellow,Military,None,None,23.458459321760174,23
23,Space Goggles,Smile,Silver Earrings,Green,Licorice,Yellow Galaxy,DHL,None,None,41.027463161170736,24
24,Normal Eyes,Smile,Brown Fedora,Red,Licorice,Pink,Heart Tee,None,None,20.606659768958075,25
25,Normal Eyes,Snarl,Witch Hat,Yellow,Clouds,Blue,Prisoner,None,None,35.672670340501824,26
26,Yellow Button Eyes,Smile,Golden Earring,Black,Purple,Pink,Polka Dot,None,None,16.378690248379684,27
27,Yellow Button Eyes,Squiggle Mouth,Sicily Hat,Yellow,Camo,Pink,Yellow Button Down,None,None,42.48526188007285,28
28,None,None,Hockey Mask,Brown,Slime Green,Green,Blue Puffer,None,None,52.63998219174564,29
29,Yellow Button Eyes,Smile,Santa Hat,Black,Camo,Green,Blue Puffer,None,None,19.948832744028824,30
30,Normal Eyes,Smile,Cowboy Hat,Red,Clouds,Pink,Hawaiian Shirt,None,None,24.425686594034403,31
31,Normal Eyes,Smile,Silver Earrings,Yellow,Candy Corn,Pink,Baseball Uniform,None,None,18.928268300177862,32
32,Normal Eyes,Tongue,Silver Earrings,Green,Licorice,Orange,Tank Top,None,None,27.657823744815335,33
33,Yellow Button Eyes,Tongue,None,Green,Licorice,Yellow,Brown Sherpa,None,None,39.341998546433686,34
34,Googly Eyes,Smile,Golden Earring,Brown,Licorice,Pink,Heart Patch,None,None,38.14381218807561,35
35,X Eyes,Sewn,None,Yellow,Clouds,Sherbert,Tank Top,None,None,51.19309530099624,36
36,Hater Blockers,Squiggle Mouth,Spiky Hair,Green,Cotton Candy,Blue,Military,None,None,43.55196956159394,37
37,Normal Eyes,Smile,Sicily Hat,Black,Licorice,Yellow,Cowboy,None,None,4.331239795573002,38
38,Cobain Glasses,Smile,Silver Earrings,Black,Cotton Candy,Blue,Fútbol Jersey,None,None,20.325791025205085,39
39,Evil Eyes,Smile,Beanie,Black,Candy Corn,Green,Baseball Uniform,None,None,21.499256858388588,40
40,3D Glasses,Bubble Pipe,Blonde Moptop,Green,Cotton Candy,Orange,Motorcycle Vest,None,None,52.06421852794563,41
41,Normal Eyes,Smile,Silver Earrings,Black,Granite,Green,Polka Dot,None,None,6.166160479070463,42
42,Normal Eyes,Golden Snarl,None,Red,Purple,Yellow,Hawaiian Shirt,None,None,31.139016833760884,43
43,Normal Eyes,Smile,Captain Hat,Brown,Slime Green,Blue,Chest Hair,Gold Chain,None,54.399667217768666,44
44,Normal Eyes,Tongue,Spiky Hair,Red,Candy Corn,Orange,Tank Top,None,None,30.833216689320842,45
45,Flame Glasses,Cigar,None,Red,Cheetah,Yellow,Heart Hoodie,None,None,53.04911133455139,46
46,Flame Glasses,Smile,Cowboy Hat,Green,Candy Corn,Blue,Hawaiian Shirt,None,None,37.315323188374066,47
47,Normal Eyes,Golden Snarl,Santa Hat,Brown,Camo,Yellow,None,None,None,36.920781536669075,48
48,Normal Eyes,Squiggle Mouth,Beanie,Brown,Candy Corn,Orange,Cowboy,None,None,25.833706330155394,49
49,3D Glasses,Tongue,Witch Hat,Yellow,Candy Corn,Sherbert,Pink Heart Crew,None,None,54.96204614975091,50
50,Cobain Glasses,Toothpick,Blonde Moptop,Black,Caramel,Yellow,Yellow Button Down,None,None,38.52086912842792,51
51,Space Goggles,Squiggle Mouth,Silver Earrings,Red,Purple,Blue,Fútbol Jersey,None,None,43.779508403901275,52
52,Normal Eyes,Sewn,Heart Snap,Green,Sea Blue,Yellow,Cowboy,None,None,34.797929202607875,53
53,Normal Eyes,Smile,Spiky Hair,Black,Cotton Candy,Yellow,Courduroy Vest,Candy Necklace,None,34.13591142486659,54
54,Normal Eyes,Smile,None,Black,Slime Green,Blue,Lowkey Hoodie,None,None,6.336857419135039,55
55,Yellow Button Eyes,Smile,Afro,Yellow,Product Red,Yellow,Yellow Button Down,None,None,36.54727783238428,56
56,Yellow Button Eyes,Snarl,Blonde Moptop,Black,Sherbert,Green,Color Block,None,None,33.42186681388688,57
57,Yellow Button Eyes,Snarl,Beanie,Black,Sea Blue,Blue,Tank Top,Lei Necklace,None,57.6849425644172,58
58,Flame Glasses,Smile,Captain Hat,Black,Purple,Yellow,Color Block,None,None,23.202559597187886,59
59,Hater Blockers,Squiggle Mouth,Cowboy Hat,Black,Clouds,Orange,Tank Top,None,None,31.54800210277651,60
60,Normal Eyes,Smile,Space Helmet,Brown,Purple,Green,Polka Dot,None,None,20.599512700605466,61
61,Normal Eyes,Snarl,Magician Hat,Green,Cotton Candy,Pink,Polka Dot,None,None,29.89092774995789,62
62,Normal Eyes,None,Racecar Helmet,Black,Licorice,Blue,Heart Patch,None,None,19.60049373302903,63
63,Normal Eyes,None,Racecar Helmet,Brown,Licorice,Yellow,Blue Puffer,None,None,32.20208712399805,64
64,Normal Eyes,Squiggle Mouth,None,Yellow,Purple,Orange,Rainbow Hoodie,None,None,25.53855532603224,65
65,Yellow Button Eyes,Smile,Silver Earrings,Black,Cotton Candy,Blue,Hawaiian Shirt,None,None,14.920763489364628,66
66,Normal Eyes,Smile,None,Black,Purple,Orange,Fluffeur Coat,None,None,3.5240781362197735,67
67,None,None,Hockey Mask,Black,Slime Green,Yellow,Hand-Drawn Tee,None,None,40.639933582196235,68
68,X Eyes,Squiggle Mouth,Santa Hat,Black,Candy Corn,Green,Cowboy,Gold Chain,None,57.65651666900165,69
69,X Eyes,Squiggle Mouth,Silver Earrings,Red,Caramel,Yellow,Pink Sherpa,Lei Necklace,None,72.34053677475963,70
70,Normal Eyes,Smile,Sicily Hat,Black,Cotton Candy,Yellow,Pink Sherpa,None,None,4.416557743797318,71
71,Yellow Button Eyes,Squiggle Mouth,Silver Earrings,Black,Caramel,Blue,Courduroy Vest,None,None,25.01948341163111,72
72,Evil Eyes,Squiggle Mouth,Beanie,Brown,Camo,Orange,Hand-Drawn Tee,None,None,48.074793073320265,73
73,None,None,None,None,None,None,None,None,Babooshka Bear,100.0,74
74,X Eyes,Tongue,None,Black,Candy Corn,Orange,Lowkey Hoodie,None,None,30.026068888732325,75
75,None,None,None,None,None,None,None,None,Sponge Bear,100.0,76
76,None,None,None,None,None,None,None,None,Spider Bear,100.0,77
77,None,None,None,None,None,None,None,None,Icy Bear,100.0,78
78,None,None,None,None,None,None,None,None,Bat Bear,100.0,79
79,None,None,None,None,None,None,None,None,Krusty Bear,100.0,80
80,8 Bit Glasses,Sewn,Beanie,Black,Candy Corn,Yellow,Courduroy Vest,None,None,33.830801919777294,81
81,Yellow Button Eyes,Snarl,Babooshka,Red,Cotton Candy,Yellow,Tank Top,None,None,42.12254525773213,82
82,Space Goggles,Snarl,Cowboy Hat,Green,Licorice,Orange,Cowboy,None,None,47.139610275611,83
83,Normal Eyes,Squiggle Mouth,Beanie,Yellow,Licorice,Orange,Chest Hair,None,None,24.955434395739296,84
84,Normal Eyes,Smile,Santa Hat,Black,Candy Corn,Green,Pink Sherpa,None,None,5.64695721745119,85
85,Normal Eyes,Tongue,Witch Hat,Red,Cotton Candy,Yellow,None,Lei Necklace,None,59.10719439292447,86
86,Yellow Button Eyes,Smile,Blonde Moptop,Black,Purple,Blue,Yellow Button Down,Gold Chain,None,48.127501001645065,87
87,Masquerade,Squiggle Mouth,Golden Earring,Red,Purple,Pink,Blue Puffer,None,None,42.652255117704215,88
88,Hater Blockers,Snarl,Afro,Red,Product Red,Yellow,Brown Sherpa,None,None,52.36644266867497,89
89,Normal Eyes,Smile,Golden Earring,Black,Cotton Candy,Red Galaxy,Tank Top,None,None,9.060746065379389,90
90,None,None,None,None,None,None,None,None,Brick Bear,100.0,91
91,Normal Eyes,Smile,None,Black,Granite,Pink,Skull Hoodie,None,None,7.581475121276786,92
92,Normal Eyes,Squiggle Mouth,Magician Hat,Black,Licorice,Green,Polka Dot,None,None,10.486649798114176,93
93,Cobain Glasses,Cigar,Blonde Moptop,Black,Licorice,Pink,Prisoner,None,None,35.67271852229745,94
94,Yellow Button Eyes,Sewn,None,Brown,Candy Corn,Sherbert,Gladiator,None,None,47.829469892353046,95
95,Normal Eyes,Tongue,Silver Earrings,Black,Slime Green,Orange,Blue Puffer,None,None,16.521015759653483,96
96,Flame Glasses,Snarl,Blonde Moptop,Black,Cotton Candy,Pink,Polka Dot,Lei Necklace,None,59.50185880327476,97
97,Normal Eyes,Smile,Santa Hat,Black,Candy Corn,Blue,Cowboy,None,None,5.536735917558988,98
98,Normal Eyes,Tongue,Sicily Hat,Black,Salmon,Sherbert,Yellow Button Down,None,None,23.938709639920905,99
99,Normal Eyes,Tongue,Beanie,Red,Salmon,Orange,Tank Top,None,None,31.640383293426606,100
100,Yellow Button Eyes,Smile,Santa Hat,Black,Wooden,Yellow,Pink Sherpa,None,None,21.687691610749333,101
101,3D Glasses,Golden Snarl,Beanie,Black,Cotton Candy,Pink,Hawaiian Shirt,Lei Necklace,None,63.19256254262634,102
102,Normal Eyes,Snarl,Captain Hat,Red,Clouds,Blue,None,None,None,34.5490653227792,103
103,Hater Blockers,Smile,Silver Earrings,Yellow,Wooden,Pink,Blue Puffer,None,None,38.044172391942084,104
104,Normal Eyes,Smile,None,Black,Cotton Candy,Green,Pink Heart Crew,None,None,1.7282410702438074,105
105,Normal Eyes,Smile,Afro,Green,Cheetah,Green,Yellow Button Down,None,None,23.920786704446556,106
106,Yellow Button Eyes,Smile,Heart Snap,Black,Purple,Pink,Tank Top,None,None,16.71296612573783,107
107,Normal Eyes,Smile,Beanie,Brown,Product Red,Sherbert,Tank Top,Silver Chain,None,57.141058365529084,108
108,Hater Blockers,Squiggle Mouth,Propeller Hat,Brown,Product Red,Pink,Baseball Uniform,None,None,48.52637329070786,109
109,Normal Eyes,Straw,Sicily Hat,Yellow,Caramel,Pink,Fluffeur Coat,None,None,37.45054782571088,110
110,None,None,Hockey Mask,Black,Cotton Candy,Orange,None,None,None,34.84403216464106,111
111,Normal Eyes,Smile,Santa Hat,Brown,Clouds,Orange,Yellow Button Down,None,None,24.159026507094666,112
112,X Eyes,Smile,Spiky Hair,Black,Wooden,Yellow,Cowboy,Pearl Necklace,None,53.98013114061443,113
113,Normal Eyes,Snarl,Beanie,Black,Caramel,Yellow,Chest Hair,Candy Necklace,None,48.085007675047045,114
114,Cobain Glasses,Smile,Witch Hat,Green,Purple,Green,DHL,None,None,37.45753418103451,115
115,Normal Eyes,Smile,Silver Earrings,Green,Slime Green,Yellow Galaxy,Polka Dot,Candy Necklace,None,55.99255066159322,116
