,Legendary,Special Background,Background,Special Body,Body,Special Handheld Item,Handheld Item,Special Footwear,Footwear,Special Head,Head,Species,Rarity score,Token Id
0,,,Blue,,Color Scheme 5,,Spray Can,,Snorkeling Fins Blue,,Astronaut Human,Human,4.758248868051867,1
1,,,Pink,Rainbow,Color Scheme Rainbow 3,,Hotdog,,Casual Lace Shoes White,,Hoodie Deer Suit,Human,20.825918216327562,2
2,,Lightning,Yellow,,Color Scheme 19,,Star Wand,,Sneakers Air Teal,,Volleyball,Household Item,41.26805300215618,3
3,,,Yellow,Cape,Color Scheme Cape 8,,Luggage,,Trainers Grey Mint,,Raindrop Plunger,Elemental,34.75712067660457,4
4,,,Red,Rainbow,Color Scheme Rainbow 7,,Skateboard Right,,Spikes Sneakers White Gold,,Baby Shark,Human,22.55233757541178,5
5,,,Yellow,Fur,Color Scheme Fur 4,,,,Sneakers Air Iridescence,,Ice Cream,Edible,31.008813201134462,6
6,,,Purple,,Color Scheme 20,,Spatula,,Mecha Straps Purple,,Helicopter Hat,Human,5.3337642433178,7
7,,,Purple,,Color Scheme 7,,,,Shark Slippers Blue,,Robot Hoodie,Machine,12.858294022910318,8
8,,,Red,Rainbow,Color Scheme Rainbow 2,,Book Right,,Wings Sneakers Gold Purple Green,,Skeleton Plant,Undead,31.572030592269336,9
9,,,Purple,Cape,Color Scheme Cape 8,,Lollipop,,Spikes Sneakers Black Lime,Rainbow,Rainbow Cap,Human,45.13896627036041,10
10,,,Purple,,Color Scheme 10,,Hotdog,,Sneakers Laces Purple Blue,,Straw Hat Master,Human,4.7766809401184585,11
11,,,Blue,,Color Scheme 19,,Pickaxe,Gold,Gold Trainers,,Googly Eyes Cap,Human,27.543415744681926,12
12,,,Blue,,Color Scheme 10,,Popsicle,,Whale Slippers,,Skeleton Headphones,Undead,14.227951098901856,13
13,,,Green,,Color Scheme 1,,Candy Christmas,,Koala Slippers,,Bao,Edible,14.2186747930479,14
14,,,Blue,Glow,Color Scheme Glow 3,Gold,Gold Kayak Paddle,,Sneakers Purple Blue,,Volleyball,Household Item,48.46833475490644,15
15,,,Purple,Glow,Color Scheme Glow 24,,Pickaxe,,Sneakers Laces Orange Blue,,Volleyball,Household Item,29.31322745897658,16
