,Legendary,Origin,Augmint,Advocate,Hat,Eyes,Neck,Body,Background,Mouth,Nosering,Special,Spikes,Skin,origin,Rarity score,Token Id
0,CustomKaiju,Genesis,None,None,None,None,None,None,None,None,None,None,None,None,None,24.47109480693911,0
1,SpaceKaiju,Genesis,None,None,None,None,None,None,None,None,None,None,None,None,None,24.47109480693911,1
2,GhostKaiju,Genesis,Business Attire,None,None,None,None,None,None,None,None,None,None,None,None,26.890012138933706,2
3,EvilKaiju,Genesis,Business Attire,None,None,None,None,None,None,None,None,None,None,None,None,26.890012138933706,3
4,MagiKaiju,Genesis,Business Attire,None,None,None,None,None,None,None,None,None,None,None,None,26.890012138933706,4
5,RicherThanKaiju,Genesis,Business Attire,None,None,None,None,None,None,None,None,None,None,None,None,26.890012138933706,5
6,SushiChefKaiju,Genesis,None,None,None,None,None,None,None,None,None,None,None,None,None,24.47109480693911,6
7,ShenKaiju,Genesis,Business Attire,None,None,None,None,None,None,None,None,None,None,None,None,26.890012138933706,7
8,MechaKaiju,Genesis,Business Attire,None,None,None,None,None,None,None,None,None,None,None,None,26.890012138933706,8
9,None,Genesis,Business Attire,Shadowy Super Artist,None,None,None,None,None,None,None,None,None,None,None,26.83630100210544,9
10,None,Genesis,Business Attire,Shadowy Super Artist,None,None,None,None,None,None,None,None,None,None,None,26.83630100210544,10
11,None,Genesis,Business Attire,Shadowy Super Artist,None,None,None,None,None,None,None,None,None,None,None,26.83630100210544,11
12,None,Genesis,None,Shadowy Super Artist,None,None,None,None,None,None,None,None,None,None,None,24.417386499216683,12
13,None,Genesis,None,Shadowy Super Artist,None,None,None,None,None,None,None,None,None,None,None,24.417386499216683,13
14,None,Genesis,Business Attire,Shadowy Super Artist,None,None,None,None,None,None,None,None,None,None,None,26.83630100210544,14
15,None,Genesis,Business Attire,Shadowy Super Artist,None,None,None,None,None,None,None,None,None,None,None,26.83630100210544,15
16,None,Genesis,Business Attire,Shadowy Super Artist,None,None,None,None,None,None,None,None,None,None,None,26.83630100210544,16
17,None,Genesis,Business Attire,Shadowy Super Artist,None,None,None,None,None,None,None,None,None,None,None,26.83630100210544,17
18,None,Genesis,Business Attire,Shadowy Super Artist,None,None,None,None,None,None,None,None,None,None,None,26.83630100210544,18
19,None,Genesis,Business Attire,Shadowy Super Coder,None,None,None,None,None,None,None,None,None,None,None,26.83630156790154,19
20,None,Genesis,None,Shadowy Super Coder,None,None,None,None,None,None,None,None,None,None,None,24.41738593329524,20
21,None,Genesis,Business Attire,Shadowy Super Coder,None,None,None,None,None,None,None,None,None,None,None,26.83630156790154,21
22,None,Genesis,Business Attire,Shadowy Super Coder,None,None,None,None,None,None,None,None,None,None,None,26.83630156790154,22
23,None,Genesis,None,Shadowy Super Coder,None,None,None,None,None,None,None,None,None,None,None,24.41738593329524,23
24,None,Genesis,None,Shadowy Super Coder,None,None,None,None,None,None,None,None,None,None,None,24.41738593329524,24
25,None,Genesis,None,Shadowy Super Coder,None,None,None,None,None,None,None,None,None,None,None,24.41738593329524,25
26,None,Genesis,Business Attire,Shadowy Super Coder,None,None,None,None,None,None,None,None,None,None,None,26.83630156790154,26
27,None,Genesis,Business Attire,Shadowy Super Coder,None,None,None,None,None,None,None,None,None,None,None,26.83630156790154,27
28,None,Genesis,Business Attire,Shadowy Super Coder,None,None,None,None,None,None,None,None,None,None,None,26.83630156790154,28
29,None,Genesis,Business Attire,None,Green Dad Cap,Black Thick Rims,Red Bowtie,Brown,Mint,None,None,None,None,None,None,40.23250364811533,29
30,None,Genesis,Business Attire,None,Blue Baseball Cap,Shy,Green Bowtie,Burgundy,Blue,Banana,None,None,None,None,None,58.74197205834307,30
31,None,Genesis,None,None,Orange Beanie,Black Clubmasterz,Red Bowtie,Burgundy,Light Pink,None,None,None,None,None,None,38.130641873484336,31
32,None,Genesis,Business Attire,None,Red Seethrough Visor,Thug Life,Trendy Pbt Hoodie,Black,Olive,None,None,None,None,None,None,36.92139493612152,32
33,None,Genesis,Business Attire,None,Blue Crown,Gold Clubmasterz,Lab Coat,Burgundy,Olive,Gold Tooth,None,None,None,None,None,58.213652557375816,33
34,None,Genesis,None,None,None,Angered,Silver Chain,Blue,Purple,Cigarette,None,None,None,None,None,44.2499893198384,34
