,Hat,Clothes,Earring,Mouth,Eyes,Fur,Background,Type,Rarity score,Token Id
0,Tie Dye,Tie Dye,None,Platinum Martini,Smooth Sky,K2 Porcelain,Karmic Mint,Divine,63.982608188938705,1
1,Cowboy,None,Gold Loop,Yellow Grin,Clever Lime,K1 Frog,Ocean,Incredible,56.06034799658449,2
2,Safari,OG Hoodie,None,Pink Smirk,Calm Green,K1 Rock,Platinum,Incredible,35.07457383500599,3
3,Beanie,Snappy,Gold Stud,Yellow Grin,Clever Gray,K1 Cheetah,Ocean,Incredible,66.9608147646979,4
4,Wayfarer,None,None,Blue Confident,Clever Green,K1 Frog,Ocean,Incredible,25.894632816113244,5
5,Metropolis,Indy,None,Pfft,Sky,K1 Monkey,Platinum,Incredible,29.154344230831995,6
6,None,Bellhop,Gold Stud,Delight,Gray,K1 Midnight,Midnight,Incredible,60.209815767700206,7
7,Mage,Rocket Pop,Silver Stud,Charcoal Focused,Clever Green,K1 Coffee,Platinum,Incredible,69.60844392323962,8
8,OG Snapback,Zebra,None,Pink Oof,Piercing Green,K1 Onyx,Ocean,Incredible,34.9008368523611,9
9,Driver,Chromopop,None,Karmic Grin,Glimpsing Blue,K2 Onyx,Karmic Orange,Divine,61.31418739968352,10
10,None,Neon,Diamond,Pink Smirk,Clever Hazel,K1 Porcelain,Sage,Incredible,59.051459311479384,11
11,None,Loungesuit,None,Charcoal Smile,Sky,K1 Rock,Sage,Incredible,19.200769685782316,12
12,Faux Hawk,None,None,Yellow Grin,Gray,K1 Monkey,Mint,Incredible,18.733176786258667,13
13,Driver,Banana Buckaroo,Silver Banana Stud,Not Impressed,Karmic Lime,K2 Zombie,Karmic Ocean,Divine,98.27077386557707,14
14,Bellhop,Safari,Diamond,Smile,Sky,K1 Robot,Mint,Incredible,60.09765228686712,15
15,Bellhop,Bellhop,None,Yellow Grin,Gray,K1 Midnight,Midnight,Incredible,31.905538203938775,16
16,Safari,None,None,Yellow Grin,Clever Gray,K1 Monkey,River,Incredible,19.068303980811976,17
17,Trippy,Mummy,None,Smile,Calm Blue,K1 Peach,Orange,Incredible,29.48121027903007,18
18,Nana Flyer,Chromopop,Silver Banana Loop,Karmic Smile,Karmic Gray,K2 Wood,Karmic Ocean,Divine,93.97250902390705,19
19,Wayfarer,Moto,None,Yellow Grin,Clever Sky,K1 Aqua,Platinum,Incredible,31.740056789333998,20
20,Bowler,Aviator,Silver Loop,Pfft,Clever Green,K1 Aqua,Mint,Incredible,68.68177778536642,21
21,Newsie,None,None,Toothpick,Sky,K1 Atomic,River,Incredible,22.998632926611684,22
22,None,Metropolis,None,Smile,Sky,K1 Onyx,Midnight,Incredible,10.268414026038961,23
23,Sombrero,None,Silver Loop,Pfft,Calm Gray,K1 Zombie,Sage,Incredible,60.863390401893504,24
24,Beanie,Retro,None,Yellow Grin,Piercing Green,K1 Aqua,Midnight,Incredible,32.12480924908497,25
25,Neon !RISE,Banana Lounge,None,Smile,Clever Green,K1 Onyx,Cream Soda,Incredible,24.872359567305914,26
26,OG Snapback,Metagood Mage,None,Charcoal Ladybug,Piercing Sky,K1 Peach,Midnight,Incredible,37.39136318398048,27
27,Cowboy,Rocket Pop,Silver Loop,Blue Pfft,Green,K1 Midnight,River,Incredible,68.61558954990637,28
28,Inferno,Warm Vibes,None,Sly,Clever Karmic Sky,K2 Aqua,Karmic Platinum,Divine,63.58959196007188,29
29,Sun!RISE,Team Karma,Gold Loop,Smile,Clever Blue,K1 Peach,Platinum,Incredible,61.61592068392371,30
30,Neon !RISE,Professional,None,Yellow Grin,Green,K1 Onyx,Sage,Incredible,27.160194886229316,31
31,Safari,Hoopster,None,Blue Confident,Piercing Sky,K1 Cheetah,Ocean,Incredible,35.69928300629588,32
32,En Vogue,Western,Gold Stud,Blue Confident,Lime,K1 Wood,Platinum,Incredible,67.66409995326053,33
33,Sombrero,Back In Time,None,Blue Confident,Gray,K1 Midnight,Cream Soda,Incredible,35.61241697608504,34
34,Neon !RISE,None,None,Blue Confident,Sky,K1 Coffee,Orange,Incredible,19.109634964456706,35
35,Bellhop,Neon,Cross,Golden Rose,Piercing Hazel,K1 Cheetah,Cream Soda,Incredible,71.78030860011697,36
36,Indy,None,Silver Stud,Smile,Sky,K1 Wood,Midnight,Incredible,45.91224616686847,37
37,None,Money,None,Red Confident,Clever Hazel,K1 Cinnamon,Ocean,Incredible,23.63579516122387,38
38,Odin,Blingsuit,None,Karmic Doubt,Gray Sus,K2 Monkey,Karmic River,Divine,61.947158044425,39
39,Sun!RISE,Nana Crew,None,Charcoal Twig,Calm Blue,K1 Monkey,Orange,Incredible,34.52847840809943,40
40,None,Hoopster,None,Yellow Focused,Green,K1 Aqua,Midnight,Incredible,22.489810083495556,41
41,Neon !RISE,None,None,Steel Oof,Lime,K1 Cheetah,Ocean,Incredible,25.480935512474378,42
42,Beanie,Bellhop,None,Charcoal Smile,Calm Lime,K1 Monkey,Ocean,Incredible,32.17033477961581,43
43,Mummy,Calavera,None,Charcoal Smile,Calm Sky,K1 Zombie,River,Incredible,36.78736297304856,44
44,Knight,Retro,Silver Loop,Charcoal Smile,Gray,K1 Wood,Mint,Incredible,64.28836017866956,45
45,None,Team Karma,Silver Loop,Charcoal Twig,Piercing Hazel,K1 Magma,Platinum,Incredible,59.01008731734277,46
46,Super Monk,Camo Hoodie,Silver Banana Loop,Karmic Smile,Clever Karmic Hazel,K2 Atomic,Karmic Sage,Divine,95.44112623845577,47
47,Metropolis,None,None,Smile,Clever Green,K1 Peach,Orange,Incredible,18.1374341126652,48
48,Beanie,Snappy,None,Smile,Sky,K1 Wood,Sage,Incredible,21.417803634702764,49
49,None,None,Gold Loop,Pfft,Calm Sky,K1 Wood,Ocean,Incredible,45.2383617889738,50
50,Pirate,Viking,None,Blue Confident,Clever Gray,K1 Frog,Ocean,Incredible,37.18864165884744,51
51,Metropolis,Taxi,None,Steel Butterfly,Calm Sky,K1 Porcelain,Cream Soda,Incredible,37.63132514454681,52
52,None,Ethereal,Gold Banana Loop,Downvote,Karmic Green,K2 Cheetah,Karmic Mint,Divine,85.7202762843211,53
53,Bellhop,Aviator,None,Steel Smirk,Sky,K1 Cinnamon,River,Incredible,30.461666042769785,54
54,None,Funky Velvet,None,Pink Twig,Clever Hazel,K1 Monkey,River,Incredible,22.68426619906385,55
