,Body,Accesories,Face,Eyewear,Eyes,Mouth,Head,Role,Fur,Special,Rarity score,Token Id
0,Detective's Trenchcoat,None,None,None,Intoxicated,Cheeky,Pink Snapback Hat,Engineer,Built (Brown),None,39.00898264276293,0
1,Floral Kimono,Jade Stone,Tear Tat,Black Aviator Sunglasses,Happy,Thug Life Joint,Black Borsalino,Double Agent,Built (Sandy),None,95.34973439064086,1
2,None,None,Covid Mask (Eucalyptus),Thug Life Glasses,Smug,Dragon Breath,Red Devil Horns,Generalist,Dark,None,41.628065262730054,2
3,Bomber Jacket,None,Tear Tat,Thug Life Glasses,Cheeky,Smug,None,Field Agent,Dark,None,50.71632247427162,3
4,Pink Puffer Jacket,None,None,Thug Life Glasses,Intoxicated,Leaf,None,Generalist,Radioactive,None,31.138115262892835,4
5,None,None,Scars,None,Bullish,Cheeky,Cream Borsalino,Double Agent,Cream,None,41.54779816182706,5
6,Bunny Onesie,None,None,Round Reading Glasses,Jaundice,Cigarette,None,Double Agent,Classic,None,39.022195362317966,6
7,None,None,None,None,None,None,None,None,None,Upper Echelon,60.47062996304348,7
8,Black Tuxedo,None,None,Black Sunglasses,None,Smoker's Pipe,Red Hat,Generalist,Classic,None,48.137492040490784,8
9,Black Tuxedo,None,Diamond Stud,Thug Life Glasses,None,Bubble Gum,None,Double Agent,Alien,None,60.69865487448895,9
10,Leopard Blazer,Pink Heart Necklace,Blush,None,Cheeky,Cheeky,DJ Headphones,Engineer,Purple,None,77.89259851394225,10
11,Purple Hoodie,Double Katana,Blush,None,Smug,Bubble Gum,Golden Laurel,Generalist,Shadow,None,70.43313972919269,11
12,White Dress,None,Anbu Mask,None,None,Golden Grills,Blue Snapback Hat,Generalist,Classic,None,44.51408964246581,12
13,Teal Puffer Jacket,None,Diamond Stud Earrings,Round Reading Glasses,Cheeky,Happy,None,Black Ops,Dark,None,49.73208224081553,13
14,Overalls,None,Tear Tat,Thug Life Glasses,Bitcoins,Angry,None,Generalist,Tatted (Brown),None,46.69280928029105,14
15,Hazmat Suit,None,Disposable Face Mask,None,Soulless,Happy,None,Generalist,Classic,None,29.40322423115869,15
16,None,None,Blush,Hard Thunder Glasses,Intoxicated,Thug Life Joint,None,Generalist,Cream,None,22.185979754312964,16
17,None,None,Scars,Thug Life Glasses,Jaundice,Smoker's Pipe,Halo,Black Ops,Purple,None,57.959522496016504,17
18,Summer Dress,None,None,None,Happy,Golden Grills,King's Crown,Generalist,Purple,None,34.64492017345999,18
19,None,None,Silver Ear Piercing,Black Aviator Sunglasses,Happy,Cheeky,None,Operator,Brown,None,36.740042892083345,19
20,Black Turtleneck,None,None,Hard Thunder Glasses,Cheeky,Leaf,None,Generalist,Brown,None,25.13893640383571,20
21,None,None,None,Hard Thunder Glasses,Intoxicated,Smug,None,Engineer,Brown,None,19.309694454827973,21
22,None,None,None,None,Angry,Dragon Breath,None,Double Agent,Brown,None,12.612940572445947,22
23,None,Gold Chain,Covid Mask (Eucalyptus),None,Angry,Cigarette,None,Generalist,Dark,None,41.99779449462852,23
24,None,None,Silver Earrings,None,Happy,Bored,Yellow Snapback Hat,Field Agent,Cosmic,None,43.89688453817197,24
25,White Shirt/Blue Coat,Diamond Chain,Blush,3D Glasses,Angry,Cheeky,Blue Snapback Hat,Generalist,Tatted (Classic),None,83.16348677918762,25
26,White Ruffle Dress,None,None,Red Sunglasses,Intoxicated,Smug,Ice Crown,Black Ops,Brown,None,50.87313044444467,26
27,Floral Kimono,Silver Chain,None,Black Aviator Sunglasses,Bored,Happy,Flower Pink,Generalist,Classic,None,71.28704617743094,27
28,None,None,Covid Mask (Cat Mouth),Thug Life Glasses,Angry,Angry,Red Snapback Hat,Field Agent,Built (Sandy),None,55.647452952847246,28
29,Black/Blue Tracksuit,None,None,None,Angry,Smoker's Pipe,Flower Blue,Double Agent,Dark,None,39.79633191435546,29
30,Black Puffer Jacket,None,None,None,Bored,Thug Life Joint,Flower Blue,Field Agent,Brown,None,42.43216628494141,30
31,White Puffer Jacket,None,Tear Tat,Round Reading Glasses,Cheeky,Dragon Breath,Red Devil Horns,Field Agent,Classic,None,61.53920777013235,31
32,Winter Jacket,Katana,Covid Mask (Eucalyptus),Eye Patch,Jaundice,Smug,None,Generalist,Dark,None,72.52810331631974,32
33,Red/White Tracksuit,None,Anbu Mask,None,None,Smug,Bandage,Field Agent,Built (Brown),None,57.53911557209278,33
34,None,None,Covid Mask (Eucalyptus),Round Reading Glasses,Intoxicated,Leaf,Pink Beanie,Generalist,Purple,None,40.25007580661068,34
35,Purple Hoodie,None,None,Round Reading Glasses,Smug,Smug,None,Operator,Classic,None,37.76094956587212,35
36,None,None,None,Black Aviator Sunglasses,Bitcoins,Golden Grills,Red Hat,Double Agent,Tatted (Shadow),None,45.81857970797185,36
37,Reverse Leopard Blazer,None,Gold Earrings,None,Happy,Diamond Grills,Pink Beanie,Operator,Cream,None,56.15804526698568,37
38,Pink Turtleneck,None,Covid Mask (Cat Mouth),Black Aviator Sunglasses,Smug,Leaf,Black Borsalino,Generalist,Classic,None,52.20099645875194,38
39,None,None,Covid Mask (Eucalyptus),None,Smug,Cheeky,None,Generalist,Brown,None,15.105698327063655,39
40,Overalls,None,Disposable Face Mask,Black Sunglasses,Happy,Dragon Breath,Blue Snapback Hat,Generalist,Built (Brown),None,58.72690501681982,40
41,Pink Dress,None,Blush,None,Intoxicated,Bored,Cream Borsalino,Generalist,Freakazoid,None,39.015776712187986,41
42,None,None,None,None,None,None,None,None,None,Punished Koala,60.47062996304348,42
43,Wackdonalds Uniform,None,Gold Earrings,None,Soulless,Leaf,None,Black Ops,Built (Brown),None,42.09191834483049,43
44,White Dress,Gold Chain,Blush,Hard Thunder Glasses,Angry,Cheeky,None,Generalist,Dark,None,60.34417816388574,44
45,None,None,None,None,Smug,Smug,None,Operator,Tatted (Cream),None,16.930697335997806,45
46,Black Turtleneck,None,None,None,None,Golden Grills,Cyclops,Field Agent,Classic,None,42.612185694436796,46
47,None,Moon Necklace,Blood Splatter,Eye Patch,Intoxicated,Smug,None,Black Ops,Tatted (Brown),None,67.71733559271757,47
48,Yellow Raincoat,None,Tear Tat,Hard Thunder Glasses,Cheeky,Dragon Breath,None,Generalist,Brown,None,36.5199231392793,48
49,Blue Dress,Double Katana,Diamond Stud Earrings,Round Reading Glasses,Cheeky,Leaf,Black Borsalino,Field Agent,Freakazoid,None,94.72255757942979,49
50,None,None,None,Black Aviator Sunglasses,Intoxicated,Happy,Top Hat,Generalist,Dark,None,25.299080839727544,50
51,Red Hoodie,None,Silver Earrings,None,Intoxicated,Cigarette,None,Field Agent,Tatted (Classic),None,37.100561593337275,51
52,Ruby Dress,None,Silver Earrings,Round Reading Glasses,Cheeky,Cigarette,None,Black Ops,Brown,None,48.454250887765156,52
53,White Dress,None,None,None,Bullish,Cheeky,Pink Beanie,Engineer,Dark,None,38.89533818170807,53
54,None,None,None,Round Reading Glasses,Cheeky,Angry,None,Generalist,Flaming,None,19.807025024587755,54
55,Red Hoodie,None,Silver Earrings,Hard Thunder Glasses,Bitcoins,Dragon Breath,Flower Pink,Black Ops,Brown,None,60.558354391302785,55
56,Hippie Tie-Dye Shirt,ID Badge,None,None,Bullish,Cheeky,None,Operator,Tatted (Shadow),None,58.70938917335514,56
57,None,None,Tear Tat,Hard Thunder Glasses,Angry,Smoker's Pipe,Pink Beanie,Double Agent,Tatted (Pink),None,51.85736933951496,57
58,Wackdonalds Uniform,None,Gold Earrings,Hard Thunder Glasses,Smug,Bubble Gum,Halo,Double Agent,Cream,None,65.03226601770714,58
59,None,None,Blush,Hard Thunder Glasses,Intoxicated,Cigarette,None,Field Agent,Purple,None,29.85002687316997,59
60,Black Hoodie,None,None,Black Aviator Sunglasses,Bitcoins,Smug,Flower Blue,Generalist,Brown,None,42.93259436419283,60
61,Lab Coat,None,Tear Tat,None,Ominous,Smug,None,Generalist,Brown,None,29.58006869437494,61
62,Black/White Tracksuit,Diamond Chain,None,Hard Thunder Glasses,Smug,Smoker's Pipe,Blue Snapback Hat,Generalist,Brown,None,67.53385290322557,62
63,None,None,None,None,Intoxicated,Leaf,None,Engineer,Pink,None,12.879892690041059,63
64,None,None,Tear Tat,Hard Thunder Glasses,Cheeky,Leaf,Pink Beanie,Generalist,Classic,None,35.74588402649859,64
65,None,None,Blush,None,Cheeky,Happy,DJ Headphones,Operator,Classic,None,33.60375975258756,65
66,None,None,None,None,Angry,Cigarette,None,Engineer,Tatted (Shadow),None,16.266656530872208,66
67,Orange Jersey,None,Blush,Hard Thunder Glasses,Happy,Angry,Blue Snapback Hat,Double Agent,Classic,None,55.076773179995406,67
68,None,None,None,Black Aviator Sunglasses,Intoxicated,Angry,Top Hat,Engineer,Brown,None,34.90491668286112,68
69,None,None,Blush,Black Sunglasses,Cheeky,Cheeky,Black Headphones,Double Agent,Built (Sandy),None,52.014192323352304,69
70,None,None,None,Black Aviator Sunglasses,Soulless,Smug,Halo,Engineer,Tatted (Pink),None,43.48306712400606,70
71,Black/White Tracksuit,ID Badge,Scars,Hard Thunder Glasses,Intoxicated,Cigarette,None,Double Agent,Tatted (Dark),None,74.18600267367832,71
72,None,None,Silver Earrings,None,Intoxicated,Cheeky,Golden Laurel,Double Agent,Dark,None,34.017600867705916,72
73,White Tank,None,Diamond Stud,Round Reading Glasses,Soulless,Cigarette,Fireman Helmet,Generalist,Built (Sandy),None,58.002923601573094,73
74,Hippie Tie-Dye Shirt,None,None,Thug Life Glasses,Angry,Leaf,None,Field Agent,Built (Dark),None,43.3228779723864,74
75,Pink Leopard Blazer,ID Badge,None,None,Intoxicated,Dragon Breath,Red Snapback Hat,Generalist,Dark,None,53.01790947490398,75
76,Black Puffer Jacket,None,None,Hard Thunder Glasses,Intoxicated,Dragon Breath,Red Devil Horns,Double Agent,Tatted (Brown),None,48.63104095165597,76
77,Punk Jacket,None,Blush,None,Smug,Golden Grills,Cream Borsalino,Engineer,Tatted (Sandy),None,50.849944355876744,77
78,Black Puffer Jacket,None,Silver Earrings,Black Aviator Sunglasses,Smug,Bubble Gum,None,Field Agent,Brown,None,51.23677937313944,78
79,Red Jumpsuit,ID Badge,Blush,3D Glasses,Bitcoins,Angry,Flower Blue,Field Agent,Tatted (Brown),None,94.18547940234227,79
80,None,None,None,Round Reading Glasses,Smug,Cheeky,Flower Blue,Generalist,Brown,None,28.175227975168216,80
81,White Turtleneck,None,None,Hard Thunder Glasses,Intoxicated,Cigarette,None,Black Ops,Built (Dark),None,35.265232142763765,81
82,None,None,None,Eye Patch,Intoxicated,Golden Grills,Black Headphones,Operator,Tatted (Brown),None,43.13942198210657,82
83,None,None,Disposable Face Mask,None,Bullish,Diamond Grills,King's Crown,Field Agent,Built (Dark),None,44.54396135240103,83
84,None,Pink Heart Necklace,Disposable Face Mask,Black Aviator Sunglasses,Happy,Cigarette,Blue Snapback Hat,Double Agent,Freakazoid,None,80.33116954310206,84
85,Leopard Blazer,None,None,None,Bitcoins,Cigarette,None,Field Agent,Tatted (Dark),None,30.887834816868686,85
86,Letterman Jacket,None,None,None,Soulless,Dragon Breath,Laurel,Black Ops,Robot,None,44.570814605589284,86
87,Yellow Ball Gown,None,None,3D Glasses,Happy,Happy,Flower Pink,Generalist,Built (Cream),None,48.36767426064812,87
88,Black/Yellow Tracksuit,None,None,None,Bitcoins,Thug Life Joint,Pink Snapback Hat,Black Ops,Tatted (Brown),None,45.28481898674034,88
89,Wackdonalds Uniform,None,Blush,None,Ominous,Golden Grills,Yellow Snapback Hat,Generalist,Frozen,None,44.00706938594225,89
90,None,None,None,None,Smug,Bored,None,Operator,Robot,None,19.37649890454819,90
91,None,None,None,None,Jaundice,Golden Grills,None,Black Ops,Classic,None,16.093219294748202,91
92,Pink Leopard Blazer,None,Silver Earrings,Hard Thunder Glasses,Smug,Happy,Pink Snapback Hat,Generalist,Brown,None,49.44852254649591,92
93,None,None,Silver Earrings,None,Angry,Angry,Laurel,Double Agent,Brown,None,37.23392185480443,93
94,Black/Yellow Tracksuit,Gold Chain,Scars,Black Aviator Sunglasses,Cheeky,Angry,None,Field Agent,Pink,None,81.10180111100537,94
95,None,Jade Stone,Blush,None,Angry,Cigarette,None,Field Agent,Built (Brown),None,50.95593283178069,95
96,Detective's Trenchcoat,None,Blush,Hard Thunder Glasses,Soulless,Smug,Yellow Snapback Hat,Engineer,Frozen,None,60.97873528224489,96
97,None,None,Silver Earrings,Round Reading Glasses,Cheeky,Smoker's Pipe,None,Double Agent,Built (Pink),None,41.8882970475011,97
98,None,Gold Chain,Blood Splatter,Hard Thunder Glasses,Angry,Angry,None,Operator,Cream,None,65.70892029324696,98
99,Winter Jacket,None,None,Eye Patch,Soulless,Cheeky,Backward Black Snapback Hat,Generalist,Purple,None,50.059213570685046,99
100,Black Turtleneck,None,None,None,Bored,Happy,None,Generalist,Classic,None,18.4323520172024,100
101,Leopard Blazer,None,None,None,Bullish,Golden Grills,Black Devil Horns,Black Ops,Tatted (Sandy),None,45.37475010757089,101
102,Blue Ball Gown,None,None,None,Happy,Diamond Grills,Ice Crown,Operator,Ghost,None,45.92208695395127,102
103,Reverse Leopard Blazer,None,None,Black Aviator Sunglasses,Bored,Angry,None,Generalist,Tatted (Sandy),None,35.382225097235704,103
104,None,Katana,None,3D Glasses,Intoxicated,Thug Life Joint,Halo,Double Agent,Built (Classic),None,70.653144716672,104
105,Black/Yellow Tracksuit,None,None,None,Bullish,Cigarette,Pink Beanie,Double Agent,Tatted (Brown),None,42.35191153122522,105
106,White Shirt/Blue Coat,Moon Necklace,Gold Earrings,None,Intoxicated,Cigarette,None,Generalist,Ghost,None,56.11072777288436,106
107,Hazmat Suit,None,Gas Mask,None,Cheeky,None,None,Engineer,Flaming,None,45.621898309688454,107
108,Summer Dress,Jade Stone,Silver Earrings,None,None,Angry,None,Engineer,Alien,None,71.08362743663358,108
109,White Puffer Jacket,None,None,Black Aviator Sunglasses,Cheeky,Smoker's Pipe,Pink Beanie,Generalist,Pink,None,46.26906722310968,109
110,Ninja Gear,Double Katana,Scars,None,Ominous,Bored,None,Generalist,Zombie,None,65.03860097850983,110
111,None,Jade Stone,Silver Earrings,None,Intoxicated,Cheeky,Red Snapback Hat,Black Ops,Built (Classic),None,65.2719731829018,111
112,Grey Puffer Jacket,None,Blush,Hard Thunder Glasses,Intoxicated,Angry,None,Double Agent,Built (Dark),None,43.019179665563705,112
113,Blue Dress,None,Blush,Hard Thunder Glasses,Smug,Leaf,Flower Pink,Generalist,Dark,None,44.607373578621335,113
114,Space Suit,None,Blush,Hard Thunder Glasses,Cheeky,Leaf,Black Borsalino,Engineer,Dark,None,54.9033362614344,114
115,None,None,Blush,Hard Thunder Glasses,Cheeky,Bubble Gum,None,Generalist,Built (Dark),None,26.14662735166328,115
116,None,None,None,None,None,None,Space Suit Helmet,Generalist,Tatted (Cream),None,26.416822486364467,116
117,None,Double Katana,None,Round Reading Glasses,Smug,Dragon Breath,None,Operator,Frozen,None,56.86116501442018,117
118,Red/White Tracksuit,None,Covid Mask (Cat Mouth),Black Aviator Sunglasses,Cheeky,Smug,Cream Borsalino,Generalist,Freakazoid,None,56.74180628557397,118
119,None,None,None,None,None,None,Space Suit Helmet,Generalist,Brown,None,22.309432394748264,119
120,Letterman Jacket,None,Silver Ear Piercing,None,Smug,Smug,Red Snapback Hat,Generalist,Brown,None,39.86651819679305,120
121,None,None,None,None,Smug,Dragon Breath,None,Black Ops,Freakazoid,None,16.500259651771003,121
122,Orange Jersey,None,Blush,None,Jaundice,Leaf,None,Generalist,Brown,None,24.571862077222015,122
123,Pink Leopard Blazer,None,None,Hard Thunder Glasses,None,Bored,Yellow Beanie,Generalist,Alien,None,47.947329074658036,123
124,Grey Puffer Jacket,None,Blush,Hard Thunder Glasses,Angry,Dragon Breath,None,Generalist,Classic,None,32.18906681842612,124
125,Reverse Leopard Blazer,None,Blush,Round Reading Glasses,None,Angry,None,Engineer,Alien,None,52.0075654356602,125
