,Mouth,Eyebrows,Eyelids,Eyes,Fur,Background,Clothing,Hair,Eyewear,Head Gear,Mask,Special Head,Rarity score,Token Id
0,Sad,Happy,All,Dizzy,Pink,Forgotten Purple,None,None,None,None,None,None,21.338164510909145,1
1,Sad,Angry,Top,Blank,Gray,Shimmer,Tie,None,None,None,None,None,33.45368341918547,2
2,Cute,None,None,Hearts,Gray,Livid,Handkerchief,None,None,None,None,None,20.477667600158192,3
3,Cute,Sad,Top Left,Retro,Dark Brown,Salmon Nigiri,None,White,Eyepatch,None,None,None,64.7129218456826,4
4,Angry Teeth,Sad,None,Yellow Buttons,Pink,Livid,Toga,None,None,None,None,None,25.68623389896757,5
5,Angry Teeth,None,Bottom Right,Hollow,Dark Brown,Angry Pasta,None,None,None,Troyan,None,None,35.714388721405456,6
6,Angry Tongue,Angry,None,None,White,Black Dragon's Cauldron,None,White,Aviator,None,None,None,58.899276753303866,7
7,Smoking,None,Top Right,Black Buttons,Dark Brown,Shimmer,Tie,Red Mohawk,None,None,None,None,54.67968098327519,8
8,Sad,Angry,None,Red Laser,Light Brown,Bundaberg Sand,Tie,None,None,None,None,None,21.28690514220185,9
9,O,Angry,Top Left,Regular,Dark Brown,Meadowland,None,None,None,None,None,None,15.671660674501025,10
10,Cute,None,Bottom Left,Retro,Light Brown,French Truffle,None,None,None,Yellow Beanie,None,None,31.904612031294512,11
11,Angry Roar,Happy,None,Big,Camo,Campanelle Noodle,Leather Straps,None,None,None,None,None,26.847302323488385,12
12,Evil Tongue,None,Bottom Right,Hollow,Checkered,French Truffle,Toga,None,None,None,None,None,34.994724969688825,13
13,None,None,None,None,Light Brown,Bundaberg Sand,Caveman,None,None,Aviator,Freddy,None,58.95149471738927,14
14,Angry Teeth,None,Top Left,Green Gummy,Green Gummy,Salmon Nigiri,Handkerchief,None,None,Troyan,None,None,55.70054725893142,15
15,None,None,None,None,Black,Angry Pasta,None,None,None,None,None,Skull,30.83811087010811,16
16,Angry Teeth,Happy,Bottom,Regular,Gray,Bundaberg Sand,None,None,None,None,None,None,20.334834356024007,17
17,Angry Roar,None,Top,Blank,Purple Zombie,Holiday Camp,None,None,None,None,None,None,18.50619938859353,18
18,Happy Tongue,Sad,Bottom,Big,Light Brown,French Truffle,None,None,None,None,None,None,14.641783997128291,19
19,Angry Tongue,None,None,None,Cheetah,Angry Pasta,None,None,Blindfold,None,None,None,27.98035826918112,20
20,Evil Tongue,Angry,Top Right,Stitches,Light Brown,Black Dragon's Cauldron,None,None,Eyepatch,None,None,None,43.86030041529789,21
21,Happy Tongue,Angry,None,None,Purple Zombie,Bundaberg Sand,None,None,Blindfold,Yellow Beanie,None,None,52.77831925802673,22
22,O,Happy,Bottom,Yellow Buttons,Day of the Dead,Forgotten Purple,None,None,None,None,None,None,19.305375215558186,23
23,Sad,Angry,None,Retro,Cheetah,Forgotten Purple,None,None,None,None,None,None,11.836558259989271,24
24,Angry Roar,Happy,Bottom Left,Yellow Buttons,Camo,Campanelle Noodle,Puffy Vest,None,None,None,None,None,38.39778405628691,25
25,Cute,Angry,None,Small,Light Brown,Voodoo Grey,None,Short White,None,None,None,None,30.672119000829063,26
26,Sad,Happy,None,Red Gummy,Red Gummy,Shimmer,None,None,None,None,None,None,13.200081993506307,27
27,Sad,Angry,None,None,Green,Voodoo Grey,None,None,Aviator,None,None,None,29.00914634618454,28
28,Happy Tongue,Happy,None,None,Light Brown,Angry Pasta,None,None,Hearts,None,None,None,26.378022033691444,29
29,Rainbow Grill,Angry,Top,Bloodshot,Dark Brown,Bundaberg Sand,None,None,None,None,None,None,17.897900564430792,30
30,Ice Grill,Happy,None,Red Laser,Dark Brown,Black Dragon's Cauldron,Smoking Robe,None,None,None,None,None,25.606776861909218,31
31,Sad,None,None,None,Cheetah,Voodoo Grey,None,None,Sunglasses,Explorer,None,None,45.600001547487565,32
32,None,None,None,None,Dark Brown,Meadowland,None,None,None,None,None,Black Ski Mask,25.594590536593888,33
33,Rainbow Grill,None,Top Right,Red Laser,Light Brown,Bundaberg Sand,None,None,None,Explorer,None,None,37.09582946081886,34
34,Ice Grill,Happy,Bottom Right,Hollow,Gray,Campanelle Noodle,Yukata,None,None,None,None,None,39.216153011001644,35
35,O,Happy,All,Big,Light Brown,Bundaberg Sand,Toga,None,None,None,None,None,28.44696218920563,36
36,Sad,Sad,None,Small,Dark Brown,Angry Pasta,Red Hoodie,None,None,None,None,None,19.790170624421187,37
37,Cute,None,Top Right,Yellow Buttons,Light Brown,Livid,Toga,Bangs,None,None,None,None,52.295747596003984,38
38,Sad,Sad,All,Black Buttons,Day of the Dead,Livid,None,None,None,None,None,None,22.095130729516615,39
39,None,None,All,Green Gummy,Green Gummy,Meadowland,Black T-shirt,None,None,Explorer,Black Demon,None,79.28566415716368,40
40,O,Angry,None,None,Green,Livid,King's Robe,None,Scifi,Back Cap,None,None,64.18619037643154,41
41,Angry Teeth,Happy,All,Big,Light Brown,Campanelle Noodle,Handkerchief,None,None,None,None,None,29.854682557932456,42
42,Angry Roar,None,Bottom Right,Stitches,Dark Brown,French Truffle,None,None,None,None,None,None,15.100918568344795,43
43,None,None,None,Green Cat,Dark Brown,French Truffle,Puffy Vest,None,None,None,Leather,None,43.22626361042813,44
44,Evil Grin,None,Top,Hollow,Pink,Livid,Black T-shirt,None,None,Troyan,None,None,52.437161820477115,45
45,Smoking,None,Top Left,Bloodshot,Light Brown,Campanelle Noodle,Scarf,None,None,Visor,None,None,48.8393945884614,46
46,Happy Tongue,Happy,None,Small,Light Brown,Meadowland,Tie,None,None,None,None,None,21.206517867087964,47
47,Angry Tongue,Happy,None,Dizzy,Red,Bundaberg Sand,None,None,Lennon,None,None,None,35.97785848889802,48
48,None,None,None,None,Purple,Voodoo Grey,Tie,None,None,None,Tiki,None,41.984863499878514,49
49,Cute,Sad,Top Right,Big,Dark Brown,Livid,None,Short White,None,None,None,None,41.492318703639505,50
50,Cute,Happy,None,Glowing,Pink,Forgotten Purple,None,None,None,None,None,None,11.519070753153095,51
51,None,None,Bottom,Big,Light Brown,Forgotten Purple,Tie,None,None,None,Leather,None,48.7234173569126,52
52,Angry Teeth,Happy,Top,Big,Red,Black Dragon's Cauldron,None,None,None,Bandana,None,None,42.36408686209709,53
53,Evil Grin,Angry,All,Green Gummy,Green Gummy,Black Dragon's Cauldron,None,None,None,None,None,None,26.13398844527958,54
54,Evil Tongue,None,None,None,White,Shimmer,None,None,Sunglasses,Baseball,None,None,47.88718707940172,55
55,Angry Roar,None,None,Small,Light Brown,Voodoo Grey,None,None,None,Cowboy,None,None,23.370847970356245,56
56,Rainbow Grill,Angry,Top Right,Hollow,Colorful,Holiday Camp,None,None,None,Baseball,None,None,46.83369616264943,57
57,Ice Grill,Angry,Bottom,Blank,Green,Campanelle Noodle,Bullet Belt,None,None,None,None,None,36.20747565177552,58
