,Environment,Hand,Ear Accessory,Mouth Accessory,Hair,Eyewear,Brow,Eyes,Mouth,Clothing,Necklace,Face Attachment,Body Attachment,Markings,Body,Background,Mask,Rarity score,Token Id
0,No Environment,Den Den Daiko Wave Blue,Bead Earring,No Accessory,Shojo Blue,No Eyewear,Brow Type 4,Blue Eyes 3,Slight Smile Purple,Tank Grey,Chain Necklace,No Attachment,No Attachment,Barcode,Skintone 2,Black Gray,None,19.70725083442436,0
1,No Environment,Unarmed,Bead Earring,No Accessory,Karen Short,No Eyewear,Brow Type 2,Orange Eyes 2,Slight Open Pink,Red Spider Bra,Gold Pearls,No Attachment,Robo Spine,No Markings,Skintone 1,White,None,10.262853493190143,1
2,No Environment,Electric Skateboard Cyan,Boomerang Earring,No Accessory,Slick Back,No Eyewear,Brow 5,Violet Eyes 1,Slight Smile,Kiwami Hoodie Camo,Kiwami Pendant,Stubble,No Attachment,Robo Spine,Skintone 2,Black Gray,None,30.85558797901652,2
3,No Environment,Red Drone Without Logo,Cross Earring,No Accessory,Old Timey Pink,Patch with Logo,Brow Type 2,Cat Eyes 1,Neutral Purple,Mox Jacket Camo Green,Chain Necklace,Star Tattoo,Mox Cybernetics Anonymice,Barcode,Skintone 2,Black Gray,None,48.544506776443626,3
4,No Environment,Dango,Robo Earphone,No Accessory,Mohawk Gray,Sunglasses,Brow 3,Green Eyes 2,Slight Open,Terry Jacket,Wave Necklace,No Attachment,Tattoo Flowers,Robo Spine,Skintone 2,Blue,None,36.647479200724106,4
5,No Environment,Robo Middle Finger Red,Piercings,No Accessory,Ponytail,No Eyewear,Brow Type 2,Eyes Closed 1,Smile Purple,Redlin Polo,Gold Pearls,No Attachment,Kitty Tattoo,Mole,Skintone 1,Magenta,None,25.617992732354256,5
6,No Environment,Brass Knuckle,Cross Earring,No Accessory,Shojo Blue,No Eyewear,Brow Type 3,Red Eyes 2,Slight Smile Pink,Mox Jacket,Kiwami Pendant,Star Tattoo,No Attachment,Barcode,Skintone 1,Black Gray,None,30.145054612908616,6
7,No Environment,Electric Skateboard Cyan,Piercings,No Accessory,Mega Fro Brown,White Sunslasses,Brow Type 3,Pink Eyes 3,Smirk Purple,Open Kimono,Dog Tags,No Attachment,Mox Cybernetics Orange,Barcode,Skintone Radioactive,Black Gray,None,43.1336065375809,7
8,No Environment,Unarmed,Gold Chain Earring,No Accessory,Sakanakun 1,Glasses 2,Brow Type 3,Blue Eyes 1,Laugh Purple,Kebaya,No Necklace,No Attachment,No Attachment,No Markings,Skintone 2,White,None,13.456146091545968,8
9,No Environment,Unarmed,Boomerang Earring,No Accessory,Sakanakun 2b,Glasses 2,Brow Type 1,Pink Eyes 3,Open Purple,Open Kimono Pink,Wave Necklace,No Attachment,Robo Spine,Mole,Skintone 1,White,None,30.96251676411439,9
10,No Environment,Electric Skateboard Cyan,No Earring,No Accessory,Bandana A,White Sunglasses G,Brow 6,Green Eyes 1,Laugh,Samurai,No Necklace,Stubble,Tattoo Dragon,No Markings,Skintone 3,Red,None,32.47855109629256,10
11,No Environment,Electric Skateboard Cyan,Robo Ear v1,No Accessory,Mohawk,No Eyewear,Brow 4,Violet Eyes 2,Slight Open,Hanging Jacket and Shirt,Chain Necklace,No Attachment,Tattoo Dragon,No Markings,Skintone 3,Black Gray,None,15.70593271741349,11
12,No Environment,Beer Can Black,Robo Earphone,No Accessory,Messy Blue,Sunglasses G,Brow 3,Deep Eyes 2,Tongue Out,Greaser Jacket Shirtless,Chain Necklace,Draken Tattoo,Tattoo Flowers,Robo Spine,Skintone 3,Black Gray,None,47.519368382695376,12
13,None,None,Piercings,None,Middle Parted Blonde,No Eyewear,Brow Type 4,Blue Eyes 2,Slight Smile,None,None,None,None,None,Tengu 1 Skintone 2 Half Kimono 1,Pure Black,Kitsune Mask,96.52203162153384,13
14,No Environment,Electric Skateboard Gold,Earring,No Accessory,Pompadour Teal,Sunglasses Pink,Brow 2,Violet Eyes 1,Slight Smile,Kimono White,Kiwami Pendant,No Attachment,Single Tattoo,No Markings,Skintone 1,Blue,None,26.522583320821262,14
15,No Environment,Green Tea,Cross Earring,No Accessory,Host Hair,Sunglasses Yellow,Brow 2,Eyes Closed,Neutral,Suit and Bowtie,Chain Necklace,Plaster,No Attachment,Robo Spine,Skintone 3,White,None,38.58584042518159,15
