,Background,Back,Skin,Clothes,Helmet,Hair,Nose,Mouth,Ears,Eyes,Hat,Legendary,Charity,Rarity score,Token Id
0,grey,black_wings,nude,gentleman,purple,none,black,rabbit,regular,3d_glasses,none,None,None,19.956390357976176,1
1,orange,black_cape,black,chef,turquoise,none,black,walrus,none,suspicious,worker,None,None,38.75671165712147,2
2,red,none,artist,read_or_die,rainbow,blond_long,turquoise,chewing_gum,regular,wink,none,None,None,36.548601311898835,3
3,red,none,nude,ghost,blue,none,yellow,wow,none,regular,sheriff,None,None,7.678954258019702,4
4,cream,none,nude,policeman,black,none,black,smoking_pipe,regular,80s_glasses,none,None,None,3.9550209177896325,5
5,pink,red_cape,nude,jersey,pink,none,pink,moustache,pointy,3d_glasses,none,None,None,21.031113973806633,6
6,orange,skater,nude,cyclist,orange,none,white,small_beard,none,regular,spikes,None,None,24.22790908959886,7
7,cream,none,nude,ghost,yellow,none,red,malicious,small,vegas_glasses,none,None,None,1.8703080396177765,8
8,cream,skater,black,ninja,turquoise,none,pink,small_beard,pointy,monster,none,None,None,32.501436768649846,9
9,orange,none,nude,cyclist,pink,none,blue,smile,none,regular,rainbow,None,None,7.041120713854673,10
10,green,none,nude,drawing_my_life,light_green,none,black,beard,regular,monster,none,None,None,4.265349377735401,11
11,turquoise,tennis,black,ufo,yellow,none,heart,big_smile,none,regular,pirate,None,None,35.51031302175598,12
12,yellow,none,nude,cyclist,orange,none,red,wow,none,regular,sherlock,None,None,6.42334403973535,13
13,grey,red_cape,nude,ghost,white,none,red,big_smile,regular,big_eyes,none,None,None,16.94657855171041,14
14,grey,none,nude,worker,dark_green,black_short,turquoise,rabbit,none,regular,sailor,None,None,27.48864728510827,15
15,yellow,red_cape,black,cyclist,white,none,whiskers,chewing_gum,pointy,vegas_glasses,none,None,None,32.46186371176888,16
16,pink,guitar,nude,sailor,light_green,none,turquoise,tongue_out,round,vegas_glasses,none,None,None,19.696864595615292,17
17,purple,red_cape,nude,martian,light_blue,none,yellow,walrus,round,big_eyes,none,None,None,18.88168811749794,18
18,cream,none,black,plaid_shirt,silver,ginger_short,heart,confident,regular,monster,none,None,None,35.02559206776142,19
19,pink,none,nude,drawing_my_life,pink,none,red,wow,none,regular,crazy,None,None,7.193576688824678,20
20,pink,none,nude,ghost,white,none,pink,malicious,small,yellow_glasses,none,None,None,2.592428795494048,21
21,green,red_cape,black,ufo,orange,none,turquoise,sad,small,rogue,none,None,None,28.301725613574174,22
22,orange,artist,nude,drawing_my_life,orange,none,black,big_smile,regular,big_eyes,none,None,None,17.5080819275459,23
23,pink,tennis,black,ballet,pink,none,pink,wow,round,vampire,none,None,None,29.672689926690126,24
24,grey,black_cape,black,sailor,light_green,none,red,sad,pointy,vampire,none,None,None,30.651181201267168,25
25,green,black_cape,nude,cardigan,light_green,none,blue,confident,round,manga,none,None,None,17.95083705020198,26
26,green,none,nude,policeman,red,none,green,smile,none,regular,doctor,None,None,5.982898659618764,27
27,cream,none,nude,ninja,blue,none,turquoise,sad,none,regular,cap,None,None,10.07163611846938,28
28,yellow,red_cape,nude,read_or_die,blue,none,pink,moustache,round,big_eyes,none,None,None,18.91264839663834,29
29,pink,black_cape,nude,policeman,orange,none,turquoise,walrus,pointy,pirate,none,None,None,19.327502009720902,30
30,red,none,nude,gentleman,orange,none,yellow,wow,none,regular,cowboy,None,None,7.131518981282964,31
31,turquoise,red_cape,nude,thriller,black,none,turquoise,big_smile,small,wink,none,None,None,17.214420291078326,32
32,yellow,red_cape,nude,drawing_my_life,purple,none,green,smile,regular,80s_glasses,none,None,None,14.148513757111832,33
33,yellow,red_cape,nude,cyclist,blue,none,turquoise,smile,small,big_eyes,none,None,None,15.53916739197253,34
34,cream,none,nude,gentleman,light_blue,none,pink,party_horn,regular,manga,none,None,None,4.2004389893241765,35
35,yellow,red_cape,nude,gentleman,yellow,none,red,walrus,pointy,wink,none,None,None,18.492479862990173,36
36,grey,none,nude,pilot,yellow,black_short,heart,chewing_gum,pointy,insect,none,None,None,25.64857742666038,37
37,yellow,red_cape,nude,ghost,blue,none,yellow,malicious,regular,manga,none,None,None,16.430404391032017,38
38,green,none,nude,plaid_shirt,yellow,none,black,malicious,none,regular,sheriff,None,None,8.483152249802844,39
39,turquoise,none,nude,bling_bling,pink,none,black,party_horn,none,regular,doctor,None,None,9.304140768402258,40
40,orange,none,nude,mechanic,light_green,none,turquoise,smile,none,regular,martian,None,None,7.518076350514158,41
41,yellow,none,nude,cyclist,turquoise,none,black,smile,small,yellow_glasses,none,None,None,0.7024623069315717,42
42,orange,none,nude,worker,light_blue,black_short,whiskers,tongue_out,round,monster,none,None,None,23.91391085411407,43
43,green,none,black,bling_bling,white,ginger_short,blue,chewing_gum,regular,monster,none,None,None,32.89917219432887,44
44,yellow,none,nude,ufo,blue,none,green,big_smile,small,yellow_glasses,none,None,None,2.5642936235760168,45
45,purple,none,nude,plaid_shirt,turquoise,none,pink,party_horn,small,hopeful,none,None,None,3.5234308354610935,46
46,yellow,red_cape,nude,gentleman,yellow,none,green,party_horn,round,yellow_glasses,none,None,None,17.823886385328123,47
47,purple,none,nude,chef,blue,none,red,smile,none,regular,spikes,None,None,6.618123813805826,48
48,turquoise,none,nude,gentleman,black,none,red,party_horn,small,professor,none,None,None,3.2921378607342877,49
49,yellow,red_cape,black,read_or_die,black,none,white,big_smile,round,manga,none,None,None,29.263490520022383,50
50,cream,black_cape,nude,ninja,blue,none,blue,tongue_out,round,80s_glasses,none,None,None,18.506451120653434,51
51,turquoise,none,nude,martian,white,none,white,party_horn,none,suspicious,cap,None,None,14.59964657765591,52
52,turquoise,none,nude,cyclist,orange,none,green,smile,none,regular,cowboy,None,None,5.66701620361282,53
53,pink,none,nude,doctor,purple,none,green,smile,none,regular,sailor,None,None,6.1607366190991435,54
54,cream,tennis,black,plaid_shirt,blue,none,green,tongue_out,regular,monster,none,None,None,29.506144095239257,55
55,grey,none,black,policeman,rainbow,ginger_short,red,big_smile,regular,rogue,none,None,None,32.50998750605342,56
56,yellow,red_cape,black,plaid_shirt,turquoise,none,heart,big_smile,round,hopeful,none,None,None,30.04198976955025,57
57,grey,none,nude,policeman,pink,none,white,big_smile,none,regular,doctor,None,None,8.954241039189233,58
58,cream,red_cape,nude,plaid_shirt,yellow,none,black,smile,none,suspicious,sheriff,None,None,26.36087345793125,59
59,orange,none,nude,martian,turquoise,none,red,wow,none,regular,sherlock,None,None,6.671510988652052,60
60,orange,guitar,nude,bling_bling,light_blue,none,yellow,rabbit,pointy,angry,none,None,None,20.740593478826806,61
61,grey,artist,black,drawing_my_life,yellow,none,turquoise,tongue_out,round,80s_glasses,none,None,None,30.721675373357193,62
62,pink,none,nude,martian,orange,none,red,party_horn,regular,angry,none,None,None,2.2117168802027307,63
63,orange,none,nude,doctor,yellow,none,green,smoking_pipe,small,wink,none,None,None,2.8406940932971194,64
64,orange,none,nude,chef,yellow,none,pink,party_horn,none,regular,sherlock,None,None,9.676535636836284,65
65,yellow,red_cape,nude,martian,turquoise,none,white,walrus,round,hopeful,none,None,None,18.450143379982485,66
66,purple,none,nude,drawing_my_life,red,none,pink,smile,none,regular,cook,None,None,6.634920511283076,67
67,orange,red_cape,nude,chef,red,none,pink,wow,none,suspicious,sailor,None,None,26.143550663597924,68
68,purple,skater,nude,cyclist,orange,none,turquoise,sad,pointy,wink,none,None,None,18.850779365528712,69
69,purple,black_cape,nude,drawing_my_life,blue,none,turquoise,smile,round,retro_glasses,none,None,None,16.077967327924462,70
70,red,black_cape,nude,policeman,pink,none,green,tongue_out,round,yellow_glasses,none,None,None,17.998787801488305,71
71,purple,none,nude,gentleman,turquoise,none,red,big_smile,none,regular,martian,None,None,7.5633768964704915,72
72,turquoise,none,nude,cardigan,white,none,blue,party_horn,small,80s_glasses,none,None,None,3.1510482997938447,73
73,grey,red_cape,nude,pilot,blue,none,yellow,walrus,round,big_eyes,none,None,None,20.00707547268859,74
74,orange,black_cape,nude,sailor,black,none,red,smile,none,regular,doctor,None,None,21.082641549110246,75
75,yellow,none,nude,ufo,orange,none,pink,smile,round,hopeful,none,None,None,2.6463066260702175,76
76,purple,none,nude,read_or_die,turquoise,none,blue,wow,none,regular,martian,None,None,6.307687570743252,77
