,Skin Tone,Outfit,Nose,Mouth,Hand,Hair Front,Hair Color,Hair Back,Eyes,Eyebrows,Eye Color,Clip Accessory,Background,Weapon,Head Accessory,Face Accessory,Appendage,Skin Marking,Ears,Legendary,Rarity score,Token Id
0,Neutral,School Uniform,Base,Smile,Peace,Messy Fringe,Gray,Messy Long,Upturned,Neutral,Blue,Red Hair Clip,Yellow Purple,None,None,None,None,None,None,None,22.153139136166097,0
1,Neutral,Silver Puffer Down,Base,Grin,None,Curl,Electric Blue,Short,Almond,Neutral,Gray,None,Blue Orange Lilac Green,Cyber Scythe,Cat Ears With Earring,None,None,None,None,None,18.36053319624805,1
2,Tan,Ladybug Shirt,Base,Hair Band,None,Bedhead,Rose,Wavy Short,Upturned Wink,Neutral,Blue,None,Green,None,None,Silver Bottom Frame,None,None,None,None,15.676443680318073,2
3,Neutral,White Wave Qipao,Base,Smile,None,Feathered Fringe,Violet,Spiky Long,Upturned Wink,Neutral,Black,Daisy,Orange Yellow,None,Pointed Bow,None,Bat Wings,None,None,None,26.430546747570016,3
4,Neutral,White T-Shirt,Base,Smile,None,Peek-A-Bang,Scarlet,Round Bob,Almond,Neutral,Brown,Strawberry,Yellow Blue,None,None,Thin Rectangle Glasses,None,None,None,None,16.15963539652013,4
5,Neutral,Novice Adventurer,Base,Pocky,None,Hime,Raven,Flared Short,Pointy,Neutral,Red,None,Gray Yellow,Savage Spear,Black Witch Hat,None,None,None,None,None,19.79490718099948,5
6,Neutral,White Cutout Top,Base,Ohh,None,Bedhead,Strawberry,Wide Pig Tails,Round,Neutral,Brown,None,Yellow Blue,None,Bull Horns,None,None,None,None,None,5.736415049151887,6
7,Neutral,Red Wave Qipao,Base,Eyetooth,None,Messy Layered,Light Blonde,Wide Long,Upturned,Neutral,Red,None,Green,None,Big Side Horns,None,Dragon Wings,None,None,None,19.83084760249788,7
8,Tan,Crimson Cage,Base,Cat,None,Peek-A-Bang,Midnight Blue,Wavy Long,Round,Neutral,Black,None,Purple,None,Red Mech Cat Ears,Red Rectangle Glasses,Pipes,None,None,None,35.06118704702823,8
9,Warm,Turquoise Hoodie,Base,Ohh,None,Hime,Wine Red,Wide Long,Almond,Neutral,Red,Black X,Green Yellow,None,Black Bunny Headband,None,None,None,None,None,21.127290231975305,9
10,Warm,Vested Businesswoman,Base,Grin,None,Puff,Light Blonde,Messy Bob,Round,Neutral,Blue,None,Blue Red,None,None,Rose,None,None,None,None,15.873002815879842,10
11,Neutral,Ironguard,Base,Speaking,None,Puff,Midnight Blue,Pig Tails,Down Turned,Neutral,Gray,Gold Flower,Blue Orange Lilac Green,None,Green Crystal Horns,None,None,None,None,None,14.1702559377164,11
12,Neutral,Black Wave Qipao,Base,Neutral,None,Short Messy,Emerald,Medium with Ribbon,Upturned,Neutral,Gray,Strawberry,Orange Yellow,None,Onion Horns,None,None,Beauty Mark Left Cheek,None,None,26.556567205634835,12
13,Neutral,Turquoise Night Dress,Base,Fang,None,Assymetrical,Lilac,Short Bob,Pointy,Neutral,Purple,Double Silver Hair Clip,Green Yellow,None,None,None,None,None,None,None,9.130337607720717,13
14,Neutral,Priestess,Base,Laugh,None,Bedhead,Electric Blue,Low Wavy Twintails,Down Turned,Neutral,Yellow,None,Yellow,None,Large Ears,Evil Eye,None,None,None,None,15.282007548888934,14
15,Neutral,Red Hoodie,Base,Blackcurrent Jam Toast,None,Hime,Electric Blue,High Messy Twintails,Hooded,Neutral,Green,None,Green,None,None,Nose Piercing,None,None,None,None,9.76796423975575,15
16,Neutral,Novice Adventurer,Base,Cat,None,Bedhead,Bubblegum,Voluminous Medium,Pointy,Neutral,Brown,None,Gray Purple,None,None,None,None,None,None,None,0.24303811919027776,16
17,Neutral,Seitokai,Base,Open,None,Ear Tuck,Honey,Round Bob,Round,Neutral,Gray,Lilac Bow-Tie,Yellow Blue,None,Bat Horns,None,None,Grey Cat Stripes,None,None,27.746250945939515,17
18,Warm,Pirate,Base,Hair Band,None,Messy Fringe,Azure,Large Twin Braids,Pointy,Neutral,Black,None,Blue Red,None,Bull Horns,Bandage,None,None,None,None,20.168538761102063,18
19,Neutral,Country Dress,Base,Cat,None,Curtain Bangs,Chestnut,High Messy Twintails,Upturned,Neutral,Green,Red X,Yellow Purple,None,Onion Horns,None,None,None,None,None,13.26703650245136,19
20,Dark,Cross Crop Top,Base,Open,None,Arched Parted Bangs,Emerald,Straight Long,Pointy,Neutral,Brown,Strawberry,Gray Purple,None,Owl Ears,None,None,None,Elf,None,34.59459808674949,20
21,Warm,Country Dress,Base,Happy,None,Parted Fringe,Violet,Round Bob,Hooded,Neutral,Green,None,Green,None,Blue Cap,None,None,Beauty Mark Kin,None,None,25.993919279080757,21
22,Neutral,Lilac Rhapsody,Base,Hay,None,Arched Parted Bangs,Dirty Blonde,Short,Round,Neutral,Yellow,None,Yellow Purple,None,Goldfish,None,None,None,None,None,7.987144277004712,22
23,Neutral,Overalls,Base,Open,None,Curl,Violet,Wavy Short,Pointy,Neutral,Brown,Red Hair Clip,Yellow Purple,None,None,Red Rectangle Glasses,None,None,None,None,15.900066546566116,23
24,Dark,Black Wave Qipao,Base,Ohh,None,Short Braid,Caramel,Straight Long,Upturned Wink,Neutral,Lilac,Strawberry,Yellow Purple,None,Bat Horns,Circle Glasses,None,None,None,None,28.97658572508647,24
25,Bright,Silver Puffer Down,Base,Shouting,None,Choppy Hime,Midnight Blue,Messy Long,Almond,Neutral,Blue,None,Gray Purple,None,Red Beret,None,None,None,None,None,13.627121727639773,25
26,Neutral,Blue Hoodie,Base,Fang,None,Messy Layered,Light Blonde,Flared Short,Round,Neutral,Yellow,None,Purple,None,Little Black Gold Hat,None,None,None,None,None,6.984824610051464,26
27,Neutral,Magic Apprentice,Base,Fang,None,Short Parted,Lilac,Round Bob,Upturned,Neutral,Green,None,Yellow,None,Peaked Cap,None,None,None,None,None,5.226285390304063,27
28,Neutral,Blackbird,Base,Slightly Open,Phone,Short Messy,Honey,Short,Upturned Wink,Neutral,Blue,None,Gray Yellow,None,Demon Horns,Bandage,None,Beauty Mark Kin,None,None,40.122426747058675,28
29,Tan,Magic Apprentice,Base,Fang,Peace,Short Braid,Dirty Blonde,Flared Short,Down Turned,Neutral,Blue,Gold Flower,Gray Purple,None,Ruffles,None,None,None,None,None,35.04771363904951,29
30,Neutral,White Cutout Top,Base,Ohh,None,Feathered Fringe,Sky Blue,Short Bob,Down Turned,Neutral,Yellow,None,Yellow,None,None,Pilot Sunglasses,None,None,None,None,10.182074997376871,30
31,Neutral,White Cutout Top,Base,Cat,None,Puff,Lime,Medium with Ribbon,Round,Neutral,Gray,Red Hair Clip,Yellow Blue,None,None,Pixel Glasses,None,None,None,None,17.526422340688356,31
32,Neutral,Turquoise Night Dress,Base,Laugh,None,Short Parted,Strawberry,Wide Pig Tails,Almond,Neutral,Red,Three Stars,Yellow,None,Bull Horns,None,Cat Tail,Black Cat Stripes,None,None,40.47945480962042,32
33,Neutral,White Jacket Translucent,Base,Open,None,Wavy Parted,Midnight Blue,Straight with Ribbon,Round,Neutral,Brown,Daisy,Blue Yellow,None,None,None,None,None,None,None,9.170839760040844,33
34,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48.05914607359638,34
35,Neutral,Executor's Suit,Base,Neutral,Executor's Sword,Executor's Hair,White,Executor's Hair,Almond Executor,Neutral,Bronze,None,Executor's Hall,None,Executor's Hat,None,Automatons,Barcode,None,#35,69.28280472183947,35
36,Neutral,Blood Kimono,Base,Red Smirk,None,Oni Hair,Silver,Oni Hair,Pointy Oni,Neutral,Blood Red,Blood Horns,Flower Temple,None,Empress Kanzashi,None,Blood Curls,Oni Tattoo,None,Oni Princess,65.10303816191258,36
37,Neutral,Feather Top,Base,Angelic Smile,None,Angel's Hair,Golden,Angel's Hair,Almond Seraph,Neutral,Aqua,None,Heavenly Night Sky,None,Holy Wreath,None,Seraph Wings,Holy Stripes,None,Divine Seraph,56.45758989163801,37
38,Neutral,X Suit,Base,Neutral,None,X Hair,White,X Hair,Almond X,Neutral,Diamond,None,Wasteland,Double X Swords,Ruffle,None,Scouts,Battle Scar,None,X-03,68.44296504453368,38
39,Neutral,Infernal Gown,Base,Neutral,None,Phoenix Hair,Red,Phoenix Hair,Almond Phoenix,Neutral,Fire Emerald,None,Galactic Sky,None,Glowing Feathers,None,Phoenix Wings,Infernal,None,Burning Phoenix,55.46009881126639,39
40,Bright,Black Bunny Outfit,Base,Laugh,Peace,Peek-A-Bang,Rose,Wavy Long,Almond,Neutral,Blue,Wing,Dark Violet Stars,Cyber Scythe,Bunny Ears,None,Angel Wings,Beauty Mark Left Cheek,None,None,76.80861152033661,40
41,Warm,Red Rhapsody,Base,Wide Open,None,Assymetrical,Midnight Blue,Straight Long,Pointy,Neutral,Brown,None,Gray Yellow,None,Mini Crown,Rose,None,None,None,None,20.46260065679906,41
42,Bright,Heart Hoodie,Base,Egg Toast,Wave,Short Parted,Strawberry,Round Bob,Upturned Wink,Neutral,Purple,Daisy,Yellow Purple,None,Wings,Circle Glasses,None,Gray Lotus,None,None,57.615669153308424,42
43,Neutral,Turquoise Night Dress,Base,Smile,None,Short Braid,Strawberry,Messy Long,Round,Neutral,Purple,None,Green,None,None,None,None,None,None,None,1.8531472295034237,43
44,Dark,Ace of Spades,Base,Ohh,None,Puff,Black Turquoise,Wide Long,Round,Neutral,Black,None,Blue Red,None,None,Tactical Eye Patch,None,None,None,None,16.51665475701183,44
