,Mouth,Clothes,Eyes,Fur,Background,Hat,Earring,Name,Rarity score,Token Id
0,M1 Bored Unshaven,M1 Toga,M1 Scumbag,M1 Cheetah,M1 Purple,None,None,None,26.09169445244103,0
1,M1 Dumbfounded,M1 Prison Jumpsuit,M1 Eyepatch,M1 Cream,M1 Gray,M1 Baby's Bonnet,None,None,43.30318529281663,1
2,M1 Bored,M1 Striped Tee,M1 Bored,M1 Brown,M1 Blue,M1 Police Motorcycle Helmet,None,None,23.61940886608019,2
3,M1 Bored Unshaven,None,M1 Zombie,M1 Golden Brown,M1 Yellow,M1 Horns,None,None,26.028191160650128,3
4,M1 Jovial,M1 Blue Dress,M1 Bored,M1 Death Bot,M1 Yellow,M1 S&m Hat,M1 Silver Stud,None,81.23915786569198,4
5,M1 Bored Unshaven Cigarette,M1 Sleeveless T,M1 Eyepatch,M1 Dark Brown,M1 Army Green,M1 Stuntman Helmet,None,None,39.97580461509212,5
6,M1 Grin Multicolored,M1 Stunt Jacket,M1 Sleepy,M1 Black,M1 Aquamarine,M1 Fez,M1 Gold Hoop,None,82.41839929642457,6
7,M1 Grin,M1 Lab Coat,M1 Heart,M1 White,M1 Aquamarine,M1 Beanie,None,None,41.14841308051133,7
8,M1 Bored,M1 Leather Jacket,M1 Bloodshot,M1 Tan,M1 Yellow,M1 Bayc Flipped Brim,None,None,31.433502645005607,8
9,M1 Grin Multicolored,M1 Black T,M1 Bored,M1 White,M1 Aquamarine,M1 Army Hat,None,None,37.914584732074374,9
10,M1 Bored Unshaven,M1 Bayc T Black,M1 Blindfold,M1 Pink,M1 Yellow,None,None,None,25.396815856932957,10
11,M1 Bored,M1 Tuxedo Tee,M1 Sleepy,M1 Red,M1 Aquamarine,M1 Bayc Hat Red,M1 Silver Stud,None,74.78503286313888,11
12,M2 Bored Cigarette,M2 Sleeveless T,M2 Sunglasses,M2 Cream,M2 Blue,None,M2 Silver Stud,None,83.42063631446733,12
13,M1 Small Grin,M1 Vietnam Jacket,M1 Closed,M1 Dark Brown,M1 Army Green,M1 Baby's Bonnet,None,None,39.073813588269466,13
14,M1 Grin,M1 Toga,M1 Sad,M1 Blue,M1 Gray,M1 Bunny Ears,None,None,41.956873553406304,14
15,M2 Bored Unshaven Cigarette,M2 Smoking Jacket,M2 X Eyes,M2 Brown,M2 Yellow,M2 Fisherman's Hat,None,None,52.413307491047966,15
16,M1 Bored,M1 Toga,M1 Bored,M1 Dmt,M1 Army Green,M1 Bunny Ears,None,None,29.636172586459374,16
17,M1 Rage,M1 Prison Jumpsuit,M1 Coins,M1 White,M1 Gray,M1 Vietnam Era Helmet,None,None,44.63280325535797,17
18,M2 Bored,None,M2 Zombie,M2 Brown,M2 Purple,M2 Cowboy Hat,None,None,38.165131125822896,18
19,M1 Phoneme Wah,None,M1 X Eyes,M1 Golden Brown,M1 Purple,M1 Bowler,None,None,33.174093203542284,19
20,M1 Bored Cigar,M1 Tanktop,M1 3d,M1 Blue,M1 Orange,M1 Seaman's Hat,None,None,43.67066905628963,20
21,M1 Bored,M1 Tweed Suit,M1 Bored,M1 Brown,M1 Gray,M1 Army Hat,None,None,24.194038497455495,21
22,M2 Bored,M2 Bayc T Black,M2 Sleepy,M2 Tan,M2 Blue,M2 Party Hat 2,None,None,50.218439487311706,22
23,M1 Rage,M1 Bone Necklace,M1 Sunglasses,M1 Pink,M1 Orange,M1 Horns,None,None,44.485807931919965,23
24,M1 Dumbfounded,M1 Bone Tee,M1 Sunglasses,M1 Cream,M1 Blue,None,None,None,29.60953082226576,24
25,M1 Phoneme L,None,M1 3d,M1 Dark Brown,M1 Army Green,M1 Sushi Chef Headband,None,None,29.442449538894504,25
26,M1 Bored Unshaven Cigarette,M1 Caveman Pelt,M1 Holographic,M1 Black,M1 Army Green,M1 Bayc Hat Black,None,None,41.47581579896178,26
27,M2 Bored Unshaven Cigar,M2 Bone Necklace,M2 Closed,M2 Golden Brown,M2 Gray,M2 Bayc Hat Black,M2 Gold Stud,None,98.09250750913375,27
28,M1 Dumbfounded,M1 Guayabera,M1 Coins,M1 Black,M1 Orange,M1 Sea Captain's Hat,None,None,38.65956471890301,28
29,M1 Phoneme Vuh,M1 Navy Striped Tee,M1 Cyborg,M1 Brown,M1 Blue,M1 Seaman's Hat,None,None,39.9156794470546,29
30,M1 Phoneme  Ooo,M1 Bone Necklace,M1 Closed,M1 Blue,M1 Blue,M1 Fez,M1 Cross,None,87.40928513614287,30
31,M1 Grin Multicolored,M1 Wool Turtleneck,M1 Bored,M1 Dark Brown,M1 Yellow,M1 Prussian Helmet,None,None,34.266471507262644,31
32,M1 Bored Cigarette,M1 Guayabera,M1 Bloodshot,M1 Tan,M1 Army Green,None,M1 Silver Stud,None,68.08708616107934,32
33,M1 Bored,M1 Smoking Jacket,M1 Bloodshot,M1 Pink,M1 Blue,None,M1 Silver Hoop,None,60.65408294393212,33
34,M1 Bored Unshaven,M1 Hip Hop,M1 Sad,M1 Black,M1 Blue,None,None,None,21.244215942126495,34
35,M1 Bored,M1 Caveman Pelt,M1 Coins,M1 Brown,M1 Purple,M1 Bunny Ears,M1 Silver Hoop,None,71.80516521098654,35
36,M1 Bored Unshaven,M1 Sleeveless T,M1 Sad,M1 Golden Brown,M1 New Punk Blue,M1 Fez,M1 Gold Stud,None,78.85392967528627,36
37,M1 Bored,M1 Sailor Shirt,M1 Hypnotized,M1 Golden Brown,M1 Army Green,M1 Bunny Ears,None,None,34.16292249261277,37
38,M2 Bored Unshaven,M2 Black Holes T,M2 Zombie,M2 Cream,M2 Yellow,M2 Bayc Hat Red,M2 Silver Stud,None,95.96118857590636,38
39,M2 Discomfort,M2 Toga,M2 Bored,M2 Death Bot,M2 Army Green,None,None,None,38.713084014389786,39
40,M1 Bored,M1 Black T,M1 Sleepy,M1 Golden Brown,M1 Gray,M1 Army Hat,M1 Gold Stud,None,74.39417194817872,40
41,M1 Bored,M1 Tie Dye,M1 Hypnotized,M1 Cheetah,M1 Gray,M1 Sushi Chef Headband,None,None,36.665151149979536,41
42,M2 Grin Gold Grill,M2 Sailor Shirt,M2 Bored,M2 Gray,M2 Purple,M2 Seaman's Hat,None,None,51.614871650925885,42
43,M1 Rage,M1 Tuxedo Tee,M1 Holographic,M1 Dmt,M1 Yellow,None,M1 Silver Stud,None,75.09580472990093,43
44,M1 Dumbfounded,M1 Tanktop,M1 Bored,M1 Dark Brown,M1 Gray,M1 Sushi Chef Headband,None,None,32.803209196562484,44
45,M1 Bored Unshaven Pipe,None,M1 Bored,M1 Black,M1 Orange,M1 Seaman's Hat,None,None,23.3655795107419,45
46,M1 Bored Unshaven,M1 Biker Vest,M1 Closed,M1 Golden Brown,M1 New Punk Blue,M1 Halo,M1 Gold Stud,None,78.32944275823463,46
47,M2 Bored Unshaven,M2 Striped Tee,M2 Eyepatch,M2 Black,M2 Orange,None,None,None,36.85561335683445,47
48,M2 Bored Unshaven,None,M2 Bored,M2 Brown,M2 Yellow,M2 Commie Hat,None,None,36.972467391765605,48
49,M2 Bored,M2 Service,M2 Sunglasses,M2 Black,M2 Yellow,None,M2 Silver Stud,None,80.39732492507386,49
50,M1 Bored,M1 Wool Turtleneck,M1 Bloodshot,M1 Cream,M1 Aquamarine,M1 Short Mohawk,None,None,30.721919641765393,50
51,M1 Bored,M1 Pimp Coat,M1 Sad,M1 Black,M1 Orange,M1 Bunny Ears,M1 Diamond Stud,None,75.6502767320015,51
52,M1 Phoneme Wah,M1 Rainbow Suspenders,M1 Bored,M1 Gray,M1 Aquamarine,None,None,None,25.500385962097933,52
53,M1 Tongue Out,M1 Smoking Jacket,M1 Bored,M1 Blue,M1 Orange,None,M1 Silver Hoop,None,66.54036148050734,53
54,M1 Bored Cigarette,M1 Guayabera,M1 Angry,M1 Cream,M1 Yellow,M1 Horns,M1 Silver Stud,None,82.69232301484263,54
55,M1 Rage,M1 Cowboy Shirt,M1 Sad,M1 Cream,M1 Purple,M1 Fisherman's Hat,None,None,42.685143817634426,55
56,M1 Bored,M1 Tanktop,M1 Closed,M1 Tan,M1 Gray,M1 Safari,None,None,32.99698608469585,56
