,Colors,Chest,Arms,Jaws,Mask,Eyes,Helmet,Meka Type,Color,Material,Weapon,Legendary,Rarity score,Token Id
0,3.0,OG Trooper C1,OG Trooper A1,OG Rocket jaw,OG Sphere,OG White E13,OG Delta Trooper,OG Meka,Grey,None,None,None,15.364056487584838,1
1,3.0,GAI Jingasa C1,GAI Jingasa A1,GAI Jingasa J1,GAI Bastion M1,Cyan Square,GAI Janjin H1,Gādian,White,None,None,None,30.096557001360097,2
2,4.0,MI Racer C1,MI Racer A1,MI Racer W1,MI Racer M1,MI Pink Visor,MI Sonar,Mirage,Orange,Silver Weapon,MI Rockets X,None,79.90696883577554,3
3,3.0,OG Heavy C1,OG Solid Tank,OG Trooper S2,OG Heavy,OG Rose E1,OG Radiant Trooper,OG Meka,White,None,None,None,11.067950224582578,4
4,3.0,GAI Jingasa C1,GAI Youma,Bastion J2,GAI Jingasa M1,Pink Delta,GAI Bastion,Gādian,Light Green,None,None,None,36.688785657292726,5
5,0.0,OG Heavy C1,OG Squadron 3,OG Trooper S2,OG Pain,OG Green E7,OG Quartz Heavy,OG Meka,None,Carbon,None,None,57.68240683461692,6
6,0.0,OG Trooper C2,OG Squadron 4,OG Sabotage S7,OG Heavy,OG Violet E1,OG Quartz Heavy,OG Meka,None,Siberie,None,None,58.262818670302586,7
7,3.0,OG Heavy C1,OG Solid Tank,OG Assault jaw,OG Heavy,OG Rose E1,OG Radiant Trooper,OG Meka,Purple,None,None,None,20.169982220094536,8
8,2.0,F9 Bastion C1,F9 Jingasa A2,F9 Brackyura,F9 Jingasa M2,F9 Green E4,F9 Spikes,F9,Dark Brown,None,None,None,47.32777086563828,9
9,3.0,OG Heavy C2,OG Trooper A2,OG Trooper S2,OG Knight,OG Rose E1,OG Quartz Heavy,OG Meka,White,Silver Helmet,None,None,33.91162863575788,10
10,3.0,MI Racer C1,MI Radar A1,MI Sonic J1,MI Sonic M1,MI Pink Visor,MI Sonar,Mirage,White,None,None,None,26.358443772382383,11
11,2.0,MI Radar C1,MI Radar A1,MI Sonar J2,MI Racer M1,MI Pink Visor,MI Sonar,Mirage,Blurple,None,None,None,43.20262605845168,12
12,3.0,F9 Bastion C1,F9 Jingasa A1,F9 Aura J-0,F9 Bastion M1,F9 Red E21,F9 Ronin H1,F9,Purple,None,GAI Kochi x2,None,64.47030992481503,13
13,4.0,OG Heavy C1,OG Trooper A1,OG Trooper S1,OG Monkey R-9,OG Rose E1,OG Delta Trooper,OG Meka,Dark Brown,None,None,None,14.20850238367984,14
14,4.0,GAI Jingasa C1,GAI Yasuke,GAI Jingasa J1,GAI Bastion M1,Pink Circle,GAI Jingasa H1,Gādian,White,None,None,None,33.5988771809316,15
15,0.0,MI Radar C1,MI Sonic A1,MI WS-2,MI Racer M2,MI Pink Visor,MI Eagle,Mirage,None,Siberie,None,None,67.35888704994434,16
16,4.0,OG Trooper C1,OG Trooper A1,OG Sabotage S3,OG Mantis,OG White E13,OG Delta Trooper,OG Meka,Grey,None,None,None,19.946944026048314,17
17,3.0,OG Trooper C1,OG Trooper A2,OG Trooper S2,OG Knight,OG Violet E1,OG Radiant Heavy,OG Meka,Dark Brown,None,OG Smiley K1,None,37.3459624819118,18
18,3.0,MI Racer C1,MI Racer A1,MI Radar W1,MI Racer M2,MI Aqua Eye,MI Racer,Mirage,White,None,None,None,25.593623746472765,19
19,2.0,GAI Sōhei C1,GAI Yasuke,Bastion J1,GAI Jingasa M2,Green Circle,GAI Youma H2,Gādian,White,None,GAI Enten,None,67.77924992086893,20
20,3.0,MI Racer C2,MI Racer A1,MI Racer W1,MI Radar M1,MI Pink Visor,MI Radar,Mirage,White,None,MI Rockets X,None,49.23565465564448,21
21,0.0,MI Radar C1,MI Racer A2,MI Sonar J2,MI Radar M1,MI White Visor,MI Racer H2,Mirage,None,Camo blue,Mi Wing blade x2,None,92.53504014197213,22
22,3.0,OG Heavy C1,OG Trooper A2,OG Trooper S1,OG Monkey R-7,OG Rose E1,OG Delta Elite,OG Meka,Dark Brown,None,None,None,11.728852519752762,23
23,3.0,MI Racer C1,MI Racer A1,MI Racer W2,MI Racer M1,MI Pink Visor,MI Racer H2,Mirage,White,None,None,None,23.225763329242678,24
24,0.0,GAI Youma,GAI Youma,GAI Jingasa J1,GAI Bastion M1,Pink Delta,GAI Bastion,Gādian,None,Camo green,None,None,68.8840234017935,25
25,2.0,GAI Jingasa C1,GAI Jingasa A1,Bastion J1,GAI Jingasa M1,Pink Delta,GAI Jingasa H1,Gādian,Dark Brown,None,None,None,43.309020742638644,26
26,2.0,MI Racer C2,MI Racer A1,MI Racer W2,MI Racer M2,MI Aqua Eye,MI Racer,Mirage,Dark Brown,None,None,None,42.15477015425346,27
