,hat under headphones,smoke,headphones,mouth,eyes,type,background,shirt,4:20 watch,long hair,beard,short hair,hat over headphones,chain,1/1,Rarity score,Token Id
0,knit buffalo,cig black,black headphones,smile,regular eyes,plain mfer,red,None,None,None,None,None,None,None,None,15.052281259556338,0
1,bandana dark gray,None,white headphones,smile,nerd glasses,charcoal mfer,red,collared shirt blue,sub red,None,None,None,None,None,None,52.54193867593685,1
2,headband green/white,cig black,pink headphones,smile,regular eyes,charcoal mfer,orange,None,sub bat (blue/black),long hair black,None,None,None,None,None,41.07224950703707,2
3,beanie,cig black,white headphones,smile,zombie eyes,zombie mfer,graveyard,None,sub red,None,full beard,None,None,None,None,67.69300517075304,3
4,None,cig white,white headphones,smile,regular eyes,plain mfer,green,None,sub lantern (green),None,None,mohawk blue,None,None,None,24.043594251939776,4
5,bandana dark gray,cig white,pink headphones,smile,shades,plain mfer,orange,None,None,long hair black,None,None,None,None,None,46.16887792398741,5
6,None,cig white,black headphones,smile,vr,plain mfer,orange,hoodie down gray,argo black,None,None,messy red,None,None,None,46.156380515920056,6
7,None,cig black,white headphones,smile,regular eyes,charcoal mfer,yellow,None,oyster silver,None,None,mohawk pink,None,None,None,27.385878479635174,7
8,None,cig black,pink headphones,smile,regular eyes,plain mfer,orange,None,sub lantern (green),long hair black,None,None,None,None,None,21.69133795321918,8
9,None,cig white,black headphones,smile,regular eyes,charcoal mfer,orange,collared shirt white,sub black,None,None,mohawk green,None,None,None,32.2256664116607,9
10,None,None,white headphones,smile,regular eyes,plain mfer,red,hoodie down gray,oyster silver,None,full beard,None,None,None,None,37.943421874414916,10
11,None,cig white,black headphones,smile,nerd glasses,charcoal mfer,orange,hoodie down gray,sub black,None,full beard,None,cowboy hat,None,None,65.82524875222411,11
12,knit dallas,None,pink headphones,smile,regular eyes,charcoal mfer,red,None,None,None,None,None,None,None,None,29.550202671418102,12
13,headband blue/white,None,black headphones,smile,regular eyes,charcoal mfer,blue,hoodie down gray,sub lantern (green),long hair yellow,None,None,None,None,None,50.9731796976495,13
14,None,None,white headphones,smile,nerd glasses,plain mfer,orange,collared shirt blue,sub red,None,None,None,None,None,None,33.99143613105962,14
15,None,cig white,black headphones,smile,regular eyes,plain mfer,orange,None,sub blue,None,full beard,None,None,None,None,20.26654054461661,15
16,bandana red,cig black,black headphones,smile,shades,charcoal mfer,yellow,None,sub red,None,None,None,None,None,None,34.65528080376632,16
17,knit atlanta,cig white,black headphones,flat,regular eyes,charcoal mfer,yellow,None,oyster gold,None,None,None,None,silver chain,None,54.329361117783,17
18,knit cleveland,cig black,black headphones,smile,regular eyes,plain mfer,red,collared shirt white,oyster silver,None,None,None,None,None,None,28.1734683027574,18
19,None,None,gold headphones,smile,regular eyes,plain mfer,red,None,sub blue,None,None,None,None,None,None,15.89879437528023,19
20,None,cig black,blue headphones,smile,regular eyes,plain mfer,red,None,sub red,None,None,None,None,None,None,9.554080434979953,20
21,knit kc,cig white,gold headphones,smile,regular eyes,plain mfer,orange,None,sub black,long hair black,None,None,None,None,None,35.10439804402619,21
22,None,cig black,black headphones,smile,regular eyes,plain mfer,yellow,hoodie down gray,sub black,None,None,None,None,None,None,11.588664016663445,22
23,None,cig white,black headphones,smile,regular eyes,plain mfer,yellow,hoodie down white,sub red,None,None,None,None,None,None,12.90479748044134,23
24,None,cig white,pink headphones,smile,regular eyes,plain mfer,yellow,collared shirt blue,None,long hair black,full beard,None,None,None,None,45.29981636207647,24
25,None,cig white,pink headphones,smile,regular eyes,plain mfer,orange,hoodie down gray,sub blue,None,None,mohawk black,None,None,None,36.57296094711268,25
26,None,cig white,black headphones,smile,regular eyes,charcoal mfer,red,None,oyster silver,None,None,None,cowboy hat,None,None,27.264560273315308,26
27,bandana red,None,green headphones,smile,regular eyes,plain mfer,yellow,collared shirt green,oyster silver,long hair black,None,None,None,None,None,50.9272035043321,27
28,None,cig black,black headphones,flat,3D glasses,plain mfer,red,collared shirt green,sub rose,None,None,mohawk black,None,None,None,58.9600729944573,28
29,knit pittsburgh,cig white,white headphones,smile,purple shades,plain mfer,green,None,sub lantern (green),None,None,None,None,None,None,35.940278608947544,29
30,None,cig white,black headphones,smile,regular eyes,plain mfer,yellow,hoodie down white,oyster gold,None,None,None,None,None,None,14.870684981188036,30
31,bandana dark gray,cig white,black headphones,smile,regular eyes,plain mfer,yellow,collared shirt blue,sub lantern (green),None,None,None,None,None,None,28.85654030979376,31
32,None,pipe,white headphones,smile,3D glasses,plain mfer,orange,None,sub black,long hair black,None,None,None,None,None,36.752621372444914,32
33,None,pipe,black headphones,flat,regular eyes,plain mfer,orange,collared shirt blue,None,None,None,None,None,None,None,29.30778482013684,33
34,None,cig white,black headphones,smile,regular eyes,charcoal mfer,red,None,None,None,None,None,None,silver chain,None,23.811388653403178,34
35,None,None,red headphones,smile,regular eyes,charcoal mfer,orange,collared shirt white,sub red,long hair black,None,None,None,None,None,39.186139799914365,35
36,None,cig white,black headphones,flat,regular eyes,charcoal mfer,blue,None,sub black,None,None,mohawk black,None,None,None,33.815234908710785,36
37,None,None,gold headphones,flat,regular eyes,plain mfer,blue,hoodie down green,sub red,None,None,mohawk black,None,None,None,53.70729641450354,37
38,knit baltimore,cig black,green headphones,smile,regular eyes,plain mfer,red,None,sub rose,None,None,None,None,None,None,25.742133268320462,38
39,headband blue/white,cig black,pink headphones,smile,shades,plain mfer,blue,None,sub turquoise,None,None,None,None,None,None,38.455288169504406,39
40,knit chicago,cig white,white headphones,smile,regular eyes,plain mfer,red,collared shirt white,sub black,None,full beard,None,None,None,None,46.13766115641331,40
41,cap monochrome,None,black headphones,smile,regular eyes,charcoal mfer,yellow,collared shirt white,sub bat (blue/black),None,None,None,None,None,None,38.12714025827005,41
42,headband blue/white,cig white,white headphones,smile,regular eyes,plain mfer,orange,collared shirt white,sub black,None,None,None,None,None,None,28.988224894740362,42
43,None,pipe,white headphones,smile,regular eyes,plain mfer,red,None,None,None,None,None,None,None,None,10.07008076156011,43
44,None,None,pink headphones,smile,regular eyes,plain mfer,blue,None,None,None,full beard,None,None,None,None,27.03088451495231,44
45,knit pittsburgh,cig white,white headphones,smile,regular eyes,charcoal mfer,red,hoodie down gray,None,None,None,None,None,None,None,32.89867983142615,45
46,None,cig black,red headphones,smile,regular eyes,charcoal mfer,orange,None,sub red,None,None,mohawk black,None,None,None,29.255484109178713,46
47,None,cig white,black headphones,smile,purple shades,plain mfer,yellow,hoodie down white,None,None,None,mohawk pink,None,None,None,41.94940357683975,47
48,headband blue/white,cig black,black headphones,smile,regular eyes,charcoal mfer,orange,None,oyster silver,None,None,None,None,None,None,21.407168039080958,48
49,None,cig black,red headphones,smile,regular eyes,charcoal mfer,blue,hoodie down white,sub bat (blue/black),None,None,None,None,None,None,26.149611251437193,49
50,headband green/white,cig white,black headphones,smile,regular eyes,charcoal mfer,red,None,oyster gold,None,None,None,None,None,None,22.969737861585894,50
51,None,None,black headphones,smile,vr,plain mfer,yellow,None,None,None,None,None,None,None,None,19.036244767109906,51
52,None,cig black,blue headphones,smile,nerd glasses,charcoal mfer,yellow,hoodie down gray,oyster silver,long hair black,None,None,None,None,None,50.34864845385657,52
53,headband green/white,cig white,black headphones,smile,shades,charcoal mfer,green,None,sub black,None,None,None,None,None,None,33.75704634902905,53
54,knit atlanta,cig black,black headphones,smile,regular eyes,charcoal mfer,green,hoodie down green,sub black,None,None,None,None,None,None,30.868173973152686,54
55,None,cig black,white headphones,flat,regular eyes,charcoal mfer,yellow,collared shirt white,sub bat (blue/black),None,None,None,None,None,None,34.876931669393755,55
56,None,cig black,white headphones,smile,regular eyes,charcoal mfer,orange,None,None,None,full beard,None,None,None,None,23.997575491447076,56
57,None,None,green headphones,flat,regular eyes,charcoal mfer,orange,None,sub blue,long hair black,None,None,None,None,None,42.30051265691994,57
58,None,cig black,black headphones,smile,regular eyes,plain mfer,red,None,None,None,None,mohawk green,None,None,None,17.143234134178407,58
59,None,cig black,white headphones,smile,regular eyes,charcoal mfer,blue,hoodie down gray,sub lantern (green),None,None,messy yellow,None,None,None,38.31090973083331,59
60,knit san fran,cig black,black headphones,flat,regular eyes,plain mfer,orange,None,sub bat (blue/black),None,None,None,None,None,None,31.693296738247064,60
61,None,cig black,green headphones,smile,3D glasses,plain mfer,blue,None,sub black,None,None,None,None,None,None,21.787706160544275,61
62,None,None,white headphones,flat,shades,charcoal mfer,green,None,sub lantern (green),long hair yellow,None,None,None,None,None,55.93593139491285,62
63,None,cig black,black headphones,smile,purple shades,plain mfer,orange,None,sub blue,None,None,None,None,silver chain,None,36.60002156889095,63
64,None,cig white,black headphones,smile,regular eyes,charcoal mfer,orange,None,sub black,None,None,mohawk blue,None,None,None,21.916632597394877,64
65,None,cig black,white headphones,smile,regular eyes,plain mfer,orange,None,sub red,long hair yellow,None,None,None,None,None,19.188711749079214,65
66,None,cig black,red headphones,smile,shades,charcoal mfer,orange,hoodie down blue,sub black,long hair black,None,None,None,None,None,48.38101426771476,66
67,None,cig black,pink headphones,smile,regular eyes,charcoal mfer,red,None,None,long hair yellow,None,None,None,None,None,24.597157332686447,67
68,knit dallas,cig white,black headphones,flat,regular eyes,charcoal mfer,green,hoodie down pink,oyster gold,None,None,None,None,None,None,46.49481430017919,68
69,None,cig white,black headphones,smile,regular eyes,plain mfer,green,hoodie down gray,None,None,None,mohawk green,None,None,None,27.46920264764281,69
70,None,cig black,red headphones,smile,shades,plain mfer,orange,hoodie down white,sub black,long hair black,None,None,None,None,None,44.0280439675349,70
71,None,None,white headphones,flat,purple shades,plain mfer,blue,None,oyster silver,None,None,mohawk blue,None,None,None,53.356333486255004,71
72,None,cig black,green headphones,flat,nerd glasses,plain mfer,orange,None,sub black,None,full beard,None,top hat,None,None,69.87717016345823,72
73,None,None,black headphones,flat,purple shades,charcoal mfer,green,None,None,None,None,None,None,None,None,34.92685234973624,73
74,None,cig white,green headphones,smile,eye mask,plain mfer,blue,collared shirt yellow,oyster silver,long hair black,None,None,None,None,None,47.18429546677989,74
75,None,cig white,black headphones,smile,regular eyes,plain mfer,red,hoodie down green,sub red,None,None,messy purple,None,None,None,30.4627828350781,75
76,None,cig white,white headphones,flat,regular eyes,plain mfer,green,collared shirt blue,sub bat (blue/black),None,None,None,None,None,None,31.13577372355078,76
77,bandana dark gray,cig white,black headphones,smile,regular eyes,plain mfer,yellow,None,sub black,None,None,None,None,None,None,15.401092072519948,77
78,None,cig black,black headphones,smile,regular eyes,charcoal mfer,green,None,sub lantern (green),None,None,mohawk black,None,None,None,24.525874517023098,78
