,character,nose,mouth,eyes,earrings,neck,whiskers,hat,burned,Rarity score,Token Id
0,Matthias,Normal,Big Smile,Looking Left,None,Black Necklace,Tiny Whiskers,Elvis,Not Burned,55.2526861752871,0
1,Simon,Normal,Big Frown,Looking Left,None,Plain,Tiny Whiskers,No Hat,Not Burned,18.574127108428215,1
2,Templeton,Normal,Smile,Bandit Mask,None,Plain,Whiskers,Construction Hat,Not Burned,31.657222162356145,2
3,Matthias,Big,Small Smile,Crazy,None,Red Necklace,Big Whiskers,No Hat,Not Burned,50.06701780638928,3
4,Templeton,No Nose,Small Smile,Crosseyed,None,Plain,Whiskers,No Hat,Not Burned,12.96127358279771,4
5,Matthias,No Nose,Straight,Looking Right,None,Plain,Whiskers,No Hat,Not Burned,13.329944770896681,5
6,Reepicheep,No Nose,Straight,Looking Up,None,Plain,Whiskers,Karate Kid,Burned,15.97176023804934,6
7,Simon,Tiny,Big Frown,Crosseyed,None,Red Necklace,No Whiskers,No Hat,Not Burned,46.23614026278543,7
8,Common,No Nose,Small Smile,Looking Up,None,Plain,Whiskers,Halo,Not Burned,28.071997803928934,8
9,Simon,No Nose,Big Frown,Crosseyed,None,Black Necklace,Whiskers,No Hat,Not Burned,32.5932833711311,9
10,Common,Dark,Big Smile,Bandit Mask,None,Plain,Whiskers,No Hat,Not Burned,15.437009712548086,10
11,Templeton,No Nose,Big Smile,Looking Left,None,Plain,Tiny Whiskers,No Hat,Burned,8.287729276057028,11
12,Templeton,Big,Big Frown,VR Goggles,None,Plain,Tiny Whiskers,No Hat,Not Burned,24.743616982430535,12
13,Common,Tiny,Straight,Looking Left,None,Fancy,Whiskers,Karate Kid,Not Burned,46.11674587239613,13
14,Reepicheep,Normal,Big Smile,Sunglasses,None,Black Necklace,Big Whiskers,No Hat,Not Burned,49.720027121795184,14
15,Jerry,Tiny,Frown,Looking Up,None,Red Necklace,Whiskers,Soldier,Not Burned,49.55364452002629,15
16,Stuart,Big,Frown,Crazy,None,Fancy,Big Whiskers,No Hat,Not Burned,49.203289758118636,16
17,Templeton,Normal,Big Frown,Looking Right,None,Plain,Whiskers,No Hat,Burned,1.8180901617975815,17
18,Matthias,Tiny,Big Frown,Looking Left,None,Plain,Whiskers,No Hat,Burned,2.6096639804450663,18
