,Number,Drip Grade,Core,Drip Score,Neck,Hair,Shirt,Eye Color,Eyes,Race,Background,Hat,Face Decoration,Glasses,Necklace,Earring,Rarity score,Token Id
0,0,normal,prep,25,anime chest tattoo,og orange,sweater and tie,lilac,teary,clay,tennis,None,None,None,None,None,28.28761880499921,0
1,1,b-drip,prep-gyaru,30,None,tuft green,pink knit polo,green,classic,pale,bjork,white cowboy hat,nose ring silver,None,None,None,28.73384068057777,1
2,2,normal,hypebeast,20,None,bowl brown,chore coat,green,teary,pink,mountain,None,None,None,None,None,3.2936684224196426,2
3,3,b-drip,gyaru,34,None,tuft purple,cactus shirt,brown,sparkle,pink,clouds,trucker anime,None,None,None,None,13.494848039790988,3
4,4,normal,prep,18,None,bowl green,green blazer,blue,classic,pink,bushland,None,None,prescription glasses,None,None,17.598666166988288,4
5,5,normal,gyaru,22,None,og green,blue ribbon tank,green,sleepy,pale,mountain,None,None,None,evil eye necklace,None,18.924212144496547,5
6,6,normal,gyaru,16,None,bowl brown,hikki condition shirt,blue,sparkle,clay,sunset,None,None,None,None,None,0.7339759725092712,6
7,7,a-drip,hypebeast-harajuku,35,None,og black,meedles tracksuit,green,teary,pink,bjork,fez,None,None,None,double safety pins,32.94507843645228,7
8,8,b-drip,hypebeast-gyaru,32,None,tuft dark,silk shirt,brown,dilated,clay,sonora,backwards trucker pink,snakebites,None,None,None,29.358991573480964,8
9,9,c-drip,lolita,26,None,bowl blue,sailor lolita,aqua,sparkle,tan,roadside,None,None,None,None,None,14.968861141804837,9
10,10,normal,lolita-hypebeast,17,None,og black,red puffer,blue,crying,clay,sunset,maid hat,None,None,None,None,13.93781598605422,10
11,11,a-drip,hypebeast,38,castle neck tattoo,short pink,red puffer,blue,heart eyes,clay,mountain,trucker gothic milady,None,None,None,None,34.640516254013455,11
12,12,c-drip,prep,28,None,short orange,kogal cardigan,blue,classic,pink,casino,None,crescent tattoo,None,None,None,21.124552440002656,12
13,13,normal,lolita,14,None,og orange,peter pan collar shirt,brown,classic,pale,sunset,None,nose ring gold,None,None,None,17.860117557996457,13
14,14,b-drip,hypebeast-gyaru,31,None,braid black,mape hoodie,brown,dilated,tan,bushland,aloha visor,None,None,None,None,16.459909926084144,14
15,15,a-drip,gyaru,35,None,braid green,im cute im punk shirt,blue,classic,clay,bushland,None,gucci cone tattoo,None,None,heart pearls earring,33.59711117595106,15
16,16,normal,prep,19,None,bowl black,knit sweater,green,sleepy,pink,bjork,None,None,None,None,None,6.305014172137343,16
17,17,normal,gyaru,19,None,og black,super lover shirt,grey,smug,clay,nagano,None,nose ring gold,None,None,None,27.714997551142435,17
18,18,c-drip,prep,26,None,og black,sheep pullover,green,dilated,clay,tennis,plaid bonnet,None,None,None,None,13.622253994042877,18
19,19,normal,prep-gyaru,18,None,bowl green,bear sweater,brown,dilated,clay,mountain,trucker construction,None,round glasses,None,None,25.879239433131122,19
20,20,normal,prep,25,None,braid green,kogal cardigan,blue,sleepy,tan,sunrise,None,None,None,None,None,6.591440977215947,20
21,21,b-drip,prep-hypebeast,33,None,short pink,meedles tracksuit,blue,closed,pale,sunset,beret,None,round glasses,None,None,30.676288043886462,21
22,22,normal,lolita,19,None,tuft purple,peter pan collar shirt,brown,sleepy,clay,sunset,None,None,None,None,None,4.5462662719995395,22
23,23,c-drip,lolita,26,None,bowl slate,sailor lolita,blue,crying,clay,clouds,None,temple cross tattoo,round glasses,None,None,39.3214846373868,23
24,24,normal,hypebeast,20,None,bowl brown,western jacket,green,sleepy,pale,bushland,None,None,round glasses,None,None,17.89137730267939,24
25,25,normal,gyaru,24,None,braid black,mouse tank,green,sparkle,clay,roadside,None,snakebites,None,milady beads,None,34.34689016870807,25
26,26,b-drip,hypebeast,31,None,short orange,football shirt,blue,sparkle,pink,streets,None,None,None,None,None,6.263677658688503,26
27,27,normal,hypebeast,19,None,og black,western jacket,blue,classic,clay,sunset,None,None,None,None,double safety pins,14.943122890007201,27
28,28,ss-drip,harajuku-gyaru,45,None,short pink,im cute im punk shirt,green,sparkle,black,sunset,heihei hat,None,None,None,cherry earring,35.60893268582907,28
29,29,c-drip,gyaru,27,None,bowl black,leopard polo,green,dilated,pale,clouds,None,star heart tattoo,None,mestwood pearl necklace,None,36.23952093594019,29
30,30,b-drip,hypebeast-gyaru,34,None,braids harajuku dye,cactus shirt,brown,sparkle,clay,mountain,meedles headband,None,None,None,None,12.921885912451616,30
31,31,a-drip,lolita-prep,35,None,og frosted blonde,goth poncho,brown,classic,pale,sunrise,tennis visor,None,None,None,loop chain earring,28.577113584094437,31
