,Beak,Background,Feathers,Body,Outerwear,Eyes,Headwear,Eyewear,Rarity score,Token Id
0,Short,Pink,Red,Tabby,Jean Jacket,Rainbow,None,None,46.29231556854665,1
1,Small,Green,Gray,Tabby,Hoodie Down,Angry,None,None,43.17602868739392,0
2,Small,Purple,Blue,Stark,None,Side-eye,Skully,None,24.198415253195446,2
3,Long,Yellow,White,Professor,None,Angry,None,Eyepatch,56.11883381279581,3
4,Long,Blue,White,Stark,None,Angry,Backwards Hat,None,34.147664547272726,4
5,Long,Yellow,Purple,Brave,None,Side-eye,None,None,26.549153466131592,5
6,Short,Purple,Black,Crescent,None,Discerning,Lincoln,None,16.83688028011843,6
7,Short,Pink,Gray,Crescent,Punk Jacket,Discerning,Moon Hat,None,44.987451353736894,7
8,Short,Blue,Blue,Tranquil,None,None,Mohawk (Green),Gazelles,55.216692003953895,8
9,Small,Purple,Red,Crescent,None,None,Moon Hat,Jobs Glasses,42.24526861496649,9
10,Long,Green,Blue,Crescent,None,Side-eye,Backwards Hat,None,26.060360281104643,10
11,Long,Pink,Blue,Crescent,None,Rainbow,None,None,20.442479825323502,11
12,Small,Yellow,Metal,Robot,Punk Jacket,None,Chromie,Visor,90.65276871995067,12
13,Short,Green,Black,Guardian,None,None,None,Gazelles,45.60217517378821,13
14,Small,Pink,Red,Crescent,Gold Chain,Open,Lincoln,None,39.19349709567418,14
15,Small,Gray,Legendary Emperor,Golden,None,Angry,Skully,None,32.422626520989425,15
16,Short,Pink,Blue,Crescent,None,Open,Captain's Cap,None,13.436454467269307,16
17,Small,Purple,White,Stark,None,Rainbow,Headphones,None,29.15526391656397,17
18,Long,Blue,White,Guardian,None,Discerning,None,None,27.113487583424817,18
19,Long,Purple,Brown,Guardian,None,Fire,None,None,28.943202083265042,19
20,Long,Pink,Brown,Tabby,None,None,Fire,3D Glasses,62.25389423786052,20
21,Small,Purple,White,Brave,None,Discerning,None,None,17.91890586690215,21
22,Short,Pink,Black,Emperor,None,Moon,None,None,22.84346577505089,22
23,Short,Blue,Brown,Stark,None,None,Moon Hat,Black-rimmed Glasses,51.71592674595921,23
24,Short,Green,Pink,Guardian,None,Discerning,None,None,18.990015518906567,24
25,Short,Blue,Brown,Crescent,None,Diamond,Raincloud,None,19.673116855484178,25
26,Long,Blue,Gray,Stark,None,Side-eye,Forest Ranger,None,33.79541346294436,26
27,Short,Purple,Brown,Crescent,None,Discerning,Headband,None,15.690272129568985,27
28,Short,Yellow,Pink,Tabby,None,Discerning,Fire,None,27.325542222159033,28
29,Small,Green,Black,Tabby,None,Relaxed,Raincloud,None,24.899380279447,29
30,Small,Purple,Blue,Crescent,None,Discerning,Beanie,None,16.80098174666474,30
31,Short,Pink,White,Crescent,None,Discerning,Witch's Hat,None,18.08775759790161,31
32,Small,Blue,Gray,Professor,None,Open,None,Half-moon Spectacles,42.55071960710577,32
33,Small,Purple,Brown,Stark,None,Relaxed,Moon Hat,None,22.59162998331527,33
34,Short,Pink,White,Professor,None,Side-eye,None,None,19.02237833771341,34
35,Long,Purple,Gray,Emperor,None,Discerning,None,None,27.440665132346865,35
36,Short,Pink,Metal,Robot,None,Open,Forest Ranger,Big Tech,58.11012009835215,36
37,Long,Yellow,Bone,Skeleton,None,None,Halo,Sunglasses,70.41597194749284,37
38,Short,Pink,Red,Guardian,Bomber Jacket,Relaxed,Queen's Crown,None,53.980260603419254,38
39,Long,Green,Black,Guardian,None,Open,Tiara,None,32.016269161197,39
40,Short,Yellow,Blue,Crescent,None,Discerning,Moon Hat,None,16.50971423073891,40
41,Long,Purple,Gray,Tranquil,None,Rainbow,Flower,None,39.10805574332484,41
42,Small,Pink,Black,Crescent,None,Heart,Cowboy Hat,None,20.8197803649014,42
43,Short,Yellow,Red,Sage,Diamond Necklace,Open,Captain's Cap,None,51.55786730813359,43
44,Small,Purple,White,Crescent,Hero's Tunic,Adorable,Hero's Cap,None,50.46162155803474,44
45,Short,Yellow,Red,Guardian,None,Discerning,None,None,14.435698382329074,45
46,Small,Blue,Red,Stark,None,Discerning,None,None,11.94477234332918,46
47,Short,Yellow,Red,Tranquil,None,Rainbow,Dancing Flame,None,27.652784845551476,47
48,Short,Pink,Brown,Brave,None,Side-eye,Crescent Talisman,None,26.54921171562354,48
49,Small,Gray,White,Brave,Hoodie Down,Open,None,None,42.76272285076892,49
50,Short,Yellow,Purple,Tranquil,Gold Chain,Side-eye,None,None,45.39003572035255,50
51,Long,Pink,Red,Crescent,None,Angry,Skully,None,22.760615794817163,51
52,Long,Gray,Red,Crescent,None,Discerning,Moon Hat,None,22.85046206168054,52
53,Short,Blue,Gray,Guardian,None,Relaxed,Tiara,None,26.797197951978358,53
54,Short,Green,Pink,Stark,Hoodie Down,Angry,Karate Band,None,54.846489508987176,54
55,Long,Purple,Purple,Stark,None,Open,Lincoln,None,29.561212522965747,55
56,Small,Pink,Red,Crescent,Bomber Jacket,Open,Dancing Flame,None,40.10652393982524,56
57,Small,Green,Green,Brave,None,None,None,Sunglasses,47.94562662954808,57
58,Small,Yellow,Red,Professor,None,Open,None,None,11.010170284379518,58
59,Small,Green,White,Sage,None,None,None,Jobs Glasses,48.05349801597129,59
60,Short,Gray,Red,Stark,None,Open,Space Helmet,None,17.864897382271742,60
61,Short,Yellow,Red,Tabby,None,Angry,None,None,12.652820646779139,61
62,Small,Pink,Red,Crescent,None,Relaxed,None,None,4.435774989103678,62
63,Small,Green,Gray,Professor,None,Relaxed,Halo,None,26.721790758315304,63
64,Long,Pink,Bone,Skeleton,None,None,Moon Hat,Rose-Colored Glasses,70.08890296629092,64
65,Short,Gray,Brown,Stark,None,Rainbow,Moon Hat,None,26.653453919416982,65
66,Short,Green,Gray,Tranquil,None,Angry,None,None,15.17980412648492,66
67,Short,Purple,Green,Crescent,None,Side-eye,Beanie,None,19.42134540670624,67
