,S-Karrots,Top,Item,Shirt,Face,Fur,Faction,Claimed,Rarity score,Token Id
0,0,Bucket Hat Purple,Extinguisher Gray,Military Vest Red,OG,Polkadot Pink,Hare Raisers,None,13.70191311927883,0
1,0,Tuft Seafoam,Boxing Gloves Red,Varsity Jacket Blue,Decayed Teeth,OG Red,Rogue Jumpers,None,27.77415802399494,1
2,0,Red Plumber Hat,Time Bomb,Torn Tee Black,Mutant Ghoul Eyes,Mutant Lizard Purple,Mutant,None,33.47129617515767,2
3,1008.90,Pompadour White,Spray Paint Seafoam,Suit Red,OG Gold Teeth,OG Red,Playboyz,None,65.69651666252264,3
4,0,Tuft Yellow,Paint Sprayer,Cypher Suit Purple,Big Eyes,Cypher Brown,Cypher Buns,None,24.90794986569161,4
5,0,Poofball Yellow,Time Bomb,WAGMI Tee Gray,OG,Femme Purple,Hare Raisers,None,12.70901909558321,5
6,0,Tuft Black,Paintball Gun Red,Hoodie Purple,Hypnotized,Polkadot Silver,Hare Raisers,None,26.394644694428425,6
7,0.85,Captain Hat Gold,Sledgehammer Red,Suit Black,OG Gold Teeth,Paintbomb Green,Playboyz,None,66.7145824662374,7
8,0,Fez Red,Flamethrower Red,Torn Flannel Gray,Green Mutant Eyes,Mutant Lizard Red,Mutant,None,32.2697693157883,8
9,0,Hockey Mask Black,Time Bomb,Big Logo Tee Brown,OG,Polkadot Brown,Punk Bunnis,None,17.820855082722165,9
10,2629.38,Tuft Brown,Carrot Dagger,WAGMI Tee Gray,Hypnotized,Bar Fight Brown,Hare Raisers,None,60.391776620814206,10
11,6954.04,Ponytail Seafoam,None,Cyphersuit Black,Big Eyes,Cypher Red,Cypher Buns,None,51.090541962014356,11
12,0,Poofball Black,None,Hoodie Blue,Big Eyes,OG Blue,Hare Raisers,None,11.03881849530005,12
13,0,Captain Hat Black,Sherlock Pipe,Suit Black,OG,Paintbomb Yellow,Playboyz,None,16.033669669612294,13
14,0,Captain Hat White,Extinguisher Gray,Robe Blue,OG Gold Teeth,OG Onyx,Playboyz,None,28.67043932825827,14
15,0,Poofball Red,None,Small Logo Tee Brown,Decayed Teeth,OG White,Hare Raisers,None,15.875704649254876,15
16,0,Balaclava Blue,None,Cypher Suit Blue,Decayed Teeth,Cypher Orange,Cypher Buns,None,21.318515433338174,16
17,2278.05,Bandana Purple,None,Suit White,Decayed Teeth,Bar Fight Gray,Playboyz,None,54.91904133682155,17
18,0,Bucket Hat Purple,Extinguisher Gray,Varsity Jacket Seafoam,OG,Bar Fight Gray,Rogue Jumpers,None,16.481835549288917,18
19,0,Spikey Black,BTC Bag,Puffer Jacket Red,Stoner Gold Teeth,Femme Red,Bunners,None,30.126387524423826,19
20,0,Half Shaved White,None,Hawaiian Orange,Decayed Teeth,OG White,Playboyz,None,17.93271935906024,20
21,0,Beanie Pink,Extinguisher Gray,Military Vest White,Hypnotized,Polkadot Orange,Hare Raisers,None,26.028054841830233,21
22,0,Spikey Blue,Chainsaw,Cypher Suit Gold,OG,Femme Brown,Cypher Buns,None,17.459219026491358,22
23,0,Ponytail Black,Spray Paint Purple,Varsity Jacket Black,Hypnotized,Polkadot Green,Rogue Jumpers,None,28.8027627842052,23
24,0,Bucket Hat Purple,Molotov Cocktail,Torn Tee Gray,Green Mutant Eyes,Mutant Lizard Purple,Mutant,None,33.318565680480255,24
25,0,Captain Hat Black,Skateboard AMGI,Shirtless,OG,OG White,Punk Bunnis,None,16.680311553911665,25
26,0,Dad Hat Brown,Cigar,Robe Brown Leopard,Big Eyes,OG Blue,Playboyz,None,23.976191018062725,26
27,0,Tuft Seafoam,Sledgehammer Red,Punk Jacket Black,Hypnotized,Tatted Pink,Punk Bunnis,None,30.319971621436093,27
28,0,Spikey Blue,Bolt Cutter Red,Cyphersuit Black,Big Eyes,Femme Orange,Cypher Buns,None,23.77259447400509,28
29,0,Hockey Mask Bloody,Brass Knuckles,Suit Black,OG,OG White,Playboyz,None,13.53886708409259,29
30,1348.72,Poofball Yellow,Paint Sprayer,Torn Tee Red,Green Mutant Eyes,Mutant Fiend Gray,Mutant,None,69.0306984875017,30
