,Hand,Hat,Fit,Mouth,Eyes,Skin,Hair,Background,FX,Face Accessory,Hand Back,Hand Open L Attr,Head Accessory,Hand Face Attr,Earring,Back,Neck,Hand Open R Attr,Hand Palm Attr,Hand Hold Attr,Head,Legendary,Rarity score,Token Id
0,Dark Hand Face,Badges Cap,White Ether,A,Closed,Dark,Twin Bun,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25.76307207645175,1
1,None,Bucket Hat,Blood Worshipper,Open,Black,Dark,Academy,Green Gray,Feathers,None,None,None,None,None,None,None,None,None,None,None,None,None,31.006643691663378,2
2,None,None,Heart Halter,Big Smile,Blue,Darker,Bun,Blue,None,Mark,None,None,None,None,None,None,None,None,None,None,None,None,16.389493309275814,3
3,None,None,Demon Maiden,Face Mask,Pink,Pale,Braided Bun,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.121062753895509,4
4,None,None,Formal Shirt,Smile,Blue,Fiend,Buzz Cut,Off White,None,None,Blue Saber,None,None,None,None,None,None,None,None,None,None,None,17.444496977340965,5
5,Default Open L,None,Plain Haus Denim,Smile,Eye Cover,Default,Side Fringe,Blue,Icy Wind,None,None,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,42.41574432677791,6
6,None,None,Navy Ether,Mask,Silver,Dark,Long Twintail,Blue,None,None,None,None,Gas Mask,None,None,None,None,None,None,None,None,None,16.404930969984864,7
7,Default Hand Face,None,Streetsuit,Biting Lips,Silver,Default,Short Spiky,Light Purple,None,None,None,None,Bow,Fangs,Cross,Fishes,None,None,None,None,None,None,76.24453571584795,8
8,Default Open L,None,Light Open Vest,Grin,Void,Default,Long Fringe,Red,Ambers,None,None,phase.module [the generation] v0.02,None,None,None,None,None,None,None,None,None,None,44.17237995903598,9
9,Default Open L,None,Gilded Skelly,Bland,Blue,Default,Bangs Short,Purple,None,None,None,phase.module [a globe is rolling] v0.03,None,None,None,Tomoe,None,None,None,None,None,None,42.784111133550425,10
10,Default Open L,None,Indigo City Assassin,Grunt,Closed,Default,Braided Bun,Navy,None,None,None,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,27.048874131610713,11
11,None,None,Navy Haus T-Shirt,Grunt,Closed,Dark,Two Block,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.7362119733252426,12
12,None,None,Green Haus T-Shirt,Grin,Closed,Dark,Shag,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.8005258863554967,13
13,None,None,White MURI Hoodie,Hmm,Milky Way,Fiend,Long Fringe,Purple,None,Blood Mark,None,None,None,None,None,None,None,None,None,None,None,None,22.202355513697743,14
14,Default Hand Face,None,Green Varsity Jacket,Open,Blue,Default,Messy,Blue,None,None,None,None,None,Fangs,None,None,None,None,None,None,None,None,26.63359600618611,15
15,Default Hand ETH,None,Dark Half Yukata,Smile,Green,Default,Bangs Short,Blue,None,None,AK,None,None,None,Dice,Duality Skulls,None,None,None,None,None,None,52.88044329901914,16
16,Default Hand Face,Ushanka,Metal,Grunt,Silver,Default,Messy,Blue,None,None,Tech Sword,None,None,Silence,None,None,Headphone,None,None,None,None,None,66.91767311426405,17
17,Default Open R,None,Green Bomber,Bubblegum,Closed,Default,Slick Back,Navy,None,None,None,None,None,None,None,None,None,Dice,None,None,None,None,29.695385909114474,18
18,None,None,Black Koi Tees,Smile,Green,Dark,Long Twintail,White,None,None,Red Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,13.62295692447848,19
19,None,None,Red Yakuza Yukata,Bland,Closed,Darker,Long Fringe,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.2447735605698185,20
20,None,None,Red Yakuza Yukata,Grin,Eye Cover,Darker,Hime Cut,Navy,None,None,None,None,None,None,None,None,Dark Headphone,None,None,None,None,None,20.566977168319266,21
21,None,None,Midnight Gown,Mask,Green,Demon,Short Ponytail,Red,None,None,Great Sword,None,None,None,Ring,None,Big Headphone,None,None,None,None,None,48.3869997544587,22
22,Default Open L,None,Light Technocoat,Mask,Silver,Default,Messy,Red,None,None,Dark Edge,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,39.36305718066176,23
23,Darker Open L,None,Blue Racer,Mumble,Red,Darker,Bun,Purple,None,None,None,phase.module [a globe is rolling] v0.03,None,None,None,None,RDBP Duck,None,None,None,None,None,45.70648221945735,24
24,None,None,Light Open Jacket,Hmm,Closed,Darker,Messy,Navy,None,None,None,None,None,None,None,Quiver,None,None,None,None,None,None,18.45392527054416,25
25,None,Beanie,White Streetsuit,Open,Hazel,Dark,Short Spiky,Light Purple,Lightning,None,Katana,None,None,None,None,Duality Skulls,None,None,None,None,None,None,57.82949495852012,26
26,Default Open R,None,Red Trainer,Hmm,Blue,Default,Spiky,Dark,None,None,None,None,None,None,None,None,None,Dice,None,None,None,None,28.98638862236707,27
27,None,None,Racer,Open,Black,Dark,Short Ponytail,Dark,None,None,Great Sword,None,None,None,None,None,None,None,None,None,None,None,13.911428008297502,28
28,Default Hand ETH,None,White Asian Top,Big Smile,Black,Default,Long Locks,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12.103091010904665,29
29,Default Hand Palm,None,Sky Haus Hoodie,Mask,Closed,Default,Slick Back,Purple,None,None,None,None,None,None,None,Duality Skulls,None,None,Cutter,None,None,None,43.40960959871362,30
30,None,None,Orange Open Jacket,Meh,Closed,Dark,Side Fringe,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.1964076471430962,31
