,Legendary,Accessories,Clothing,Type,Background,Headwear,Pets,Aura,Royal,Rarity score,Token Id
0,OG,None,None,None,None,None,None,None,None,53.19902914618532,1
1,None,Piercing,Torn Brown,Trippy,Purple,None,None,None,None,22.897011403926378,2
2,None,Rat Tail,Ripped Red,Zombie,Teal,Peaky Cap,None,None,None,19.64473472878851,3
3,None,None,Blue Puffer,Unaffected,Blue,Peaky Cap,None,None,None,9.092037401014686,4
4,None,Monocle,Cool Jacket,Radioactive,Rainbow,Dark Void,None,None,None,30.557495300866123,5
5,None,Rose,Cool Jacket,Reptilian,Yellow,MC Cap,None,None,None,27.05703756846369,6
6,None,None,Ripped Red,Cyclops,Blue,MC Cap,None,None,None,5.947029759536777,7
7,None,Party Stuff,Ripped Red,Unaffected,Purple,MC Headband,None,None,None,20.36881784099419,8
8,None,None,None,Unaffected,Lime,MC Cap,None,None,None,4.803028554963951,9
9,None,None,Torn Brown,Reptilian,Galactic,Peaky Cap,None,None,None,10.848726355124647,10
10,None,None,Ripped Red,Unaffected,Teal,Dark Void,None,None,None,8.127960681538452,11
11,None,Rat Tail,Torn Brown,X-Ray,Lime,Japanese Headband,None,None,None,22.236897865281797,12
12,None,Cyborg Eye,Ripped Red,Zombie,Prune,MC Cap,None,None,None,19.224862921642494,13
13,None,Skateboard,Radioactive Suit,Zombie,Teal,None,None,None,None,20.493367776769176,14
14,None,Party Stuff,Blue Puffer,Radioactive,Rainbow,Halo,None,None,None,30.827409246991422,15
15,None,Silver Sword,None,X-Ray,Dark Clouds,Dark Void,None,None,None,22.6182727456533,16
16,None,Cigar,Torn Green,Unaffected,Yellow,Japanese Headband,None,None,None,24.190664911003037,17
17,None,Flag,Yellow Puffer,Cyclops,Galactic,Peaky Cap,None,None,None,21.508518749935675,18
18,None,Party Stuff,Blue Hoodie,Radioactive,Galactic,Japanese Headband,None,None,None,25.89163732738433,19
19,None,Dead Fish,Yellow Puffer,Robocat,Prune,Silver Crown,None,None,None,23.920759529228963,20
20,None,Piercing,Torn Purple,X-Ray,Watermelon,Samurai Helmet,None,None,None,20.373106993642395,21
21,None,Red Laser,Blue Hoodie,Spiky,Prune,MC Cap,None,None,None,26.09304956911767,22
22,None,None,Radioactive Suit,Aquatic,Purple,Peaky Cap,None,None,None,10.90017559920403,23
23,None,None,Black Hoodie,Reptilian,Lavender,Japanese Headband,None,None,None,11.984200691752141,24
24,None,None,None,Unaffected,Watermelon,Samurai Helmet,None,None,None,6.2512444879411255,25
25,None,Corn,None,Zombie,Orange Clouds,None,None,None,None,17.72552902030474,26
26,None,None,Torn Green,X-Ray,Pink Clouds,Silver Crown,None,None,None,11.6200059899827,27
27,None,Gold Sword,Blue Hoodie,X-Ray,Prune,MC Headband,None,None,None,23.81362675814957,28
28,None,Gold Sword,Torn Purple,Radioactive,Cool Blue,MC Cap,None,None,None,23.226644343202274,29
29,None,Fish,Torn Green,Radioactive,Watermelon,None,None,None,None,24.18664145346416,30
30,None,None,None,Zombie,Watermelon,MC Cap,None,None,None,3.980376824019563,31
31,None,Cigar,Yellow Puffer,Cyclops,Prune,MC Cap,None,None,None,20.51877441464792,32
32,None,Skateboard,Fishnet Shirt,Zombie,Galactic,Samurai Helmet,None,None,None,25.38181377294912,33
33,None,None,Torn Green,Reptilian,Teal,MC Cap,None,None,None,10.163194607700099,34
34,None,Rose,Ripped Red,Unaffected,Purple,None,None,None,None,16.620067175989426,35
35,None,None,Akatsuki Shirt,Toxic,Purple,MC Cap,None,None,None,13.899452383506027,36
36,None,Fish,Ripped Blue,Aquatic,Prune,Mohawk,None,None,None,24.70055874601628,37
37,None,None,None,Unaffected,Rainbow,Samurai Helmet,None,None,None,6.345508955317344,38
38,None,Party Stuff,None,Aquatic,Galactic,Golden Crown,None,None,None,22.819638695700633,39
39,None,Piercing,Blue Puffer,Zombie,Orange Clouds,MC Cap,None,None,None,24.991898734452967,40
40,None,None,Torn Purple,Zombie,Watermelon,MC Cap,None,None,None,4.7773155009257975,41
41,None,Rose,Suit,X-Ray,Rainbow,MC Cap,None,None,None,24.323492739602905,42
42,None,Dead Fish,Torn Purple,Zombie,Purple,None,None,None,None,15.42896845461533,43
43,None,Skateboard,Torn Purple,X-Ray,Galactic,Dark Halo,None,None,None,21.778453270069704,44
44,None,Gold Sword,Torn Purple,Reptilian,Lime,MC Cap,None,None,None,21.915559962459515,45
45,None,Rose,Black Hoodie,Trippy,Orange Clouds,Mohawk,None,None,None,30.81028607314392,46
46,None,Cyborg Eye,None,Cyclops,Yellow,None,None,None,None,18.20110622305193,47
47,None,None,Ripped Blue,Reptilian,Purple,None,None,None,None,6.855570374024128,48
48,None,None,Torn Green,Reptilian,Earth,Dark Halo,None,None,None,14.589244993829539,49
49,None,None,None,Cyclops,Rainbow,Dark Halo,None,None,None,9.062024912980736,50
50,None,Cigar,Ripped Blue,Robocat,Watermelon,Japanese Headband,None,None,None,26.42723221048603,51
51,None,None,Torn Purple,Trippy,Teal,Golden Crown,None,None,None,10.283157981007408,52
52,None,Corn,Yellow Puffer,Cyclops,Blue,Mohawk,None,None,None,20.92152433236619,53
53,None,Piercing,Yellow Puffer,Toxic,Earth,MC Headband,None,None,None,25.745955759887963,54
54,None,None,Blue Puffer,X-Ray,Lavender,Japanese Headband,None,None,None,8.200830827302957,55
55,None,Corn,Cool Jacket,Zombie,Teal,None,None,None,None,20.87897951812279,56
56,None,None,None,Zombie,Watermelon,Mohawk,None,None,None,4.554521359374409,57
57,None,Facemask,None,Reptilian,Blue,Peaky Cap,None,None,None,20.02606332298817,58
58,None,None,None,Unaffected,Teal,None,None,None,None,0.8655145268293359,59
59,None,Fish,Torn Brown,X-Ray,Lime,Japanese Headband,None,None,None,22.57538808924829,60
60,None,Cigar,MC Shirt,Cyclops,Galactic,MC Headband,None,None,None,25.83165949779282,61
61,None,None,Torn Purple,Unaffected,Teal,None,None,None,None,1.662478922648787,62
62,None,Fish,Blue Hoodie,Cyclops,Galactic,Japanese Headband,None,None,None,24.237798431297556,63
63,None,Flag,None,Aquatic,Earth,Silver Crown,None,None,None,20.78018162855571,64
64,None,None,Ripped Red,X-Ray,Watermelon,Halo,None,None,None,9.26342773329074,65
65,None,None,Torn Green,Zombie,Purple,None,None,None,None,5.728703057983575,66
66,None,None,Torn Purple,X-Ray,Orange Clouds,None,None,None,None,3.5306481046820046,67
67,None,Rose,Ripped Blue,Unaffected,Blue,Peaky Cap,None,None,None,23.25235996465387,68
68,None,Flag,Blue Puffer,Melting,Watermelon,Mohawk,None,None,None,28.796593482557032,69
