,Credit Yield,Credits,Cool,Tech Skill,Attractiveness,Intelligence,Strength,Eyes,Ability,Race,Gender,Class,Status,Rarity score,Token Id
0,Mid,583,18,80,67,35,68,Scar,Revive,Human,Male,Club Owner,First Citizen,60.54114585439031,1
1,Low,440,80,67,30,83,68,Scar,None,Human,Female,Scavenger,First Citizen,3.165763622468408,2
2,Low,294,67,33,46,93,97,Sad,None,Human,Male,Worker,First Citizen,2.463442596056771,3
3,Low,292,51,57,53,81,66,Bloodshot,Hard Gut,Human,Male,Worker,First Citizen,38.14413621598124,4
4,Low,294,40,98,68,38,80,Suspicious,Locksmith,Human,Female,Cook,First Citizen,36.30277075159592,5
5,Low,292,55,88,48,97,70,Tired,None,Android,Female,Cook,First Citizen,19.005740182036213,6
6,Low,299,20,13,23,36,63,Alien,None,Android,Female,Grunt,First Citizen,20.4876101462229,7
7,Low,296,45,97,89,98,38,Scar,None,Mutant,Male,Chat Support,First Citizen,21.368432575769724,8
8,Low,296,85,32,62,92,99,Suspicious,None,Mutant,Female,Driver,First Citizen,19.68616084046175,9
9,Low,437,56,63,32,51,14,Suspicious,None,Human,Male,Club Promoter,First Citizen,3.9057048181209906,10
10,Mid,872,79,85,92,79,73,Sad,Weapon Check,Ape,Male,Assassin,First Citizen,83.11371461283512,11
11,Low,295,51,88,44,61,59,Angry,Shield,Ghost,Male,Bartender,First Citizen,61.68360038631736,12
12,Low,290,44,39,86,35,17,Alien,None,Android,Male,Bartender,First Citizen,21.78879277951081,13
13,Mid,587,27,44,95,70,32,Skeptical,None,Human,Female,Samurai,First Citizen,24.330570755429193,14
14,Low,444,87,62,13,12,99,Tired,None,Albino,Male,Officer,First Citizen,26.154544095858096,15
15,Low,292,39,49,43,33,62,Focused,None,Albino,Male,Grunt,First Citizen,24.011711166169402,16
16,Low,444,93,87,39,10,20,Focused,None,Human,Male,Officer,First Citizen,3.965887677087967,17
17,Low,298,74,72,91,31,70,Suspicious,None,Human,Male,Builder,First Citizen,1.561866700812546,18
18,Low,444,19,94,22,38,80,Grumpy,None,Human,Female,Punk,First Citizen,3.36562149752523,19
19,Mid,874,83,82,50,89,52,Grumpy,None,Android,Female,Assassin,First Citizen,42.88986762836139,20
20,High,1457,86,71,89,92,84,Alien,None,Android,Female,Market Whale,First Citizen,52.51910915734735,21
21,Mid,585,66,82,89,33,50,Sad,None,Human,Female,Cyberstreet Trader,First Citizen,23.589264633001537,22
22,Low,440,77,89,77,20,44,Suspicious,None,Albino,Male,Officer,First Citizen,25.97436146174604,23
23,Low,294,78,19,92,13,40,Bloodshot,None,Human,Female,Assistant,First Citizen,0.5211398844503007,24
24,Low,290,29,92,50,66,60,Robot,None,Albino,Female,Builder,First Citizen,24.973558801716255,25
25,Mid,581,59,52,14,91,95,Tired,None,Human,Female,Mercenary,First Citizen,23.82996657618771,26
26,Mid,589,17,95,50,36,74,Paranoid,None,Mutant,Female,Mercenary,First Citizen,43.30963444442028,27
27,Mid,875,92,51,88,72,80,Suspicious,None,Mutant,Male,Exectuive,First Citizen,45.472241737745954,28
28,Low,444,51,69,71,33,39,Skeptical,None,Human,Female,Scavenger,First Citizen,3.465758357357586,29
29,Low,291,20,47,29,22,13,Paranoid,None,Human,Male,Assistant,First Citizen,2.6037306544079555,30
30,Low,435,85,19,42,84,14,Cyborg,None,Android,Male,Corporate,First Citizen,24.472786880943065,31
31,Low,438,92,33,83,79,66,Robot,None,Human,Male,Corporate,First Citizen,6.449618380552891,32
32,Low,297,61,40,97,15,54,Robot,None,Human,Female,Cook,First Citizen,2.744562880023989,33
33,Low,299,34,33,36,68,15,Tired,None,Human,Male,Grunt,First Citizen,2.5431821532098944,34
34,Low,298,80,57,78,52,86,Tired,Dead Eye,Ape,Male,Driver,First Citizen,58.64106032039814,35
35,Low,298,11,25,42,50,81,Suspicious,None,Human,Male,Assistant,First Citizen,1.9224496784141916,36
36,Low,297,41,50,17,52,83,Alien,None,Human,Male,Worker,First Citizen,4.566588711068994,37
37,Mid,872,94,96,94,89,71,Angry,None,Android,Male,Architect,First Citizen,43.89044315091177,38
38,Low,442,10,31,21,73,39,Grumpy,None,Human,Female,Developer,First Citizen,3.5857382802442737,39
39,Low,294,40,24,56,79,21,Tired,None,Human,Male,Driver,First Citizen,2.1425959173279123,40
40,Low,291,71,67,40,86,36,Grumpy,None,Human,Female,Builder,First Citizen,1.20211444554707,41
41,High,1451,88,92,90,95,84,Bloodshot,Locksmith,Demon,Male,Celebrity,First Citizen,92.67714167187151,42
