,Theme,Asset,Rarity,Rarity score,Token Id
0,Fantasy,NiddhogEthereal,Legendary,100.0,0
1,Cyberpunk,Lanterns,Legendary,92.14611085705496,1
2,Spacestation,Earth,Legendary,96.35713226989533,2
3,Eastern Gem,GoldenDragon,Legendary,100.0,3
4,Underworld,BooGhost2,Legendary,98.61303659820267,4
5,Fantasy,OkKaiju,None,8.18956256757445,5
6,Fantasy,YggdrasilVenom,None,2.139307634622334,6
7,Cyberpunk,Lanterns,None,0.33427123746773374,7
8,Underworld,BloodMoon,None,0.0,8
9,Spacestation,ConstructionSite,None,4.211770650297435,9
10,Cyberpunk,Crane,None,3.1254109442756666,10
11,Cyberpunk,Gator,None,5.699270284557822,11
12,Underworld,BloodMoon,None,0.0,12
13,Cyberpunk,Crane,None,3.1254109442756666,13
14,Cyberpunk,Lanterns,None,0.33427123746773374,14
15,Eastern Gem,Crystals,None,7.972288219347984,15
16,Spacestation,DockingBay,None,6.100386140514923,16
17,Eastern Gem,Bridge,None,2.089167400469057,17
18,Spacestation,Earth,None,4.546047905606616,18
19,Spacestation,Comet,None,4.562758308242018,19
20,Cyberpunk,Lanterns,None,0.33427123746773374,20
21,Fantasy,YggdrasilVenom,None,2.139307634622334,21
22,Eastern Gem,Rainbow,None,2.2395881031578204,22
23,Spacestation,Earth,None,4.546047905606616,23
24,Cyberpunk,Crane,None,3.1254109442756666,24
25,Cyberpunk,Lanterns,None,0.33427123746773374,25
26,Cyberpunk,Crane,None,3.1254109442756666,26
27,Fantasy,YggdrasilVenom,None,2.139307634622334,27
28,Spacestation,Comet,None,4.562758308242018,28
29,Spacestation,ConstructionSite,None,4.211770650297435,29
30,Cyberpunk,Kong,None,7.521026110938295,30
31,Cyberpunk,Lanterns,None,0.33427123746773374,31
32,Eastern Gem,Rainbow,None,2.2395881031578204,32
33,Cyberpunk,Hazmat,None,6.6185049035547365,33
34,Eastern Gem,Bridge,None,2.089167400469057,34
35,Underworld,DemonicStatues,None,7.48759928828391,35
36,Fantasy,Yggdrasil,None,2.022313754702422,36
37,Spacestation,Comet,None,4.562758308242018,37
38,Fantasy,YggdrasilVenom,None,2.139307634622334,38
39,Eastern Gem,ShrineGate,None,7.5711663453205045,39
40,Underworld,Scarecrow,None,8.122708922036747,40
41,Eastern Gem,Rainbow,None,2.2395881031578204,41
42,Eastern Gem,Rainbow,None,2.2395881031578204,42
43,Spacestation,Earth,None,4.546047905606616,43
44,Fantasy,YggdrasilVenom,None,2.139307634622334,44
45,Spacestation,BioFrame,None,7.253611528329619,45
46,Fantasy,YggdrasilVenom,None,2.139307634622334,46
47,Eastern Gem,Bridge,None,2.089167400469057,47
48,Underworld,ShopSign,None,3.4763865659650244,48
49,Spacestation,LaserCanons,None,6.367800723238065,49
50,Cyberpunk,Lanterns,None,0.33427123746773374,50
51,Fantasy,YggdrasilCrystals,None,2.089167400469057,51
52,Eastern Gem,Bridge,None,2.089167400469057,52
53,Underworld,BloodMoon,None,0.0,53
54,Spacestation,SpaceChimp,None,7.370605408249531,54
55,Cyberpunk,Lanterns,None,0.33427123746773374,55
56,Spacestation,Earth,None,4.546047905606616,56
57,Spacestation,BioFrame,None,7.253611528329619,57
58,Cyberpunk,Gator,None,5.699270284557822,58
59,Underworld,BooGhost2,None,6.802352429126818,59
60,Eastern Gem,FestivalLanterns,None,4.9137339298169085,60
61,Spacestation,DockingBay,None,6.100386140514923,61
62,Underworld,BooGhost1,None,5.649124032334166,62
63,Underworld,BloodMoon,None,0.0,63
64,Underworld,BloodMoon,None,0.0,64
65,Fantasy,YggdrasilCrystals,None,2.089167400469057,65
66,Spacestation,LaserCanons,None,6.367800723238065,66
67,Underworld,ShopSign,None,3.4763865659650244,67
68,Fantasy,YggdrasilCrystals,None,2.089167400469057,68
69,Cyberpunk,Lanterns,None,0.33427123746773374,69
70,Underworld,BloodMoon,None,0.0,70
71,Fantasy,YggdrasilVenom,None,2.139307634622334,71
72,Eastern Gem,Bridge,None,2.089167400469057,72
73,Cyberpunk,Gator,None,5.699270284557822,73
74,Eastern Gem,Bridge,None,2.089167400469057,74
75,Fantasy,YggdrasilVenom,None,2.139307634622334,75
76,Underworld,ShopSign,None,3.4763865659650244,76
77,Fantasy,Yggdrasil,None,2.022313754702422,77
78,Eastern Gem,Rainbow,None,2.2395881031578204,78
79,Fantasy,YggdrasilVenom,None,2.139307634622334,79
80,Underworld,BooGhost2,None,6.802352429126818,80
81,Fantasy,Yggdrasil,None,2.022313754702422,81
82,Underworld,ShopSign,None,3.4763865659650244,82
83,Fantasy,YggdrasilVenom,None,2.139307634622334,83
84,Cyberpunk,Lanterns,None,0.33427123746773374,84
85,Fantasy,Yggdrasil,None,2.022313754702422,85
86,Spacestation,BioFrame,None,7.253611528329619,86
87,Cyberpunk,Hazmat,None,6.6185049035547365,87
88,Spacestation,Comet,None,4.562758308242018,88
89,Underworld,BloodMoon,None,0.0,89
90,Underworld,BloodMoon,None,0.0,90
91,Fantasy,Yggdrasil,None,2.022313754702422,91
92,Underworld,ShopSign,None,3.4763865659650244,92
93,Spacestation,LaserCanons,None,6.367800723238065,93
94,Underworld,BooGhost1,None,5.649124032334166,94
95,Fantasy,YggdrasilVenom,None,2.139307634622334,95
96,Eastern Gem,Bridge,None,2.089167400469057,96
97,Cyberpunk,Lanterns,None,0.33427123746773374,97
98,Underworld,BloodMoon,None,0.0,98
99,Fantasy,YggdrasilVenom,None,2.139307634622334,99
100,Underworld,BooGhost1,None,5.649124032334166,100
101,Underworld,DemonicStatues,None,7.48759928828391,101
102,Spacestation,LaserCanons,None,6.367800723238065,102
103,Underworld,ShopSign,None,3.4763865659650244,103
104,Fantasy,Yggdrasil,None,2.022313754702422,104
105,Eastern Gem,Rainbow,None,2.2395881031578204,105
106,Underworld,BooGhost1,None,5.649124032334166,106
107,Spacestation,SpaceChimp,None,7.370605408249531,107
108,Eastern Gem,Bridge,None,2.089167400469057,108
109,Underworld,BooGhost2,None,6.802352429126818,109
110,Spacestation,Earth,None,4.546047905606616,110
111,Fantasy,YggdrasilCrystals,None,2.089167400469057,111
112,Cyberpunk,Gator,None,5.699270284557822,112
113,Fantasy,Yggdrasil,None,2.022313754702422,113
114,Fantasy,YggdrasilVenom,None,2.139307634622334,114
115,Cyberpunk,Gator,None,5.699270284557822,115
116,Fantasy,YggdrasilVenom,None,2.139307634622334,116
117,Eastern Gem,Bridge,None,2.089167400469057,117
118,Eastern Gem,Bridge,None,2.089167400469057,118
119,Eastern Gem,Bridge,None,2.089167400469057,119
120,Spacestation,ConstructionSite,None,4.211770650297435,120
121,Eastern Gem,Bridge,None,2.089167400469057,121
122,Fantasy,YggdrasilVenom,None,2.139307634622334,122
123,Underworld,BloodMoon,None,0.0,123
124,Eastern Gem,FestivalLanterns,None,4.9137339298169085,124
