,Mouth,Clothes,Eyes,Hat,Earring,Fur,Background,Rarity score,Token Id
0,0,33,0,0,0,10,1,17.51942635085469,1
1,21,24,6,12,0,12,7,52.65205281829498,2
2,30,26,0,8,0,10,3,44.13133555930138,3
3,0,7,7,3,0,1,2,31.155827502785165,4
4,25,24,8,15,0,0,5,46.40626503879843,5
5,0,2,17,15,0,13,1,39.792620964859196,6
6,0,27,17,29,0,1,7,34.813530124010974,7
7,19,13,2,27,0,9,0,49.709669989173186,8
8,8,6,5,1,0,1,1,41.760968633981534,9
9,12,0,16,18,0,1,0,35.24264369433912,10
10,25,23,6,0,0,2,7,33.35588515556374,11
11,12,18,0,7,0,2,1,36.87054632483673,12
12,0,0,14,3,5,3,0,68.49338689313802,13
13,14,6,2,34,0,4,7,47.88426695948099,14
14,0,0,3,32,3,9,6,67.9961453101169,15
15,1,30,12,11,2,5,2,82.55091303877649,16
16,4,31,14,8,1,3,7,86.58974592074641,17
17,2,0,13,29,3,10,7,80.37831109461557,18
18,6,12,1,1,1,10,1,84.21274702837788,19
19,2,4,11,25,0,15,5,50.47931321372347,20
20,0,26,5,4,0,1,7,31.346524567128263,21
21,1,0,8,10,1,11,3,71.05422645735663,22
22,3,26,16,0,0,14,3,37.90589182341266,23
23,6,0,22,0,0,8,3,28.717394230940492,24
24,0,1,0,0,0,11,5,16.375017362348096,25
25,0,15,21,32,0,0,0,35.2222365540621,26
26,2,19,2,13,0,1,5,40.078576930424994,27
27,0,22,1,33,0,3,6,34.527465163190364,28
28,1,21,2,6,0,1,1,34.16644949447702,29
29,0,35,0,18,0,0,4,24.800865100403428,30
30,16,2,16,31,0,2,6,47.33259796520197,31
31,2,17,1,22,0,0,6,39.19314432767159,32
32,4,26,2,16,0,1,3,41.27737889485484,33
33,3,17,15,27,1,5,4,87.16183783544041,34
34,26,15,2,1,0,8,7,46.98517534408771,35
35,1,0,0,27,0,0,0,18.091565583990533,36
36,3,2,4,0,0,0,0,27.44361645060866,37
37,16,42,0,0,0,10,5,31.45556367590034,38
38,1,28,7,0,1,15,1,70.68650998422451,39
39,0,38,0,8,0,4,0,28.676536212564336,40
40,6,19,0,18,0,2,0,37.06803310028976,41
41,9,0,0,24,0,4,0,30.33172102638863,42
42,19,6,2,5,0,10,0,48.72885658882073,43
43,1,23,1,5,1,8,5,78.11702557310637,44
44,22,0,18,1,3,3,6,79.68362718621165,45
45,1,3,18,0,5,8,7,73.45172928969649,46
46,4,36,5,6,0,0,5,42.89846169838783,47
