,Body,Outerwear,Eyes,Species,Shoes,Background,Head,Attitude,Headwear,Eyewear,Underfoot,Rarity score,Token Id
0,Grey,Hoodie Down,Angry,Rat,Gym (Chromie),Green,Skull,Statant,None,None,None,40.589665525769,0
1,Red,Jean Jacket,Rainbow,Rat,None,Pink-ish,Flesh,Passant,None,None,None,30.67386318783044,1
2,Blue,None,Side-eye,Mouse,Hightops (White),Purple,Flesh,Passant,Skully,None,None,25.255288658503883,2
3,White,None,None,Bug,None,Yellow,Creep,Statant,None,Patch,None,26.78576028012392,3
4,White,None,Angry,Mouse,Hightops (Grey),Blue,Skull,Crustant,Backwards Hat,None,None,25.80821441537023,4
5,Purple,None,Side-eye,Fish,Hightops (Blue),Yellow,Skull,Sejant,None,None,Skull,47.36036186869244,5
6,Black,None,Discerning,Rabbit,Slipons (Pink),Purple,Flesh,Statant,Lincoln,None,Skull,52.83816982930174,6
7,Green,Punk Jacket,Discerning,Mutant Toad,None,Pink-ish,Cat,Sejant,Blood Moon Hat,None,None,48.72208160139912,7
8,Blue,None,None,Cat,Hightops (Blue),Blue,Creep,Statant,Mohawk (Green),Gazelles,None,47.74700479384339,8
9,Ninja,None,None,Toad ,Hightops (Grey),Purple,None,Crustant,Moon Hat,Jobs Glasses,Swiggle,81.22684025537895,9
10,Green,None,Side-eye,Mutant Toad,None,Green,Bat,Sejant,Backwards Hat,None,None,22.68127718221403,10
11,Ninja,None,Rainbow,Mutant Toad,Socks (Dirty),Pink,Bird,Passant,Beanie (Pellet),None,Jade,72.53482314707497,11
12,Cyborg,Punk Jacket,None,Bug,Gym (Crusty),Yellow,None,Passant,Chromie Worm,Visor (Cold),None,79.35818955860184,12
13,Black,None,None,Bird,None,Green,Flesh,Statant,None,Gazelles,None,25.578905260197054,13
14,Red,Gold Grill,Void,Rabbit,Socks (Dirty),Pink,Skull,Rampant,Lincoln,None,None,49.369894866896544,14
15,Golden,None,None,Toad ,Slipons (Pink),Grey,None,Crustant,Skully,None,None,29.197118374711582,15
16,White,None,Suspicious,Toad ,Hightops (Red),Pink-ish,None,Crustant,Captain's Cap,None,None,33.69674684079366,16
17,White,None,Rainbow,Mouse,Slipons (Grey),Purple,Creep,Crustant,Headphones,None,Jade,57.394719955431896,17
18,White,None,Discerning,Bird,None,Blue,Skull,Rampant,None,None,None,5.315240227246534,18
19,Brown,None,Fire,Bird,Socks (Dirty),Purple,Flesh,Rampant,None,None,None,20.99288872997436,19
20,Brown,None,None,Rat,Slipons (White),Pink,Creep,Rampant,Fire,3D,None,48.78134921671128,20
21,White,None,Discerning,Fish,None,Purple,Flesh,Crustant,None,None,None,5.686803907937519,21
22,Black,None,Twinkle,Lizard,Socks (Floppy),Pink-ish,Creep,Crustant,None,None,None,25.882779499342547,22
23,Brown,None,None,Mouse,None,Blue,Creep,Passant,Moon Hat,Noggles,None,31.907315106764568,23
24,Pink,None,Discerning,Bird,Socks (Dirty),Green,Flesh,Rampant,None,None,None,20.31504775030681,24
25,Brown,None,Diamond,Rabbit,None,Blue,Creep,Crustant,Raincloud,None,None,12.413985617770553,25
