,Zipper,Sweatshirt,Neck,Hood,Head,Eyelets,Element,Drawstring,Background,Mask,Tie,Shirt,Lapels,Jacket,New Dawn,Pin,Raised Hood,Vest,Button,Masked Head,Parka,Parka Hood,Zero Hour,Clothing,Type,Rarity score,Token Id
0,Lunar Trinity,Bone White Ink,Midnight,Lunar Trinity,We Are The Night,Jade Destiny,Golden Epiphany,Copper Nexus,Midnight Clockwork,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,44.905239236115676,1
1,Golden Magic,Bone White Splatter XL,Bone White,Primal Bone White,Serpent Mycelium,Celestial Red,Lunar Lavation,Lunar Grey Complexion,Deep Earth,Lunar Sovereign,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,51.50842067062972,2
2,Copper Key,Dark Green Ashes,Psilocybin Distemper,Scratched Bone White,Midnight Amethyst Mycelium,Phoenix Sun,Lunar Epiphany,Lunar Grey Complexion,Deep Earth,Golden Triad,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,51.91271034926038,3
3,Copper Quietude,Neon Jungle Camo,Reptillian Tiger,Neon Jungle Camo,Reptillian Tiger,Celestial Red,Golden Atrophy,Acid Yellow Imprint,Midnight,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45.97392400979125,4
4,Silver Key,Xenon,Serpent Tiger,Lunar Parallel,Serpent Mycelium,Midnight Black,Lunar Collapse,Acid Yellow Imprint,Midnight,Psychedelic Transmute,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,55.417033765129695,5
5,Pink Horizon,Scratched Copper,Pagan Transparency,Bone White Forest,Purple Haze Mute,Lunar Rising,Golden Atrophy,Acid Yellow Imprint,Midnight Solidarity,Acid Yellow Defiance,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,55.91928343540553,6
6,Blood Red,Lunar Tiger,Copper Nexus,Binary,Blood Red Mute,Golden Halo,Golden Epiphany,Psilocybin Blue Imprint,Deep Earth,Golden Triad,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50.446960875132895,7
7,None,None,Serpent Nexus,None,Moonlight Divinity,None,None,None,Crimson Destiny,None,Dark Green Mycelium,Lunar Grey Matrix,Dark Silver,Golden Tiger Bone,None,None,None,None,None,None,None,None,None,None,None,31.866476305573887,8
8,None,None,Scratched Liquid,None,Midnight Amethyst Mycelium,None,None,None,Midnight Formation,None,Purple Haze Mycelium,Pagan Earth Matrix,Bone White,Lunar Parallel,None,None,None,None,None,None,None,None,None,None,None,31.61872679243003,9
9,None,None,Cerulean Cross,None,Cerulean Cross,None,Lunar Atrophy,None,Lunar Existence,Lunar Ascension,Purple Haze Mycelium,Bone Ashes,Liquid Hallucination,Liquid Hallucination,None,None,None,None,None,None,None,None,None,None,None,46.83058679006636,10
10,Midnight Black,Aurora,Midnight,Aurora,Midnight Leather,Midnight Black,None,The Dark Absolute,Midnight Genesis,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,40.317228023345486,11
11,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,12
12,None,None,Purple Neon Cross,None,Xenon Summation,None,None,None,Deep Earth,Serpent Halations,Midnight Black,Midnight Black,Midnight Black,Liquid Hallucination,None,None,None,None,None,None,None,None,None,None,None,34.7681821117928,13
13,Midnight Black,Primal Bone White,Midnight,Hollow Lunar Trinity,Pagan Tiger,Golden Halo,Lunar Lavation,Midnight Black,Lunar Existence,Golden Shatter Antlers,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53.19384409047993,14
14,Lunar Trinity,Psilocybin Blue Splatter,Copper Nexus,Golden Parallel,Midnight Transparency,Golden Silence,Golden Epiphany,Acid Yellow Imprint,Crimson Destiny,Lunar Subversion,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54.40288371816686,15
15,Golden Silence,Lunar Parallel,Bone White,Lunar Grey Forest,Argon Neon Cross,Lunar Rising,Copper Epiphany,Copper Diamond,Hazed Horizon,Crimson Skull XL,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53.00480867114503,16
16,None,None,Copper Nexus,None,Psilocybin Neon Cross,None,Fallen Lunar Reflected,None,Deep Earth,Golden Transmute,Midnight Black,Pale Green Matrix,Lunar Grey Mycelium,Lunar Trinity,None,None,None,None,None,None,None,None,None,None,None,42.648389199041404,17
17,None,None,Midnight Cross,None,Purple Haze Mute,None,Golden Epiphany,None,Midnight,Formation Antagonist,Pale Green Mycelium,Bone White Matrix XL,Bone White,Lunar Life,None,Golden Magic,None,None,None,None,None,None,None,None,None,61.049227928433424,18
18,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,19
19,None,None,Bone White,None,Machine Sequence,None,Golden Epiphany,None,Zero Hour Unity,Golden Triad,Lunar Grey Primal Liquid,Purple Haze Connection XL,Midnight Cross,Copper Cross,None,None,None,None,None,None,None,None,None,None,None,44.3146025871909,20
20,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,21
21,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,22
22,Psilocybin Blue,Psilocybin Harmony,Cerulean Nexus,Psilocybin Harmony,Cerulean Distemper,Bone White,None,Psilocybin Blue Imprint,Midnight Formation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,41.34960353846433,23
23,Pale Pink,Hollow Lunar Trinity,Bone White,Lunar Life,Blood Red Mycelium,Jade Destiny,Lunar Absolution,Lunar Dust,Midnight,Molecular Inflorescence,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,52.99930387591898,24
24,None,None,Pagan Mycelium,None,Blood Red Cross,None,Golden Absolution,None,The Gathering,None,Blood Red,Purple Haze Connection XL,Midnight Black,Dark Green Cross,None,None,None,None,None,None,None,None,None,None,None,37.248447086911284,25
25,None,None,Bone White,None,Midnight Grid Transparency,None,Fallen Gold,None,Deep Earth,Xenon Vision,Midnight Mycelium,Bone White Matrix,Bone White,Lunar Life,None,Copper Clockwork,None,None,None,None,None,None,None,None,None,58.302217269982734,26
26,Copper Clockwork,Dark Green Rain,Midnight Sky,Bone White Ink,Amethyst Mute,Lunar Rising,Fallen Gold Duality,Pale Green Imprint,The Gathering,Golden Triad,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54.84535018893397,27
27,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,28
28,Blood Red,Dark Green Nightfall,Copper Nexus,Scratched Lunar Grey,Purple Haze Trinity,Celestial Purple,Golden Absolution,Phoenix Sun,Crimson Destiny,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46.40354508048262,29
29,None,None,Serpent Nexus,None,Amethyst Mute,None,None,None,Deep Earth,Golden Telepathy,Psilocybin Blue Primal Liquid,Midnight Black,Crystal Orchid Cross,Bone White,None,None,None,None,None,None,None,None,None,None,None,36.0084742075761,30
30,None,None,Pagan Nexus,None,Pagan Cross,None,Golden Collapse,None,Deep Earth,Snow Camo Gas Mask,Psilocybin Blue Cross,Purple Haze Connection,Midnight Black,Crystal Orchid Primal Liquid,None,None,None,None,None,None,None,None,None,None,None,43.05634749381354,31
31,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Deconstructed,None,None,None,None,None,None,None,None,None,None,0.0,32
32,Copper Moon,Lunar Dichotomy,Liquid Nexus,Lunar Dichotomy,Liquid Nexus,Silver Serenade,None,Argon Pink Complexion,Jaded Existence,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,40.685112947650396,33
33,None,None,Golden Midnight,None,Moonlight Screenshot,None,Golden Atrophy,None,Hazed Horizon,None,Primal Liquid,Purple Haze Matrix XL,Lunar Grey Cross,Midnight Black,None,None,None,None,None,None,None,None,None,None,None,37.053516667523354,34
