,Back,Body,Arms,Chest,Face,Hat,Element,Water,Grass,Air,Fire,Stage,Rarity score,Token Id
0,fossil,scales,nub,flowerrainbow,smirk,fin,grass,5.0,64.0,21.0,10.0,final_form,92.42285645739841,0
1,tailfin,spots,fishingpole,tube,happy,waterbump,water,66.0,3.0,10.0,21.0,final_form,96.48302887758481,2
2,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,4
3,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,5
4,None,None,None,None,None,None,None,None,None,None,None,Two,8.376105465894994,6
5,tail,blank,firehands,firespark,threeeyes,ears,fire,19.0,27.0,25.0,29.0,final_form,93.01327989452062,7
6,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,8
7,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,9
8,fire,blobs,cloud,face,smirk,spikes,fire,5.0,22.0,11.0,61.0,final_form,94.86466852701373,10
9,charred,blank,club,face,clyde,firecrown,fire,14.0,26.0,19.0,40.0,final_form,94.67166343405873,11
10,rabbit,blobs,vine,spikes,happy,miner,grass,23.0,33.0,29.0,14.0,final_form,93.34638987019554,12
11,butterfly,scales,wing,symbolair,doubleface,tuft,air,19.0,7.0,60.0,14.0,final_form,95.19920139571325,13
12,tail,zigzag,tentaclesout,round,doubleface,finbumps,water,31.0,31.0,15.0,24.0,final_form,93.87251851524113,14
13,snail,wave,paw,leafnecklace,tired,antlers,grass,32.0,54.0,6.0,8.0,final_form,93.01045174361768,15
14,horse,blobs,nub,ruffles,facepaint,feathersyellow,air,17.0,17.0,51.0,15.0,final_form,92.4071277462347,16
15,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,17
16,None,None,None,None,None,None,None,None,None,None,None,Egg,0.0,18
17,batwing,splotch,cloud,scales,cutelashes,finblades,fire,3.0,25.0,9.0,63.0,final_form,94.22275729442018,19
18,butterfly,spots,cloud,ruffles,hearts,farmer,air,14.0,21.0,42.0,22.0,final_form,93.8324762894738,20
19,fossil,spots,marshmallow,firespark,toad,chef,fire,6.0,37.0,13.0,44.0,final_form,95.37077041442245,21
