,Accessories,Glasses,Head,Bag,Necklace,Clothes,Skin,Background,Rarity score,Token Id
0,ICE CREAM,WHITE GLASSES,GOLD CHAIN CAP,PHANTACi DUFFEL BAG,STAR NECKLACE,STICKERS COACH JACKET,MAGENTA,GREEN GRADUAL,17.3391872843885,1
1,MONEY GUN,GOLD GLASSES,BROWN BEANIE,PHC GUARDER BAG,CROSS NECKLACE,ARTIST JAY ZIP THROUGH,DEEP PURPLE,GREEN GRADUAL,7.944360248663471,2
2,PAINTBRUSH,WHITE GLASSES,PSYCHEDELIC CAMP CAP,GIG BAG,CHAIN NECKLACE,NUNCHUCKS DENIM JACKET,ORANGE,ORANGE,5.7887072682675385,3
3,PLAYING CARDS,MAGENTA GLASSES,TOMORROWLAND BOONIE HAT,PHANTACi DUFFEL BAG,BEAR NECKLACE,PHC ART SWEATER,PURPLE,RED,6.946254682791457,4
4,BOOMBOX,BLUE GLASSES,TOMORROWLAND BOONIE HAT,GOLD FONT TOTE,STAR NECKLACE,HIGH VOLTAGE WORK MA-1,YELLOW,GLOW YELLOW,6.307652855325066,5
5,BASKETBALL,GOLD GLASSES,GRAFFITI FONT CAP,MULTIFUNCTION SHOULDER BAG,MONEY NECKLACE,CLASSIC SOUVENIR JACKET,DARK GREEN,GREEN GRADUAL,10.845442864550536,6
6,CASH,PINK GLASSES,PSYCHEDELIC CAMP CAP,PHANTACi DUFFEL BAG,LOGO NECKLACE,TMRL FUNCTIONAL M65 JACKET,PINK,GOLD,5.801924337120578,7
7,BOOMBOX,NAVY GLASSES,WHITE BEANIE,PHC GUARDER BAG,CROSS NECKLACE,SPLICE ZEBRA PATTERN HOODIE,NAVY,PHC MAGENTA,7.824570924245837,8
8,SKATEBOARD,PINK GLASSES,GRAFFITI FONT CAP,SPLICE MESH SHOULDER BAG,PHC NECKLACE,CLASSIC SOUVENIR JACKET,PURPLE,GREEN GRADUAL,5.429324642526015,9
9,BASKETBALL,PINK GLASSES,HIT COLOR LOGO CAMP CAP,PHANTACi DUFFEL BAG,STAR NECKLACE,WESTERN SHIRT,MAGENTA,RED,18.51014473597377,10
10,BOOMBOX,WHITE GLASSES,PHC 6-PANEL DAD HAT,OUTDOOR BACKPACK,LOGO NECKLACE,ARTIST JAY ZIP THROUGH,PURPLE,BLUE,8.18390830793594,11
11,PAINTBRUSH,DARK GOLD GLASSES,PHC 6-PANEL DAD HAT,TRAVEL BAGPACK,CROSS NECKLACE,STICKERS COACH JACKET,YELLOW,GLOW GREEN,20.02715330849661,12
12,CASH,GOLD GLASSES,ALL PHC BUCKET HAT KH,MULTIFUNCTION SHOULDER BAG,BALL NECKLACE,TMRL FUNCTIONAL M65 JACKET,DARK GREEN,RED,7.8246095141058305,13
13,MONEY GUN,DEEP BLUE GLASSES,BROWN BEANIE,MULTIFUNCTION SHOULDER BAG,STAR NECKLACE,ARTIST JAY ZIP THROUGH,DARK GREEN,PHC MAGENTA,17.7783540596711,14
14,MONEY GUN,YELLOW GLASSES,ALL PHC BUCKET HAT BK,GIG BAG,BALL NECKLACE,FABRIC SPLICING HOODIE,LIGHT GREY,RED,18.97595057906126,15
15,PLAYING CARDS,GOLD GLASSES,ALL PHC BUCKET HAT BK,MULTIFUNCTION SHOULDER BAG,CHAIN NECKLACE,FABRIC SPLICING HOODIE,YELLOW,BLUE,7.931068671780222,16
16,SKATEBOARD,BLUE GLASSES,ALL PHC BUCKET HAT KH,SPLICE MESH SHOULDER BAG,LOGO NECKLACE,SCHOOL UNIFORM,WHITE,PHC MAGENTA,17.286026256714855,17
17,HAMBURGER,BLUE GLASSES,WHITE BEANIE,DAY PACK,BALL NECKLACE,PATCHWORK DENIM JACKET,NATURAL,GOLD,15.103698259617762,18
18,PAINTBRUSH,WHITE GLASSES,BROWN BEANIE,TRAVEL BAGPACK,MONEY NECKLACE,PHC ART SWEATER,BONE,PHC MAGENTA,18.137590295839228,19
19,HAMBURGER,DEEP BLUE GLASSES,HIT COLOR LOGO CAMP CAP,MEOW BAG,BALL NECKLACE,TMRL FUNCTIONAL M65 JACKET,PINK,GLOW YELLOW,15.077056528395493,20
20,PLAYING CARDS,COPPER GLASSES,PSYCHEDELIC CAMP CAP,OUTDOOR BACKPACK,PHC NECKLACE,PATCHWORK DENIM JACKET,GREEN,PHC MAGENTA,16.021857326847474,21
21,PAINTBRUSH,YELLOW GLASSES,WHITE BEANIE,MEOW BAG,SKULL NECKLACE,CLOWN COSTUME,MAGENTA,ORANGE,15.888753785464818,22
22,CASH,COPPER GLASSES,BROWN BEANIE,MEOW BAG,BEAR NECKLACE,NUNCHUCKS DENIM JACKET,WHITE,GLOW YELLOW,7.571756567067517,23
23,MONEY GUN,WHITE GLASSES,ALL PHC BUCKET HAT BK,PHC GUARDER BAG,SKULL NECKLACE,HIGH VOLTAGE WORK MA-1,PINK,MAGENTA,7.172551069465956,24
24,BOOMBOX,PINK GLASSES,GOLD CHAIN CAP,TRAVEL BAGPACK,BALL NECKLACE,ARTIST JAY ZIP THROUGH,DEEP PURPLE,MAGENTA,6.573808042961201,25
25,PLAYING CARDS,PINK GLASSES,WHITE BEANIE,PHC GUARDER BAG,CHAIN NECKLACE,ARTIST JAY ZIP THROUGH,ORANGE,GOLD,4.8172673969881386,26
26,PHANTACi BOTTLE,BLUE GLASSES,GRAFFITI FONT CAP,OUTDOOR BACKPACK,SKULL NECKLACE,SCHOOL UNIFORM,NAVY,PHANTACi BLUE,18.949378052374424,27
27,MONEY GUN,BLUE GLASSES,WHITE BEANIE,GIG BAG,PHC NECKLACE,CLASSIC SOUVENIR JACKET,DEEP PURPLE,ORANGE,6.227764909616782,28
28,CASH,MAGENTA PINK GLASSES,PHORTY CAP,PHANTACi DUFFEL BAG,SKULL NECKLACE,TMRL FUNCTIONAL M65 JACKET,NAVY,PHANTACi BLUE,26.906948712972422,29
29,HELMET,WHITE GLASSES,PHC 6-PANEL DAD HAT,PHANTACi DUFFEL BAG,BALL NECKLACE,TMRL FUNCTIONAL M65 JACKET,DARK GREEN,GLOW YELLOW,16.91344252755698,30
30,BOOMBOX,COPPER GLASSES,WHITE BEANIE,PHANTACi DUFFEL BAG,PHC NECKLACE,SPLICE ZEBRA PATTERN HOODIE,PURPLE,GOLD,5.58903398396124,31
31,SKATEBOARD,COPPER GLASSES,GOLD CHAIN CAP,MEOW BAG,CHAIN NECKLACE,TMRL FUNCTIONAL M65 JACKET,YELLOW,PHANTACi BLUE,5.11001906522728,32
32,PLAYING CARDS,YELLOW GLASSES,GOLD CHAIN CAP,PHANTACi DUFFEL BAG,MONEY NECKLACE,PHC ART SWEATER,DEEP PURPLE,GOLD,7.93100744449744,33
33,SKATEBOARD,BLUE GLASSES,HIT COLOR LOGO CAMP CAP,TRAVEL BAGPACK,CHAIN NECKLACE,CLASSIC SOUVENIR JACKET,DEEP PURPLE,MAGENTA,6.4939347391055975,34
34,BOOMBOX,YELLOW GLASSES,PHC 6-PANEL DAD HAT,SPLICE MESH SHOULDER BAG,BALL NECKLACE,SCHOOL UNIFORM,PURPLE,GLOW GREEN,17.63198953864951,35
35,BASKETBALL,GLOW GREEN GLASSES,ALL PHC BUCKET HAT KH,MEOW BAG,STAR NECKLACE,MAGICIAN SUIT,DARK GREEN,ORANGE,18.244150589808765,36
36,HAMBURGER,YELLOW GLASSES,GOLD CHAIN CAP,MEOW BAG,MONEY NECKLACE,TMRL FUNCTIONAL M65 JACKET,DARK GREEN,MAGENTA,6.320981708529352,37
37,PAINTBRUSH,DEEP BLUE GLASSES,WHITE BEANIE,OUTDOOR BACKPACK,BEAR NECKLACE,FABRIC SPLICING HOODIE,PURPLE,ORANGE,18.949335460740897,38
38,CASH,MAGIC GOLD GLASSES,TOMORROWLAND BOONIE HAT,OUTDOOR BACKPACK,CROSS NECKLACE,HIGH VOLTAGE WORK MA-1,PURPLE,MAGENTA,18.44364953151095,39
39,SKATEBOARD,MAGENTA GLASSES,ALL PHC BUCKET HAT BK,DAY PACK,BEAR NECKLACE,TMRL FUNCTIONAL M65 JACKET,PINK,BLUE,6.347572868797342,40
40,SKATEBOARD,RED GLASSES,WHITE BEANIE,MEOW BAG,HEADPHONE,RACING SUIT,BLACK,BLUE,17.139616484483117,41
41,MONEY GUN,NAVY GLASSES,WHITE BEANIE,MEOW BAG,MONEY NECKLACE,CLASSIC SOUVENIR JACKET,ORANGE,GLOW YELLOW,5.988168935125898,42
42,BASKETBALL,PINK GLASSES,GOLD CHAIN CAP,PHANTACi DUFFEL BAG,SKULL NECKLACE,SPLICE ZEBRA PATTERN HOODIE,WHITE,RED,5.336183702408406,43
43,BASKETBALL,COPPER GLASSES,GRAFFITI FONT CAP,TRAVEL BAGPACK,CHAIN NECKLACE,CLASSIC SOUVENIR JACKET,LIGHT BLUE,PHC MAGENTA,16.32790990944144,44
44,MONEY GUN,YELLOW GLASSES,PHC 6-PANEL DAD HAT,PHC GUARDER BAG,HEADPHONE,PHC ART SWEATER,NAVY,PHANTACi BLUE,8.463410977630433,45
45,PAINTBRUSH,NAVY GLASSES,WHITE BEANIE,PHC GUARDER BAG,PHC NECKLACE,FABRIC SPLICING HOODIE,PALE,GREEN GRADUAL,16.953309314043675,46
46,PHANTACi BOTTLE,MAGENTA GLASSES,WHITE BEANIE,DAY PACK,CROSS NECKLACE,STICKERS COACH JACKET,MAGENTA,GOLD,7.531759363239308,47
47,PAINTBRUSH,MAGENTA GLASSES,PHC 6-PANEL DAD HAT,GIG BAG,HEADPHONE,CLASSIC SOUVENIR JACKET,YELLOW,RED,6.786650475879595,48
48,PAINTBRUSH,PINK GLASSES,BROWN BEANIE,DAY PACK,PHC NECKLACE,TMRL FUNCTIONAL M65 JACKET,DARK GREEN,BLUE,5.0034401432900015,49
49,SKATEBOARD,YELLOW GLASSES,BROWN BEANIE,PHANTACi DUFFEL BAG,MONEY NECKLACE,ARTIST JAY ZIP THROUGH,DARK GREEN,GLOW YELLOW,10.086837439482707,50
50,BASKETBALL,WHITE GLASSES,BROWN BEANIE,GIG BAG,HEADPHONE,HATHAWAY TEE,BLACK,GLOW YELLOW,19.12237898841947,51
51,PAINTBRUSH,NAVY GLASSES,ALL PHC BUCKET HAT BK,GOLD FONT TOTE,BEAR NECKLACE,HIGH VOLTAGE WORK MA-1,PURPLE,PHANTACi BLUE,7.864537517830246,52
52,SKATEBOARD,GLOW GREEN GLASSES,GRAFFITI FONT CAP,PHANTACi DUFFEL BAG,SKULL NECKLACE,HIGH VOLTAGE WORK MA-1,ORANGE,PHC MAGENTA,4.351477516973799,53
53,PLAYING CARDS,WHITE GLASSES,ALL PHC BUCKET HAT KH,GOLD FONT TOTE,BALL NECKLACE,TMRL FUNCTIONAL M65 JACKET,YELLOW,BLUE,5.575679849416013,54
54,GOLD INGOT,PINK GLASSES,GOLD CHAIN CAP,OUTDOOR BACKPACK,BEAR NECKLACE,SPLICE ZEBRA PATTERN HOODIE,PINK,PHANTACi BLUE,17.93798621754558,55
55,CASH,GLOW GREEN GLASSES,BROWN BEANIE,GIG BAG,STAR NECKLACE,PHC ART SWEATER,ORANGE,ORANGE,7.491919201176798,56
56,HAMBURGER,BLUE GLASSES,HIT COLOR LOGO CAMP CAP,SPLICE MESH SHOULDER BAG,HEADPHONE,ARTIST JAY ZIP THROUGH,DARK GREEN,PHC MAGENTA,3.9788991164233414,57
57,PHANTACi BOTTLE,PINK GLASSES,ALL PHC BUCKET HAT BK,OUTDOOR BACKPACK,BEAR NECKLACE,FABRIC SPLICING HOODIE,DEEP PURPLE,MAGENTA,9.381644572094137,58
58,JOKER CARD,GLOW GREEN GLASSES,HIT COLOR LOGO CAMP CAP,PHANTACi DUFFEL BAG,CHAIN NECKLACE,TMRL FUNCTIONAL M65 JACKET,NAVY,RED,16.527455428892214,59
59,BASKETBALL,NAVY GLASSES,BROWN BEANIE,DAY PACK,CHAIN NECKLACE,HIGH VOLTAGE WORK MA-1,BLACK,GOLD,5.988328648876818,60
60,SKATEBOARD,YELLOW GLASSES,GOLD CHAIN CAP,SPLICE MESH SHOULDER BAG,HEADPHONE,ARTIST JAY ZIP THROUGH,PURPLE,BLUE,5.988314015887424,61
61,PLAYING CARDS,MAGENTA GLASSES,PSYCHEDELIC CAMP CAP,MULTIFUNCTION SHOULDER BAG,CROSS NECKLACE,STICKERS COACH JACKET,BLACK,ORANGE,8.969063644130586,62
62,PLAYING CARDS,YELLOW GLASSES,BROWN BEANIE,SPLICE MESH SHOULDER BAG,STAR NECKLACE,TMRL FUNCTIONAL M65 JACKET,NAVY,GLOW YELLOW,6.533821484530112,63
63,HAMBURGER,BLUE GLASSES,PHC 6-PANEL DAD HAT,PHC GUARDER BAG,STAR NECKLACE,PATCHWORK DENIM JACKET,PURPLE,GOLD,5.429267407562595,64
64,BOOMBOX,PINK GLASSES,PHC 6-PANEL DAD HAT,PHANTACi DUFFEL BAG,HEADPHONE,SPLICE ZEBRA PATTERN HOODIE,NAVY,PHANTACi BLUE,6.507193055622595,65
65,ICE CREAM,RED GLASSES,HIT COLOR LOGO CAMP CAP,PHANTACi DUFFEL BAG,MONEY NECKLACE,HIGH VOLTAGE WORK MA-1,PURPLE,PHC MAGENTA,17.844776071710765,66
66,HAMBURGER,GLOW GREEN GLASSES,TOMORROWLAND BOONIE HAT,GOLD FONT TOTE,HEADPHONE,HIGH VOLTAGE WORK MA-1,PURPLE,GLOW YELLOW,3.379967103098252,67
67,MONEY GUN,BLUE GLASSES,PSYCHEDELIC CAMP CAP,GIG BAG,PHC NECKLACE,STICKERS COACH JACKET,PINK,ORANGE,7.638303686454185,68
68,MONEY GUN,GLOW GREEN GLASSES,WESTERN HAT,OUTDOOR BACKPACK,BEAR NECKLACE,PATCHWORK DENIM JACKET,WHITE,PHC MAGENTA,17.77831014238546,69
69,BASKETBALL,WHITE GLASSES,ALL PHC BUCKET HAT BK,GIG BAG,HEADPHONE,NUNCHUCKS DENIM JACKET,PINK,PHC MAGENTA,6.8665078160711674,70
70,PAINTBRUSH,GOLD GLASSES,PSYCHEDELIC CAMP CAP,PHANTACi DUFFEL BAG,LOGO NECKLACE,HIGH VOLTAGE WORK MA-1,DARK GREEN,PHANTACi BLUE,9.368266471224139,71
71,PAINTBRUSH,RED GLASSES,GRAFFITI FONT CAP,PHANTACi DUFFEL BAG,BALL NECKLACE,STICKERS COACH JACKET,BLACK,GOLD,8.01103379986748,72
72,ICE CREAM,YELLOW GLASSES,GOLD CHAIN CAP,DAY PACK,BEAR NECKLACE,CLASSIC SOUVENIR JACKET,PURPLE,PHC MAGENTA,15.87542360040412,73
73,BASKETBALL,YELLOW GLASSES,WHITE BEANIE,DAY PACK,MONEY NECKLACE,FABRIC SPLICING HOODIE,MAGENTA,GLOW GREEN,7.970944766194204,74
74,PLAYING CARDS,PINK GLASSES,ALL PHC BUCKET HAT BK,GOLD FONT TOTE,BALL NECKLACE,TMRL FUNCTIONAL M65 JACKET,PINK,BLUE,5.455959714466229,75
75,BOOMBOX,WHITE GLASSES,TOMORROWLAND BOONIE HAT,OUTDOOR BACKPACK,BEAR NECKLACE,TMRL FUNCTIONAL M65 JACKET,MAGENTA,PHC MAGENTA,5.29632755984162,76
76,HAMBURGER,GOLD GLASSES,BROWN BEANIE,TRAVEL BAGPACK,BALL NECKLACE,SPLICE ZEBRA PATTERN HOODIE,ORANGE,PHC MAGENTA,3.0341076321029523,77
77,HAMBURGER,WHITE GLASSES,ALL PHC BUCKET HAT KH,GIG BAG,MONEY NECKLACE,TMRL FUNCTIONAL M65 JACKET,DEEP PURPLE,PHC MAGENTA,4.737394078064948,78
78,JOKER CARD,PINK GLASSES,ALL PHC BUCKET HAT BK,DAY PACK,BALL NECKLACE,STICKERS COACH JACKET,BLACK,CHINESE,27.984858382596244,79
79,MILK TEA,PINK GLASSES,FESTIVAL HAT,SPLICE MESH SHOULDER BAG,CHAIN NECKLACE,HIGH VOLTAGE WORK MA-1,DARK GREEN,PHANTACi BLUE,27.63883921380394,80
80,PAINTBRUSH,NAVY GLASSES,GRAFFITI FONT CAP,GOLD FONT TOTE,CHAIN NECKLACE,CLASSIC SOUVENIR JACKET,DARK GREEN,PHC MAGENTA,4.644239835337143,81
81,MICROPHONE,DARK GOLD GLASSES,AFRO HAIR,SPLICE MESH SHOULDER BAG,PHC NECKLACE,ARTIST JAY ZIP THROUGH,WHITE,PHANTACi BLUE,26.46782719628604,82
