,Head,Face,Body,Skin,Background,Rarity score,Token Id
0,Wizard Hat,Winking,Hoodie Pink,Mint,Purple,48.492868418892506,0
1,Bowl Cut,Beard,Tribal Necklace,Light Gray,Beige,51.04599471014776,1
2,Durag Red,Blushing,Bow Tie Pink,Normal,Blue,5.654959487609626,2
3,Durag Red,Normal,Shirt Red,Olive Green,Blue,38.640244902706975,3
4,Afro With Pick,Aviator,Kimono Blue,Olive Green,Red,63.02321667636437,4
5,Grizzly Bear Hat,Monocle,Surfboard Necklace,Normal,Purple,17.855428156155554,5
6,Jester's Hat,Beard,Lei Pink,Olive Green,Tangerine,57.23166660740285,6
7,Bucket Hat Green,Monocle,Vote 4 Pudgy,Normal,Beige,17.0500017316618,7
8,Sideways Blue,Hero Mask Blue,Overalls,Light Gray,Mint,50.292083792759534,8
9,Pirate Hat,Cross Eyed,Puffer Orange,Cream,Beige,56.357788716942366,9
10,Cowboy Hat,Winking,Poncho,Cream,Blue,38.22895380809573,10
11,Hat Red,Cute,Christmas Lights,Normal,Pink,25.480593819079374,11
12,Bucket Hat Tan,Scar,Shirt Red,Light Gray,Beige,47.139203621032465,12
13,Sombrero,Blushing,Overalls,Dark Gray,Blue,26.902578976391922,13
14,Cowboy Hat,Squad,Turtleneck Green,Olive Green,Purple,49.79503313977675,14
15,Hat Red,Winking,Shirt Red,Normal,Pink,16.895788776979494,15
16,Wizard Hat,Circle Glasses,Kimono Blue,Normal,Blue,9.356133949867832,16
17,Pirate Hat,Clout Goggles,Lei Pink,Normal,Purple,20.922733869457925,17
18,Macaroni,Normal,Heart,Dark Gray,Tangerine,37.09797271058268,18
19,Backwards Hat Blue,Clout Goggles,Huddle Shirt,Cream,Beige,56.597620472663436,19
20,Pirate Hat,Winking,Christmas Sweater Blue,Baby Pink,Tangerine,48.90398212922286,20
21,Flat Cap Blue,Cross Eyed,Shirt Blue,Cream,Red,57.934168068196,21
22,Top Hat,Clout Goggles,Puffer Green,Baby Pink,Mint,52.108341172992866,22
23,Polar Bear Hat,Circle Glasses,Shirt Red,Normal,Blue,8.430831173884682,23
24,Backwards Hat Red,Normal,Bronze Medal,Normal,Yellow,16.638693279882684,24
25,Beanie Orange,Winking,Turtleneck Blue,Gold,Mint,50.30917978895201,25
26,Grizzly Bear Hat,Winking,Bow Tie Pink,Light Gray,Beige,37.02950195980888,26
27,Grizzly Bear Hat,Winking,Tribal Necklace,Red,Beige,52.48531494531131,27
28,Headband,Aviator,Turtleneck Green,Mint,Tangerine,57.128853475627636,28
29,Egg,Villain Mask,Lei Purple,Maroon,Purple,59.407892387148244,29
30,Sombrero,Winking,Hawaiian Shirt,Olive Green,Tangerine,44.842983873451985,30
31,Backwards Hat Red,Goggles,Lab Coat,Maroon,Red,62.47497829518414,31
32,Bucket Hat Green,Football,Scarf Blue,Normal,Pink,28.46221324203164,32
33,Flat Cap Black,Football,Turtleneck Blue,Baby Pink,Yellow,62.11511015665312,33
34,Headband,Blushing,Vote 4 Pudgy,Light Gray,Mint,30.398077040852467,34
35,Durag Red,Cucumbers,Lei Pink,Mint,Purple,60.4530618725178,35
36,Top Hat,Circle Glasses,Turtleneck Grey,Light Gray,Tangerine,38.72587527469009,36
37,Headband,Cute,Poncho,Leopard Pink,Purple,57.59155017125502,37
38,Pirate Hat,Blushing,Tank Top Yellow,Normal,Tangerine,12.903290196187667,38
39,Flat Cap Black,Star Glasses,Tank Top Yellow,Maroon,Purple,53.5648191032292,39
40,Headband,Normal,Shirt Blue,Light Gray,Red,40.93623135184708,40
41,Cowboy Hat,Football,Turtleneck Grey,Normal,Beige,23.01319430971737,41
42,Beanie Orange,Normal,Turtleneck Pink,Normal,Blue,4.900954090655298,42
43,Durag Red,Eyepatch,Hoodie Pink,Olive Green,Blue,47.80753044059781,43
44,Sombrero,Scar,Scarf Pink,Olive Green,Beige,56.220733460037664,44
45,Party Hat,Squad,Turtleneck Green,Cream,Blue,46.53946516498018,45
46,Backwards Hat Blue,Winking,Turtleneck Green,Normal,Beige,11.223956962137299,46
47,Mohawk Green,Blushing,Tank Top Yellow,Light Gray,Blue,28.92459180446036,47
48,Santa Hat,Cucumbers,Kimono Brown,Light Gray,Purple,45.031550778877914,48
49,Sombrero,Cross Eyed,Turtleneck Pink,Normal,Mint,16.313208020808574,49
50,Beanie Gray,Hero Mask Blue,Shirt Red,Baby Pink,Mint,55.36399398284826,50
51,Beanie Orange,Football,Bronze Medal,Normal,Blue,15.43925493498797,51
52,Flat Cap Tan,Cute,Suit Blue,Baby Pink,Blue,45.97400546491247,52
53,Mohawk Green,Eyepatch,Kimono Abstract,Light Gray,Yellow,52.228286935422084,53
54,Bucket Hat Tan,Scouter,Tank Top Blue,Light Gray,Purple,49.43532310582868,54
55,Jester's Hat,Normal,Shirt Blue,Normal,Purple,9.990176224820795,55
56,Cowboy Hat,Monocle,Overalls,Maroon,Blue,44.671707702661934,56
57,Egg,Winking,Bow Tie Pink,Baby Pink,Red,55.586710464482124,57
58,Top Hat,Squad,Christmas Sweater Red,Normal,Blue,13.571487836877981,58
59,Hat Blue,Cute,Shirt Blue,Red,Mint,50.497677278329,59
60,Afro With Pick,Beard,Apron,Mint,Yellow,64.63390370299923,60
61,Bucket Hat Green,Winking,Scarf Green,Normal,Purple,6.049065891784204,61
62,Flat Cap Blue,Scouter,Lei Purple,Red,Purple,61.85813420324068,62
63,Backwards Hat Blue,Football,Turtleneck Grey,Maroon,Purple,55.00416633465826,63
64,Sombrero,Normal,Shirt Blue,Cream,Tangerine,45.47697024025619,64
65,Party Hat,Normal,Hoodie Pink,Normal,Tangerine,14.35976427324934,65
66,Cowboy Hat,Eyepatch,Turtleneck Pink,Normal,Blue,12.817530645930603,66
67,Polar Bear Hat,Clout Goggles,Christmas Lights,Cream,Beige,59.69908925624926,67
68,None,Circle Glasses,Kimono Red,Normal,Mint,10.607026105091522,68
69,None,Star Glasses,Surfboard Necklace,Dark Gray,Blue,38.50310866421865,69
70,Beanie Orange,Blushing,Bath Robe,Dark Gray,Blue,25.2576016267351,70
71,Bowl Cut,Winking,Bow Tie Pink,Normal,Yellow,18.849205537589846,71
72,Sideways Red,Clout Goggles,Turtleneck Green,Normal,Tangerine,23.544396461738735,72
73,Mohawk Green,Blushing,Lab Coat,Normal,Mint,6.717331010966553,73
74,Beanie Pink,Cross Eyed,Lab Coat,Dark Gray,Purple,42.82116000120987,74
75,Panda Hat,Football,Overalls,Light Gray,Mint,47.43053738437391,75
76,Flat Cap Blue,Monocle,Kimono Orange,Dark Gray,Yellow,45.854011500082756,76
77,Hat Blue,Circle Glasses,Lei Purple,Ice,Mint,54.712903910797436,77
78,Beanie Pink,Goggles,Vote 4 Pudgy,Leopard Pink,Blue,63.12618983795745,78
79,Afro With Pick,Beard,Lei Blue,Dark Gray,Blue,37.20086489479964,79
80,Durag Blue,Circle Glasses,Vote 4 Pudgy,Gold,Purple,56.46058642580072,80
81,None,Normal,Turtleneck Blue,Red,Blue,43.88354116817247,81
82,Hat Red,Blushing,Puffer Green,Normal,Purple,9.167779135845663,82
83,Bucket Hat Green,Eyepatch,Shirt Blue,Normal,Tangerine,17.050005591448254,83
84,Flat Cap Black,Eyepatch,Shirt Blue,Olive Green,Mint,47.75605735507892,84
85,Fish Gold,Monocle,Bow Tie Pink,Normal,Blue,15.730623409058705,85
86,Hat Blue,Normal,Lei Blue,Mint,Yellow,55.14121773508239,86
87,Beanie Pink,Normal,Shirt Red,Normal,Pink,21.796561627474407,87
88,Mohawk Purple,Squad,Kimono Brown,Light Gray,Beige,43.19805665353435,88
89,Egg Gold,Normal,Lab Coat,Light Gray,Beige,40.55927492707934,89
90,Wizard Hat,Scar,Suit Red,Olive Green,Beige,59.099441419375566,90
91,Beanie Pink,Circle Glasses,Swordman,Light Gray,Purple,42.03294333247318,91
92,Beanie Orange,Monocle,Vote 4 Pudgy,Maroon,Tangerine,51.457181688199015,92
93,Flat Cap Blue,Football,Fish Lover,Dark Gray,Mint,42.204310123042895,93
94,Flat Cap Black,Blushing,Christmas Sweater Red,Light Gray,Beige,38.29743419856824,94
95,Hat Red,Circle Glasses,Scarf Blue,Dark Gray,Mint,31.56329447727148,95
96,Hatched,Monocle,Pudgy Man,Olive Green,Yellow,62.93759401493808,96
97,Bucket Hat Green,Squad,Ice Coat,Olive Green,Pink,60.1788202491888,97
98,Macaroni,Winking,Poncho,Normal,Yellow,16.19324105134274,98
99,Durag Red,Beard,Scarf Blue,Light Gray,Tangerine,47.79029755226866,99
100,Polar Bear Hat,Handlebar Bear,Overalls,Dark Gray,Beige,48.73276958885929,100
101,Bucket Hat Tan,Monocle,Shirt Red,Cream,Red,59.442024609494226,101
102,Camo Helmet,Eyepatch,Lei Pink,Olive Green,Purple,51.66275782321242,102
103,None,Blushing,Christmas Sweater Red,Normal,Pink,20.802687845446595,103
104,Mohawk Purple,Scouter,Turtleneck Blue,Light Gray,Blue,42.735516131845344,104
105,Backwards Hat Red,Winking,Tribal Necklace,Olive Green,Purple,42.61550288641606,105
106,Sombrero,Normal,Lei Blue,Normal,Beige,12.749027116274217,106
107,Flat Cap Blue,Winking,Bronze Medal,Normal,Mint,5.089403377631778,107
108,Pirate Hat,Beard,Kimono Brown,Dark Gray,Mint,40.37082949177484,108
109,Flat Cap Black,Circle Glasses,Hoodie Pink,Gold,Yellow,64.25699548153364,109
110,Ninja Headband,Star Glasses,Bow Tie Black,Normal,Tangerine,25.92627550280274,110
