,Antenna,Hats,Faces,Heads,Body,Backgrounds,Rarity score,Token Id
0,Purple 2,Blue bucket hat,Buttons,Peach,White suit,Dust,25.28121984328885,0
1,Ufo green,Cap blue,Eeerm,Blue,Kung fu ,Pale peach,21.980626015838354,1
2,Blue 2,Blossom brain ,Reptile,Orange,Casual jacket ,Turquoise,9.550749230483593,2
3,Pierced 2,Thunder,Proud,Blue pink paint splats,Astroquirkie,Simply pink,32.37388638225252,3
4,Lightning bolts,Beanie brown,Proud,Qurikie bot MK 3,Pirate garbs,Mist in the artic,23.03380706420146,4
5,Pierced,Nurse,Spooky relaxed,Orange,Aviator jacket,The blues,4.283382997973876,5
6,Blue 2,Yellow curls,Woooaaah,Quirk green,Orange puffa,Misty green,32.09328814485959,6
7,Bubbles,Pink bobble,1 eye,Blueer ,Wool demim ,Honey melon,18.399124910674917,7
8,Bones,Blue surfer,Toxic mask,Quirk green,Wool demim ,Pale peach,15.30906050460636,8
9,Overgrown,Blue pink long,Goggles ,Peach,Arrows,Misty pink,38.974975692872405,9
10,Goo,Snakes,Focused,Pink,Green trash hoodie,Pale peach,20.78661904436803,10
11,Double green,Long pink,Quirkie tongue,Quirk green,Dungarees,Purple with stars,36.166113602037456,11
12,Pierced,Aviator ,Need coffee,Quirkie bot MK 1,Aviator jacket,Misty turquoise,25.913145330312908,12
13,Blue 2,Sideways cap,Spooky relaxed,Orange,Kung fu ,Honey melon,13.623630885562847,13
14,Gold ring,Long brown,Wait,Pinkish,Green camo puffa,Neutral,23.31499531154267,14
15,Fire,Blue pink long,Pink sunglasses,Another green,Astroquirkie comms,Turquoise,15.02832181786916,15
16,White 27,Aviator ,Buttons,Yellow,Pink camo puffa,Simply pink,15.449493082161226,16
17,Heart,Red mohawk,Reptile,Quirkiebot MK2,Arrows,Simply pink,27.8795384534246,17
18,Gold ring,Ice cream,Warpaint 1,Another green,Yellow backpack,Purple,27.38803148424837,18
19,Pink 1,Aviator ,Hmm,Quirkiebot MK2,Artic parka,Honey melon,9.90161290540778,19
20,Bomb,Green mohawk,What ,Qurikie bot MK 3,UFO engineer overalls,Simply pink,25.070535875047064,20
21,Heart,Pink goo,Just two eyes,Yellow,Casual jacket ,Honey melon,19.241748422139793,21
22,Blue 2,Mad science,White eyes shock,Blueer ,Space hoodie,Turquoise,17.556389007305036,22
