,Background Color,Chassis Color,Top,Mouth,Ear,Eyes,Head Shape,Body,Arm,Backpack,Robot Type,Helmet,Cyborgo Face,Human Arm,Computo Head,Face,Rarity score,Token Id
0,Seafoam,Silver,Cat,Smile,Sonar,Annoyed,Boxy Head,Suit,Pointy Pad,Katanas,Roboto,None,None,None,None,None,3.78123323428123,0
1,Powder,Hot Pink,None,Smile and Fangs,None,Shades,Bottom Stripe,Blush Tee,Torque,Saw,Roboto Helmeto,Croc,None,None,None,None,17.719114443990865,1
2,Candy Blue,Smoke,None,Open Mouth,None,Hey,Bottom Stripe,Suit,Torque,Katanas,Roboto Helmeto,Astronaut,None,None,None,None,12.828675168083176,2
3,Mint,Lavander,Glass,None,Ring,None,Boxy Head,Red Shirt,None,Jetpack,Roboto Cyborgo,None,Splat,Stripped,None,None,85.9786114893275,3
4,Neon Pink,Teal,None,Moustache,None,Artoo,Round Bottom,Small Top with EKG,Cruncher,Jetpack,Roboto Helmeto,Bear,None,None,None,None,15.26249391088552,4
5,Strawberry,Silver,Bear Ears,Smile,Vertical Antenna,Straight Visor,Boxy Head,Dress,Pointy Pad,Electron Battery,Roboto,None,None,None,None,None,4.032415110688474,5
6,Golden Rod,Copper,Captain,None,Chip,None,Boxy Head,Blush Tee,None,Katanas,Roboto Cyborgo,None,Architect,Square Shoulder,None,None,88.75104056287779,6
7,Powder,Rose Gold,Bear Ears,Smile and Fangs,Bolt,Eye Grease,Bottom Stripe,Soldier Jacket,Ribbed,Katanas,Roboto,None,None,None,None,None,6.267094861128888,7
8,Digital Blue,Lavander,None,Buckteeth,None,Dead Eyes,Bottom Stripe,Blue Hoodie,Machine Arm,Wings,Roboto Helmeto,Mullet,None,None,None,None,13.145152384174102,8
9,Neon Pink,Lavander,None,Serious,None,Annoyed,Round Bottom,Sports Bra,Round Torque,Electron Battery,Roboto Helmeto,Fro,None,None,None,None,13.079987615701864,9
10,Seafoam,Slate,Bulb,Smile,Lightbolt Earring,Kurts,Boxy Head,Small Top with Drum Pad,Round Torque,Volt,Roboto,None,None,None,None,None,3.226565449642497,10
11,Sunflower,Silver,Bulb,Toothy Smile,Ring,Artoo,Red Layers,Rugged Shirt,Bicep,Wings,Roboto,None,None,None,None,None,11.689269522379032,11
12,Candy Blue,Ruby,Horns,Grill,Red Flower,Big Visor,Boxy Head,Soldier Jacket,Cruncher,Battery,Roboto,None,None,None,None,None,0.9494417623696423,12
13,Pear,Copper,None,Blue Beard,None,Two Eyes,Boxy Head,Suit,Round Shoulder,Wings,Roboto Helmeto,Mullet,None,None,None,None,11.132257680021777,13
14,Golden Rod,Silver,Pony Tail,Toothy Smile,Chip,Dim,Bottom Stripe,Rugged Shirt,Ribbed,Wings,Roboto,None,None,None,None,None,5.741916917968542,14
15,Sunflower,Copper,Baseball Cap,Serious Fang,Blurple Flower,Hally,Purple Layers,Dress Pink,Ribbed,Katanas,Roboto,None,None,None,None,None,8.903108704728346,15
16,Pear,Smoke,None,Moustache,None,Two Eyes,Bottom Stripe,Tin Body with Indented Buttons,Cruncher,Katanas,Roboto Helmeto,Yellow Owl,None,None,None,None,15.30801621327503,16
17,Blush,Rose Gold,Monkey,Smile,Bolt,80s Pop,Round Bottom,Sports Bra,Torque,Battery,Roboto,None,None,None,None,None,5.458019332490826,17
18,Blush,Copper,Ginger,Serious,Pearl Earring,Three Eyes,Bottom Stripe,Red Shirt,Ribbed,Volt,Roboto,None,None,None,None,None,3.898668743059961,18
19,Pear,Slate,Glass,Grin,Antenna,3D Glasses,Purple Layers,Blush Tee,Round Torque,Wings,Roboto,None,None,None,None,None,11.177069834249052,19
