,Mouth Accessory,Eye Accessory,Head Below,Ear Accessory,Eyes,Nose,Mouth,Face,Race,Background,Head Above,Face Accessory,Mask,Rarity score,Token Id
0,Cig,Eye Patch,Well Combed Hair Blk,Candy Raver Earrings,Villian Eyes Variant 1,Prominent Stud Piercing,Open Teeth,Rough Mustache Brwn,Human,Yellow Double Stripe,None,None,None,59.99217338297574,1
1,None,Eye Patch Monocle,None,Small Hoop Earrings,Femme Furrowed Variant 1,Downturned,Open Teeth,Soul Patch Short,Human,Grey Solid,Mystic Top Hat,None,None,51.8481004389792,2
2,None,None,Rough Punk Hair Pink,Gold Stud Earrings,Femme Wide,Droopy Stud Piercing,Idle,Furies Facepaint,Human,Double Yellow,None,None,None,33.03722828435791,3
3,Cigar,Sniper Goggles,None,None,Masc Wide,Prominent Stud Piercing,Open Teeth,Fu Manchu Mustache Black,Human,Pink Solid,Neon Green Industrial Dreads,None,None,63.8922531518785,4
4,Cig,None,None,Small Hoop Earrings,Villian Eyes Variant 2,Droopy,Smile,None,Human,Triple Blue,Funky Bandana Bald,None,None,26.88643099700861,5
5,Cig,Target Visor,None,None,Masc Idle,Bot Nose 2,Teeth Smile,None,Bot,Double Purple,Mystic Top Hat,None,None,68.49616019495663,6
6,None,None,None,Silver Stud Earrings,Femme Idle,Delicate,Lipstick Purple,None,Human,Green Black Diag,Beanie Hair Green,Viral Mask,None,51.591011309236954,7
7,None,None,None,Open Face Shield,Villian Eyes,Droopy,Teeth Smile,None,Human,Green Solid,Goggles Forehead,None,None,22.285609430426238,8
8,None,None,None,Silver Stud Earrings,Robo-Eyes Variant 1,Delicate,Idle,None,Human,Dark Purple Solid,Half Buzz Half Long Hair,Ninja,None,50.42704578312579,9
9,Cigar,Lennon Glasses,None,Gold Stud Earrings,Look Right,Droopy Stud Piercing,Lipstick Blue,Jet Black,Human,Double Green,Dual Horn,None,None,68.40008891844182,10
10,None,Aviators,Rough Punk Hair Black,Small Hoop Earrings,Bot Idle,Bot Nose 1,Idle,Rough Mustache Black,Bot,Magenta Solid,None,None,None,76.82228381917474,11
11,None,Robo-Cyclopian,None,Gold Stud Earrings,Femme Idle Variant 4,Upturned,Teethy Grin,None,Human,Double Purple,Chain Headband,Gas Mask,None,71.78021364424553,12
12,Cig,Goggles,Cropped Cut Dark,Silver Stud Cross Combo,Beady,Prominent,Teethy Grin,Thin Curled Mustache Black,Human,Double Yellow,None,None,None,57.738249189949165,13
13,None,Glasses,None,None,Masc Shade Eyes,Bot Nose 2,Lipstick Red,Clown Facepaint,Bot,Double Green,Long Green Front Braid,None,None,76.13641467072146,14
14,Cig,Thin Glasses,None,None,Villian Eyes,Upturned Septum Piercing,Smile,None,Alien,Double Purple,Horns,None,None,65.67518298547293,15
15,None,Glass Visor,None,Small Hoop Earrings,Femme Wide,Bot Nose 1,Lipstick Blue,Winged Mustache Black,Bot,Blue Diag,Dual Horn,None,None,79.06130125565416,16
16,Tongue Pill,Eye Patch Monocle,Metal Skullcap,Chain Earring,Bot Busted Eye,Bot Nose 1,Idle,Thin Curled Mustache Black,Bot,Purple Stripe,None,None,None,95.71595408499061,17
17,None,None,None,None,Villian Eyes,Upturned,Teeth Smile,None,Human,Magenta Solid,Dreadlocks,Viral Mask,None,47.66867575123994,18
18,None,None,Cornrows Light Hair,Open Face Shield,Masc Idle,Bot Nose 3,Smile,None,Bot,Grey Solid,None,None,Gas Tank Mask,82.09984810178486,19
19,None,None,None,Large Hoop Earrings,Femme Shade Eyes,Upturned Septum Piercing,Lipstick Green,None,Bot,Purple Stripe,Dreadlocks,None,None,44.277524425767965,20
