,Bottle,Liquid,Tassels,Logo,Hoody,Outline,Background,Teeth,Eyes,Headgear,Mask,Rarity score,Token Id
0,Clear,Sparkling Water,Black,Caution Cantaloupe,Plain Violet,Spikes Cantaloupe,Black,None,None,None,None,9.55742063731014,0
1,WAGMI Crimson,Sparkling Water,White,gm Aquamarine,Plain Aquamarine,Spikes Cantaloupe,Bolts Violet,Rainbow,None,None,None,51.04607413742775,1
2,Flammable Toxic,Champagne,White,None,Plain Crimson,Crimson,Accents Aquamarine,None,None,None,None,16.48666568846592,2
3,Flammable Crimson,Water,Tied White,Caution Crimson,Plain Toxic,Shiny Cantaloupe,Strobes Crimson,None,Beady Cantaloupe,None,None,54.79849501140658,3
4,WAGMI Crimson,Cabernet Sauvignon,White,Caution Cantaloupe,Plain Cantaloupe,Violet,Strobes Aquamarine,None,None,rekt SnapBack Violet,None,48.17808784606278,4
5,Clear,Watermelon Juice,Tied White,Biohazard White,Bolts Aquamarine,Crimson,Black,None,X Cantaloupe,None,None,40.78736202085248,5
6,Radioactive Aquamarine,Purple Grape Juice,Tied White,None,Light Hatch Aquamarine,Acid Violet,Strobes Violet,None,None,Earphones Toxic,None,50.89751222122465,6
7,Radioactive Violet,Toxic Waste,Tied White,Radioactive Black,Light Hatch Toxic,Acid Cantaloupe,Black,None,None,None,None,27.33843481327613,7
8,WAGMI Crimson,Lemonade,Black,High Voltage Violet,Light Hatch Crimson,Aquamarine,Violet,None,None,rekt SnapBack Crimson,None,47.583374966687856,8
9,Biohazard Violet,Purple Grape Juice,White,None,Dark Stripes Cantaloupe,Acid Violet,Stripes Cantaloupe,None,None,None,None,16.619137496119734,9
10,WAGMI Cantaloupe,Cabernet Sauvignon,Black,None,Light Shoulders Toxic,Toxic,Strobes Cantaloupe,None,None,None,None,17.657299365177646,10
11,Hopium Violet,Rosé,White,Radioactive Toxic,Dark Hatch Aquamarine,Spikes Crimson,Accents Cantaloupe,None,X Toxic,None,None,48.135069170061165,11
12,Biohazard Violet,Champagne,White,Radioactive Aquamarine,Light Hatch Crimson,Lit,Black,None,None,None,None,19.433527181273494,12
13,Hopium Aquamarine,Purple Grape Juice,Black,rekt Toxic,Plain Violet,Crimson,Stripes Cantaloupe,None,None,None,None,21.682835534598265,13
14,Caution Violet,Orange Soda,Tied White,Radioactive Cantaloupe,Plain Aquamarine,Acid Toxic,Accents Violet,None,None,None,None,33.01564813093949,14
15,Radioactive Crimson,Sauvignon Blanc,Black,Caution Aquamarine,Light Stripes Violet,Crimson,Stripes Violet,None,None,None,None,20.836654394261718,15
16,Biohazard Aquamarine,Toxic Waste,Black,None,Bolts Cantaloupe,Spikes Aquamarine,Black,None,None,None,None,11.712176656090234,16
17,Flammable Aquamarine,Sauvignon Blanc,White,Flammable Violet,Light Hatch Aquamarine,Acid Cantaloupe,Black,None,X White,None,None,38.06785776211743,17
18,Radioactive Cantaloupe,Lemonade,Black,None,Dark Stripes Toxic,White,Fuzz Crimson,None,X Toxic,None,None,36.71345702960595,18
19,Biohazard Crimson,Water,Tied White,None,Dark Hatch Crimson,Glow Crimson,Strobes Toxic,None,None,None,None,26.473328847725103,19
20,Caution Violet,Cola,Black,gm Cantaloupe,Dark Shoulders Cantaloupe,Spikes Crimson,Accents Aquamarine,None,X Aquamarine,None,None,46.29682585385975,20
21,Hopium Aquamarine,Milk,Black,None,Light Shoulders Crimson,Glow Cantaloupe,Stripes Violet,None,None,None,None,19.138844104780222,21
22,Biohazard Cantaloupe,Lemonade,Tied White,69 Toxic,Dark Shoulders Toxic,Violet,Black,None,X Toxic,None,None,46.44810695530302,22
23,Biohazard Crimson,Sauvignon Blanc,Tied White,High Voltage Cantaloupe,Plain Black,White,Stripes Cantaloupe,None,X Cantaloupe,None,None,51.268035175611956,23
24,Radioactive Crimson,Orange Soda,Black,CrypToadz White,Plain Cantaloupe,Cantaloupe,Strobes Violet,None,Saturn Shades,None,None,43.282595995822724,24
25,WAGMI Cantaloupe,Toxic Waste,Black,gm Black,Plain Cantaloupe,Aquamarine,Strobes Violet,None,None,Earphones Crimson,None,46.92104912568457,25
26,Radioactive Toxic,Water,White,69 Violet,Dark Hatch Aquamarine,Cantaloupe,Stripes Toxic,Sharp Toxic,None,None,None,49.588995881526024,26
27,Clear,Sparkling Water,White,rekt Toxic,Plain Black,Crimson,Fuzz Aquamarine,None,X Crimson,rekt Beanie Violet,None,61.818063999648295,27
28,Clear,Limeade,White,Biohazard Toxic,Dark Shoulders Cantaloupe,Acid Cantaloupe,Accents Violet,None,Laser Eyes,Earphones Crimson,None,65.87553995014522,28
29,Copium,Lemonade,Black,gm White,Poly Toxic,Cantaloupe,Black,None,None,SnapBack Cantaloupe,None,40.406038428065614,29
30,Clear,Sauvignon Blanc,White,CrypToadz Black,Bolts Toxic,White,Fuzz Violet,Rainbow,None,None,None,44.01210982354319,30
31,Biohazard Cantaloupe,Limeade,Tied White,mfer Inverted,Plain Black,White,Strobes Aquamarine,None,Nounish,None,None,53.371188668731826,31
32,Flammable Aquamarine,Sparkling Water,Black,Biohazard Crimson,Light Stripes Cantaloupe,Cantaloupe,Accents Aquamarine,None,None,None,None,20.969114152281044,32
33,Flammable Violet,Sauvignon Blanc,Black,None,Bolts Toxic,Cantaloupe,Accents Toxic,None,None,None,None,14.921303111652987,33
34,Biohazard Aquamarine,Purple Grape Juice,Black,gm Aquamarine,Light Stripes Cantaloupe,Crimson,Strobes Aquamarine,None,None,None,None,21.696355620562212,34
35,Hopium Aquamarine,Blood,White,gm Cantaloupe,Bolts Violet,Acid Crimson,Stripes Toxic,None,None,None,None,24.975692314250768,35
36,Clear,Lemonade,Black,gm Aquamarine,Light Stripes Violet,Spikes Cantaloupe,Black,Sharp Violet,Big Shades,None,None,59.736484990025716,36
37,Radioactive Cantaloupe,Purple Grape Juice,Black,Flammable Crimson,Poly Aquamarine,Violet,Grid Crimson,None,X Toxic,None,None,43.69623078921389,37
38,WAGMI Aquamarine,Rosé,White,Flammable Aquamarine,Dark Shoulders Crimson,Spikes Violet,Accents Crimson,None,Blue Beams,None,None,47.88365351233217,38
39,Biohazard Violet,Limeade,Tied Black,None,Bolts Crimson,Spikes Crimson,Stripes Violet,None,None,SnapBack Cantaloupe,None,51.59224782065247,39
40,Flammable Cantaloupe,Water,Tied White,Biohazard Crimson,Plain Cantaloupe,Violet,Accents Aquamarine,None,3D Glasses,None,None,52.303377547384244,40
41,Biohazard Aquamarine,Limeade,Black,mfer Inverted,Robotic Cantaloupe,Cantaloupe,Black,None,None,None,None,15.932456526345543,41
42,Flammable Violet,Sauvignon Blanc,White,None,Poly Crimson,Toxic,Grid Aquamarine,None,X White,None,None,38.057045823518955,42
43,Caution Cantaloupe,Purple Grape Juice,Black,69 Toxic,Dark Stripes Crimson,Crimson,Fuzz Aquamarine,None,None,None,None,22.02347450965626,43
44,Clear,Toxic Waste,White,High Voltage Violet,Light Stripes Cantaloupe,Cantaloupe,Black,None,None,None,None,9.19238252951717,44
45,Biohazard Violet,Rosé,Tied White,Radioactive Crimson,Plain Aquamarine,Glow Crimson,Black,None,None,None,None,26.976163114022135,45
46,WAGMI Aquamarine,Sparkling Water,White,None,Strawberry Laces,White,Grid Aquamarine,None,None,None,None,15.226826153326197,46
47,Flammable Violet,Rosé,White,gm Aquamarine,Dark Stripes Aquamarine,Aquamarine,Bolts Aquamarine,None,None,None,None,22.65877665135744,47
48,Hopium Aquamarine,Limeade,White,gm Black,Poly Crimson,Glow White,Fuzz Toxic,None,None,None,None,24.929734448653644,48
49,Radioactive Toxic,Limeade,White,gm Black,Light Shoulders Cantaloupe,Spikes Violet,Bolts Cantaloupe,None,None,None,None,25.684019526813067,49
50,WAGMI Aquamarine,Lemonade,Black,Caution Crimson,Plain Violet,Acid Cantaloupe,Black,None,None,None,None,15.783731411507624,50
51,Radioactive Cantaloupe,Lemonade,Black,Caution Aquamarine,Dark Stripes Aquamarine,Glow Cantaloupe,Black,None,None,None,None,16.684011087409818,51
52,Caution Violet,Rose Champagne,White,Caution Cantaloupe,Light Shoulders Violet,Glow Aquamarine,Stripes Toxic,None,None,None,None,24.72966050197038,52
53,Biohazard Aquamarine,Passion Fruit Juice,White,Caution Crimson,Plain Aquamarine,Acid Crimson,Stripes Rainbow,None,None,None,None,24.921620332097845,53
54,Clear,Watermelon Juice,White,69 Aquamarine,Light Hatch Crimson,Crimson,Fuzz Toxic,None,None,None,None,17.505895363053188,54
55,Clear,Rosé,Black,None,Plain White,Aquamarine,Stripes Toxic,None,None,None,None,8.581399870332369,55
56,Caution Crimson,Limeade,Black,gm Aquamarine,Dark Stripes Violet,Shiny Violet,Stripes Aquamarine,None,X White,None,None,46.807770548780944,56
57,Clear,Limeade,Black,Caution Toxic,Poly Violet,Crimson,Black,None,None,None,None,9.438476537035868,57
58,WAGMI Crimson,Cabernet Sauvignon,Tied White,Biohazard Aquamarine,Light Stripes Crimson,Crimson,Black,None,None,None,None,25.602814943482755,58
59,Paper Bag Aquamarine,Water,Tied Black,Caution Toxic,Tiedye,Cantaloupe,Black,None,None,None,None,24.13751490918192,59
60,Clear,Champagne,White,None,Light Stripes Cantaloupe,Crimson,Grid Crimson,None,None,None,None,9.881818594925422,60
61,WAGMI Crimson,Orange Soda,Black,Toxic Warning,Bolts Violet,Spikes Cantaloupe,Fuzz Crimson,None,Beady Crimson,None,None,47.26732707636373,61
62,WAGMI Cantaloupe,Watermelon Juice,Tied Black,None,Poly Cantaloupe,Acid Violet,Grid Crimson,None,None,None,None,26.9869797209464,62
63,Radioactive Cantaloupe,Purple Grape Juice,Black,None,Dark Stripes Violet,Violet,Fuzz Aquamarine,None,None,None,None,15.25382649538912,63
64,Biohazard Aquamarine,Champagne,Black,High Voltage Cantaloupe,Poly Violet,Aquamarine,Stripes Aquamarine,None,X Violet,Earphones Aquamarine,None,70.49516245374177,64
65,WAGMI Aquamarine,Limeade,White,Flammable Aquamarine,Bolts Violet,Refresher,Stripes Violet,None,None,None,None,24.299823776575693,65
66,Caution Crimson,Sparkling Water,Tied Black,Biohazard White,Light Stripes Cantaloupe,Acid Crimson,Strobes Toxic,None,X Toxic,Earphones Toxic,None,80.02334637763163,66
