,extra,head,body,face,skin,background,Hidden,Rarity score,Token Id
0,The Roman General,The Roman General,The Roman General,The Roman General,The Roman General,The Roman General,None,94.44183140417775,1
1,Likes golf,Likes golf,Likes golf,Likes golf,Likes golf,Likes golf,None,94.44183140417775,2
2,BLICKY GOT THE STIFFY UH,BLICKY GOT THE STIFFY UH,BLICKY GOT THE STIFFY UH,BLICKY GOT THE STIFFY UH,BLICKY GOT THE STIFFY UH,BLICKY GOT THE STIFFY UH,None,94.44183140417775,3
3,Built different,Built different,Built different,Built different,Built different,Built different,None,94.44183140417775,4
4,Nice...$ASS?,Nice...$ASS?,Nice...$ASS?,Nice...$ASS?,Nice...$ASS?,Nice...$ASS?,None,94.44183140417775,5
5,age 14,age 14,age 14,age 14,age 14,age 14,None,94.44183140417775,6
6,Womanizer,Womanizer,Womanizer,Womanizer,Womanizer,Womanizer,None,94.44183140417775,7
7,Turnt on,Turnt on,Turnt on,Turnt on,Turnt on,Turnt on,None,94.44183140417775,8
8,Fat larper,Fat larper,Fat larper,Fat larper,Fat larper,Fat larper,None,94.44183140417775,9
9,Biohazard Socks,Biohazard Socks,Biohazard Socks,Biohazard Socks,Biohazard Socks,Biohazard Socks,None,94.44183140417775,10
10,Likes the tech,Likes the tech,Likes the tech,Likes the tech,Likes the tech,Likes the tech,None,94.44183140417775,11
11,Seal Queen,Seal Queen,Seal Queen,Seal Queen,Seal Queen,Seal Queen,None,94.44183140417775,12
12,Not loomdart,Not loomdart,Not loomdart,Not loomdart,Not loomdart,Not loomdart,None,94.44183140417775,13
13,Cute Devil?,Cute Devil?,Cute Devil?,Cute Devil?,Cute Devil?,Cute Devil?,None,94.44183140417775,14
14,Seal Team 6,Seal Team 6,Seal Team 6,Seal Team 6,Seal Team 6,Seal Team 6,None,94.28144348201887,15
15,Seal Team 6,Seal Team 6,Seal Team 6,Seal Team 6,Seal Team 6,Seal Team 6,None,94.28144348201887,16
16,Seal Team 6,Seal Team 6,Seal Team 6,Seal Team 6,Seal Team 6,Seal Team 6,None,94.28144348201887,17
17,Seal Team 6,Seal Team 6,Seal Team 6,Seal Team 6,Seal Team 6,Seal Team 6,None,94.28144348201887,18
18,Gigachad,Gigachad,Gigachad,Gigachad,Gigachad,Gigachad,None,94.44183140417775,19
19,2Drippy,2Drippy,2Drippy,2Drippy,2Drippy,2Drippy,None,94.44183140417775,20
20,Seems fishy,Seems fishy,Seems fishy,Seems fishy,Seems fishy,Seems fishy,None,94.44183140417775,21
21,None,None,None,None,None,None,Hidden,100.0,22
22,Sick Glasses,Black Cap,Dungarees,Angry Face,Light Grey,Green Gradient,None,67.07543506329623,23
23,None,Devil Horns,Black Bow Tie,Big Round Eyes,Light Grey,Cold Purple Gradient,None,0.9421851189862427,24
24,None,Devil Horns,Green Tshirt,Normal Face,Pink,Eerie,None,0.8151929739636009,25
25,None,Red Beanie,Red Bomber,Dizzy Face,Light Grey,Cold Purple Gradient,None,6.347921859198996,26
26,None,Cow Boy Hat,Purple Hoodie,Eye Patch,Cream,Yellow Gradient,None,1.5703009571594133,27
27,3D Glasses,Beret,Black Tshirt,Sleepy Face,Mint,Cold Purple Gradient,None,73.56295225419056,28
