,Background,Headwear,Mouth,Accessory,Eyes,Clothes,Fur,Rarity score,Token Id
0,Space,Bat,Normal,None,Classic,Blue Armor,Orange,9.276840407599792,0
1,Blue,Steel,Normal,None,Classic,Poncho,Orange,7.319179495758414,1
2,Green,Steel,Normal,None,Classic,Orange Gi,Orange,7.351166534027079,2
3,Blue,Steel,Normal,None,Classic,Doctor,Orange,7.407093904118242,3
4,Purple,Steel,Normal,None,Classic,Rocker Vest,Orange,7.375111658472321,4
5,Red,Bat,Normal,None,Classic,Bat,Orange,7.223285511729005,5
6,Green,Steel,Normal,None,Classic,Scarf,Orange,8.26998313804638,6
7,Snowy Mountains,Steel,Normal,None,Classic,Blue Armor,Orange,9.21290389278645,7
8,Yellow,Steel,Normal,None,Classic,No FUD,Orange,7.2312547003670735,8
9,Lightning,Bat,Normal,None,Classic,DEV,Orange,9.149008933017223,9
10,Purple,Bat,Normal,None,Classic,Orange Gi,Orange,7.087484046012797,10
11,Purple,Steel,Normal,None,Classic,Tux Shirt,Orange,7.103429615416005,11
12,Red,Bat,Normal,None,Classic,Clown,Orange,7.702716276513648,12
13,Space,Bat,Normal,None,Classic,None,Orange,7.550929287616144,13
14,Blue,Bat,Normal,None,Classic,Rocker Vest,Orange,7.542920939181013,14
15,Snowy Mountains,Steel,Normal,None,Classic,Business Suit,Orange,9.356706510376062,15
16,Beach,Bat,Normal,None,Classic,Army,Orange,9.164970484215484,16
17,Space,Bat,Normal,None,Classic,Sailor,Orange,9.348723736609083,17
18,Lightning,Bat,Normal,None,Classic,Ryoshi,Orange,9.109038320614646,18
19,Rainbow,Bat,Normal,None,Classic,Poncho,Orange,9.612426998154232,19
20,Yellow,Bat,Normal,None,Classic,Wizard Robe,Orange,6.735861580824282,20
21,Beach,Steel,Normal,None,Classic,Overalls,Orange,9.260866064544103,21
22,Snowy Mountains,Steel,Normal,None,Classic,Clown,Orange,9.66837035181431,22
23,Rainbow,Bat,Normal,None,Classic,Steel,Orange,9.636390505317943,23
24,Blue,Bat,Normal,None,Classic,Scarf,Orange,8.174097144914496,24
25,Pyramids,Steel,Normal,None,Classic,Peace Tank,Orange,9.3886735689175,25
26,Rainbow,Steel,Normal,None,Classic,Astro,Orange,10.515282049733566,26
27,Purple,Steel,Normal,None,Classic,Cowboy,Orange,7.686675611385462,27
28,Blue,Bat,Normal,None,Classic,Overalls,Orange,7.207324754689156,28
29,Green,Bat,Normal,None,Classic,Tux Shirt,Orange,7.367117698903372,29
30,Yellow,Bat,Normal,None,Classic,Peace Tank,Orange,6.975546196097013,30
31,Red,Bat,Normal,None,Classic,Business Suit,Orange,7.3910596280893985,31
32,Green,Steel,Normal,None,Classic,Bat,Orange,7.199338785662963,32
33,Orange,Bat,Normal,None,Classic,No FUD,Orange,7.630804980782104,33
34,Beach,Steel,Normal,None,Classic,Sailor,Orange,9.25284733014178,34
35,Yellow,Steel,Normal,None,Classic,Wizard Robe,Orange,6.735861580824282,35
36,Green,Steel,Normal,None,Classic,DEV,Orange,7.375122848176789,36
37,Beach,Steel,Normal,None,Classic,Ryoshi,Orange,9.292815543926961,37
38,Blue,Bat,Normal,None,Classic,Cowboy,Orange,7.8544729057478655,38
39,Lightning,Steel,Normal,None,Classic,Steel,Orange,9.212903094015992,39
40,Purple,Cowboy Hat,Smirk,None,Laser Visor,Orange Gi,Brown,26.343646636218903,40
41,Lightning,Clown,Cigarette,None,VR,Business Suit,Black,38.840039275239704,41
42,Yellow,Cowboy Hat,Smirk,None,Laser Visor,Rocker Vest,Brown,26.67120570429951,42
43,Blue,Halo,Growl,None,Laser Visor,Doctor,Orange,9.045237656558234,43
44,Orange,None,Herb,None,Laser Visor,Astro,Orange,7.878586645084465,44
45,Yellow,Blonde Hair,Pizza,None,VR,Wizard Robe,Orange,9.95602434888778,45
46,Snowy Mountains,Blue Hair,Pipe,None,VR,Bat,Black,38.28873476881989,46
47,Purple,Mohawk,Tongue Out,None,Laser Visor,Doctor,Brown,24.577879968109546,47
48,Green,Mohawk,Herb,None,Laser Visor,Overalls,Orange,9.189071441983062,48
49,Lightning,Clown,Tongue Out,None,VR,Peace Tank,Orange,12.40104685543129,49
50,Beach,None,Flames,None,VR,Wizard Robe,Black,34.45364103248485,50
51,Orange,Party Hat,Bubblegum,None,VR,Clown,Orange,9.62849084146181,51
52,Blue,Blue Hair,Party Popper,None,VR,No FUD,Brown,26.055935915622396,52
53,Yellow,Party Hat,Tongue Out,None,Laser Visor,Poncho,Orange,8.9333134002859,53
54,Red,Cowboy Hat,Smirk,None,VR,Jersey,Orange,10.803001570641232,54
55,Snowy Mountains,None,Party Popper,None,VR,None,Orange,6.624133899779655,55
56,Snowy Mountains,None,Whistle,None,Laser Visor,No FUD,Orange,8.813469485707149,56
57,Yellow,Cyborg,Smirk,None,VR,Tux Shirt,Orange,10.667142571101424,57
58,Blue,None,Whistle,None,VR,Peace Tank,Brown,21.91712995123109,58
59,Pyramids,Mohawk,Tongue Out,None,Laser Visor,Bat,Brown,26.72727849939514,59
60,Orange Fade,Clown,Whistle,None,VR,Cowboy,Brown,29.26798164872052,60
61,Orange Fade,Cyborg,Whistle,None,VR,Jersey,Orange,12.832589763024776,61
62,Rainbow,Cowboy Hat,Bubblegum,None,VR,Astro,Brown,29.52367097451722,62
63,Rainbow,None,Normal,None,Laser Visor,None,Orange,4.650501847946801,63
64,Green,Blue Hair,Herb,None,VR,Blue Armor,Orange,10.371494620312752,64
