,Eyes,Mouth,Hat,Clothes,Skin,Background,Rarity score,Token Id
0,Galactic Duck Eyes,Galactic Duck Mouth,Galactic Duck Hat,Galactic Duck Clothes,Galactic Duck Skin,Galactic Duck Background,100.0,0
1,Hippy,Caveduck,Paper Hat,Watermelon Shirt,Dark Green,Toxic,35.72720163875599,1
2,Anxious,Basic Smile,Beanie,White Tee,2 Toned,Green,26.55753662460734,2
3,Alien Punk,Eff,Bucket Hat,Puffycoat,Light Green,Blue,38.426217248759336,3
4,Anxious,Basic Smile,Backward Cap,Overalls With King Frog,Grey,Grey,29.550685405349984,4
5,Cyclops,Wonky,TP Roll,Pink Tank,Yellow,Sky,31.730606050455336,5
6,Tired Cat,Tongue Out,Bucket Hat,00_None,Butter Milk,Candy,14.221662913764241,6
7,Dead,Caveduck,Party Hat,Puffycoat,Light Green,Tie Dye Night,38.06292655254853,7
8,Dazy,Eff,Doo Rag,White Tee,Disco,Ash,44.93142119166385,8
9,Super Happy,Basic Smile,Hair,Overalls,Yellow,Paint Splatter,12.68193644241288,9
10,Cave Duck,Eff,Beanie,Turtle Neck,2 Toned,Pink,34.65453848144807,10
11,Cave Duck,Tongue Out,Spinner,Overalls,Yellow,Sunset,28.44338292939913,11
12,Buggy,Thinkin,Kitty Ears,Watermelon Shirt,Light Green,Green,42.95914786917418,12
13,Standard,Sad Face,Jimmy Hat,White Tee,Butter Milk,Candy,20.104283011320696,13
14,Cave Duck,Sly Smile,Pot Head,Pink Tank,Light Green,Blue,28.32231140355093,14
15,Cyclops,Caveduck,Pyramid Head,Pimp Coat,Light Green,Paint Splatter,31.453885974567715,15
16,Goggles,Sad Face,Gold Fish,Punk Vest,Red,Tie Dye Night,55.277412989387464,16
17,Hippy,Basic Smile,Backward Cap,Overalls With King Frog,Butter Milk,Candy,9.654241766070742,17
18,Tired Cat,Sad Face,Kitty Ears,420 Tee,Light Green,Ash,28.02820419110641,18
19,Super Happy,Wonky,Mohawk,Pink Tank,Blue,Tie Dye,41.73064930306107,19
20,Anxious,Wonky,Gold Fish,Bubble Logo Tee,Mega Black,Ash,39.55079959134085,20
21,Cave Duck,Wavey,Biker Hat,00_None,2 Toned,Blue,50.41580850020959,21
22,Tired Cat,Tongue Out,Kitty Ears,White Tee Ripped,Red,Bubble Gum,26.09049406475137,22
23,Tired Cat,Wavey,Doo Rag,Sweater Weather,Dark Green,Tie Dye,38.287763780472126,23
24,Dead,Eff,Backward Cap,Sweater Weather,Spectrum,Candy,33.045519524391196,24
25,Dazy,Woo,Chonies,Turtle Neck,Red,Green,47.24977800721073,25
26,3 Eyes,Bubble Gum,Doo Rag,Puffycoat,Light Green,Yellow Orange,37.88989085942065,26
27,Super Happy,Tongue Out,Sweat Band,Biker Jacket,Blue,Pink,33.754876414660906,27
28,Anxious,Juicy Lips,TP Roll,White Tee,Grey,Sky,45.727244889824895,28
