,Earrings,Hat,Hair,Neck,Top,Hex,Background,???,Cover,Face Accessory,Brooch,Mouth Piece,Extraordinary,Rarity score,Token Id
0,100 Cuts,Steampunk,Bruno,Ancient,Black Tank,0xF8C3A2,Hibiscus,Y,None,None,None,None,None,36.290596267857566,0
1,Happy Face,Electro Cat,Tamara,Skulls,Plaid Spaghetti,0xF8C3A2,Red Wine,X,Green Leather Studs,None,None,None,None,37.55575136102597,1
2,Sapphire,None,Echo,None,Mech,0xF9C9BD,Persian Indigo,X,None,Red Flames,None,None,None,11.376189727568594,2
3,Solar,Red Bandana,Gunnar,Black Links,Jersey T,0xF29876,Tyrian Purple,Y,None,Hunter S,None,None,None,46.63017042406772,3
4,Golden Pearl,None,Blythe,None,Red Zebra,0xF9C9BD,Turkish Rose,X,Blue Silk Shirt,Machina,None,None,None,21.31243896570197,4
5,Solar Rose,Pink Bandana,Eui,None,Black Basic,0xF8C3A2,Pale Lime,X,None,Blue Bad Zippy,None,None,None,22.846416748783763,5
6,Purple Star,None,Roma,Lunar Choker,Lace & Corset,0xF8C3A2,Red Wine,X,None,Eyepatch,None,None,None,21.542245406896036,6
7,Tribal,Yummy,Ara,None,Chic Iridescence,0xF9C9BD,Pine Green,X,Doll,Red Bling,None,None,None,32.76689389039936,7
8,None,Classic Black Beret,Wolf,Black Links,Tigers,0xF8C3A2,Tyrian Purple,Y,Strapped,Mad Max,None,None,None,45.714743543567096,8
9,Happy Face,Red Beret,Lia,Pink Z,Shoulder Strap,0xF9C9BD,Mariner,X,Green Formal,Blocked Corners,None,None,None,42.1298532678137,9
10,None,Sun Hat,Jee,Knotted Pearls,Cupcake,0xF9C9BD,Iris,X,Blue Off The Shoulder,Green Cybex,None,None,None,36.787102197062424,10
11,Purple Star,None,Gemma,Candy Girl,Zipcy Runner,0xAA7560,Seafoam Blue,X,Blue Off The Shoulder,Future,None,None,None,35.67276759220663,11
12,Dark Cross,None,Dyl,Silver Chain,Shhh,0xF8C3A2,Blue Lagoon,Y,Leather Daddy,None,None,None,None,34.7411948004368,12
13,Basic Chain,None,Eun,Cross,Suspenders,0xAA7560,Sunset Sky,Y,Moto,None,None,None,None,38.47656788794272,13
14,None,None,None,None,None,0x000000,Cobalt,Y,Exo,None,None,None,None,22.7720370741563,14
15,Right Red Stud,Plaid Beret,Remi,None,Flow,0xF8C3A2,Stratos,Y,None,None,None,None,None,26.128409762532378,15
16,None,None,Cosmo,None,Punk,0xF29876,Neptune,Y,Punk,Professor,None,None,None,29.456638369124743,16
17,None,None,Luc,None,Red Loose Neck Stripes,0xF29876,Spicy Mustard,Y,Leather,Blue Razor Mask,None,None,None,29.6005558720499,17
18,Right Red Stud,Sakkat,Yoshi,None,Punk,0xF8C3A2,Seafoam Blue,Y,None,None,None,None,None,25.8865012399631,18
19,Golden Pearl,None,Frankie,None,Black Rufffle,0xF8C3A2,Cobalt,X,Taxi,Green Cybex,None,None,None,21.447151455077993,19
20,None,Sakkat,Bodhi,None,None,0xF29876,Azure,Y,Mecha,Silver Frames,None,None,None,38.740223515019586,20
21,None,Maleficent,Bobbie,Black Pearl Heart,Teal Puff,0xF8C3A2,Ultra Pink,X,None,Red Flames,None,None,None,27.280087813929455,21
22,Black Safety Pin,Bamboo Jax,Yoshi,Bottle Opener,Tigers,0xF29876,Moon Mist,Y,Strapped,Mad Max,None,None,None,57.122288555082555,22
23,Light Cross,None,Duri,Silver Bar,Red Pinwheels,0xF9C9BD,Pink Sherbet,Y,Poker,Silver Frames,None,None,None,39.539150827761674,23
24,Pin Flower,None,Blythe,None,Breast Plate,0xF8C3A2,Cardinal,X,Urban Leather,Red Bad Zippy,None,None,None,21.19608272597099,24
25,Big Gold Dangler,Yummy,Soo,Scarf,Plaid Bow Tie,0x000000,Red Wine,X,Pink Leather Studs,Cybertech,None,None,None,49.17173124535425,25
26,Tribal,None,Roma,8888,Yellow Denim,0xF9C9BD,Mariner,X,Green Formal,Carnival,None,None,None,31.352565686730134,26
27,None,Snow Cap,Hunter,Teal Cross,Grid Mesh,0xAA7560,Midnight Moss,X,Green Formal,None,None,None,None,35.893044423819205,27
28,None,None,Tomas,None,Black Tank,0xF9C9BD,Hibiscus,Y,Button Down,Aviator,None,None,None,24.165680963337365,28
29,Rainbow,Red Rose,Iseul,Vial,Green Carnival,0xF8C3A2,Persian Rose,X,Green Formal,Red Pointed,None,None,None,43.036155772602555,29
30,Black Safety Pin,None,Cosmo,Ancient,Blue Loose Neck,0xAA7560,Pale Olive,Y,Armor,None,None,None,None,39.10425935514738,30
31,Light Cross,Punk Beret,Bruno,Black Links,Grey Shirt,0xF9C9BD,Hibiscus,Y,Future Sheek,Mad Max,None,None,None,51.36040253727452,31
32,Neon Chain,Gold Domes,Jewel,None,Black Rufffle,0xF9C9BD,Auburn,X,Brown Silk Shirt,Eyepatch,Rainbow Unicorn,None,None,57.421801577075485,32
33,Checker Chain,Beanie,Whistler,Black Links,Blue Loose Neck,0xF29876,Cadillac Pink,Y,Chakra,None,Black Flower,None,None,75.56938983525284,33
34,Solar Rose,Blocked Beret,Byeol,Silver Beads,Black Lace Bra,0xF8C3A2,Cadillac Pink,X,None,Red Flames,Rainbow Beads,None,None,57.4341827475525,34
35,Purple Star,None,Eun,None,None,0xF9C9BD,Maroon Oak,X,Neon Windbreaker,Blue Bling,None,None,None,18.632941477129734,35
36,None,Kiss Bucket Hat,Koa,Belt And Chains,Black Loose Neck,0xAA7560,Spicy Mustard,Y,Button Down,ZIP-1337,None,None,None,50.23376255026633,36
37,Bronze,Sakkat,Zeke,None,Purple Turtle,0xF8C3A2,Pink Daisy,Y,Formal,None,None,None,None,35.95388463658683,37
38,None,None,Bodhi,None,Cashmere,0xF8C3A2,Blue Lagoon,Y,Chakra,Banger,None,None,None,24.456563974186256,38
