,Mouth,Moon,Head,Body,Hat,Hair,Glasses,Eyes,Clothes,Beard,Background,Accessory,Unique,Rarity score,Token Id
0,Pierced Tongue,Sun,Nightcrawler,Nightcrawler,None,Blond,None,Demonic,The Accountant,None,Green,Diamond Stud,None,53.42865782180053,1
1,Disgust,Moon,Purple Count,Purple Count,None,Black,Anime Hero Sunglasses,Dark,Vampire Nobility,Big Beard,Rust Brown,None,None,51.10570872895532,2
2,Rotten Teeth,Sun,Zombie,Zombie,Headphones,Base,Old Fashioned Glasses,Black,Old Worn Coat,None,Magenta,None,None,57.16782504941218,3
3,Rotten Teeth,Moon,Purple Count,Purple Count,None,Red,Anime Hero Sunglasses,Blue,OnlyFangs Shirt,Goatee,Twilight Purple,None,None,49.35731478985652,4
4,Gold Fangs,Sun,Cyborg,Cyborg,Small Bowler Hat,Red,Monocle,Demonic,OnlyFangs Shirt,Stubble,Teal,None,None,77.14779575349917,5
5,Tongue,Moon,Blue,Blue,None,Blond,Glasses,Red Eyes,Red Tracksuit,Big Beard,Rust Brown,None,None,32.48400133154557,6
6,Bloody Mouth,Sun,Burning,Burning,None,Black,Blindfold,No Pupils,Business Suit,None,Orange,None,None,48.272401861252945,7
7,Bloody Mouth,Sun,Burning,Burning,None,Gold,Eye Patch,Bloodshot,Sea Captain,Stubble,Dark Teal,Joint,None,76.05500125949914,8
8,Gold Grills,Sun,Cyborg,Cyborg,Red Beret,Base,None,Bloodshot,OnlyFangs Shirt,None,Pink,Pipe,None,59.288703167065634,9
9,Tongue,Moon,Cyborg,Cyborg,Red Cap,Base,Eye Patch,Dark,Bulls Jersey,None,Twilight Purple,None,None,36.58198883638014,10
10,Tongue,Moon,Cyborg,Cyborg,Red Beret,Base,Glasses,Black,Black Tracksuit,None,Magenta,None,None,38.01354902906526,11
11,Base,Moon,Purple Count,Purple Count,Third Eye,Green,Eye Patch,Bloodshot,Slayer,None,Orange,Drool,None,42.494501260275825,12
12,Disgust,Moon,Purple Count,Purple Count,None,Purple,Blindfold,Demonic,Bloody Singlet,Stubble,Green,None,None,51.8588158715722,13
13,Tongue,Sun,Nightcrawler,Nightcrawler,Witch Hunter,Base,Eye Patch,Red Eyes,Sea Captain,Stubble,Forest Green,None,None,62.78486638726378,14
14,Single Bloody Tooth,Moon,Shadow,Shadow,None,Purple,Blindfold,Black,Space Governor,Stubble,Blue,None,None,55.1209452937534,15
15,Diamond Grills,Moon,Blue,Blue,Small Bowler Hat,Base,Eye Patch,Dark,OnlyFangs Shirt,None,Forest Green,Cross,None,37.65537825198876,16
16,Red Lipstick,Moon,Cyborg,Cyborg,None,Red,VR Headset,Black,Black Fur Coat,Stubble,Forest Green,None,None,52.91780755485755,17
17,Gold Grills,Moon,Blue,Blue,Mini Crown,Base,Old Fashioned Glasses,Black,Red Hoodie,None,Green,Silver Stud,None,39.3702504461501,18
18,Disgust,Moon,Nightcrawler,Nightcrawler,None,Brown,Anime Hero Sunglasses,Red Eyes,Black Hoodie,None,Blue,None,None,32.175421752011225,19
19,Base,Moon,Cyborg,Cyborg,Headphones,Black,Holo Shades,Demonic,Blue Hoodie,None,Pastel Green,None,None,33.88705232739021,20
20,Gold Grills,Moon,Nightcrawler,Nightcrawler,Flat Cap,Blue,Cool Shades,Black,Turtleneck,Big Beard,Twilight Purple,Diamond Stud,None,77.3269023102127,21
21,Bloody Mouth,Moon,Blue,Blue,None,Blue,Eye Patch,Blue,Black Hoodie,None,Cool Brown,Flu Mask,None,24.96103735033584,22
22,Red Lipstick,Moon,Purple Count,Purple Count,Crooked Fedora,Black,None,Blue,Detective Trenchcoat,None,Forest Green,Flu Mask,None,43.0873095230843,23
23,Black Lipstick,Sun,Blue,Blue,None,Black,Eye Patch,Black,Celtics Jersey,None,Blue,Silver Stud,None,39.39635792076642,24
24,Base,Sun,Shadow,Shadow,Blue Cap,Brown,Eye Patch,Red Eyes,Black Turtleneck,None,Dark Teal,None,None,43.10616087970995,25
25,Gold Fangs,Moon,Cyborg,Cyborg,Red Beret,Black,Glasses,Red Eyes,Celtics Jersey,Stubble,Green,None,None,55.784389855795936,26
26,Base,Moon,Purple Count,Purple Count,None,Blue,3D Glasses,Blue,Brown Fur Coat,None,Green,Drool,None,30.15837442957363,27
27,Rotten Teeth,Moon,Cyborg,Cyborg,None,Blond,Pit Viper Hot,Red Eyes,Old Worn Coat,None,Maroon,Cross,None,41.36148226417099,28
28,Base,Blood Moon,Nightcrawler,Nightcrawler,None,Purple,Holo Shades,Blue Laser,OnlyFangs Shirt,None,Cool Brown,Flu Mask,None,58.0437171059185,29
29,Single Bloody Tooth,Sun,Purple Count,Purple Count,Witch Hunter,Grey,Eye Patch,No Pupils,None,Goatee,Pink,Ciggy,None,83.04452904983222,30
30,Pierced Tongue,Moon,Cyborg,Cyborg,Tennis Headband Red,Blond,Cool Shades,Black,Red Hoodie,Stubble,Cool Brown,Silver Stud,None,71.67950206931182,31
31,Black Lipstick,Blood Moon,Nightcrawler,Nightcrawler,None,Grey,None,Red Laser,Bulls Jersey,Stubble,Teal,Gold Stud,None,78.47099429341846,32
32,Bloody Mouth,Moon,Purple Count,Purple Count,Cat Ears Black,Purple,Holo Shades,Blue,Black Tracksuit,None,Cool Brown,Flu Mask Bloody,None,51.37463061025468,33
33,Base,Moon,Shadow,Shadow,Tennis Headband Red,Purple,None,Demonic,Cloak,Goatee,Forest Green,Cross,None,61.67059381302271,34
34,Pierced Tongue,Moon,Nightcrawler,Nightcrawler,Green Beret,Black,Monocle,Gold Eyes,Flannel,Big Beard,Orange,Cross,None,77.14421212392176,35
35,Base,Moon,Blue,Blue,Halo,Grey,Cool Shades,Blue,Black Tracksuit,Stubble,Green,Cross,None,46.33018742212363,36
36,Red Lipstick,Blood Moon,Blue,Blue,None,Brown,Eye Patch,Red Eyes,Vampire Nobility,None,Blue,Flu Mask,None,43.98532820578801,37
37,Bloody Mouth,Blood Moon,Nightcrawler,Nightcrawler,None,Grey,Blindfold,Red Eyes,Red Tracksuit,None,Blue,Gold Hoop,None,60.630556284296034,38
38,Red Lipstick,Moon,Zombie,Zombie,None,Purple,Pit Viper Cool,Hypno,Slayer,None,Blue,Silver Stud,None,53.74981097945408,39
39,Base,Sun,Nightcrawler,Nightcrawler,Halo,Grey,Monocle,Red Eyes,Red Tracksuit,None,Cool Brown,Cross,None,55.06530705306064,40
40,Rotten Teeth,Moon,Nightcrawler,Nightcrawler,Third Eye,Base,None,Demonic,None,Big Beard,Light Red,None,None,55.13949628882357,41
41,Base,Moon,Blue,Blue,Tennis Headband Blue,Base,Eye Patch,Bloodshot,Space Governor,None,Forest Green,Drool,None,26.526747401138064,42
42,Diamond Grills,Sun,Nightcrawler,Nightcrawler,None,Green,Glasses,Blue,Bulls Jersey,None,Rust Brown,Paperclip Earring,None,56.10531145561294,43
43,Base,Sun,Blue,Blue,Red Cap,Base,Eye Patch,Demonic,Sea Captain,None,Pea Green,Drool,None,37.174252582892784,44
44,Black Lipstick,Moon,Blue,Blue,Tennis Headband Red,Grey,None,Black,Black Hoodie,Big Beard,Cool Brown,None,None,42.30390349413027,45
45,Black Lipstick,Sun,Burning,Burning,Green Beret,Base,Pit Viper Hot,Gold Eyes,Detective Trenchcoat,None,Teal,Silver Hoop,None,69.48732019934664,46
46,Bloody Mouth,Moon,Purple Count,Purple Count,Cat Ears Black,Black,Pit Viper Hot,Blue,Red Hoodie,Big Beard,Pea Green,Diamond Stud,None,69.03651910357014,47
47,Base,Sun,Blue,Blue,Mini Crown,Green,Pit Viper Cool,Blue,Red Hoodie,None,Maroon,Drool,None,41.34970957886529,48
48,Single Diamond Tooth,Blood Moon,Purple Count,Purple Count,None,Brown,Blindfold,Red Eyes,OnlyFangs Shirt,Stubble,Light Red,Gold Stud,None,77.29275430499729,49
49,Base,Sun,Blue,Blue,Cat Ears Black,Platinum,None,Red Laser,Bulls Jersey,None,Light Red,None,None,32.507318616806195,50
50,Bloody Mouth,Sun,Burning,Burning,Headphones,Blue,Eye Patch,Bloodshot,Leather Jacket,None,Teal,None,None,56.205393741809004,51
51,Tongue,Sun,Blue,Blue,Stake,Base,None,Red Eyes,Black Turtleneck,Goatee,Maroon,None,None,48.193877331737475,52
52,Pierced Tongue,Moon,Blue,Blue,None,Grey,None,Dark,Brown Fur Coat,None,Forest Green,Cross,None,24.629229906249428,53
53,Diamond Grills,Moon,Zombie,Zombie,Red Beret,Green,Holo Shades,Demonic,Striped Suit,None,Green,Gold Hoop,None,63.128865150521506,54
54,Single Bloody Tooth,Moon,Blue,Blue,None,Blond,Blindfold,Blue,Bulls Jersey,None,Cool Brown,Joint,None,28.290240890206817,55
55,Red Lipstick,Moon,Cyborg,Cyborg,None,Base,Cool Shades,Red Eyes,Black Fur Coat,None,Twilight Purple,Gold Hoop,None,38.86740469530803,56
56,Disgust,Moon,Shadow,Shadow,None,Grey,Blindfold,Gold Eyes,Red Hoodie,Moustache,Orange,None,None,58.77422484429751,57
57,Diamond Grills,Moon,Nightcrawler,Nightcrawler,Third Eye,Blond,Holo Shades,Black,Space Governor,None,Pink,Flu Mask Bloody,None,58.1110705874916,58
58,Red Lipstick,Sun,Burning,Burning,Spinner Cap,Blue,None,Blue,Leather Jacket,None,Maroon,Cross,None,58.42702207086352,59
59,Tongue,Sun,Cyborg,Cyborg,Sea Captain,Gold,Pit Viper Hot,Demonic,Lakers Jersey,Goatee,Dark Teal,None,None,76.32381575029466,60
60,Tongue,Moon,Nightcrawler,Nightcrawler,Witch Hunter,Red,Pit Viper Cool,Bloodshot,Brown Fur Coat,Goatee,Teal,None,None,65.62565877370157,61
61,Base,Moon,Blue,Blue,Giant Moth,Base,Glasses,Black,Old Worn Coat,Stubble,Pea Green,None,None,34.486414836682364,62
62,Pierced Tongue,Moon,Nightcrawler,Nightcrawler,None,Base,Monocle,Red Eyes,Black Tracksuit,None,Blue,None,None,29.789534263676178,63
63,Red Lipstick,Moon,Sparkle,Sparkle,Crossbow Bolt,Red,Glasses,Blue,Old Worn Coat,None,Red,Joint,None,59.19994630111696,64
64,Rotten Teeth,Sun,Blue,Blue,Red Cap,Base,Old Fashioned Glasses,Blue,Blue Hoodie,None,Orange,None,None,34.60200823585051,65
65,Bloody Mouth,Moon,Cyborg,Cyborg,Black Cap,Black,None,No Pupils,Slayer,Big Beard,Maroon,Long Ciggy,None,68.32832547869062,66
66,Disgust,Moon,Cyborg,Cyborg,None,Grey,None,Black,Celtics Jersey,None,Maroon,None,None,27.89935889121441,67
67,Base,Sun,Blue,Blue,Tennis Headband Blue,Green,Holo Shades,Gold Eyes,Blue Hoodie,None,Forest Green,Drool,None,45.416966007435505,68
68,Base,Moon,Shadow,Shadow,Stake,Base,Monocle,Dark,Striped Suit,None,Light Red,None,None,36.108866451919056,69
69,Base,Moon,Blue,Blue,Witch Hunter,Black,Eye Patch,Single Gold Eye,Slayer,None,Forest Green,Drool,None,28.61084617882641,70
70,Pierced Tongue,Moon,Blue,Blue,Red Beret,Gold,Eye Patch,Demonic,Black Fur Coat,None,Rust Brown,Cross,None,40.98449914042314,71
71,Base,Moon,Shadow,Shadow,SVS Cap,Blond,Glasses,Blue,Red Hoodie,None,Red,None,None,32.38074321051435,72
72,Base,Moon,Shadow,Shadow,Spinner Cap,Brown,The Hitman,Black,Ruffian,None,Light Red,Cross,None,49.75683481793512,73
73,Base,Moon,Shadow,Shadow,Kings Crown,Gold,Monocle,Blue,Impaler Armor,None,Pea Green,None,None,38.18924864863186,74
74,Disgust,Moon,Purple Count,Purple Count,None,Base,None,Red Eyes,Black Hoodie,None,Twilight Purple,None,None,20.099712997565938,75
75,Base,Moon,Nightcrawler,Nightcrawler,Spinner Cap,Purple,Eye Patch,Red Eyes,Black Hoodie,Stubble,Pink,None,None,47.44920934095525,76
76,Diamond Grills,Moon,Purple Count,Purple Count,Tennis Headband Blue,Blond,Holo Shades,Red Eyes,Lakers Jersey,Big Beard,Light Red,None,None,57.689291828875234,77
77,Base,Sun,Shadow,Shadow,Red Beret,Green,Glasses,Gold Eyes,Leather Jacket,Big Beard,Green,None,None,69.40935062090594,78
78,Gold Grills,Moon,Blue,Blue,Red Beret,Base,Eye Patch,Blue,Red Tux,None,Forest Green,Joint,None,34.65423746191839,79
79,Diamond Fangs,Moon,Purple Count,Purple Count,Blue Cap,Black,Old Fashioned Glasses,Dark,The Accountant,Stubble,Pink,Pipe,None,70.9822823997684,80
80,Base,Blood Moon,Purple Count,Purple Count,Giant Moth,Green,None,Red Eyes,Blue Hoodie,None,Dark Teal,Cigar,None,54.032385491360436,81
81,Base,Moon,Nightcrawler,Nightcrawler,None,Base,Cool Shades,Dark,Leather Jacket,None,Forest Green,Drool,None,33.01427564289464,82
82,Single Bloody Tooth,Sun,Purple Count,Purple Count,Green Beret,Brown,Pit Viper Cool,Single Gold Eye,Celtics Jersey,None,Pink,Long Ciggy,None,68.20545915208604,83
83,Base,Moon,Blue,Blue,None,Base,Holo Shades,Red Eyes,Brown Fur Coat,None,Forest Green,Flu Mask Bloody,None,15.9498625404112,84
84,Bloody Mouth,Sun,Burning,Burning,Kings Crown,Black,Holo Shades,Bloodshot,Black Tracksuit,None,Green,Silver Hoop,None,68.47711381459297,85
85,Rotten Teeth,Sun,Blue,Blue,None,Purple,None,Demonic,Celtics Jersey,None,Magenta,None,None,26.90346501767522,86
86,Diamond Grills,Moon,Blue,Blue,Kings Crown,Gold,Eye Patch,Red Eyes,Business Suit,None,Pink,Paperclip Earring,None,41.06290126345847,87
