,???,Chroma,Biome,Zone,Mode,Y Coordinate,X Coordinate,Level,Rarity score,Token Id
0,39372,Pulse,7,Ouallada,Terrain,2,20,16,31.901385048324016,0
1,52453,Pulse,32,Hypermage,Origin Daydream,5,9,13,74.2523543949888,1
2,53941,Flow,63,Jadeite,Origin Daydream,14,20,7,68.70862805880704,2
3,28709,Flow,90,Tetsu,Origin Daydream,3,14,5,70.18474284929445,3
4,36824,Flow,53,Dynacrypts,Origin Daydream,16,36,13,59.35962334149492,4
5,33182,Pulse,67,Hypermage,Origin Daydream,26,17,13,76.24448858217265,5
6,25684,Flow,26,Jadeite,Origin Daydream,5,19,7,68.64863113961553,6
7,53082,Flow,40,Valeria,Origin Daydream,26,38,13,61.897981235394184,7
8,52921,Flow,49,Holo,Origin Daydream,13,12,14,55.24299266441316,8
9,46884,Flow,49,Zerinia,Origin Daydream,15,17,7,67.85050053831152,9
10,51064,Pulse,45,Nightrose,Origin Daydream,3,1,13,74.44443692310152,10
11,24132,Flow,52,Nightrose,Origin Terraform,46,0,13,58.813496508869946,11
12,23061,Flow,57,Hyphae,Origin Daydream,12,22,14,58.099494914766666,12
13,42389,Hyper,26,Angel,Origin Daydream,14,23,6,98.48192090328783,13
14,29246,Flow,62,Hypermage,Origin Daydream,27,4,13,57.043209607118925,14
15,45913,Pulse,30,Muxtai X1,Origin Daydream,7,5,12,88.17349461751036,15
16,46910,Flow,39,Angel,Origin Daydream,16,0,6,68.66660987269226,16
17,53030,Flow,51,[BLOOD],Origin Daydream,30,13,11,65.72021033367115,17
18,51458,Pulse,45,[BLOOD],Origin Daydream,17,29,11,84.45920692710462,18
19,44107,Pulse,4,Exduo,Origin Daydream,26,31,14,78.22469386047301,19
20,24179,Pulse,4,Holo,Origin Daydream,16,23,14,75.05629324684125,20
21,48758,Flow,52,Alto,Origin Daydream,3,5,17,67.31635104644513,21
22,26133,Flow,62,Nightrose,Origin Terraform,15,41,13,59.25754708669408,22
23,50607,Flow,21,Rocket,Origin Daydream,8,15,6,68.59464287396979,23
24,36776,Pulse,83,[DARK],Origin Terraform,6,30,11,85.5812865010017,24
25,50066,Flow,25,[MOON],Origin Daydream,20,13,10,66.09831043762229,25
26,22972,Flow,36,Avidana,Origin Daydream,22,6,15,68.68463643659935,26
27,28351,Flow,59,Alto,Origin Daydream,3,5,18,68.84061679926606,27
28,50225,Flow,37,Radiant,Origin Daydream,6,5,14,58.945703216261535,28
29,28804,Flow,50,Blossom,Origin Daydream,9,10,16,67.58048474009156,29
30,25057,Flow,42,Warp,Origin Daydream,28,17,14,60.65583819839154,30
31,21059,Flow,72,Alto,Origin Daydream,2,11,17,67.73642453197752,31
32,35026,Flow,29,[HOME],Origin Daydream,0,20,11,66.14033043996018,32
33,28890,Pulse,44,Hypermage,Origin Daydream,6,15,13,73.76030301156273,33
34,28247,Flow,9,Mt Zuka,Origin Daydream,4,12,7,67.8505229391385,34
35,36788,Hyper,71,Holo,Origin Daydream,40,28,14,88.02311545831128,35
36,39820,Flow,2,Calyx,Origin Terraform,7,1,8,68.59460473132073,36
37,40811,Flow,31,Pepo,Origin Daydream,23,19,15,68.9366480742261,37
38,25156,Flow,4,Zerinia,Origin Daydream,5,11,7,67.87453999187314,38
39,42218,Flow,30,Akileaf,Origin Daydream,9,1,8,68.22255081676055,39
40,35555,Flow,50,Jadeite,Origin Daydream,16,4,7,67.85053989299765,40
41,32754,Pulse,72,Hyphae,Origin Terraform,32,44,14,79.63480005559126,41
42,52978,Flow,67,Nightrose,Origin Daydream,12,23,13,57.75739707836115,42
43,29451,Flow,28,[BOSS],Origin Daydream,11,20,11,66.06230271892038,43
44,43620,Flow,58,Kairo,Origin Daydream,0,14,4,67.74239019603488,44
45,38081,Hyper,65,[WEN],Origin Daydream,2,6,11,94.76773310737936,45
46,32086,Flow,48,[WEN],Origin Daydream,18,3,11,64.8921811747948,46
47,20967,Flow,44,Holo,Origin Daydream,35,28,14,57.63119478461073,47
48,43686,Flow,80,Holo,Origin Daydream,8,35,14,57.529219641187126,48
49,18390,Pulse,45,Riso,Origin Daydream,3,1,14,75.06247081659878,49
50,53863,Flow,5,Aria,Origin Daydream,15,15,9,70.1907666408689,50
51,36009,Hyper,71,First Earth,Origin Daydream,20,7,7,98.32591511114128,51
52,41257,Pulse,58,Kairo,Origin Daydream,12,8,4,86.2652514929256,52
53,42114,Flow,69,Hypermage,Origin Daydream,13,11,13,56.341176880902246,53
54,47996,Flow,59,Kairo,Origin Daydream,7,1,2,68.93064245038032,54
55,47337,Hyper,46,[BOSS],Origin Daydream,14,2,11,94.20971005841078,55
56,53388,Flow,64,Nightrose,Origin Daydream,28,14,13,58.063410303570095,56
57,31601,Hyper,91,Dhampir,Origin Daydream,4,13,9,100.0,57
58,29191,Flow,6,Hyphae,Origin Daydream,15,37,14,59.32960974668461,58
59,9749,Flow,58,Calyx,Origin Daydream,22,18,8,68.4385880406574,59
60,36338,Flow,49,[CUR2],Origin Daydream,7,30,10,65.83426575134374,60
61,35957,Pulse,35,Palace,Origin Daydream,13,10,12,87.93343913355383,61
62,39722,Pulse,37,[DARK],Origin Daydream,8,26,11,84.7412364014096,62
63,22167,Flow,46,Holo,Origin Daydream,35,29,14,57.4451923492879,63
64,39265,Pulse,65,Mt Zuka,Origin Daydream,18,3,7,86.47535150749465,64
65,46119,Pulse,51,Pepo,Origin Daydream,14,21,15,86.51739209548353,65
66,41350,Flow,64,Kippsun,Origin Daydream,22,6,8,68.30656539522874,66
67,51242,Pulse,57,Alto,Origin Daydream,6,13,17,86.17524219122264,67
68,51483,Flow,30,Kairo,Origin Daydream,2,0,3,69.21865817282293,68
69,32619,Pulse,2,Ender,Origin Daydream,2,9,6,85.78525192901894,69
70,46353,Flow,56,Arc,Origin Daydream,9,38,13,58.345447648393446,70
71,30007,Flow,55,Holo,Origin Daydream,8,34,14,56.8691651423439,71
72,47119,Flow,44,Hypermage,Origin Daydream,22,42,13,57.40326256203557,72
73,26279,Flow,71,Riso,Origin Daydream,32,20,14,59.66561658641697,73
74,41230,Flow,90,[HYCA],Origin Daydream,2,21,10,65.94829634490056,74
75,47137,Flow,7,Killscreen,Origin Daydream,32,38,13,61.81396302500328,75
76,45267,Flow,62,Nightrose,Origin Daydream,38,16,13,58.81947912587021,76
77,40119,Flow,34,pfpfpfpbbx80,Origin Daydream,17,7,15,68.45059626336099,77
78,31549,Flow,51,Angel,Origin Daydream,23,1,6,67.86255114304521,78
79,24649,Pulse,0,Nightrose,Origin Daydream,25,24,13,77.67268188559026,79
80,52536,Pulse,74,Alto,Origin Daydream,15,7,17,87.12931925257976,80
81,44594,Pulse,49,[HYCA],Origin Daydream,15,4,10,83.03712035760111,81
82,52963,Pulse,43,Shiro,Origin Daydream,20,2,14,76.38863993516516,82
83,38390,Flow,48,[WEN],Origin Daydream,20,4,11,65.01818669053347,83
84,46816,Flow,57,Hypermage,Origin Daydream,11,8,13,56.00510949402893,84
85,49682,Flow,45,[HOME],Origin Daydream,19,21,11,66.09232963658337,85
86,36470,Pulse,35,Greysunn,Origin Daydream,8,7,16,86.34337850781061,86
87,50958,Flow,37,Ouallada,Origin Daydream,13,19,16,68.57659390871218,87
88,48760,Flow,38,Exduo,Origin Daydream,5,2,14,57.27137735611165,88
89,53977,Flow,25,Exduo,Origin Daydream,19,33,14,59.8036406186664,89
90,21766,Flow,28,Jadeite,Origin Daydream,9,17,7,68.732600913812,90
91,45473,Flow,63,Nightrose,Origin Daydream,23,20,13,58.08142536228742,91
92,33781,Flow,28,Palace,Origin Daydream,3,5,12,69.26662809935942,92
93,47361,Flow,61,Arc,Origin Daydream,0,37,13,58.537473870840465,93
94,49651,Flow,27,Bubble,Origin Daydream,15,14,6,68.1625763024536,94
95,37194,Pulse,9,Alto,Origin Daydream,7,1,19,87.44144163512247,95
96,23393,Flow,1,Palace,Origin Daydream,0,14,12,69.49465659026829,96
97,21156,Hyper,71,[SOON],Origin Daydream,14,22,11,96.42388224872306,97
98,39811,Flow,43,Nightrose,Origin Daydream,35,31,13,58.993515718687064,98
99,32090,Pulse,7,Everglades,Origin Daydream,11,12,8,86.52938820894218,99
100,48522,Flow,53,Exduo,Origin Daydream,27,43,14,59.56959984150375,100
101,26080,Flow,67,[MENU],Origin Daydream,25,23,11,66.93235491009638,101
102,31581,Flow,36,Antenna,Origin Daydream,8,14,15,68.62465102246674,102
103,49246,Pulse,58,Jadeite,Origin Daydream,0,2,7,85.77332543923575,103
104,25453,Flow,43,Blossom,Origin Daydream,0,22,16,67.89255444640438,104
105,27913,Flow,54,Kairo,Origin Daydream,13,13,4,67.94044626435158,105
106,18206,Pulse,16,Muxtai X1,Origin Daydream,13,13,12,88.70751696223937,106
107,17965,Flow,56,Intro Forest,Origin Daydream,14,8,7,67.59848708158206,107
108,35689,Pulse,72,Exduo,Origin Daydream,37,14,14,77.16261665535302,108
109,44804,Flow,21,[DARK],Origin Daydream,6,10,11,65.40223611122488,109
110,50799,Flow,47,Avidana,Origin Daydream,1,10,15,67.676521464899,110
111,36564,Hyper,54,Mecha,Origin Daydream,21,26,13,88.4073065471555,111
112,23774,Pulse,75,Riso,Origin Daydream,29,4,14,77.46866015256177,112
113,29089,Pulse,10,Everglades,Origin Daydream,11,19,8,87.4594397406351,113
114,49049,Flow,77,Alto,Origin Daydream,6,14,17,68.75051243668531,114
115,46480,Hyper,50,Mt Zuka,Origin Terraform,15,0,7,97.6418580890867,115
116,43247,Pulse,57,Mirage,Origin Daydream,41,47,14,78.98079719533195,116
117,37609,Pulse,38,Pepo,Origin Terraform,16,19,15,88.16149426624136,117
118,38824,Pulse,51,[NEON],Origin Daydream,3,30,10,84.24324235789209,118
119,48092,Pulse,83,Tetsu,Origin Daydream,11,3,5,88.40151221330555,119
120,37703,Pulse,33,Mirage,Origin Daydream,25,5,14,77.21068526866908,120
121,20733,Pulse,45,Hypermage,Origin Daydream,10,11,13,73.95830640469663,121
122,19005,Flow,43,First Earth,Origin Daydream,4,22,7,67.92856397910428,122
123,53201,Pulse,52,Greysunn,Origin Daydream,7,4,16,85.86934944995771,123
124,52909,Flow,9,Wastelands,Origin Daydream,0,0,9,69.6506993173462,124
125,43225,Flow,48,Rocket,Origin Daydream,1,17,6,67.79654133707876,125
126,43129,Pulse,39,Holo,Origin Terraform,0,18,14,75.5303477350902,126
127,23776,Pulse,90,[CUR2],Origin Daydream,2,3,10,83.64316237518827,127
128,30409,Pulse,46,Holo,Origin Daydream,39,39,14,76.09434492622371,128
129,51614,Pulse,67,[CUR2],Origin Daydream,0,4,10,83.60716858287066,129
130,43438,Flow,22,Treasure,Origin Daydream,9,13,16,68.44457671326182,130
131,21186,Flow,6,[SEP],Origin Daydream,25,8,10,66.3203102949603,131
132,8930,Pulse,26,[YUNA],Terrain,29,31,10,31.181269455414117,132
133,39232,Pulse,47,Radiant,Terrain,26,23,14,23.68013496410329,133
134,23236,Pulse,56,[SEP],Terrain,24,25,10,30.52713823742016,134
135,46533,Flow,60,Alto,Terrain,6,0,17,13.142684263505583,135
136,31427,Flow,47,Nightrose,Terrain,18,31,13,3.336769449319447,136
137,44918,Flow,60,Akileaf,Terrain,17,12,8,13.868925986980054,137
138,51420,Hyper,52,Mecha,Terrain,35,10,13,33.60549260054329,138
139,23939,Flow,70,[YUNA],Terrain,13,3,10,10.352216657370333,139
140,26907,Flow,64,Mt Zuka,Terrain,1,7,7,12.68669813219091,140
141,49239,Pulse,6,Shiro,Terraform,44,35,14,79.13682599563289,141
142,28232,Pulse,54,Aetherking,Origin Daydream,40,36,13,79.91098192282922,142
143,28400,Hyper,59,Nightrose,Terrain,3,32,13,33.22740945084398,143
144,34754,Pulse,84,Alto,Terrain,1,1,18,32.80757452967518,144
145,34038,Flow,45,Mirage,Terrain,12,9,14,2.784741747012464,145
146,30177,Flow,69,[MENU],Terrain,9,10,11,10.74224929649942,146
147,31274,Hyper,49,Hyphae,Terrain,24,11,14,33.26946820499082,147
148,39115,Flow,83,Xleph,Terrain,8,2,5,15.24319702291828,148
149,36676,Flow,23,pfpfpfpbbx80,Terrain,13,19,15,14.024979614145428,149
150,48594,Pulse,47,Holo,Terrain,42,36,14,21.579430858856142,150
151,43608,Flow,41,Mecha,Daydream,19,26,13,58.999564332413904,151
152,33369,Flow,45,Shiro,Terrain,19,41,14,4.993213469462042,152
153,48359,Flow,67,Ouallada,Terrain,5,8,16,13.328836871659371,153
154,39957,Hyper,82,[SEP],Terrain,6,3,10,40.3145190774173,154
155,41563,Pulse,62,Mirage,Terrain,31,30,14,23.644041262105237,155
156,53522,Flow,48,Warp,Terrain,7,37,14,4.807217699950353,156
157,49325,Pulse,51,Exduo,Terrain,34,13,14,22.149734006539287,157
158,53573,Flow,41,Hypermage,Terrain,1,31,13,2.550542921526679,158
159,42847,Flow,53,Ouallada,Terrain,1,20,16,13.064755853195736,159
160,33691,Pulse,67,Holo,Terrain,22,22,14,20.403272206847927,160
161,38050,Pulse,30,Riso,Terrain,3,7,14,21.219619511615566,161
