,Head Accessories,Eyes,Mouth,Piercings,Bag,Chain,Clothing,Tattoos,Base,Background,Robot,Paws,Rarity score,Token Id
0,None,Heart,Gold Fangs,Lightning Bolt,None,None,Stone Essentials,Dragon,Grey,Lemon Yellow,None,None,25.134470516542294,1
1,Mohawk,Crying,Classic,Mini Hoop,None,None,White Box Logo,None,Tan,Orange Halftone,None,None,15.689280259293922,2
2,None,Lightning Bolt,Gold Fangs,None,None,YG Cuban,Varsity Jacket,ETH Wings,White,Beige Broken Wall,None,None,18.39368560544811,3
3,Black Bucket,Hypno,Smile,Gold Hoop,None,Lightning Bolt,None,No Hopes,White,Dark Grey,None,None,27.083431191947028,4
4,None,Degen Aviators,Smile,None,None,Lightning Bolt,NFTee,ETH Wings,White,Purple,None,None,17.218694641998436,5
5,None,Classic,Smile,Trio,None,Eth,GM GN Hoodie,Degen,Brown,Orange,None,None,19.439553445628263,6
6,White Bucket,Degen Aviators,Joint,Mini Hoop,None,YG Cuban,Bomber Jacket,None,Black,Lemon Yellow,None,None,17.08541238084576,7
7,White Bucket,XX,Drool,None,Backpack,Silver Cuban,Basketball Jersey,Degen,Rainbow,Red Broken Wall,None,None,56.9100363661026,8
8,Pink Beanie,Heart,Drool,Diamond Stud,None,Eth,Button Down,None,Rainbow,Faded Pink,None,None,18.495341587851662,9
9,None,Surprised,Joint,None,None,Silver Cuban,Thrasher Sweater,None,Tiger,Beige,None,None,16.49104429419232,10
10,None,Heart,Classic,Mini Hoop,None,None,Varsity Jacket,ETH Wings,White,Blood Orange,None,None,15.86409013456269,11
11,None,Heart,Drool,None,None,None,That's All Toonz Tee,Degen,Brown,Dark Grey,None,None,11.78636443046898,12
12,None,Bruised,Joint,None,None,Silver Eth,Fur Jacket,Dragon,Black,Navy Blue,None,None,24.369678807731653,13
13,Sailor Hat,Stoned,Joint,None,None,Gold Carrot,Black Puffer,ETH Wings,Black,Green,None,None,25.129874782472044,14
14,None,Crying,Tongue,Diamond Stud,None,YG Cuban,Space Suit,Degen,Brown,Dark Grey,None,None,20.1492185403621,15
15,None,Stoned,Bandana,Gold Hoop,None,None,GM GN Hoodie,Degen,Iridescent,Navy Blue,None,None,22.761655079276355,16
16,Grey Beanie,Dollar,Classic,Mini Hoop,Backpack,Silver Eth,Black Puffer,None,Pink,Orange,None,None,46.56246358935273,17
17,Grey Beanie,Bruised,Pipe,Gold Hoop,None,YG Cuban,Basketball Jersey,No Hopes,Rainbow,Baby Blue,None,None,24.991673725411275,18
18,None,Bruised,Classic,Mini Hoop,None,YG Cuban,Prison,None,Black,Orange,None,None,5.580043727906876,19
19,Mohawk,Dollar,Smile,Gold Hoop,None,Silver Eth,Distressed White Tee,None,White,Green,None,None,17.541489207202982,20
20,None,Classic,Joint,Gold Hoop,None,YG Cuban,Basketball Jersey,None,Pink,Beige,None,None,8.731710349587116,21
21,Sailor Hat,Classic,Growl,Diamond Stud,None,Silver Cuban,World Tour Tee,ETH Wings,Brown,Green,None,None,23.489604624974433,22
22,Smoke,Eth,Joint,None,Degen Crossbody,Lightning Bolt,GM GN Hoodie,No Hopes,Tan,Purple,None,None,54.05357326260434,23
23,Black Headphones,XX,Smile,Mini Hoop,None,YG Cuban,White Box Logo,Degen,Red,Beige Broken Wall,None,None,28.345955937456928,24
24,Halo,Heart,Tongue,Gold Hoop,Degen Crossbody,Eth,Plain Black Tee,ETH Wings,Brown,Pink Halftone,None,None,58.513242953654995,25
25,Stars,Stoned,Growl,Lightning Bolt,None,None,Suit,Degen,White,Navy Blue,None,None,27.889769699978878,26
